time,track,number_of_runners,CardNo,horse_name,todayor,lastwinoffrat,offratlr,offrat2,offrat3,offrat4,offrat5,offrat6,offrat7,offrat8,offrat9,offrat10,ormove10,minlr,min2,min3,min4,min5,min6,min7,min8,min9,min10,avglr,avg2,avg3,avg4,avg5,avg6,avg7,avg8,avg9,avg10,maxlr,max2,max3,max4,max5,max6,max7,max8,max9,max10,winlr,win2,win3,win4,win5,win6,win7,win8,win9,win10,placing1,placing2,placing3,placing4,placing5,placing6,placing7,placing8,placing9,placing10,runnerslr,runners2,runners3,runners4,runners5,runners6,runners7,runners8,runners9,runners10,racetypelr,racetype2,racetype3,racetype4,racetype5,racetype6,racetype7,racetype8,racetype9,racetype10,highor,highwinor,highflator,highflatwinor,highawor,highawwinor,highhurdleor,highhurdlewinor,highchaseor,highchasewinor,
"14:05:00","Ayr","6","6","Ardera Cross (IRE)","97","94","98","94","89","89","92","93","95","96","99","99","-2","98","94","79","89","84","78","74","84","79","90","107","108","88","105","99","88","89","99","92","104","117","121","105","116","111","104","100","110","106","112","117","94","91","116","103","78","78","105","97","90","6","1","2","5","9","PU","PU","3","4","7","7","6","6","6","12","8","9","11","10","10","Handicap Chase (N Hunt)","Handicap Chase (N Hunt)","Handicap Chase (N Hunt)","Handicap Chase (N Hunt)","Handicap Chase (N Hunt)","Handicap Chase (N Hunt)","Handicap Chase (N Hunt)","Handicap Chase (N Hunt)","Handicap Chase (N Hunt)","Handicap Chase (N Hunt)","130","125",,,,,"125","119","130","125",
"14:05:00","Ayr","6","1","Fia Fuinidh (IRE)","107",,"108","106","107","109","0","0","0","0","0","0","-2","98","94","98","101",,,,,,,"107","108","109","111",,,,,,,"117","121","118","119",,,,,,,"117","94","115","114",,,,,,,"4","2","2","4","0","0","0","0","0","0","7","6","7","6","0","0","0","0","0","0","Handicap Chase (N Hunt)","Handicap Chase (N Hunt)","Handicap Novices Chase (N Hunt)","Handicap Novices Chase (N Hunt)","n/a","n/a","n/a","n/a","n/a","n/a","109",,,,,,"112","102","109",,
"14:05:00","Ayr","6","2","Indian Louis (IRE)","105","100","105","100","0","0","0","0","0","0","0","0","0","87","74",,,,,,,,,"100","88",,,,,,,,,"110","100",,,,,,,,,"100","100",,,,,,,,,"5","1","0","0","0","0","0","0","0","0","8","8","0","0","0","0","0","0","0","0","Handicap Chase (N Hunt)","Handicap Novices Chase (N Hunt)","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","105","100",,,,,"0",,"105","100",
"14:05:00","Ayr","6","4","Jolly Nellerie (FR)","108",,"112","0","0","0","0","0","0","0","0","0","-4","83",,,,,,,,,,"97",,,,,,,,,,"112",,,,,,,,,,"86",,,,,,,,,,"4","0","0","0","0","0","0","0","0","0","6","0","0","0","0","0","0","0","0","0","Handicap Chase (N Hunt)","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","112",,,,,,"124",,"112",,
"14:05:00","Ayr","6","5","Nights In Venice","98",,"100","0","0","0","0","0","0","0","0","0","-2","74",,,,,,,,,,"89",,,,,,,,,,"100",,,,,,,,,,"96",,,,,,,,,,"4","0","0","0","0","0","0","0","0","0","12","0","0","0","0","0","0","0","0","0","Handicap Chase (N Hunt)","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","100",,,,,,"107",,"100",,
"14:05:00","Ayr","6","3","Travail Dorfevre (FR)","105","102","105","105","105","102","102","104","105","106","107","107","-2","98","105","79","80","89","84","85","106","106","79","107","114","94","93","104","102","101","113","113","95","117","122","105","105","115","110","112","120","119","107","117","120","79","102","89","100","106","120","119","102","2","2","2","1","3","3","2","PU","5","3","7","5","6","6","8","9","9","4","7","10","Handicap Chase (N Hunt)","Handicap Novices Chase (N Hunt)","Handicap Chase (N Hunt)","Handicap Chase (N Hunt)","Handicap Chase (N Hunt)","Handicap Chase (N Hunt)","Handicap Chase (N Hunt)","Handicap Chase (N Hunt)","Handicap Novices Chase (N Hunt)","Handicap Novices Chase (N Hunt)","107","102",,,,,"102","102","107","102",
"14:35:00","Ayr","7","1","Adveram","0",,"0","0","0","0","0","0","0","0","0","0","0","0","0",,,,,,,,,"15","0",,,,,,,,,"111","0",,,,,,,,,"111","0",,,,,,,,,"9","7","0","0","0","0","0","0","0","0","17","15","0","0","0","0","0","0","0","0","Maiden Hurdle (N Hunt)","Maiden Hurdle (N Hunt)","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","0",,,,,,"0",,,,
"14:35:00","Ayr","7","2","Bleu Denfer (FR)","115",,"113","122","115","111","0","0","0","0","0","0","-7","0","0","106","0","0","0","0","0",,,"35","28","114","20","18","0","7","0",,,"113","122","123","121","128","0","102","0",,,"0","0","120","0","0","0","0","0",,,"2","2","13","4","5","5","2","5","0","0","9","12","19","17","7","7","14","22","0","0","Maiden Hurdle (N Hunt)","Maiden Hurdle (N Hunt)","Handicap Novices Hurdle (N Hunt)","Maiden Hurdle (N Hunt)","Novices Hurdle (N Hunt)","Maiden Hurdle (N Hunt)","Maiden Hurdle (N Hunt)","Maiden Hurdle (N Hunt)","n/a","n/a","122",,,,,,"122",,"120",,
"14:35:00","Ayr","7","3","Castlecomer Bill (IRE)","0",,,"0","0","0","0","0","0","0","0","0","0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a",,,,,,,,,,,
"14:35:00","Ayr","7","4","Cave Hill","66",,"0","0","0","0","0","0","0","0","0","0","66","0","0","0",,,,,,,,"15","33","0",,,,,,,,"111","117","0",,,,,,,,"111","117","0",,,,,,,,"10","PU","12","0","0","0","0","0","0","0","17","7","14","0","0","0","0","0","0","0","Maiden Hurdle (N Hunt)","Maiden Hurdle (N Hunt)","Maiden Hurdle (N Hunt)","n/a","n/a","n/a","n/a","n/a","n/a","n/a","0",,,,,,"0",,,,
