time,track,number_of_runners,CardNo,horse_name,todayor,lastwinoffrat,offratlr,offrat2,offrat3,offrat4,offrat5,offrat6,offrat7,offrat8,offrat9,offrat10,ormove10,minlr,min2,min3,min4,min5,min6,min7,min8,min9,min10,avglr,avg2,avg3,avg4,avg5,avg6,avg7,avg8,avg9,avg10,maxlr,max2,max3,max4,max5,max6,max7,max8,max9,max10,winlr,win2,win3,win4,win5,win6,win7,win8,win9,win10,placing1,placing2,placing3,placing4,placing5,placing6,placing7,placing8,placing9,placing10,runnerslr,runners2,runners3,runners4,runners5,runners6,runners7,runners8,runners9,runners10,racetypelr,racetype2,racetype3,racetype4,racetype5,racetype6,racetype7,racetype8,racetype9,racetype10,highor,highwinor,highflator,highflatwinor,highawor,highawwinor,highhurdleor,highhurdlewinor,highchaseor,highchasewinor,
"16:00:00","Catterick","8","6","Easter Icon","53","53","54","55","55","53","52","53","55","56","60","0","-7","47","50","46","45","46","46","47","45","45","0","51","57","55","52","51","49","57","53","53","7","55","66","62","56","57","56","62","63","60","78","50","56","62","53","52","49","62","55","56","0","4","8","3","1","2","4","9","3","6","11","13","8","10","8","13","12","9","8","11","11","Handicap (Flat - AW)","Handicap (Flat - Turf)","Handicap (Flat - Turf)","Handicap (Flat - AW)","Handicap (Flat - AW)","Handicap (Flat - AW)","Handicap (Flat - AW)","Handicap (Flat - AW)","Handicap (Flat - Turf)","Novices (Flat - AW)","60","53","60",,"56","53",,,,,
"16:00:00","Catterick","8","3","Hellenista","60","63","61","59","60","62","64","64","65","66","66","65","-6","61","49","60","62","60","63","65","64","63","65","71","59","68","70","64","73","69","67","69","76","81","66","72","81","70","80","74","75","76","83","71","62","70","65","63","76","73","64","70","77","4","2","5","4","6","8","9","3","6","2","9","8","8","7","13","11","9","5","7","5","Handicap (Flat - Turf)","Handicap (Flat - Turf)","Handicap (Flat - Turf)","Handicap (Flat - Turf)","Handicap (Flat - Turf)","Handicap (Flat - Turf)","Handicap (Flat - Turf)","Handicap (Flat - Turf)","Handicap (Flat - Turf)","Handicap (Flat - Turf)","66","63","66","63","59",,,,,,
"16:00:00","Catterick","8","5","Lord Torranaga (FR)","55","69","55","56","55","57","59","61","62","65","67","68","-13","47","47","46","57","46","47","46","46","62","61","55","60","53","63","52","60","58","61","69","69","63","67","63","73","59","67","62","66","75","77","58","57","63","73","58","50","61","65","75","77","3","4","2","3","7","5","4","7","9","5","10","13","7","5","7","11","8","9","12","7","Handicap (Flat - AW)","Handicap (Flat - Turf)","Handicap (Flat - Turf)","Handicap (Flat - Turf)","Handicap (Flat - AW)","Handicap (Flat - Turf)","Handicap (Flat - AW)","Handicap (Flat - AW)","Handicap (Flat - AW)","Handicap (Flat - Turf)","71","69","71","62","70","69","124","0","120",,
"16:00:00","Catterick","8","7","Oh So Chic","49","47","50","51","53","55","56","52","50","50","47","47","-7","50","46","50","46","53","46","46","46","45","45","55","53","57","53","58","50","51","54","51","56","61","63","66","60","65","54","57","62","59","64","58","63","56","48","62","53","49","57","47","58","9","4","6","9","8","2","2","2","1","4","10","7","8","13","11","11","11","10","9","13","Handicap (Flat - Turf)","Handicap (Flat - Turf)","Handicap (Flat - Turf)","Handicap (Flat - Turf)","Handicap (Flat - AW)","Handicap (Flat - Turf)","Handicap (Flat - Turf)","Handicap (Flat - Turf)","Handicap (Flat - Turf)","Handicap (Flat - AW)","56","47","55","47","56",,,,,,
"16:00:00","Catterick","8","2","Spantik","61","62","61","61","63","65","67","68","68","68","68","65","-7","47","50","54","62","65","65","59","64","57","51","60","55","65","70","69","77","68","69","65","61","67","61","70","81","74","88","75","72","69","73","57","58","68","65","73","85","75","71","57","73","2","3","6","5","7","7","2","2","3","2","13","10","11","7","9","11","5","4","4","7","Handicap (Flat - Turf)","Handicap (Flat - Turf)","Handicap (Flat - AW)","Handicap (Flat - Turf)","Handicap (Flat - Turf)","Handicap (Flat - AW)","Handicap (Flat - Turf)","Handicap (Flat - Turf)","Handicap (Flat - Turf)","Handicap (Flat - Turf)","78","62","73","62","78","61","112","0",,,
"16:00:00","Catterick","8","9","Third Avenue (IRE)","46","48","46","47","47","51","51","51","51","52","53","55","-9","46","46","46","46","46","45","48","47","46","45","56","50","57","54","49","52","60","53","63","52","64","55","67","60","57","63","70","64","70","65","62","51","67","58","50","46","59","48","69","55","4","3","7","8","8","8","4","10","5","7","8","13","8","10","12","18","17","15","16","20","Handicap (Flat - AW)","Handicap (Flat - AW)","Handicap (Flat - AW)","Handicap (Flat - AW)","Handicap (Flat - Turf)","Handicap (Flat - Turf)","Handicap (Flat - Turf)","Handicap (Flat - Turf)","Handicap (Flat - Turf)","Handicap (Flat - Turf)","64","48","64","48","51",,"76",,,,
"16:00:00","Catterick","8","8","Tiberio Force","48","52","49","50","52","53","54","53","53","52","55","0","-7","46","46","48","46","51","46","46","52","52","0","51","54","52","50","63","50","50","55","65","7","60","60","58","55","74","57","55","63","72","73","51","59","48","52","70","55","51","52","70","0","4","3","7","7","7","3","3","1","9","9","7","7","9","10","14","12","8","6","11","11","Handicap (Flat - Turf)","Handicap (Flat - Turf)","Handicap (Flat - Turf)","Handicap (Flat - Turf)","Handicap (Flat - Turf)","Handicap (Flat - AW)","Handicap (Flat - Turf)","Handicap (Flat - Turf)","Handicap (Flat - Turf)","Novices (Flat - Turf)","55","52","55","52","53",,,,,,
"16:00:00","Catterick","8","4","Winklevi (FR)","58","60","60","60","61","62","62","62","63","64","63","60","-6","57","46","46","46","62","54","54","46","57","46","61","51","55","55","67","63","62","60","65","57","65","61","62","62","72","67","69","66","71","66","63","53","61","59","70","65","62","58","62","56","4","3","9","7","2","2","8","5","2","2","6","7","10","10","5","8","9","7","10","7","Handicap (Flat - AW)","Handicap (Flat - Turf)","Handicap (Flat - Turf)","Handicap (Flat - Turf)","Handicap (Flat - AW)","Handicap (Flat - AW)","Handicap (Flat - AW)","Handicap (Flat - AW)","Handicap (Flat - AW)","Handicap (Flat - AW)","79","77","76","69","79","77",,,,,
"16:35:00","Catterick","11","3","Doctor Mozart (IRE)","60","62","64","65","62","62","61","61","61","61","61","62","-5","57","64","46","58","46","46","50","48","48","58","62","66","57","63","63","54","61","54","57","63","65","70","62","70","82","61","67","61","62","67","61","64","62","70","61","61","63","58","62","65","2","4","1","4","1","1","3","3","6","4","10","5","8","7","5","10","10","5","7","5","Handicap (Flat - AW)","Handicap (Flat - Turf)","Handicap (Flat - AW)","Handicap (Flat - Turf)","Seller (Flat - AW)","Handicap (Flat - AW)","Handicap (Flat - AW)","Handicap (Flat - AW)","Handicap (Flat - AW)","Handicap (Flat - AW)","65","62","65",,"64","62",,,,,
"16:35:00","Catterick","11","12","Fighting Chance","45",,"46","46","37","46","46","45","45","29","25","0","-1","46","46","34","46","46","45","45","0","0","0","51","51","45","54","58","56","51","19","9","9","56","57","50","67","65","67","57","85","78","77","51","57","49","55","65","67","45","0","78","0","9","10","12","8","8","6","11","12","11","9","10","10","12","8","10","9","16","13","11","9","Handicap (Flat - AW)","Handicap (Flat - AW)","Non-Handicap (Flat - AW)","Handicap (Flat - Turf)","Handicap (Flat - AW)","Handicap (Flat - Turf)","Handicap (Flat - Turf)","Novices (Flat - Turf)","Novices (Flat - AW)","Maiden (Flat - AW)","46",,"46",,"46",,,,,,
"16:35:00","Catterick","11","11","Jackmeister Rudi","46","57","47","49","49","51","51","53","55","57","58","60","-14","46","38","46","46","50","46","52","46","46","46","54","47","51","51","53","52","58","54","55","56","62","50","55","56","60","61","64","61","62","64","61","50","54","56","60","50","60","60","58","56","5","4","10","10","6","11","5","8","4","6","9","12","13","13","13","13","10","11","9","11","Handicap (Flat - Turf)","Non-Handicap (Flat - AW)","Handicap (Flat - AW)","Handicap (Flat - Turf)","Handicap (Flat - AW)","Handicap (Flat - Turf)","Handicap (Flat - Turf)","Handicap (Flat - Turf)","Handicap (Flat - AW)","Handicap (Flat - AW)","65","62","65","62","64",,,,,,
"16:35:00","Catterick","11","10","Jumira Bridge","47","52","53","54","55","50","56","52","52","48","48","49","-9","46","46","50","46","52","46","51","46","45","36","53","51","53","51","61","54","60","51","47","46","57","55","60","56","67","58","67","57","50","50","57","52","60","50","60","52","65","48","46","50","4","6","8","7","3","1","7","1","4","6","10","11","13","13","7","11","8","11","10","12","Handicap (Flat - AW)","Handicap (Flat - AW)","Handicap (Flat - AW)","Handicap (Flat - Turf)","Handicap (Flat - AW)","Handicap (Flat - AW)","Handicap (Flat - AW)","Handicap (Flat - AW)","Non-Handicap (Flat - AW)","Non-Handicap (Flat - AW)","100","88","97","88","100","68",,,,,
"16:35:00","Catterick","11","1","Langholm (IRE)","59","62","60","63","64","64","64","64","66","67","68","68","-9","46","61","46","55","57","64","47","56","53","51","60","67","58","61","68","69","59","66","66","63","66","72","67","65","77","76","66","71","72","70","58","67","52","63","67","73","64","63","71","63","12","10","11","4","2","2","8","3","6","2","12","12","13","10","10","12","11","10","11","11","Handicap (Flat - Turf)","Handicap (Flat - Turf)","Handicap (Flat - Turf)","Handicap (Flat - Turf)","Handicap (Flat - Turf)","Handicap (Flat - Turf)","Handicap (Flat - Turf)","Handicap (Flat - Turf)","Handicap (Flat - Turf)","Handicap (Flat - Turf)","68","62","68","62",,,"0",,,,
"16:35:00","Catterick","11","5","Mumcat","56","69","58","59","60","62","62","61","62","62","60","61","-6","56","46","46","46","54","57","59","54","48","61","61","59","60","59","62","62","63","60","58","71","66","65","67","67","65","65","66","65","64","77","66","65","63","57","65","64","63","64","62","77","6","3","5","13","5","2","10","3","2","4","9","11","9","15","12","11","11","11","8","8","Handicap (Flat - Turf)","Handicap (Flat - Turf)","Handicap (Flat - Turf)","Handicap (Flat - Turf)","Handicap (Flat - AW)","Handicap (Flat - AW)","Handicap (Flat - AW)","Handicap (Flat - AW)","Handicap (Flat - AW)","Handicap (Flat - AW)","74","69","69",,"74","69",,,,,
