Date,RaceTime,Track,RaceName,Distance,Dist_Furlongs,Class,Going,PrizeMoney,Runners,Direction,CardNo,Horse,HorseAge,Jockey,JClaim,Trainer,Stall,OfficialRating,Weight_Pounds,Odds,Form,Days,Headgear,Stallion,Dam,HorseType,CD,numfences,RaceCode,RaceType,LR_Placing,Horse_Season_Runs,TodayDistance_Yards,Max_DistanceYards_Run,Max_DistanceYards_Win,SameDistance_Wins,GreaterDistance_Wins,LesserDistance_Wins,LR_Track,HorseRuns_365days,
"2024-04-10","13:15:00","Leopardstown","Irish Stallion Farms EBF Fillies Maiden","1m2f ","10",,"Heavy","7965","8","Left Handed","1","Flight Of Fancy (IRE)","3","Lordan, W M","0","OBrien, A P","7","0","129","6.50","5","197",,"Galileo (IRE)","Inca Princess (IRE)","Filly",,"0","Flat","Maiden","Fifth","0","2200","1760","0","0","0","0","Cork","1",
"2024-04-10","13:15:00","Leopardstown","Irish Stallion Farms EBF Fillies Maiden","1m2f ","10",,"Heavy","7965","8","Left Handed","2","Galileo Dame (IRE)","3","McMonagle, Dylan B","0","OBrien, Joseph Patrick","1","0","129","2.75","2","176",,"Galileo Gold","Two For Tea (IRE)","Filly",,"0","Flat","Maiden","Second","0","2200","1870","0","0","0","0","Gowran Park","1",
"2024-04-10","13:15:00","Leopardstown","Irish Stallion Farms EBF Fillies Maiden","1m2f ","10",,"Heavy","7965","8","Left Handed","3","Luxurious Princess (IRE)","3","Cleary, Jack","7","Murray, Adrian","4","0","129","25.00","none",,,"Invincible Army (IRE)","Morning Jewel (IRE)","Filly",,"0","Flat","Maiden","No Run","0","2200","0","0","0","0","0",,"0",
"2024-04-10","13:15:00","Leopardstown","Irish Stallion Farms EBF Fillies Maiden","1m2f ","10",,"Heavy","7965","8","Left Handed","4","Ob La Di (IRE)","3","Coen, Ben M","0","Murtagh, J P","8","0","129","20.00","none",,,"Blue Point (IRE)","Duchess Of Danzig (GER)","Filly",,"0","Flat","Maiden","No Run","0","2200","0","0","0","0","0",,"0",
"2024-04-10","13:15:00","Leopardstown","Irish Stallion Farms EBF Fillies Maiden","1m2f ","10",,"Heavy","7965","8","Left Handed","5","Our Lil","3","Heffernan, J A","0","Kelly, Muredach","2","0","129","200.00","'0","227","Hood","Cable Bay (IRE)","Lorgnette (FR)","Filly",,"0","Flat","Maiden","Twelfth","0","2200","1650","0","0","0","0","Beverley","1",
"2024-04-10","13:15:00","Leopardstown","Irish Stallion Farms EBF Fillies Maiden","1m2f ","10",,"Heavy","7965","8","Left Handed","6","Purple Sky (IRE)","3","Cleary, R P","0","Bolger, J S","6","0","129","16.00","none",,,"Awtaad (IRE)","Dawn Of Day (IRE)","Filly",,"0","Flat","Maiden","No Run","0","2200","0","0","0","0","0",,"0",
"2024-04-10","13:15:00","Leopardstown","Irish Stallion Farms EBF Fillies Maiden","1m2f ","10",,"Heavy","7965","8","Left Handed","7","Rubies Are Red (IRE)","3","Moore, Ryan","0","OBrien, A P","5","0","129","0.83","3","163",,"Galileo (IRE)","Red Evie (IRE)","Filly",,"0","Flat","Maiden","Third","0","2200","1870","0","0","0","0","Galway","1",
"2024-04-10","13:15:00","Leopardstown","Irish Stallion Farms EBF Fillies Maiden","1m2f ","10",,"Heavy","7965","8","Left Handed","8","Tranquillitatis","3","Ryan, Gavin","0","Obrien, Donnacha","3","0","129","12.00","none",,,"Kingman","That Which Is Not (USA)","Filly",,"0","Flat","Maiden","No Run","0","2200","0","0","0","0","0",,"0",
"2024-04-10","13:45:00","Leopardstown","Aparto (C & G) Maiden","1m2f ","10",,"Heavy","7965","10","Left Handed","1","Benvoy (IRE)","3","Heffernan, J A","0","Bromhead, Henry De","8","0","134","12.00","48","166",,"Fastnet Rock (AUS)","Mont Etoile (IRE)","Gelding",,"0","Flat","Maiden","Eighth","0","2200","1760","0","0","0","0","Dundalk","2",
"2024-04-10","13:45:00","Leopardstown","Aparto (C & G) Maiden","1m2f ","10",,"Heavy","7965","10","Left Handed","2","Galway Man (IRE)","3","Hayes, C D","0","Comer, Luke","6","0","134","150.00","'0","54",,"Raa Atoll","Tale Of Nellie (IRE)","Colt",,"0","Flat","Maiden","Tenth","0","2200","1760","0","0","0","0","Dundalk","1",
"2024-04-10","13:45:00","Leopardstown","Aparto (C & G) Maiden","1m2f ","10",,"Heavy","7965","10","Left Handed","3","Granite Bay","3","Whelan, R P","0","Fahey, Jarlath P","1","0","134","150.00","'0","179",,"Time Test","Indira","Gelding",,"0","Flat","Maiden","Eleventh","0","2200","1760","0","0","0","0","Naas","1",
"2024-04-10","13:45:00","Leopardstown","Aparto (C & G) Maiden","1m2f ","10",,"Heavy","7965","10","Left Handed","4","Himalayan Heights (IRE)","3","Carroll, G F","0","Lyons, G M","10","0","134","16.00","none",,,"Camelot","Shambolique","Colt",,"0","Flat","Maiden","No Run","0","2200","0","0","0","0","0",,"0",
"2024-04-10","13:45:00","Leopardstown","Aparto (C & G) Maiden","1m2f ","10",,"Heavy","7965","10","Left Handed","5","Inner Success (FR)","3","Lee, W J","0","Condon, K J","3","0","134","28.00","none",,,"Success Days (IRE)","Royal Memory","Gelding",,"0","Flat","Maiden","No Run","0","2200","0","0","0","0","0",,"0",
"2024-04-10","13:45:00","Leopardstown","Aparto (C & G) Maiden","1m2f ","10",,"Heavy","7965","10","Left Handed","6","Invention (IRE)","3","Ryan, Gavin","0","Obrien, Donnacha","9","0","134","3.50","42","172",,"Galileo (IRE)","Where (IRE)","Colt",,"0","Flat","Maiden","Second","0","2200","1980","0","0","0","0","Leopardstown","2",
