Date,RaceTime,Track,RaceName,Distance,Dist_Furlongs,Class,Going,PrizeMoney,Runners,Direction,CardNo,Horse,HorseAge,Jockey,JClaim,Trainer,Stall,OfficialRating,Weight_Pounds,Odds,Form,Days,Headgear,Stallion,Dam,HorseType,CD,numfences,
"2022-06-24","13:00:00","Doncaster","Glebe Farm School Handicap","6f ","6","Class 5","Good To Firm","3510","10","Straight","1","Cottam Lane","4","Jary, Alex","7","Tinkler, N","8","76","136","3.50","1538505","16",,"Twilight Son","Alsium (IRE)","Gelding","D","0",
"2022-06-24","13:00:00","Doncaster","Glebe Farm School Handicap","6f ","6","Class 5","Good To Firm","3510","10","Straight","2","Triggered (IRE)","6","Doyle, James","0","Loughnane, Daniel Mark","7","73","133","6.00","5843438","39"," Eye TT","Dandy Man (IRE)","Triggers Broom (IRE)","Gelding","D","0",
"2022-06-24","13:00:00","Doncaster","Glebe Farm School Handicap","6f ","6","Class 5","Good To Firm","3510","10","Straight","3","Good Earth (IRE)","5","Muscutt, D","0","Herrington,M ","6","73","133","4.00","3523123","13",,"Acclamation","Madhatten (IRE)","Gelding","D","0",
"2022-06-24","13:00:00","Doncaster","Glebe Farm School Handicap","6f ","6","Class 5","Good To Firm","3510","10","Straight","4","Redzone","5","Sanna, G","7","Smart, B","1","73","133","12.00","2511130","24","CkPc","Sepoy (AUS)","Mythicism","Gelding","CD","0",
"2022-06-24","13:00:00","Doncaster","Glebe Farm School Handicap","6f ","6","Class 5","Good To Firm","3510","10","Straight","5","Dark Shot","9","Fisher, Jonathan","5","Dixon, Scott","10","70","130","22.00","'0344500","5","Vsor","Acclamation","Dark Missile","Gelding","D","0",
"2022-06-24","13:00:00","Doncaster","Glebe Farm School Handicap","6f ","6","Class 5","Good To Firm","3510","10","Straight","6","After John","6","Gormley, Jamie","0","Jardine, I","4","68","128","10.00","4782329","39",,"Dutch Art","Rosacara","Gelding","D","0",
"2022-06-24","13:00:00","Doncaster","Glebe Farm School Handicap","6f ","6","Class 5","Good To Firm","3510","10","Straight","7","Hail Sezer","5","Tudhope, Daniel","0","Harker, G A","2","68","128","3.00","3212535","24",,"Intrinsic","Nice One","Gelding","CD","0",
"2022-06-24","13:00:00","Doncaster","Glebe Farm School Handicap","6f ","6","Class 5","Good To Firm","3510","10","Straight","8","Little Muddy","6","Mason, Joanna","0","Spencer, Seb","5","64","124","50.00","1030000","20",,"Mr Medici (IRE)","Secret Oasis","Mare","C","0",
"2022-06-24","13:00:00","Doncaster","Glebe Farm School Handicap","6f ","6","Class 5","Good To Firm","3510","10","Straight","9","Idoapologise","5","Robinson, Ben","0","Ellison, B","3","63","123","8.50","7080497","12",,"Havana Gold (IRE)","Shiba (FR)","Gelding","D","0",
"2022-06-24","13:00:00","Doncaster","Glebe Farm School Handicap","6f ","6","Class 5","Good To Firm","3510","10","Straight","10","Cool Spirit","7","Hardie, Cameron","0","Griffiths, D C","9","57","117","50.00","1198580","10","Hood","Swiss Spirit","Marmot Bay (IRE)","Gelding","D","0",
"2022-06-24","13:35:00","Doncaster","Parliament Square EBF Novice Stakes (GBB Race)","7f ","7","Class 4","Good To Firm","5832","7","Straight","1","Afterlife","2","Sayette, B D L","5","Gosden, John and Thady","5","0","133","11.00","9","24",,"Kodiac","Eternally","Colt",,"0",
"2022-06-24","13:35:00","Doncaster","Parliament Square EBF Novice Stakes (GBB Race)","7f ","7","Class 4","Good To Firm","5832","7","Straight","2","Courageous Knight","2","Doyle, James","0","Appleby, Charlie","2","0","133","0.73","42","16",,"Dubawi (IRE)","Spring Mist","Colt",,"0",
"2022-06-24","13:35:00","Doncaster","Parliament Square EBF Novice Stakes (GBB Race)","7f ","7","Class 4","Good To Firm","5832","7","Straight","3","Ezaj","2","Crowley, Jim","0","Mohammed, Ismail","4","0","133","6.00","5","24",,"No Nay Never (USA)","Away (IRE)","Colt",,"0",
"2022-06-24","13:35:00","Doncaster","Parliament Square EBF Novice Stakes (GBB Race)","7f ","7","Class 4","Good To Firm","5832","7","Straight","4","Forca Timao (IRE)","2","Ryan, Rossa","0","Hannon (Jnr), Richard","7","0","133","28.00","7","14",,"Kessaar (IRE)","Belle Diva (IRE)","Colt",,"0",
"2022-06-24","13:35:00","Doncaster","Parliament Square EBF Novice Stakes (GBB Race)","7f ","7","Class 4","Good To Firm","5832","7","Straight","5","Quinault (GER)","2","Muscutt, D","0","Appleby, Charlie","1","0","133","6.00","none",,,"Oasis Dream","Queimada (GER)","Colt",,"0",
"2022-06-24","13:35:00","Doncaster","Parliament Square EBF Novice Stakes (GBB Race)","7f ","7","Class 4","Good To Firm","5832","7","Straight","6","Sir Jock Bennett (IRE)","2","Tudhope, Daniel","0","Johnston, M","3","0","133","8.00","none",,,"Almanzor (FR)","Biswa (USA)","Colt",,"0",
"2022-06-24","13:35:00","Doncaster","Parliament Square EBF Novice Stakes (GBB Race)","7f ","7","Class 4","Good To Firm","5832","7","Straight","7","Utilis (IRE)","2","Robinson, Ben","0","Ellison, B","6","0","133","50.00","none",,,"Profitable (IRE)","Mysterious Burg (FR)","Colt",,"0",
"2022-06-24","13:45:00","Yarmouth","QuinnBet Apprentice Handicap","1m ","8","Class 6","Good To Firm","2970","10","Straight","1","Lennys Spirit (FR)","4","Davies, Harry","0","Dunlop, E A L","6","63","138","2.00","7661461","11","Vsor TT","Intello (GER)","Moonee Valley (FR)","Gelding",,"0",
"2022-06-24","13:45:00","Yarmouth","QuinnBet Apprentice Handicap","1m ","8","Class 6","Good To Firm","2970","10","Straight","2","Mccann The Man","4","Phillips, Mollie","0","Chapple-Hyam, Jane","7","61","136","5.00","6447535","24","CkPc","Fountain Of Youth (IRE)","Rememberance Day","Gelding",,"0",
"2022-06-24","13:45:00","Yarmouth","QuinnBet Apprentice Handicap","1m ","8","Class 6","Good To Firm","2970","10","Straight","3","Dark Design (IRE)","5","Howarth, Christian","3","Spiller, Henry","1","57","132","6.50","'0413314","36","CkPc","Gutaifan (IRE)","Divine Design (IRE)","Gelding","D","0",
"2022-06-24","13:45:00","Yarmouth","QuinnBet Apprentice Handicap","1m ","8","Class 6","Good To Firm","2970","10","Straight","4","Red Evelyn","4","Wright, Liam","5","Pearce, Simon","5","56","131","12.00","4247935","13","CkPc","Garswood","Skara Brae","Filly","D","0",
"2022-06-24","13:45:00","Yarmouth","QuinnBet Apprentice Handicap","1m ","8","Class 6","Good To Firm","2970","10","Straight","5","Shyjack","7","Keeley, Aidan","3","Dunnett, Mrs C A","2","56","131","8.50","2226246","15","CkPc","Archipenko (USA)","Coconut Shy","Gelding","C D","0",
"2022-06-24","13:45:00","Yarmouth","QuinnBet Apprentice Handicap","1m ","8","Class 6","Good To Firm","2970","10","Straight","6","Hanoverian King (GER)","4","Hutchinson, Callum","0","Pearce, Simon","8","55","130","28.00","5097160","170",,"Showcasing","Hasay","Gelding",,"0",
"2022-06-24","13:45:00","Yarmouth","QuinnBet Apprentice Handicap","1m ","8","Class 6","Good To Firm","2970","10","Straight","7","Anglo Saxson (IRE)","5","Bass, George","0","Owens, Patrick","10","51","126","3.50","9800733","29","Vsor","Starspangledbanner (AUS)","Obligada (IRE)","Gelding","C","0",
"2022-06-24","13:45:00","Yarmouth","QuinnBet Apprentice Handicap","1m ","8","Class 6","Good To Firm","2970","10","Straight","8","Channel Packet","8","Planas, Connor","5","Appleby, M","3","47","122","28.00","3846758","23","Vsor","Champs Elysees","Etarre (IRE)","Horse","D","0",
"2022-06-24","13:45:00","Yarmouth","QuinnBet Apprentice Handicap","1m ","8","Class 6","Good To Firm","2970","10","Straight","9","Eljaytee (IRE)","4","Beech, Aled J","0","Berry, John","4","46","121","28.00","'0879056","37",,"Rock Of Gibraltar (IRE)","Yukon Girl (IRE)","Gelding",,"0",
"2022-06-24","13:45:00","Yarmouth","QuinnBet Apprentice Handicap","1m ","8","Class 6","Good To Firm","2970","10","Straight","10","Amal (IRE)","4","Bradnam, Joe","5","Jenkins, J R","9","46","121","40.00","5990358","16",,"No Nay Never (USA)","Lundy Island","Filly",,"0",
"2022-06-24","13:55:00","Cartmel","Cartmel Racecourse Amateur Jockeys Handicap Hurdle","2m6f ","22","Class 5","Good To Soft","2977","11","Left Handed","1","Grageelagh Girl (IRE)","11","Obrien, Miss Fern","5","OBrien, Fergal","0","102","170","3.50","3532450","23",,"Craigsteel","Smiths Lady (IRE)","Mare",,"11",
"2022-06-24","13:55:00","Cartmel","Cartmel Racecourse Amateur Jockeys Handicap Hurdle","2m6f ","22","Class 5","Good To Soft","2977","11","Left Handed","2","The Steward (USA)","11","Noreci, Miss Leah","7","Moffatt, James","0","100","168","9.00","7594125","23","Blnk","Street Cry (IRE)","Candlelight (USA)","Gelding","C","11",
"2022-06-24","13:55:00","Cartmel","Cartmel Racecourse Amateur Jockeys Handicap Hurdle","2m6f ","22","Class 5","Good To Soft","2977","11","Left Handed","3","Shaws Bridge (IRE)","9","Smith, Becky","0","Hammond, Micky","0","100","168","12.00","25UP844","38",,"Kalanisi (IRE)","Zaffarella (IRE)","Gelding",,"11",
"2022-06-24","13:55:00","Cartmel","Cartmel Racecourse Amateur Jockeys Handicap Hurdle","2m6f ","22","Class 5","Good To Soft","2977","11","Left Handed","4","Bagan","8","Newman, Mr Joshua","0","Mullins, J W","0","90","158","4.50","6883363","14",,"Sulamani (IRE)","Aunt Rita (IRE)","Gelding",,"11",
"2022-06-24","13:55:00","Cartmel","Cartmel Racecourse Amateur Jockeys Handicap Hurdle","2m6f ","22","Class 5","Good To Soft","2977","11","Left Handed","5","On We Go (IRE)","9","Dawson, Mr John","0","Boanas, Miss G","0","90","158","2.00","4750121","25",,"Robin Des Pres (FR)","Clan Music (IRE)","Mare","C","11",
"2022-06-24","13:55:00","Cartmel","Cartmel Racecourse Amateur Jockeys Handicap Hurdle","2m6f ","22","Class 5","Good To Soft","2977","11","Left Handed","6","Prince Of Bad Lins (GER)","4","Morgan, Mr Beau","5","Potter, R D","0","92","154","22.00","736059","10"," TT","Nutan (IRE)","Pastellrosa (IRE)","Gelding",,"11",
"2022-06-24","13:55:00","Cartmel","Cartmel Racecourse Amateur Jockeys Handicap Hurdle","2m6f ","22","Class 5","Good To Soft","2977","11","Left Handed","7","Ange Endormi (IRE)","6","King, Mr James","0","Butterworth, Mrs B","0","83","151","12.00","4478239","63",,"Leading Light (IRE)","Maxford Lady (IRE)","Gelding",,"11",
