Date,RaceTime,Track,RaceName,Distance,Dist_Furlongs,Class,Going,PrizeMoney,Runners,Direction,CardNo,Horse,HorseAge,Jockey,JClaim,Trainer,Stall,OfficialRating,Weight_Pounds,Odds,Form,Days,Headgear,Stallion,Dam,HorseType,CD,numfences,RaceCode,RaceType,LR_Placing,Horse_Season_Runs,TodayDistance_Yards,Max_DistanceYards_Run,Max_DistanceYards_Win,SameDistance_Wins,GreaterDistance_Wins,LesserDistance_Wins,LR_Track,HorseRuns_365days,
"2023-10-07","13:10:00","Curragh","Shoda Market Cafe Irish European Breeders Fund Maiden","1m1f ","9",,"Soft","8761","16","Right Handed","1","Bacchanalian","2","McMonagle, Dylan B","0","OBrien, Joseph Patrick","3","0","133","10.00","none",,,"Siyouni (FR)","Unpretentious","Colt",,"0","Flat","Maiden","No Run","0","1980","0","0","0","0","0",,"0",
"2023-10-07","13:10:00","Curragh","Shoda Market Cafe Irish European Breeders Fund Maiden","1m1f ","9",,"Soft","8761","16","Right Handed","2","Cult Figure (IRE)","2","Stone-Walsh, C","7","OBrien, Joseph Patrick","14","0","133","28.00","none",,,"Dark Angel (IRE)","Espere (IRE)","Colt",,"0","Flat","Maiden","No Run","0","1980","0","0","0","0","0",,"0",
"2023-10-07","13:10:00","Curragh","Shoda Market Cafe Irish European Breeders Fund Maiden","1m1f ","9",,"Soft","8761","16","Right Handed","3","Fighter (IRE)","2","Hennessy, Killian","5","OBrien, A P","15","0","133","12.00","8","24",,"Frankel","Night Visit","Colt",,"0","Flat","Maiden","Eighth","1","1980","1760","0","0","0","0","Punchestown","1",
"2023-10-07","13:10:00","Curragh","Shoda Market Cafe Irish European Breeders Fund Maiden","1m1f ","9",,"Soft","8761","16","Right Handed","4","Fine Print (IRE)","2","Keane, C T","0","Lyons, G M","2","0","133","9.00","none",," TT","Zoffany (IRE)","Xcite (IRE)","Colt",,"0","Flat","Maiden","No Run","0","1980","0","0","0","0","0",,"0",
"2023-10-07","13:10:00","Curragh","Shoda Market Cafe Irish European Breeders Fund Maiden","1m1f ","9",,"Soft","8761","16","Right Handed","5","Illinois (IRE)","2","Heffernan, J A","0","OBrien, A P","12","0","133","2.25","none",,,"Galileo (IRE)","Danedrop (IRE)","Colt",,"0","Flat","Maiden","No Run","0","1980","0","0","0","0","0",,"0",
"2023-10-07","13:10:00","Curragh","Shoda Market Cafe Irish European Breeders Fund Maiden","1m1f ","9",,"Soft","8761","16","Right Handed","6","Invention (IRE)","2","Ryan, Gavin","0","Obrien, Donnacha","5","0","133","6.50","none",,,"Galileo (IRE)","Where (IRE)","Colt",,"0","Flat","Maiden","No Run","0","1980","0","0","0","0","0",,"0",
"2023-10-07","13:10:00","Curragh","Shoda Market Cafe Irish European Breeders Fund Maiden","1m1f ","9",,"Soft","8761","16","Right Handed","7","Liberty Looming (IRE)","2","McAteer, L T","0","Bolger, J S","9","0","133","50.00","'0","99",,"Teofilo (IRE)","Irish Question (IRE)","Gelding",,"0","Flat","Maiden","Seventeenth","1","1980","1320","0","0","0","0","Curragh","1",
"2023-10-07","13:10:00","Curragh","Shoda Market Cafe Irish European Breeders Fund Maiden","1m1f ","9",,"Soft","8761","16","Right Handed","8","Mexican Joe (IRE)","2","Crosse, Nathan","0","Comer, Luke","6","0","133","150.00","57","53",,"Raa Atoll","Luminize (IRE)","Colt",,"0","Flat","Maiden","Seventh","2","1980","1870","0","0","0","0","Dundalk","2",
"2023-10-07","13:10:00","Curragh","Shoda Market Cafe Irish European Breeders Fund Maiden","1m1f ","9",,"Soft","8761","16","Right Handed","9","Mont St Michel (IRE)","2","Lee, W J","0","OBrien, A P","7","0","133","8.00","none",,,"Galileo (IRE)","Switch (USA)","Colt",,"0","Flat","Maiden","No Run","0","1980","0","0","0","0","0",,"0",
"2023-10-07","13:10:00","Curragh","Shoda Market Cafe Irish European Breeders Fund Maiden","1m1f ","9",,"Soft","8761","16","Right Handed","10","Navajo Scout","2","Hayes, C D","0","Meade, Noel","11","72","133","14.00","663","6",,"Showcasing","Sorella Bella (IRE)","Colt",,"0","Flat","Maiden","Third","3","1980","1980","0","0","0","0","Tipperary","3",
"2023-10-07","13:10:00","Curragh","Shoda Market Cafe Irish European Breeders Fund Maiden","1m1f ","9",,"Soft","8761","16","Right Handed","11","Nobody (IRE)","2","Harnett, P A","5","Walsh, Brendan M","4","0","133","150.00","none",,,"Estidhkaar (IRE)","Lady Atlas","Gelding",,"0","Flat","Maiden","No Run","0","1980","0","0","0","0","0",,"0",
"2023-10-07","13:10:00","Curragh","Shoda Market Cafe Irish European Breeders Fund Maiden","1m1f ","9",,"Soft","8761","16","Right Handed","12","Solar Saving (IRE)","2","Cleary, R P","0","Bolger, J S","8","0","133","4.50","3","3",,"Vocalised (USA)","Solar Outburst (IRE)","Colt",,"0","Flat","Maiden","Third","1","1980","1760","0","0","0","0","Navan","1",
"2023-10-07","13:10:00","Curragh","Shoda Market Cafe Irish European Breeders Fund Maiden","1m1f ","9",,"Soft","8761","16","Right Handed","13","Soul Of Spain (IRE)","2","McDonogh, D P","0","OBrien, Joseph Patrick","10","0","133","8.00","none",,,"Phoenix Of Spain (IRE)","Aimhirgin Lass (IRE)","Colt",,"0","Flat","Maiden","No Run","0","1980","0","0","0","0","0",,"0",
"2023-10-07","13:10:00","Curragh","Shoda Market Cafe Irish European Breeders Fund Maiden","1m1f ","9",,"Soft","8761","16","Right Handed","14","Tour Of Duty (IRE)","2","Cleary, Jack","7","OBrien, A P","13","0","133","16.00","none",,,"Camelot","The Fairy (IRE)","Colt",,"0","Flat","Maiden","No Run","0","1980","0","0","0","0","0",,"0",
"2023-10-07","13:10:00","Curragh","Shoda Market Cafe Irish European Breeders Fund Maiden","1m1f ","9",,"Soft","8761","16","Right Handed","15","Tsunami Speed","2","Halpin, G P","0","Murray, Adrian","1","0","133","66.00","60","14",,"U S Navy Flag (USA)","Lifting Me Higher (IRE)","Colt",,"0","Flat","Maiden","Fifteenth","2","1980","1540","0","0","0","0","Curragh","2",
"2023-10-07","13:10:00","Curragh","Shoda Market Cafe Irish European Breeders Fund Maiden","1m1f ","9",,"Soft","8761","16","Right Handed","16","Walter Hartright (IRE)","2","Sheehy, M P","0","OBrien, Joseph Patrick","16","0","133","25.00","none",,,"Saxon Warrior (JPN)","Marian Halcombe (USA)","Colt",,"0","Flat","Maiden","No Run","0","1980","0","0","0","0","0",,"0",
