Date,RaceTime,Track,RaceName,Distance,Dist_Furlongs,Class,Going,PrizeMoney,Runners,Direction,CardNo,Horse,HorseAge,Jockey,JClaim,Trainer,Stall,OfficialRating,Weight_Pounds,Odds,Form,Days,Headgear,Stallion,Dam,HorseType,CD,numfences,RaceCode,RaceType,LR_Placing,Horse_Season_Runs,TodayDistance_Yards,Max_DistanceYards_Run,Max_DistanceYards_Win,SameDistance_Wins,GreaterDistance_Wins,LesserDistance_Wins,LR_Track,HorseRuns_365days,
"2023-11-06","12:50:00","Hereford","planetsportbet.com Hands And Heels Handicap Hurdle (Conditional & Amateur Jockeys)","3m2f ","26","Class 5","Good","3406","12","Right Handed","1","Lelantos (IRE)","7","Main, Henry","0","Henderson, N J","0","105","168","5.00","373321U","60","CkPc","Presenting","Western Focus (IRE)","Gelding",,"13","National Hunt","Handicap Hurdle","Unseated Rider","6","5720","5940","5940","0","1","3","Southwell","7",
"2023-11-06","12:50:00","Hereford","planetsportbet.com Hands And Heels Handicap Hurdle (Conditional & Amateur Jockeys)","3m2f ","26","Class 5","Good","3406","12","Right Handed","2","Global Famenglory (IRE)","7","Palin, Miss H","3","Skelton, Daniel","0","103","166","12.00","6223F27","30",,"Fame And Glory","Noble Pearl (GER)","Mare",,"13","National Hunt","Handicap Hurdle","Seventh","4","5720","5720","0","0","0","0","Fontwell","6",
"2023-11-06","12:50:00","Hereford","planetsportbet.com Hands And Heels Handicap Hurdle (Conditional & Amateur Jockeys)","3m2f ","26","Class 5","Good","3406","12","Right Handed","3","Pontresina (IRE)","10","Collier, Ellis","0","Lund, B V","0","102","165","25.00","2U3P74P","13",,"Milan","Gilt Benefit (IRE)","Gelding",,"13","National Hunt","Handicap Hurdle","Pulled Up","2","5720","5720","5390","0","0","1","Exeter","4",
"2023-11-06","12:50:00","Hereford","planetsportbet.com Hands And Heels Handicap Hurdle (Conditional & Amateur Jockeys)","3m2f ","26","Class 5","Good","3406","12","Right Handed","4","Belles Benefit (IRE)","7","Featherstone, Mr William","3","Case, B I","0","102","165","4.50","3132243","19",,"Leading Light (IRE)","Snowbelle (IRE)","Mare",,"13","National Hunt","Handicap Hurdle","Third","2","5720","5280","4730","0","0","1","Wetherby","2",
"2023-11-06","12:50:00","Hereford","planetsportbet.com Hands And Heels Handicap Hurdle (Conditional & Amateur Jockeys)","3m2f ","26","Class 5","Good","3406","12","Right Handed","5","Masterdream (FR)","6","Harney, Gearoid","0","Mulholland, N P","0","97","160","12.00","'0543180","51","CkPc TT","Sea The Stars (IRE)","Santa Christiana (FR)","Gelding",,"13","National Hunt","Handicap Hurdle","Twelfth","1","5720","4730","4510","0","0","3","Bath","6",
"2023-11-06","12:50:00","Hereford","planetsportbet.com Hands And Heels Handicap Hurdle (Conditional & Amateur Jockeys)","3m2f ","26","Class 5","Good","3406","12","Right Handed","6","Fred Bear (IRE)","5","Whelan, D G","0","Mulholland, N P","0","95","158","14.00","'0113583","1",,"Kodi Bear (IRE)","Subtle Affair (IRE)","Gelding",,"13","National Hunt","Handicap Hurdle","Third","0","5720","4840","3740","0","0","5","Lingfield","7",
"2023-11-06","12:50:00","Hereford","planetsportbet.com Hands And Heels Handicap Hurdle (Conditional & Amateur Jockeys)","3m2f ","26","Class 5","Good","3406","12","Right Handed","7","Dukehill (IRE)","8","Clarke, Mr Sean","3","Llewellyn, Robert","0","94","157","8.50","45536","72",,"Milan","Coming Home (FR)","Gelding",,"13","National Hunt","Handicap Hurdle","Sixth","4","5720","5610","0","0","0","0","Cartmel","4",
"2023-11-06","12:50:00","Hereford","planetsportbet.com Hands And Heels Handicap Hurdle (Conditional & Amateur Jockeys)","3m2f ","26","Class 5","Good","3406","12","Right Handed","8","No Rematch (IRE)","9","Mathias, Imogen","3","Williams, Evan","0","94","157","18.00","15P3370","13",,"Westerner","Loadsofability (IRE)","Gelding",,"13","National Hunt","Handicap Hurdle","Eleventh","2","5720","6600","5500","0","0","3","Exeter","8",
"2023-11-06","12:50:00","Hereford","planetsportbet.com Hands And Heels Handicap Hurdle (Conditional & Amateur Jockeys)","3m2f ","26","Class 5","Good","3406","12","Right Handed","9","Kentford Mallard","10","Barlow, Patrick","0","Mullins, J W","0","92","155","4.50","5275231","20","CkPc","Sulamani (IRE)","Kentford Grebe","Mare","C","13","National Hunt","Handicap Hurdle","First","3","5720","5610","5610","0","0","5","Hereford","9",
"2023-11-06","12:50:00","Hereford","planetsportbet.com Hands And Heels Handicap Hurdle (Conditional & Amateur Jockeys)","3m2f ","26","Class 5","Good","3406","12","Right Handed","10","Sheila Nash (IRE)","8","Palmer, Oscar","3","Phillips, R T","0","91","154","10.00","14PP373","38",,"Flemensfirth (USA)","Hollygrove Rumba (IRE)","Mare",,"13","National Hunt","Handicap Hurdle","Third","4","5720","5940","5170","0","0","3","Worcester","4",
