Date,RaceTime,Track,RaceName,Distance,Dist_Furlongs,Class,Going,PrizeMoney,Runners,Direction,CardNo,Horse,HorseAge,Jockey,JClaim,Trainer,Stall,OfficialRating,Weight_Pounds,Odds,Form,Days,Headgear,Stallion,Dam,HorseType,CD,numfences,RaceCode,RaceType,
"2022-09-11","12:30:00","Doncaster","Coral Champagne Stakes (Group 2)","7f ","7","Group 2","Soft","79458","3","Straight","1","Chaldean","2","Dettori, L","0","Balding, A M","1","109","128","2.00","511","25",,"Frankel","Suelita","Colt","D","0","Flat","Non-Handicap",
"2022-09-11","12:30:00","Doncaster","Coral Champagne Stakes (Group 2)","7f ","7","Group 2","Soft","79458","3","Straight","2","Indestructible (IRE)","2","Egan, David","0","OCallaghan, M D","2","107","128","6.50","512","25",,"Kodiac","Shareva (IRE)","Colt",,"0","Flat","Non-Handicap",
"2022-09-11","12:30:00","Doncaster","Coral Champagne Stakes (Group 2)","7f ","7","Group 2","Soft","79458","3","Straight","3","Silver Knott","2","Buick, William","0","Appleby, Charlie","3","109","128","0.67","411","22",,"Lope De Vega (IRE)","God Given","Colt","D","0","Flat","Non-Handicap",
"2022-09-11","13:00:00","Doncaster","Cazoo Handicap","6.5f ","6.5","Class 2","Soft","27000","13","Straight","1","Shine So Bright","6",,"0","Balding, A M","13","106","136","0.00","4444011","120","Hood","Oasis Dream","Alla Speranza","Horse",,"0","Flat","Handicap",
"2022-09-11","13:00:00","Doncaster","Cazoo Handicap","6.5f ","6.5","Class 2","Soft","27000","13","Straight","2","Asjad","4","McDonald, P J","0","Horton, James","8","101","131","10.00","2010100","50",,"Iffraaj","Riskit Fora Biskit (IRE)","Gelding","C","0","Flat","Handicap",
"2022-09-11","13:00:00","Doncaster","Cazoo Handicap","6.5f ","6.5","Class 2","Soft","27000","13","Straight","3","Fools Rush In (IRE)","4","Davies, Harry","3","Palmer, Hugo","5","98","128","12.00","8450219","22","CkPc TT","Mehmas (IRE)","Faddwa (IRE)","Gelding",,"0","Flat","Handicap",
"2022-09-11","13:00:00","Doncaster","Cazoo Handicap","6.5f ","6.5","Class 2","Soft","27000","13","Straight","4","Lord Of The Lodge (IRE)","5","Feilden, Sam","7","Burke, K R","2","97","127","50.00","2124500","22",,"Dandy Man (IRE)","Archetypal (IRE)","Horse",,"0","Flat","Handicap",
"2022-09-11","13:00:00","Doncaster","Cazoo Handicap","6.5f ","6.5","Class 2","Soft","27000","13","Straight","5","Mums Tipple (IRE)","5","Levey, S M","0","Hannon (Jnr), Richard","1","97","127","6.00","'0034102","8",,"Footstepsinthesand","Colomone Cross (IRE)","Gelding",,"0","Flat","Handicap",
"2022-09-11","13:00:00","Doncaster","Cazoo Handicap","6.5f ","6.5","Class 2","Soft","27000","13","Straight","6","Bellosa (IRE)","4","Doyle, Hollie","0","Chapple-Hyam, Jane","11","96","126","16.00","1102878","15"," TT","Awtaad (IRE)","Poole Belle (IRE)","Filly",,"0","Flat","Handicap",
"2022-09-11","13:00:00","Doncaster","Cazoo Handicap","6.5f ","6.5","Class 2","Soft","27000","13","Straight","7","Tanmawwy (IRE)","4","Crowley, Jim","0","Hills, Charles","10","96","126","4.00","6110931","16","Hood","Invincible Spirit (IRE)","Rufoof","Gelding","C","0","Flat","Handicap",
"2022-09-11","13:00:00","Doncaster","Cazoo Handicap","6.5f ","6.5","Class 2","Soft","27000","13","Straight","8","Lion Tower (IRE)","5","James, S H","0","Tuer, Grant","6","95","125","22.00","3210910","24",,"Exceed And Excel (AUS)","Memorial (AUS)","Gelding",,"0","Flat","Handicap",
"2022-09-11","13:00:00","Doncaster","Cazoo Handicap","6.5f ","6.5","Class 2","Soft","27000","13","Straight","9","Raatea","5","Lee, G","0","Camacho, Miss J A","9","93","123","12.00","2037010","43","Hood","Invincible Spirit (IRE)","Darajaat (USA)","Gelding",,"0","Flat","Handicap",
"2022-09-11","13:00:00","Doncaster","Cazoo Handicap","6.5f ","6.5","Class 2","Soft","27000","13","Straight","10","Able Kane","5","Buick, William","0","Millman, B R","14","92","122","6.00","'0216034","15",,"Due Diligence (USA)","Sugar Beet","Gelding","CD","0","Flat","Handicap",
"2022-09-11","13:00:00","Doncaster","Cazoo Handicap","6.5f ","6.5","Class 2","Soft","27000","13","Straight","11","Juan Les Pins","5","Larson, Frederick","5","Appleby, M","12","92","122","6.00","7451111","38",,"Invincible Spirit (IRE)","Miss Cap Ferrat","Gelding","C","0","Flat","Handicap",
"2022-09-11","13:00:00","Doncaster","Cazoo Handicap","6.5f ","6.5","Class 2","Soft","27000","13","Straight","12","Hyperfocus (IRE)","8","Allan, David","0","Easterby, T D","7","91","121","12.00","2832144","41","CkPc","Intense Focus (USA)","Jouel (FR)","Gelding",,"0","Flat","Handicap",
"2022-09-11","13:00:00","Doncaster","Cazoo Handicap","6.5f ","6.5","Class 2","Soft","27000","13","Straight","13","Zargun (GER)","7","Hardie, Cameron","0","Dixon, Scott","3","89","119","28.00","6267770","43",,"Rock Of Gibraltar (IRE)","Zenaat","Gelding",,"0","Flat","Handicap",
"2022-09-11","13:00:00","Doncaster","Cazoo Handicap","6.5f ","6.5","Class 2","Soft","27000","13","Straight","14","Mitrosonfire","4","Turner, Hayley","0","Muir, W R & Grassick, C","4","88","118","16.00","8143619","17",,"Lethal Force (IRE)","Blaugrana (IRE)","Gelding",,"0","Flat","Handicap",
"2022-09-11","13:15:00","Curragh","Irish Stallion Farms EBF Bold Lad Sprint Handicap (Premier Handicap)","6f ","6",,"Yielding","79646","20","Straight","1","Power Under Me (IRE)","4","Keane, C T","0","Lyons, G M","4","110","145","7.50","3261163","78",,"Mehmas (IRE)","Oonagh (IRE)","Gelding","CD","0","Flat","Handicap",
"2022-09-11","13:15:00","Curragh","Irish Stallion Farms EBF Bold Lad Sprint Handicap (Premier Handicap)","6f ","6",,"Yielding","79646","20","Straight","2","Mr Wagyu (IRE)","7","Hart, Jason","0","Quinn, J J","8","103","138","8.50","'0014105","22","Vsor","Choisir (AUS)","Lake Louise (IRE)","Gelding","C D","0","Flat","Handicap",
"2022-09-11","13:15:00","Curragh","Irish Stallion Farms EBF Bold Lad Sprint Handicap (Premier Handicap)","6f ","6",,"Yielding","79646","20","Straight","3","Big Gossey (IRE)","5","Sheehy, Danny","3","OBrien, Charles","16","97","132","6.50","'0352221","36",,"Gutaifan (IRE)","Toy Show (IRE)","Gelding","CD","0","Flat","Handicap",
"2022-09-11","13:15:00","Curragh","Irish Stallion Farms EBF Bold Lad Sprint Handicap (Premier Handicap)","6f ","6",,"Yielding","79646","20","Straight","4","Gulliver","8","Watson, Jason","0","OMeara, D","13","95","130","8.00","4003007","22","CkPc TT","Sayif (IRE)","Sweet Coincidence","Gelding","D","0","Flat","Handicap",
"2022-09-11","13:15:00","Curragh","Irish Stallion Farms EBF Bold Lad Sprint Handicap (Premier Handicap)","6f ","6",,"Yielding","79646","20","Straight","5","Warrior Brave","4","Coen, Ben M","0","OSullivan, Ross","11","94","129","66.00","'0430944","15","CkPc","Twilight Son","Gladiatrix","Gelding","D","0","Flat","Handicap",
"2022-09-11","13:15:00","Curragh","Irish Stallion Farms EBF Bold Lad Sprint Handicap (Premier Handicap)","6f ","6",,"Yielding","79646","20","Straight","6","Verhoyen","7",,"0","Grassick, M C","21","92","127","0.00","1604472","27","Blnk","Piccolo","Memory Lane","Gelding","CD","0","Flat","Handicap",
"2022-09-11","13:15:00","Curragh","Irish Stallion Farms EBF Bold Lad Sprint Handicap (Premier Handicap)","6f ","6",,"Yielding","79646","20","Straight","7","Exquisite Acclaim (IRE)","3","McMonagle, Dylan B","0","McGuinness, Adrian","15","93","126","66.00","4142455","16","Vsor","Acclamation","Exquisite Ruby","Gelding","D","0","Flat","Handicap",
"2022-09-11","13:15:00","Curragh","Irish Stallion Farms EBF Bold Lad Sprint Handicap (Premier Handicap)","6f ","6",,"Yielding","79646","20","Straight","8","Thunder Eclipse (IRE)","3","Spencer, Jamie","0","Stack, J A","17","93","126","20.00","8128528","102","CkPc","Holy Roman Emperor (IRE)","Emirate Jewel (USA)","Colt","D","0","Flat","Handicap",
"2022-09-11","13:15:00","Curragh","Irish Stallion Farms EBF Bold Lad Sprint Handicap (Premier Handicap)","6f ","6",,"Yielding","79646","20","Straight","9","Gordon Bennett (IRE)","4","Carroll, G F","0","Brabazon, Richard","19","89","124","4.00","4052811","36",,"Prince Of Lir (IRE)","Laureldean Lady (IRE)","Gelding","CD","0","Flat","Handicap",
"2022-09-11","13:15:00","Curragh","Irish Stallion Farms EBF Bold Lad Sprint Handicap (Premier Handicap)","6f ","6",,"Yielding","79646","20","Straight","10","Laugh A Minute","7","Whelan, R P","0","McGuinness, Adrian","14","89","124","12.00","8008003","42",,"Mayson","Funny Enough","Gelding","C D","0","Flat","Handicap",
"2022-09-11","13:15:00","Curragh","Irish Stallion Farms EBF Bold Lad Sprint Handicap (Premier Handicap)","6f ","6",,"Yielding","79646","20","Straight","11","Majestic Colt (IRE)","7","Sheridan, J M","3","Hogan, Denis Gerard","10","88","123","20.00","5756465","29","Blnk","Clodovil (IRE)","Majestic Dubawi","Colt",,"0","Flat","Handicap",
"2022-09-11","13:15:00","Curragh","Irish Stallion Farms EBF Bold Lad Sprint Handicap (Premier Handicap)","6f ","6",,"Yielding","79646","20","Straight","12","Yermanthere (IRE)","4","Ryan, Gavin","0","Foley, Patrick T","6","88","123","18.00","1502693","15",,"Fast Company (IRE)","Fast Jazz (IRE)","Gelding",,"0","Flat","Handicap",
"2022-09-11","13:15:00","Curragh","Irish Stallion Farms EBF Bold Lad Sprint Handicap (Premier Handicap)","6f ","6",,"Yielding","79646","20","Straight","13","Ice Cold In Alex (IRE)","8",,"0","Condon, K J","5","87","122","0.00","7367551","15"," TT","Olden Times","Telesina (ITY)","Gelding","CD","0","Flat","Handicap",
"2022-09-11","13:15:00","Curragh","Irish Stallion Farms EBF Bold Lad Sprint Handicap (Premier Handicap)","6f ","6",,"Yielding","79646","20","Straight","14","Downforce (IRE)","10","Crosse, Nathan","3","McCreery, W","20","85","120","33.00","'0090908","29","Blnk","Fast Company (IRE)","Spinning Ruby","Gelding","CD","0","Flat","Handicap",
"2022-09-11","13:15:00","Curragh","Irish Stallion Farms EBF Bold Lad Sprint Handicap (Premier Handicap)","6f ","6",,"Yielding","79646","20","Straight","15","Goodnight Girl (IRE)","7","Sheehy, M P","0","Lynam, S","18","84","119","40.00","7149568","21","Vsor","Clodovil (IRE)","Leenavesta (USA)","Mare","CD","0","Flat","Handicap",
"2022-09-11","13:15:00","Curragh","Irish Stallion Farms EBF Bold Lad Sprint Handicap (Premier Handicap)","6f ","6",,"Yielding","79646","20","Straight","16","True Mason","6","Shaw, Harrison","0","Carroll, D","2","84","119","18.00","9417117","17"," TT","Mayson","Marysienka","Gelding","D","0","Flat","Handicap",
"2022-09-11","13:15:00","Curragh","Irish Stallion Farms EBF Bold Lad Sprint Handicap (Premier Handicap)","6f ","6",,"Yielding","79646","20","Straight","17","Dairerin","3","Foley, Shane","0","Harrington, Mrs John","1","86","119","28.00","8413154","10","Vsor","Spill The Beans (AUS)","Sakhya (IRE)","Gelding","D","0","Flat","Handicap",
"2022-09-11","13:15:00","Curragh","Irish Stallion Farms EBF Bold Lad Sprint Handicap (Premier Handicap)","6f ","6",,"Yielding","79646","20","Straight","18","Dexter Belle (IRE)","4","Doyle, Hollie","0","Lynam, Edward","9","84","119","50.00","713068","78",,"Ajaya","Thousandfold (USA)","Filly","D","0","Flat","Handicap",
"2022-09-11","13:15:00","Curragh","Irish Stallion Farms EBF Bold Lad Sprint Handicap (Premier Handicap)","6f ","6",,"Yielding","79646","20","Straight","19","Coumshingaun (IRE)","3","Lordan, W M","0","Coleman, Kevin","12","86","119","18.00","4063110","57",,"Fastnet Rock (AUS)","Coumlara (IRE)","Filly","CD","0","Flat","Handicap",
"2022-09-11","13:15:00","Curragh","Irish Stallion Farms EBF Bold Lad Sprint Handicap (Premier Handicap)","6f ","6",,"Yielding","79646","20","Straight","20","No More Porter (IRE)","4","Powell, J A","7","Feane, John James","7","84","119","7.00","6324307","15",,"Elzaam (AUS)","Zaziyra (IRE)","Gelding","C","0","Flat","Handicap",
"2022-09-11","13:15:00","Curragh","Irish Stallion Farms EBF Bold Lad Sprint Handicap (Premier Handicap)","6f ","6",,"Yielding","79646","20","Straight","21","Rough Diamond (IRE)","5","Hayes, C D","0","Lynam, Edward","3","84","119","9.00","4721793","27",,"Starspangledbanner (AUS)","Good To Follow (IRE)","Gelding","CD","0","Flat","Handicap",
"2022-09-11","13:15:00","Curragh","Irish Stallion Farms EBF Bold Lad Sprint Handicap (Premier Handicap)","6f ","6",,"Yielding","79646","20","Straight","22","Secret Magician (IRE)","3","Cleary, R P","0","Hassett, Martin","22","86","119","28.00","2667341","22",,"Magician (IRE)","Secret Shine (IRE)","Gelding","CD","0","Flat","Handicap",
"2022-09-11","13:25:00","Chepstow","Download The Vickers.Bet App Apprentice Handicap","5f ","5","Class 6","Soft","3726","5","Straight","1","Autumn Angel (IRE)","3","Phillips, Mollie","3","Carroll, A W","4","61","135","10.00","54660","321",,"Dark Angel (IRE)","Elshabakiya (IRE)","Filly",,"0","Flat","Handicap",
"2022-09-11","13:25:00","Chepstow","Download The Vickers.Bet App Apprentice Handicap","5f ","5","Class 6","Soft","3726","5","Straight","2","Coronation Cottage","8","Hutchinson, Callum","3","Saunders, M S","2","55","130","3.50","2723467","12",,"Pastoral Pursuits","Avrilo","Mare","CD","0","Flat","Handicap",
"2022-09-11","13:25:00","Chepstow","Download The Vickers.Bet App Apprentice Handicap","5f ","5","Class 6","Soft","3726","5","Straight","3","Nacho (IRE)","4","Russell, Harry","0","McCain Jnr, D","5","52","127","2.75","5514042","30","CkPc TT","Camacho","Equinette (IRE)","Gelding","D","0","Flat","Handicap",
"2022-09-11","13:25:00","Chepstow","Download The Vickers.Bet App Apprentice Handicap","5f ","5","Class 6","Soft","3726","5","Straight","4","Fossos (IRE)","4","Fisher, Taylor","7","Faulkner, Ms D C","1","50","125","1.25","'0882133","3","Blnk TT","Dandy Man (IRE)","Beguiler","Gelding","CD","0","Flat","Handicap",
