Date,RaceTime,Track,RaceName,Distance,Dist_Furlongs,Class,Going,PrizeMoney,Runners,Direction,CardNo,Horse,HorseAge,Jockey,JClaim,Trainer,Stall,OfficialRating,Weight_Pounds,Odds,Form,Days,Headgear,Stallion,Dam,HorseType,CD,numfences,
"2022-06-19","13:30:00","Worcester","Neu-Servo Servo Motor Repair Handicap Chase","2m7.5f ","23.5","Class 5","Good To Soft","3513","6","Left Handed","1","Dalkingstown","8","Bowen, Sean P","0","Bowen, P","0","105","168","2.50","'F136622","34","CkPc TT","Malinas (GER)","True Rose (IRE)","Gelding","C","16",
"2022-06-19","13:30:00","Worcester","Neu-Servo Servo Motor Repair Handicap Chase","2m7.5f ","23.5","Class 5","Good To Soft","3513","6","Left Handed","2","Townshend (GER)","11","Neild, Jamie","7","Twiston-Davies, N A","0","105","168","12.00","76U56P5","31"," TT","Lord Of England (GER)","Trikolore (GER)","Gelding",,"16",
"2022-06-19","13:30:00","Worcester","Neu-Servo Servo Motor Repair Handicap Chase","2m7.5f ","23.5","Class 5","Good To Soft","3513","6","Left Handed","3","Frankie Rapper (IRE)","10","Martin, James","7","Martin, Andrew J","0","105","168","22.00","'016226P","23",,"Milan","Parkdota (IRE)","Gelding","C","16",
"2022-06-19","13:30:00","Worcester","Neu-Servo Servo Motor Repair Handicap Chase","2m7.5f ","23.5","Class 5","Good To Soft","3513","6","Left Handed","4","Port Oclock (IRE)","7","Scudamore, Tom","0","Pipe, D E","0","100","163","2.25","7661","66","CkPc TT","Sans Frontieres (IRE)","Rever Up (IRE)","Gelding",,"16",
"2022-06-19","13:30:00","Worcester","Neu-Servo Servo Motor Repair Handicap Chase","2m7.5f ","23.5","Class 5","Good To Soft","3513","6","Left Handed","5","Trumps Benefit (IRE)","9","Poste, Ben J","0","Potter, R D","0","91","154","2.75","5323445","28","Blnk TT","Beneficial","Balla Brack (IRE)","Gelding","C","16",
"2022-06-19","13:30:00","Worcester","Neu-Servo Servo Motor Repair Handicap Chase","2m7.5f ","23.5","Class 5","Good To Soft","3513","6","Left Handed","6","Regaby (IRE)","7","Twiston-Davies, Sam","0","Williams, Ian","0","90","153","5.00","'P621183","32","CkPc TT","Stowaway","Anjum (USA)","Gelding",,"16",
"2022-06-19","13:45:00","Hexham","First-Class Catering From Falcons Events Novices Chase (GBB Race)","1m7.5f ","15.5","Class 3","Good","7189","2","Left Handed","1","Nero Rock (IRE)","7","Quinlan, Sean","0","Candlish, Jennie","0","135","166","0.83","222U112","8","CkPc","Shirocco (GER)","Gilt Benefit (IRE)","Gelding",,"12",
"2022-06-19","13:45:00","Hexham","First-Class Catering From Falcons Events Novices Chase (GBB Race)","1m7.5f ","15.5","Class 3","Good","7189","2","Left Handed","2","Floating Rock (GER)","7","Midgley, Tom","5","Walford, Mark","0","122","162","0.83","2437213","14","CkPc TT","Its Gino (GER)","Fly Osoria (GER)","Gelding",,"12",
"2022-06-19","14:00:00","Worcester","Neu-Servo Electronic Repair Handicap Chase","2m4.5f ","20.5","Class 4","Good To Soft","5010","7","Left Handed","1","Al Roc (FR)","11","Armson, Philip","5","Pipe, D E","0","127","170","4.50","8321181","10","CkPc TT","Great Pretender (IRE)","Al Cov (FR)","Gelding",,"13",
"2022-06-19","14:00:00","Worcester","Neu-Servo Electronic Repair Handicap Chase","2m4.5f ","20.5","Class 4","Good To Soft","5010","7","Left Handed","2","Ornua (IRE)","11","Worsley, Tabitha","3","Howell, Ms G","0","122","165","28.00","1389935","28","CkPc TT","Mahler","Merry Heart (IRE)","Gelding",,"13",
"2022-06-19","14:00:00","Worcester","Neu-Servo Electronic Repair Handicap Chase","2m4.5f ","20.5","Class 4","Good To Soft","5010","7","Left Handed","3","Ashoka (IRE)","10","Skelton, Harry","0","Skelton, Daniel","0","120","163","3.50","9871113","21"," TT","Azamour (IRE)","Jinskys Gift (IRE)","Gelding",,"13",
"2022-06-19","14:00:00","Worcester","Neu-Servo Electronic Repair Handicap Chase","2m4.5f ","20.5","Class 4","Good To Soft","5010","7","Left Handed","4","Due Reward (IRE)","9","Obrien, P V","0","Longsdon, C E","0","120","163","11.00","4092904","29","CkPc TT","Westerner","Long Acre","Gelding",,"13",
"2022-06-19","14:00:00","Worcester","Neu-Servo Electronic Repair Handicap Chase","2m4.5f ","20.5","Class 4","Good To Soft","5010","7","Left Handed","5","Templehills (IRE)","11","Bellamy, Tom","0","Twiston-Davies, N A","0","119","162","20.00","'F7518FP","29"," TT","Kalanisi (IRE)","Sissinghurst Storm (IRE)","Gelding","D","13",
"2022-06-19","14:00:00","Worcester","Neu-Servo Electronic Repair Handicap Chase","2m4.5f ","20.5","Class 4","Good To Soft","5010","7","Left Handed","6","La Domaniale (FR)","6","ONeill, Jonjo (Jr)","0","ONeill, Jonjo","0","117","160","2.00","3546431","17",,"No Risk At All (FR)","La Pinede","Mare",,"13",
"2022-06-19","14:00:00","Worcester","Neu-Servo Electronic Repair Handicap Chase","2m4.5f ","20.5","Class 4","Good To Soft","5010","7","Left Handed","7","Planned Paradise (IRE)","6","Twiston-Davies, Sam","0","Mulholland, N P","0","113","156","3.00","6612424","27",,"Westerner","Quel Bleu (IRE)","Gelding",,"13",
"2022-06-19","14:15:00","Hexham","Channie & Jane The Perfect Hosts Conditional Jockeys Handicap Hurdle","2m ","16","Class 5","Good","3758","8","Left Handed","1","Lady Babs","8",,"0","Crook, A","0","95","168","0.00","9014122","31","CkPc","Malinas (GER)","JontysLass","Mare",,"8",
"2022-06-19","14:15:00","Hexham","Channie & Jane The Perfect Hosts Conditional Jockeys Handicap Hurdle","2m ","16","Class 5","Good","3758","8","Left Handed","2","Archive (FR)","12","Smith-Chaston, Emma","0","France, Suzzanne","0","89","162","9.00","4976974","8",,"Sulamani (IRE)","Royale Dorothy (FR)","Gelding","D","8",
"2022-06-19","14:15:00","Hexham","Channie & Jane The Perfect Hosts Conditional Jockeys Handicap Hurdle","2m ","16","Class 5","Good","3758","8","Left Handed","3","Major Snugfit","6","Coleman, Peter","10","Menzies, Rebecca","0","89","162","2.00","2589352","8","Vsor TT","Ruler Of The World (IRE)","Bridle Belle","Gelding","D","8",
"2022-06-19","14:15:00","Hexham","Channie & Jane The Perfect Hosts Conditional Jockeys Handicap Hurdle","2m ","16","Class 5","Good","3758","8","Left Handed","4","Jack Yeats (IRE)","6","Gillard, Mr T","0","Coltherd, W S","0","88","161","2.75","6664472","15","CkPc","Galileo (IRE)","Fire Lily (IRE)","Gelding",,"8",
"2022-06-19","14:15:00","Hexham","Channie & Jane The Perfect Hosts Conditional Jockeys Handicap Hurdle","2m ","16","Class 5","Good","3758","8","Left Handed","5","Strike Of Lighting (IRE)","6","Bewley, Jonathon","0","Bewley, G T","0","87","160","11.00","3P546PU","33","Hood","Jet Away","Will She Smile (IRE)","Gelding",,"8",
"2022-06-19","14:15:00","Hexham","Channie & Jane The Perfect Hosts Conditional Jockeys Handicap Hurdle","2m ","16","Class 5","Good","3758","8","Left Handed","6","Across The Channel (FR)","7","Quinn, Caoilin","3","Smith, Paula","0","86","159","18.00","6574375","15",,"Dunkerque (FR)","Aulne River (FR)","Gelding",,"8",
