Date,RaceTime,Track,RaceName,Distance,Dist_Furlongs,Class,Going,PrizeMoney,Runners,Direction,CardNo,Horse,HorseAge,Jockey,JClaim,Trainer,Stall,OfficialRating,Weight_Pounds,Odds,Form,Days,Headgear,Stallion,Dam,HorseType,CD,numfences,RaceCode,RaceType,
"2023-03-04","13:00:00","Doncaster","Virgin Bet Best Odds Daily Novices Hurdle (GBB Race)","2m3.5f ","19.5","Class 4","Good","5446","4","Left Handed","1","Champagne Town","6","Hughes, Brian","0","Frost, Kevin","0","0","154","3.50","33","331",,"Kayf Tara","Kind Heart","Gelding",,"10","National Hunt","Novices Hurdle",
"2023-03-04","13:00:00","Doncaster","Virgin Bet Best Odds Daily Novices Hurdle (GBB Race)","2m3.5f ","19.5","Class 4","Good","5446","4","Left Handed","2","Gentle Frank","7","Edwards, Lee","0","Oliver, Henry","0","114","154","1.50","453","36",,"Gentlewave (IRE)","Himitas (FR)","Gelding",,"10","National Hunt","Novices Hurdle",
"2023-03-04","13:00:00","Doncaster","Virgin Bet Best Odds Daily Novices Hurdle (GBB Race)","2m3.5f ","19.5","Class 4","Good","5446","4","Left Handed","3","Park Hill Dancer (FR)","6","Dunne, R T","0","Henderson, N J","0","0","154","1.38","125","21",,"Waldpark (GER)","Sweni Hill (IRE)","Gelding",,"10","National Hunt","Novices Hurdle",
"2023-03-04","13:00:00","Doncaster","Virgin Bet Best Odds Daily Novices Hurdle (GBB Race)","2m3.5f ","19.5","Class 4","Good","5446","4","Left Handed","4","Saved By The River (IRE)","6","Sansom, Daniel","3","Mullins, J W","0","93","154","22.00","705909U","32",,"Hallowed Crown (AUS)","Mataji (IRE)","Gelding",,"10","National Hunt","Novices Hurdle",
"2023-03-04","13:15:00","Kelso","bet365 Cyril Alexander Memorial Novices Limited Handicap Chase (GBB Race)","2m5.5f ","21.5","Class 3","Good To Soft","10562","7","Left Handed","1","Sholokjack (IRE)","7","Skelton, Harry","0","Skelton, Daniel","0","136","165","1.63","116F1","32",,"Sholokhov (IRE)","Another Pet (IRE)","Gelding",,"16","National Hunt","Handicap Novices Chase",
"2023-03-04","13:15:00","Kelso","bet365 Cyril Alexander Memorial Novices Limited Handicap Chase (GBB Race)","2m5.5f ","21.5","Class 3","Good To Soft","10562","7","Left Handed","2","Miah Grace","8","Brooke, Henry","0","OKeeffe, Jedd","0","134","163","14.00","2336214","22",,"Malinas (GER)","Silver Gypsy (IRE)","Mare",,"16","National Hunt","Handicap Novices Chase",
"2023-03-04","13:15:00","Kelso","bet365 Cyril Alexander Memorial Novices Limited Handicap Chase (GBB Race)","2m5.5f ","21.5","Class 3","Good To Soft","10562","7","Left Handed","3","Castle Rushen (IRE)","8","Quinlan, Sean","0","Richards, N G","0","130","159","6.00","1232U2U","32",,"Fame And Glory","Rosie Suspect (IRE)","Gelding",,"16","National Hunt","Handicap Novices Chase",
"2023-03-04","13:15:00","Kelso","bet365 Cyril Alexander Memorial Novices Limited Handicap Chase (GBB Race)","2m5.5f ","21.5","Class 3","Good To Soft","10562","7","Left Handed","4","Bill Baxter (IRE)","7","Bowen, Sean P","0","Greatrex, W J","0","128","157","3.50","524811F","33",,"Milan","Blossom Rose (IRE)","Gelding","C","16","National Hunt","Handicap Novices Chase",
"2023-03-04","13:15:00","Kelso","bet365 Cyril Alexander Memorial Novices Limited Handicap Chase (GBB Race)","2m5.5f ","21.5","Class 3","Good To Soft","10562","7","Left Handed","5","Gaillimh A Stor (IRE)","7","McMenamin, Daniel","0","Alexander, N W","0","122","151","7.50","5122F3","31",,"Presenting","Gaillimh A Chroi (IRE)","Gelding",,"16","National Hunt","Handicap Novices Chase",
"2023-03-04","13:15:00","Kelso","bet365 Cyril Alexander Memorial Novices Limited Handicap Chase (GBB Race)","2m5.5f ","21.5","Class 3","Good To Soft","10562","7","Left Handed","6","Half Shot (IRE)","9","Sheehan, Gavin","0","Jardine, I","0","117","146","10.00","3141132","28",,"Yeats (IRE)","Dochas Supreme (IRE)","Gelding",,"16","National Hunt","Handicap Novices Chase",
