Date,RaceTime,Track,RaceName,Distance,Dist_Furlongs,Class,Going,PrizeMoney,Runners,Direction,CardNo,Horse,HorseAge,Jockey,JClaim,Trainer,Stall,OfficialRating,Weight_Pounds,Odds,Form,Days,Headgear,Stallion,Dam,HorseType,CD,numfences,
"2022-07-28","13:00:00","Nottingham","EBF Restricted Maiden Fillies Stakes (GBB Race)","5f ","5","Class 4","Good","3780","9","Straight","1","Dandy Alys (IRE)","2","Hornby, Rob","0","Beckett, R M","7","0","128","0.83","82","37",,"Dandy Man (IRE)","Alyssum (IRE)","Filly",,"0",
"2022-07-28","13:00:00","Nottingham","EBF Restricted Maiden Fillies Stakes (GBB Race)","5f ","5","Class 4","Good","3780","9","Straight","2","Gracious Grace (IRE)","2","Egan, John","0","Loughnane, Daniel Mark","8","0","128","33.00","'0","27",,"Kodi Bear (IRE)","Lyca Ballerina","Filly",,"0",
"2022-07-28","13:00:00","Nottingham","EBF Restricted Maiden Fillies Stakes (GBB Race)","5f ","5","Class 4","Good","3780","9","Straight","3","Profitable Dawn (IRE)","2","Fallon, Cieren","0","Spiller, Henry","6","0","128","28.00","4","15",,"Profitable (IRE)","Light At Dawn (IRE)","Filly",,"0",
"2022-07-28","13:00:00","Nottingham","EBF Restricted Maiden Fillies Stakes (GBB Race)","5f ","5","Class 4","Good","3780","9","Straight","4","Ange De Lamour","2","McDonald, P J","0","Brisland, Robyn","5","0","126","22.00","57","108",,"Harry Angel (IRE)","Ocelot","Filly",,"0",
"2022-07-28","13:00:00","Nottingham","EBF Restricted Maiden Fillies Stakes (GBB Race)","5f ","5","Class 4","Good","3780","9","Straight","5","Desert Illusion (IRE)","2","Rodriguez, Callum","0","Mohammed, Ismail","9","69","126","6.50","849","12",,"Ribchester (IRE)","Natalisa (IRE)","Filly",,"0",
"2022-07-28","13:00:00","Nottingham","EBF Restricted Maiden Fillies Stakes (GBB Race)","5f ","5","Class 4","Good","3780","9","Straight","6","Impeachment","2","Morris, Luke","0","Ferguson, James","4","0","126","6.00","33","36",,"Showcasing","Lawless Secret","Filly",,"0",
"2022-07-28","13:00:00","Nottingham","EBF Restricted Maiden Fillies Stakes (GBB Race)","5f ","5","Class 4","Good","3780","9","Straight","7","Jazzagal (IRE)","2","Fentiman, Duran","0","Easterby, T D","1","0","126","40.00","66","16",,"James Garfield (IRE)","Can Dance","Filly",,"0",
"2022-07-28","13:00:00","Nottingham","EBF Restricted Maiden Fillies Stakes (GBB Race)","5f ","5","Class 4","Good","3780","9","Straight","8","Three Beauz","2","James, S H","0","Feilden, Miss J","3","0","126","4.00","2","22",,"Brazen Beau (AUS)","Three Gracez","Filly",,"0",
"2022-07-28","13:00:00","Nottingham","EBF Restricted Maiden Fillies Stakes (GBB Race)","5f ","5","Class 4","Good","3780","9","Straight","9","Heidi Of Arendelle","2","Hardie, Cameron","0","Shaw, D","2","0","124","200.00","88","26","Hood","Outstrip","Princess Heidi (IRE)","Filly",,"0",
"2022-07-28","13:25:00","Stratford","National Racehorse Week 10th - 18th September Novices Hurdle (GBB Race)","2m3f ","19","Class 4","Good","4357","6","Left Handed","1","Give Me A Moment (IRE)","7","Bannister, Harry A A","0","Bandey, R J","0","125","163","0.50","1511121","29",,"Mountain High (IRE)","Maryann (IRE)","Gelding","C D","9",
