Date,RaceTime,Track,RaceName,Distance,Dist_Furlongs,Class,Going,PrizeMoney,Runners,Direction,CardNo,Horse,HorseAge,Jockey,JClaim,Trainer,Stall,OfficialRating,Weight_Pounds,Odds,Form,Days,Headgear,Stallion,Dam,HorseType,CD,numfences,RaceCode,RaceType,
"2022-11-07","12:50:00","Kempton","Watch RacingTV Free For 31 Days Novices Hurdle (GBB Race)","2m ","16","Class 4","Good To Soft","4357","7","Right Handed","1","Alien Storm (IRE)","4","Obrien, P V","0","Longsdon, C E","0","0","161","3.00","5321","21",,"Getaway (GER)","Missusan (IRE)","Gelding","D","8","National Hunt","Novices Hurdle",
"2022-11-07","12:50:00","Kempton","Watch RacingTV Free For 31 Days Novices Hurdle (GBB Race)","2m ","16","Class 4","Good To Soft","4357","7","Right Handed","2","Attacca (IRE)","4","Boinville, Nico","0","Henderson, N J","0","0","154","1.50","2","221",,"Mahler","Listening (IRE)","Gelding",,"8","National Hunt","Novices Hurdle",
"2022-11-07","12:50:00","Kempton","Watch RacingTV Free For 31 Days Novices Hurdle (GBB Race)","2m ","16","Class 4","Good To Soft","4357","7","Right Handed","3","Celtic Art (FR)","5","Dingle, Rex","0","Scott, J","0","0","154","11.00","1313690","35",,"Mastercraftsman (IRE)","Irish Song (FR)","Gelding",,"8","National Hunt","Novices Hurdle",
"2022-11-07","12:50:00","Kempton","Watch RacingTV Free For 31 Days Novices Hurdle (GBB Race)","2m ","16","Class 4","Good To Soft","4357","7","Right Handed","4","Invictus De Brion (FR)","4","Cannon, Tom J","0","Gordon, C","0","0","154","2.75","21","50",,"Vespone (IRE)","Assemblee A Brion (FR)","Gelding",,"8","National Hunt","Novices Hurdle",
"2022-11-07","12:50:00","Kempton","Watch RacingTV Free For 31 Days Novices Hurdle (GBB Race)","2m ","16","Class 4","Good To Soft","4357","7","Right Handed","5","Iskar Dairy (FR)","4","Moore, Jamie","0","Moore, G L","0","0","154","33.00","7349","12",,"Sinndar (IRE)","Canzka Dairy (FR)","Gelding",,"8","National Hunt","Novices Hurdle",
"2022-11-07","12:50:00","Kempton","Watch RacingTV Free For 31 Days Novices Hurdle (GBB Race)","2m ","16","Class 4","Good To Soft","4357","7","Right Handed","6","Tellmesomethingood (IRE)","4","Powell, Brendan","0","Tizzard, Joe","0","0","154","11.00","none",,,"Walk In The Park (IRE)","Norabelle (FR)","Gelding",,"8","National Hunt","Novices Hurdle",
"2022-11-07","12:50:00","Kempton","Watch RacingTV Free For 31 Days Novices Hurdle (GBB Race)","2m ","16","Class 4","Good To Soft","4357","7","Right Handed","7","Tenfold (IRE)","5","Hargreaves, Mr Rob","10","Moore, G L","0","0","154","50.00","52395P0","16",,"Born To Sea (IRE)","Dear Dream (IRE)","Gelding",,"8","National Hunt","Novices Hurdle",
"2022-11-07","13:10:00","Carlisle","Try RacingTV For Free At racingtv.com/freetrial Maiden Hurdle (GBB Race)","2m1f ","17","Class 4","Soft","4629","10","Right Handed","1","Attention All (IRE)","4","Moscrop, Nathan","0","Menzies, Rebecca","0","0","158","16.00","3","181",,"Westerner","Moon Light Shadow","Gelding",,"8","National Hunt","Maiden Hurdle",
"2022-11-07","13:10:00","Carlisle","Try RacingTV For Free At racingtv.com/freetrial Maiden Hurdle (GBB Race)","2m1f ","17","Class 4","Soft","4629","10","Right Handed","2","Basford (IRE)","5","Quinlan, Sean","0","Candlish, Jennie","0","0","158","2.25","13704","13",,"Soldier Of Fortune (IRE)","Be My Present","Gelding","C","8","National Hunt","Maiden Hurdle",
"2022-11-07","13:10:00","Carlisle","Try RacingTV For Free At racingtv.com/freetrial Maiden Hurdle (GBB Race)","2m1f ","17","Class 4","Soft","4629","10","Right Handed","3","Commander Of Ten (IRE)","5","Morgan, Luca","3","Scudamore, M J","0","0","158","1.63","643","17",,"Doyen (IRE)","Some Sport (IRE)","Gelding",,"8","National Hunt","Maiden Hurdle",
"2022-11-07","13:10:00","Carlisle","Try RacingTV For Free At racingtv.com/freetrial Maiden Hurdle (GBB Race)","2m1f ","17","Class 4","Soft","4629","10","Right Handed","4","Kaylens Mischief","9","Bellamy, Tom","0","Jeffreys, D J","0","0","158","33.00","713181P","298",,"Doyen (IRE)","Pusey Street Girl","Gelding",,"8","National Hunt","Maiden Hurdle",
"2022-11-07","13:10:00","Carlisle","Try RacingTV For Free At racingtv.com/freetrial Maiden Hurdle (GBB Race)","2m1f ","17","Class 4","Soft","4629","10","Right Handed","5","Leading Force (IRE)","5","Mania, Ryan","0","Thomson, A M","0","0","158","5.00","none",,,"Leading Light (IRE)","Good Looking Woman (IRE)","Gelding",,"8","National Hunt","Maiden Hurdle",
"2022-11-07","13:10:00","Carlisle","Try RacingTV For Free At racingtv.com/freetrial Maiden Hurdle (GBB Race)","2m1f ","17","Class 4","Soft","4629","10","Right Handed","6","Och One More Gin (IRE)","5","Chapman, Ross","0","Bourke, D F","0","0","158","100.00","'047","180",,"Ocovango","No More Gin (IRE)","Gelding",,"8","National Hunt","Maiden Hurdle",
"2022-11-07","13:10:00","Carlisle","Try RacingTV For Free At racingtv.com/freetrial Maiden Hurdle (GBB Race)","2m1f ","17","Class 4","Soft","4629","10","Right Handed","7","Old Folk Tale (IRE)","5",,"0","McCain Jnr, D","0","0","158","0.00","none",,,"Libertarian","Raheen Lady (IRE)","Gelding",,"8","National Hunt","Maiden Hurdle",
"2022-11-07","13:10:00","Carlisle","Try RacingTV For Free At racingtv.com/freetrial Maiden Hurdle (GBB Race)","2m1f ","17","Class 4","Soft","4629","10","Right Handed","8","Rathgearan (IRE)","6","Bewley, Callum","0","Grant, C","0","98","158","16.00","7594494","25",,"Califet (FR)","Strong Lady (IRE)","Gelding",,"8","National Hunt","Maiden Hurdle",
"2022-11-07","13:10:00","Carlisle","Try RacingTV For Free At racingtv.com/freetrial Maiden Hurdle (GBB Race)","2m1f ","17","Class 4","Soft","4629","10","Right Handed","9","Road To Rosley","5","Dixon, John","7","Dixon, J E","0","0","158","16.00","83","389",,"Millenary","Ballela Road (IRE)","Gelding",,"8","National Hunt","Maiden Hurdle",
"2022-11-07","13:10:00","Carlisle","Try RacingTV For Free At racingtv.com/freetrial Maiden Hurdle (GBB Race)","2m1f ","17","Class 4","Soft","4629","10","Right Handed","10","Tio Mio (IRE)","4","Brogan, Kevin","0","Hanmer, G D","0","0","158","28.00","26503P3","22"," TT","Teofilo (IRE)","Celeste De La Mer (IRE)","Gelding",,"8","National Hunt","Maiden Hurdle",
"2022-11-07","13:10:00","Carlisle","Try RacingTV For Free At racingtv.com/freetrial Maiden Hurdle (GBB Race)","2m1f ","17","Class 4","Soft","4629","10","Right Handed","11","White Rhino (IRE)","6","Brooke, Henry","0","Greenall, Oliver","0","0","158","9.00","none",,,"Doyen (IRE)","Aventia (IRE)","Gelding",,"8","National Hunt","Maiden Hurdle",
"2022-11-07","13:25:00","Kempton","Get Your RacingTV Free Trial Novices Handicap Chase (GBB Race)","2m5f ","21","Class 4","Good To Soft","4901","8","Right Handed","1","Dalamoi (IRE)","5","Johns, Alan","0","Vaughan, Tim","0","117","165","7.00","251235","200",,"Pour Moi (IRE)","Dalamine (FR)","Gelding",,"16","National Hunt","Handicap Novices Chase",
"2022-11-07","13:25:00","Kempton","Get Your RacingTV Free Trial Novices Handicap Chase (GBB Race)","2m5f ","21","Class 4","Good To Soft","4901","8","Right Handed","2","Stormy Flight (IRE)","8","Williams, Lorcan","0","Scott, J","0","117","165","5.00","'B232509","15","CkPc","Cloudings (IRE)","Help Yourself (IRE)","Gelding",,"16","National Hunt","Handicap Novices Chase",
