Date,RaceTime,Track,RaceName,Distance,Dist_Furlongs,Class,Going,PrizeMoney,Runners,Direction,CardNo,Horse,HorseAge,Jockey,JClaim,Trainer,Stall,OfficialRating,Weight_Pounds,Odds,Form,Days,Headgear,Stallion,Dam,HorseType,CD,numfences,RaceCode,RaceType,LR_Placing,Horse_Season_Runs,TodayDistance_Yards,Max_DistanceYards_Run,Max_DistanceYards_Win,SameDistance_Wins,GreaterDistance_Wins,LesserDistance_Wins,LR_Track,HorseRuns_365days,
"2024-01-10","12:20:00","Doncaster","Sky Sports Racing HD Virgin 519 Hands And Heels Handicap Hurdle (Conditional And Amateur Jockeys)","3m.5f ","24.5","Class 5","Good To Soft","3248","16","Left Handed","1","Post Chaise (IRE)","7",,"5","Greenall, O / Guerriero, J","0","98","168","0.00","11P5P42","48","CkPc","Shirocco (GER)","Trazona Kit (IRE)","Gelding",,"11","National Hunt","Handicap Hurdle","Second","2","5390","5940","5500","0","1","2","Market Rasen","6",
"2024-01-10","12:20:00","Doncaster","Sky Sports Racing HD Virgin 519 Hands And Heels Handicap Hurdle (Conditional And Amateur Jockeys)","3m.5f ","24.5","Class 5","Good To Soft","3248","16","Left Handed","2","Iron Horse","13","Atkins, Mr Harry","3","Phillips, R T","0","98","168","50.00","72P2F37","45","CkPc","Kayf Tara","What A Vintage (IRE)","Gelding",,"11","National Hunt","Handicap Hurdle","Seventh","2","5390","5280","4400","0","0","1","Uttoxeter","3",
"2024-01-10","12:20:00","Doncaster","Sky Sports Racing HD Virgin 519 Hands And Heels Handicap Hurdle (Conditional And Amateur Jockeys)","3m.5f ","24.5","Class 5","Good To Soft","3248","16","Left Handed","3","Rickety Gate","9",,"5","Richards, N G","0","96","166","8.00","1F06232","41",,"Trans Island","Hannah Jacques (IRE)","Gelding","D","11","National Hunt","Handicap Hurdle","Second","4","5390","5390","5390","1","0","2","Musselburgh","6",
"2024-01-10","12:20:00","Doncaster","Sky Sports Racing HD Virgin 519 Hands And Heels Handicap Hurdle (Conditional And Amateur Jockeys)","3m.5f ","24.5","Class 5","Good To Soft","3248","16","Left Handed","4","Faha Belle (IRE)","6","Davis, D P","0","OBrien, Fergal","0","96","166","10.00","52O84","25",,"Soldier Of Fortune (IRE)","Nia (IRE)","Mare",,"11","National Hunt","Handicap Hurdle","Fourth","5","5390","4840","0","0","0","0","Hereford","5",
"2024-01-10","12:20:00","Doncaster","Sky Sports Racing HD Virgin 519 Hands And Heels Handicap Hurdle (Conditional And Amateur Jockeys)","3m.5f ","24.5","Class 5","Good To Soft","3248","16","Left Handed","5","Townhill (IRE)","6","Sutton, Mr B","0","Lacey, T","0","95","165","2.25","450743","20","CkPc TT","Presenting","Ladies Pride (IRE)","Gelding",,"11","National Hunt","Handicap Hurdle","Third","2","5390","5280","0","0","0","0","Exeter","6",
"2024-01-10","12:20:00","Doncaster","Sky Sports Racing HD Virgin 519 Hands And Heels Handicap Hurdle (Conditional And Amateur Jockeys)","3m.5f ","24.5","Class 5","Good To Soft","3248","16","Left Handed","6","Little Talks (IRE)","5","Ward, Ms L","3","King, N B","0","93","163","40.00","'P53","22"," TT","Milan","Another Nudge (IRE)","Mare",,"11","National Hunt","Handicap Hurdle","Third","3","5390","4730","0","0","0","0","Fakenham","3",
"2024-01-10","12:20:00","Doncaster","Sky Sports Racing HD Virgin 519 Hands And Heels Handicap Hurdle (Conditional And Amateur Jockeys)","3m.5f ","24.5","Class 5","Good To Soft","3248","16","Left Handed","7","Sadie Hill (IRE)","7","Dodd, Murray","5","Ralph, Alastair","0","88","158","25.00","'P8148UP","65"," TT","Kingston Hill","Sadie Thompson (IRE)","Mare",,"11","National Hunt","Handicap Hurdle","Pulled Up","4","5390","5610","4950","0","0","1","Hereford","6",
"2024-01-10","12:20:00","Doncaster","Sky Sports Racing HD Virgin 519 Hands And Heels Handicap Hurdle (Conditional And Amateur Jockeys)","3m.5f ","24.5","Class 5","Good To Soft","3248","16","Left Handed","8","Reine Fee (IRE)","11",,"3","Brown, G","0","86","156","0.00","23416P9","41"," TT","Kalanisi (IRE)","Cave Woman (IRE)","Mare",,"11","National Hunt","Handicap Hurdle","Ninth","3","5390","5940","4400","0","0","2","Lingfield","3",
"2024-01-10","12:20:00","Doncaster","Sky Sports Racing HD Virgin 519 Hands And Heels Handicap Hurdle (Conditional And Amateur Jockeys)","3m.5f ","24.5","Class 5","Good To Soft","3248","16","Left Handed","9","Derwent Dealer (IRE)","8","Maggs, Mr William","0","Brooke, Daniel","0","83","153","40.00","74P68","300","CkPc","Cloudings (IRE)","Feenakilmeedy (IRE)","Gelding",,"11","National Hunt","Handicap Hurdle","Eighth","0","5390","4510","0","0","0","0","Hexham","2",
"2024-01-10","12:20:00","Doncaster","Sky Sports Racing HD Virgin 519 Hands And Heels Handicap Hurdle (Conditional And Amateur Jockeys)","3m.5f ","24.5","Class 5","Good To Soft","3248","16","Left Handed","10","Im On My Way (IRE)","7","Hanlon, Mr P","3","Mulholland, N P","0","83","153","8.00","'0071","22",,"Mahler","Jarrive","Mare",,"11","National Hunt","Handicap Hurdle","First","3","5390","4400","4400","0","0","1","Wincanton","3",
"2024-01-10","12:20:00","Doncaster","Sky Sports Racing HD Virgin 519 Hands And Heels Handicap Hurdle (Conditional And Amateur Jockeys)","3m.5f ","24.5","Class 5","Good To Soft","3248","16","Left Handed","11","Dequall","8","Palmer, Oscar","3","Coltherd, W S","0","82","152","33.00","4353385","28","CkPc","Zoffany (IRE)","Bark (IRE)","Gelding",,"11","National Hunt","Handicap Hurdle","Fifth","3","5390","7040","5720","0","1","2","Hexham","3",
"2024-01-10","12:20:00","Doncaster","Sky Sports Racing HD Virgin 519 Hands And Heels Handicap Hurdle (Conditional And Amateur Jockeys)","3m.5f ","24.5","Class 5","Good To Soft","3248","16","Left Handed","12","Baby Sham","6","Barlow, Patrick","0","Mullins, J W","0","81","151","22.00","5213P44","51",,"Sir Percy","Zamzama (IRE)","Mare",,"11","National Hunt","Handicap Hurdle","Fourth","8","5390","5720","5720","0","1","2","Plumpton","9",
