Date,RaceTime,Track,RaceName,Distance,Dist_Furlongs,Class,Going,PrizeMoney,Runners,Direction,CardNo,Horse,HorseAge,Jockey,JClaim,Trainer,Stall,OfficialRating,Weight_Pounds,Odds,Form,Days,Headgear,Stallion,Dam,HorseType,CD,numfences,RaceCode,RaceType,LR_Placing,Horse_Season_Runs,TodayDistance_Yards,Max_DistanceYards_Run,Max_DistanceYards_Win,SameDistance_Wins,GreaterDistance_Wins,LesserDistance_Wins,LR_Track,HorseRuns_365days,
"2023-10-27","12:50:00","Lingfield","Best Racing Odds Guaranteed At BetMGM Nursery","6f ","6","Class 5","Standard To Slow","4292","10","Left Handed","1","She Is A Keeper (IRE)","2","Voikhansky, Alexander","5","Kelleway, Miss Gay","1","70","137","3.50","532221","44","Blnk","Profitable (IRE)","Dream Craft (IRE)","Filly","D","0","All Weather","Handicap Nursery","First","6","1320","1540","1320","1","0","0","Kempton","6",
"2023-10-27","12:50:00","Lingfield","Best Racing Odds Guaranteed At BetMGM Nursery","6f ","6","Class 5","Standard To Slow","4292","10","Left Handed","2","Cypriot Diaspora","2","Hornby, Rob","0","Millman, B R","10","67","134","7.00","56461","32",,"Adaay (IRE)","Achianna (USA)","Filly","D","0","All Weather","Handicap Nursery","First","5","1320","1320","1320","1","0","0","Leicester","5",
"2023-10-27","12:50:00","Lingfield","Best Racing Odds Guaranteed At BetMGM Nursery","6f ","6","Class 5","Standard To Slow","4292","10","Left Handed","3","Fly Pass (IRE)","2","Stott, Kevin","0","Murphy, Amy","7","65","132","9.00","3827442","68",,"Ravens Pass (USA)","Atlantic Queen (IRE)","Filly",,"0","All Weather","Handicap Nursery","Second","7","1320","1540","0","0","0","0","Southwell","7",
"2023-10-27","12:50:00","Lingfield","Best Racing Odds Guaranteed At BetMGM Nursery","6f ","6","Class 5","Standard To Slow","4292","10","Left Handed","4","Charlie Mason","2","Ryan, Rossa","0","Evans, P D","9","65","132","3.50","8332214","31","Vsor","Mayson","Aubrietia","Gelding","D","0","All Weather","Handicap Nursery","Fourth","9","1320","1320","1320","1","0","0","Nottingham","9",
"2023-10-27","12:50:00","Lingfield","Best Racing Odds Guaranteed At BetMGM Nursery","6f ","6","Class 5","Standard To Slow","4292","10","Left Handed","5","Chapman (IRE)","2","Muscutt, D","0","Scott, George","4","64","131","3.50","870","77"," TT","Exceed And Excel (AUS)","My Call","Gelding",,"0","All Weather","Handicap Nursery","Thirteenth","3","1320","1320","0","0","0","0","Newmarket (July)","3",
"2023-10-27","12:50:00","Lingfield","Best Racing Odds Guaranteed At BetMGM Nursery","6f ","6","Class 5","Standard To Slow","4292","10","Left Handed","6","Quiet Affair","2","Egan, David","0","Murphy, Amy","6","64","131","50.00","3066","13","Hood TT","Equiano (FR)","Freckles","Filly",,"0","All Weather","Handicap Nursery","Sixth","4","1320","1320","0","0","0","0","Chelmsford City","4",
"2023-10-27","12:50:00","Lingfield","Best Racing Odds Guaranteed At BetMGM Nursery","6f ","6","Class 5","Standard To Slow","4292","10","Left Handed","7","Horse Whisperer (IRE)","2","Wright, Liam","7","Dwyer, C A","2","62","129","16.00","966126","17",,"Invincible Spirit (IRE)","Verbalise (IRE)","Filly",,"0","All Weather","Handicap Nursery","Sixth","6","1320","1320","1210","0","0","1","Leicester","6",
"2023-10-27","12:50:00","Lingfield","Best Racing Odds Guaranteed At BetMGM Nursery","6f ","6","Class 5","Standard To Slow","4292","10","Left Handed","8","Mart","2","Probert, David","0","Cunha, Dylan","5","61","128","3.00","645668","7",,"Dark Angel (IRE)","Adorn","Gelding",,"0","All Weather","Handicap Nursery","Eighth","6","1320","1540","0","0","0","0","Newcastle","6",
"2023-10-27","12:50:00","Lingfield","Best Racing Odds Guaranteed At BetMGM Nursery","6f ","6","Class 5","Standard To Slow","4292","10","Left Handed","9","Black Jack Davey","2","Mangan, Gina","3","Bridger, J / Cook, R","8","56","123","28.00","6848374","8",,"Coach House (IRE)","La Fortunata","Gelding",,"0","All Weather","Handicap Nursery","Fourth","7","1320","1320","0","0","0","0","Brighton","7",
"2023-10-27","12:50:00","Lingfield","Best Racing Odds Guaranteed At BetMGM Nursery","6f ","6","Class 5","Standard To Slow","4292","10","Left Handed","10","Alwedad (IRE)","2","ONeill, K T","0","Haynes, Alice","3","49","116","33.00","790","27","CkPc TT","Tamarkuz (USA)","Lady Wedad (USA)","Filly",,"0","All Weather","Handicap Nursery","Fourteenth","3","1320","1540","0","0","0","0","Newmarket (Rowley)","3",
