racedate,racetime,track,race_name,race_restrictions_age,race_class,major,race_distance,prize_money,going_description,number_of_runners,place,distbt,horse_name,stall,trainer,horse_age,jockey_name,jockeys_claim,pounds,odds,fav,official_rating,comptime,comptime_numeric,TotalDstBt,MedianOR,Dist_Furlongs,placing_numerical,RCode,BFSP,BFSP_Place,PlcsPaid,BFPlcsPaid,Yards,RailMove,RaceType,Comment,CardNo,StallPositioning,TrackDirection,Headgear,dayssincelr,careerruns,stallion,surfacetype,horse_prizewin,HorseSex,dam,damstallion,MaxORinRace,
"2024-05-07","16:45:00","Ballinrobe","Adare Manor Opportunity Maiden Hurdle","5yo+","Irish",,"2m1f ","6372","Good To Yielding","15","1st",,"Wandering Rocks","0","Durkan, William","5","Brown, O R","2","164","4",,"111","4 mins 14.30s","254.3",,"0","17","1","National Hunt","0","0","3","0","3692","0","Maiden Hurdle","tracked leaders, 3rd halfway, pushed along approaching last, 2nd and ridden early final furlong, kept on well to lead final 50 yards","3","None","Right Handed"," TT","166","14","Ulysses (IRE)","Flat","6372","Gelding","West Of The Moon","Pivotal","111",
"2024-05-07","16:45:00","Ballinrobe","Adare Manor Opportunity Maiden Hurdle","5yo+","Irish",,"2m1f ","6372","Good To Yielding","15","2nd","1.5","Drumgill (IRE)","0","Ryan, John Patrick","5","Gilligan, D J","0","158","4.5",,"0","4 mins 14.30s","254.3","1.5","0","17","2","National Hunt","0","0","3","0","3692","0","Maiden Hurdle","disputed lead early, tracked leader and 2nd halfway, headway to lead at last, ridden and kept on in straight, headed over 50 yards out, no impression on winner","7","None","Right Handed",,"6","8","Elusive Pimpernel (USA)","Flat","2124","Gelding","Medinah Theatre (IRE)","Kings Theatre (IRE)","111",
"2024-05-07","16:45:00","Ballinrobe","Adare Manor Opportunity Maiden Hurdle","5yo+","Irish",,"2m1f ","6372","Good To Yielding","15","3rd","2","Slim Marvel (FR)","0","Slattery, Andrew","6","Donovan, Philip","2","149","1.1","(Fav)","0","4 mins 14.30s","254.3","3.5","0","17","3","National Hunt","0","0","3","0","3692","0","Maiden Hurdle","soon led, 1 length advantage halfway, pushed along and headed last, ridden and no impression in 3rd inside final furlong, kept on one pace","14","None","Right Handed",,"18","6","Masked Marvel","Flat","1061","Mare","Slim Pearl (FR)","Enrique","111",
"2024-05-07","16:45:00","Ballinrobe","Adare Manor Opportunity Maiden Hurdle","5yo+","Irish",,"2m1f ","6372","Good To Yielding","15","4th","3","Midweek Voices (IRE)","0","Doyle, Eoin","5","OCallaghan, Shane","2","156","6",,"102","4 mins 14.30s","254.3","6.5","0","17","4","National Hunt","0","0","3","0","3692","0","Maiden Hurdle","tracked leaders, ran freely, 5th halfway, 4th and pushed along approaching last where not fluent, ridden and kept on one pace run-in","8","None","Right Handed",,"19","5","Ocovango","Flat","531","Gelding","Mollydod (IRE)","Anshan","111",
"2024-05-07","16:45:00","Ballinrobe","Adare Manor Opportunity Maiden Hurdle","5yo+","Irish",,"2m1f ","6372","Good To Yielding","15","5th","0.75","Racing Daisy (IRE)","0","McNamara, D","7","Harvey, A","4","147","66",,"0","4 mins 14.30s","254.3","7.25","0","17","5","National Hunt","0","0","3","0","3692","0","Maiden Hurdle","mid-division, pushed along after 2 out and went 6th at last, kept on one pace run-in","13","None","Right Handed",,"18","1","Imperial Monarch (IRE)","Flat","319","Mare","Nora D (IRE)","Revoque (IRE)","111",
"2024-05-07","16:45:00","Ballinrobe","Adare Manor Opportunity Maiden Hurdle","5yo+","Irish",,"2m1f ","6372","Good To Yielding","15","6th","HD","Trade Master (IRE)","0","Cawley, Edward","5","Byrnes, Mr P","0","158","25",,"0","4 mins 14.30s","254.3","7.35","0","17","6","National Hunt","0","0","3","0","3692","0","Maiden Hurdle","rear of mid-division, some headway in 6th when slight mistake 2 out, soon pushed along, 5th and mistake last, kept on one pace","11","None","Right Handed",,"21","1","Masterofthehorse (IRE)","Flat","212","Gelding","Native Dolly (IRE)","Gold Well","111",
"2024-05-07","16:45:00","Ballinrobe","Adare Manor Opportunity Maiden Hurdle","5yo+","Irish",,"2m1f ","6372","Good To Yielding","15","7th","1.75","Benzine","0","Morrison, J","5","Harney, T P","4","154","100",,"0","4 mins 14.30s","254.3","9.1","0","17","7","National Hunt","0","0","3","0","3692","0","Maiden Hurdle","towards rear, some headway after 2 out and 8th before last, kept on one pace run-in, never a factor","6","None","Right Handed",,"15","6","Almanzor (FR)","Flat","0","Gelding","Holberg Suite","Azamour (IRE)","111",
"2024-05-07","16:45:00","Ballinrobe","Adare Manor Opportunity Maiden Hurdle","5yo+","Irish",,"2m1f ","6372","Good To Yielding","15","8th","3","Sydney Cruiser (IRE)","0","Murphy, Ciaran","6","Millar, Mr C P","4","147","125",,"0","4 mins 14.30s","254.3","12.1","0","17","8","National Hunt","0","0","3","0","3692","0","Maiden Hurdle","towards rear, some headway after 2 out and 9th at last, kept on one pace run-in, never a factor","15","None","Right Handed",,"152","5","Altruistic (IRE)","Flat","0","Mare","The Kings Miss (IRE)","Millenary","111",
"2024-05-07","16:45:00","Ballinrobe","Adare Manor Opportunity Maiden Hurdle","5yo+","Irish",,"2m1f ","6372","Good To Yielding","15","9th","4.75","Duty Bound","0","Flavin, J P","5","Stone-Walsh, C","2","164","80",,"0","4 mins 14.30s","254.3","16.85","0","17","9","National Hunt","0","0","3","0","3692","0","Maiden Hurdle","mid-division, pushed along and no impression after 2 out, soon no extra","1","None","Right Handed",,"249","10","Kingman","Flat",,"Gelding","Key Point (IRE)","Galileo (IRE)","111",
"2024-05-07","16:45:00","Ballinrobe","Adare Manor Opportunity Maiden Hurdle","5yo+","Irish",,"2m1f ","6372","Good To Yielding","15","10th","NK","Relevant Range (IRE)","0","Scott, Gillian","5","Geoghegan, Mr R P","4","162","50",,"0","4 mins 14.30s","254.3","17","0","17","10","National Hunt","0","0","3","0","3692","0","Maiden Hurdle","tracked leaders, 4th halfway, pushed along and no impression in 5th approaching last, no extra run-in","2","None","Right Handed","Hood","11","20","Starspangledbanner (AUS)","Flat",,"Gelding","Leala (IRE)","Montjeu (IRE)","111",
