racedate,racetime,track,race_name,race_restrictions_age,race_class,major,race_distance,prize_money,going_description,number_of_runners,place,distbt,horse_name,stall,trainer,horse_age,jockey_name,jockeys_claim,pounds,odds,fav,official_rating,comptime,comptime_numeric,TotalDstBt,MedianOR,Dist_Furlongs,placing_numerical,RCode,BFSP,BFSP_Place,PlcsPaid,BFPlcsPaid,Yards,RailMove,RaceType,Comment,CardNo,StallPositioning,TrackDirection,Headgear,dayssincelr,careerruns,stallion,surfacetype,horse_prizewin,HorseSex,dam,damstallion,MaxORinRace,
"2023-08-26","14:15:00","Cartmel","Hadwins Maiden Hurdle (GBB Race)","4yo+","Class 4",,"2m1f ","3812","Soft","12","1st",,"Duleek Street (IRE)","0","McConnell, John C","5","Bowen, Sean P","0","158","1.88","(Fav)","116","4 mins 13.32s","253.32",,"0","17","1","National Hunt","0","0","3","0","3786","0","Maiden Hurdle","made most, pushed along and went clear after last, comfortably","1","None","Left Handed","CkPc TT","15","15","Estidhkaar (IRE)","Undulating","3812","Gelding","Lady Rua Dargent (IRE)","Redback","99",
"2023-08-26","14:15:00","Cartmel","Hadwins Maiden Hurdle (GBB Race)","4yo+","Class 4",,"2m1f ","3812","Soft","12","2nd","10","City Vaults","0","Moffatt, James","4","McMenamin, Daniel","0","155","4.5",,"0","4 mins 13.32s","253.32","10","0","17","2","National Hunt","0","0","3","0","3786","0","Maiden Hurdle","tracked leaders, went second after 3 out, ridden and kept on from 2 out, no match for winner","9","None","Left Handed",,"87","12","Dark Angel (IRE)","Undulating","1756","Gelding","Priceless Jewel","Selkirk (USA)","99",
"2023-08-26","14:15:00","Cartmel","Hadwins Maiden Hurdle (GBB Race)","4yo+","Class 4",,"2m1f ","3812","Soft","12","3rd","5.5","Lightening Company (IRE)","0","Haslam, B M R","5","McLernon, R P","0","158","3.5",,"93","4 mins 13.32s","253.32","15.5","0","17","3","National Hunt","0","0","3","0","3786","0","Maiden Hurdle","prominent, not fluent 3 out, plugged on in modest third from 2 out, not trouble leaders","2","None","Left Handed",,"12","17","Fast Company (IRE)","Undulating","878","Gelding","Shamas Song (IRE)","Teofilo (IRE)","99",
"2023-08-26","14:15:00","Cartmel","Hadwins Maiden Hurdle (GBB Race)","4yo+","Class 4",,"2m1f ","3812","Soft","12","4th","17","Reagrove Lord (IRE)","0","Bewley, G T","5","Austin, Edward","5","153","20",,"0","4 mins 13.32s","253.32","32.5","0","17","4","National Hunt","0","0","3","0","3786","0","Maiden Hurdle","held up in rear, kept on from 3 out, nearest finish","3","None","Left Handed",,"None","0","Malinas (GER)","Undulating","440","Gelding","Ballerina Queen (IRE)","Be My Native (USA)","99",
"2023-08-26","14:15:00","Cartmel","Hadwins Maiden Hurdle (GBB Race)","4yo+","Class 4",,"2m1f ","3812","Soft","12","5th","3.75","Out On A Jink (IRE)","0","Walford, Mark","5","Hamilton, Jamie","0","151","22",,"0","4 mins 13.32s","253.32","36.25","0","17","5","National Hunt","0","0","3","0","3786","0","Maiden Hurdle","held up off the pace in rear, never seriously involved","12","None","Left Handed",,"7","2","Westerner","Undulating","0","Mare","Wilde Sapphire (IRE)","Oscar (IRE)","99",
"2023-08-26","14:15:00","Cartmel","Hadwins Maiden Hurdle (GBB Race)","4yo+","Class 4",,"2m1f ","3812","Soft","12","6th","NSE","Trick Of The Tail (IRE)","0","McCain Jnr, D","5","Hughes, Brian","0","158","4",,"99","4 mins 13.32s","253.32","36.28","0","17","6","National Hunt","0","0","3","0","3786","0","Maiden Hurdle","prominent, pushed along after 4 out, soon ridden, weakened gradually from 3 out","7","None","Left Handed","CkPc","22","8","Shantou (USA)","Undulating","0","Gelding","Nova Cyngi (USA)","Kris S (USA)","99",
"2023-08-26","14:15:00","Cartmel","Hadwins Maiden Hurdle (GBB Race)","4yo+","Class 4",,"2m1f ","3812","Soft","12","7th","0.5","Line In The Sand (IRE)","0","Bewley, G T","5","Bewley, Jonathon","0","151","14",,"0","4 mins 13.32s","253.32","36.78","0","17","7","National Hunt","0","0","3","0","3786","0","Maiden Hurdle","always towards rear","11","None","Left Handed",,"77","2","Shirocco (GER)","Undulating","0","Mare","Goldfeather (IRE)","Goldmark (USA)","99",
"2023-08-26","14:15:00","Cartmel","Hadwins Maiden Hurdle (GBB Race)","4yo+","Class 4",,"2m1f ","3812","Soft","12","8th","NSE","Scots Gold (IRE)","0","Quinlan, Elizabeth","5","Quinlan, Sean","0","158","18",,"94","4 mins 13.32s","253.32","36.81","0","17","8","National Hunt","0","0","3","0","3786","0","Maiden Hurdle","in touch with leaders, ridden along after 3 out, kept on from 2 out but made no impression","4","None","Left Handed","CkPc TT","38","11","Dark Angel (IRE)","Undulating","0","Gelding","Duchess Andorra (IRE)","Duke Of Marmalade (IRE)","99",
"2023-08-26","14:15:00","Cartmel","Hadwins Maiden Hurdle (GBB Race)","4yo+","Class 4",,"2m1f ","3812","Soft","12","9th","1.25","The Scan Man (IRE)","0","McCain Jnr, D","5","Gillard, Mr T","0","158","100",,"0","4 mins 13.32s","253.32","38.06","0","17","9","National Hunt","0","0","3","0","3786","0","Maiden Hurdle","in rear of mid-division, never a factor","6","None","Left Handed",,"20","2","Doyen (IRE)","Undulating",,"Gelding","Gaye Flora","Alflora (IRE)","99",
"2023-08-26","14:15:00","Cartmel","Hadwins Maiden Hurdle (GBB Race)","4yo+","Class 4",,"2m1f ","3812","Soft","12","10th","40","Swashbuckler","0","Barnes, M A","4","Rabbitt, Mr C","5","150","80",,"0","4 mins 13.32s","253.32","78.06","0","17","10","National Hunt","0","0","3","0","3786","0","Maiden Hurdle","mid-division, ridden along and weakened from 3 out","10","None","Left Handed"," TT","310","8","Sea The Stars (IRE)","Undulating",,"Gelding","Majestic Jasmine (IRE)","New Approach (IRE)","99",
