racedate,racetime,track,race_name,race_restrictions_age,race_class,major,race_distance,prize_money,going_description,number_of_runners,place,distbt,horse_name,stall,trainer,horse_age,jockey_name,jockeys_claim,pounds,odds,fav,official_rating,comptime,comptime_numeric,TotalDstBt,MedianOR,Dist_Furlongs,placing_numerical,RCode,BFSP,BFSP_Place,PlcsPaid,BFPlcsPaid,Yards,RailMove,RaceType,Comment,CardNo,StallPositioning,TrackDirection,Headgear,dayssincelr,careerruns,stallion,surfacetype,horse_prizewin,
"2013-01-30","16:50:00","Kempton","Betdaq Members Free Entry Every Wednesday Median Auction Maiden Stakes ","3-5yo","Class 5",,"5f ","2588","Standard","4","1st",,"Panther Patrol (IRE)","4","Houghton, Eve Johnson","3","Fahy, J P","0","125","0.44","(Fav)","0","1 mins 1.46s","61.46",,"20","5","1","All Weather","1.5279190556322","1.09643658634443","1","2","1100","0","Maiden","tracked leaders in 3rd, went 2nd over 1f out, soon led, clear inside final furlong, eased towards finish","4","Inside","Right Handed",,"16","2","Tagula (IRE)","Polytrack","2588",
"2013-01-30","16:50:00","Kempton","Betdaq Members Free Entry Every Wednesday Median Auction Maiden Stakes ","3-5yo","Class 5",,"5f ","2588","Standard","4","2nd","5","Con Leche","5","Dixon, Scott","3","Morris, Luke","0","125","2.25",,"57","1 mins 1.46s","61.46","5","20","5","2","All Weather","3.61895344418348","1.23","1","2","1100","0","Maiden","jumped awkward and went left start, led, headed over 1f out, kept on and no chance with winner","3","Inside","Right Handed","CkPc","50","6","Milk It Mick","Polytrack","770",
"2013-01-30","16:50:00","Kempton","Betdaq Members Free Entry Every Wednesday Median Auction Maiden Stakes ","3-5yo","Class 5",,"5f ","2588","Standard","4","3rd","3.5","Bonbon Bonnie","2","McEntee, P S","5","Tate, Ryan","7","128","50",,"40","1 mins 1.46s","61.46","8.5","20","5","3","All Weather","85.2979664554292","9.24464761448085","1","2","1100","0","Maiden","tracked leader, pushed along over 2f out, one pace","1","Inside","Right Handed","Vsor","2","10","Storming Home","Polytrack","385",
"2013-01-30","16:50:00","Kempton","Betdaq Members Free Entry Every Wednesday Median Auction Maiden Stakes ","3-5yo","Class 5",,"5f ","2588","Standard","4","4th","4","Dont Be Scilly","1","Wheeler, E A","5","Haynes, Joey","7","128","20",,"0","1 mins 1.46s","61.46","12.5","20","5","4","All Weather","25.4901753908915","5.62158135841812","1","2","1100","0","Maiden","dwelt, in rear, tracked leaders over 3f out, faded entering final furlong","2","Inside","Right Handed",,"16","1","Reel Buddy (USA)","Polytrack","192",
"2013-01-30","17:20:00","Kempton","Win Big With Betdaq Multiples Handicap ","4yo+","Class 5",,"1m2f ","2588","Standard","9","1st",,"Canary Wharf (IRE)","6","Botti, M","4","Kirby, Adam","0","130","3.5",,"73","2 mins 7.80s","127.8",,"69","10","1","All Weather","5.0413069157624","1.8","3","3","2200","0","Handicap","dwelt, mid-division,  headway to lead over 3f out, ridden over 1f out, headed inside final furlong, rallied and every chance towards finish, led close home","5","Inside","Right Handed","Blnk","20","8","Danehill Dancer (IRE)","Polytrack","2588",
"2013-01-30","17:20:00","Kempton","Win Big With Betdaq Multiples Handicap ","4yo+","Class 5",,"1m2f ","2588","Standard","9","2nd","SH","Purple n Gold (IRE)","8","Pipe, D E","4","Twiston-Davies, Mr W","5","126","3",,"74","2 mins 7.80s","127.8","0.05","69","10","2","All Weather","4.949357495443","1.68","3","3","2200","0","Handicap","towards rear, headway 2f out, led inside final furlong, soon under pressure, caught post","4","Inside","Right Handed","Vsor","6","11","Strategic Prince","Polytrack","770",
"2013-01-30","17:20:00","Kempton","Win Big With Betdaq Multiples Handicap ","4yo+","Class 5",,"1m2f ","2588","Standard","9","3rd","2.5","On The Hoof","1","Easterby, M W","4","Hopkins, Matthew","7","124","2.25","(Fav)","74","2 mins 7.80s","127.8","2.55","69","10","3","All Weather","3.47262665","1.604946123","3","3","2200","0","Handicap","led, headed over 3f out, ridden over 1f out, kept on inside final furlong","3","Inside","Right Handed",,"9","25","Monsieur Bond (IRE)","Polytrack","385",
"2013-01-30","17:20:00","Kempton","Win Big With Betdaq Multiples Handicap ","4yo+","Class 5",,"1m2f ","2588","Standard","9","4th","SH","White Diamond","9","Appleby, M","6","Morris, Luke","0","122","14",,"63","2 mins 7.80s","127.8","2.6","69","10","4","All Weather","18.6964884585894","3.52364782234017","3","3","2200","0","Handicap","chased leaders,  pushed along over 3f out, ridden over 1f out, one pace inside final furlong","9","Inside","Right Handed",,"26","28","Bertolini (USA)","Polytrack","192",
"2013-01-30","17:20:00","Kempton","Win Big With Betdaq Multiples Handicap ","4yo+","Class 5",,"1m2f ","2588","Standard","9","5th","1","Whitby Jet (IRE)","5","Vaughan, E F","5","Carson, William","0","133","4.5",,"74","2 mins 7.80s","127.8","3.6","69","10","5","All Weather","5.83788843549925","1.73","3","3","2200","0","Handicap","towards rear, headway 2f out, ridden inside final furlong, kept on","1","Inside","Right Handed",,"21","26","Mujadil (USA)","Polytrack","0",
"2013-01-30","17:20:00","Kempton","Win Big With Betdaq Multiples Handicap ","4yo+","Class 5",,"1m2f ","2588","Standard","9","6th","5","Final Drive (IRE)","2","Butler, John","7","Keniry, L P","0","126","20",,"67","2 mins 7.80s","127.8","8.6","69","10","6","All Weather","36","8.00062327824999","3","3","2200","0","Handicap","dwelt, soon tracked leaders, faded over 1f out","6","Inside","Right Handed","Hood TT","15","44","Viking Ruler (AUS)","Polytrack","0",
