racedate,racetime,track,race_name,race_restrictions_age,race_class,major,race_distance,prize_money,going_description,number_of_runners,place,distbt,horse_name,stall,trainer,horse_age,jockey_name,jockeys_claim,pounds,odds,fav,official_rating,comptime,comptime_numeric,TotalDstBt,MedianOR,Dist_Furlongs,placing_numerical,RCode,BFSP,BFSP_Place,PlcsPaid,BFPlcsPaid,Yards,RailMove,RaceType,Comment,CardNo,StallPositioning,TrackDirection,Headgear,dayssincelr,careerruns,stallion,surfacetype,horse_prizewin,
"2023-02-16","17:30:00","Chelmsford City","Fairwood Brasserie Apprentice Handicap","4yo+","Class 5",,"5f ","5051","Standard","8","1st",,"Dalby Forest","1","Simcock, D M","4","Haines, Olivia","5","125","12",,"62","1 mins 0.01s","60.01",,"65","5","1","All Weather","17.981560416383438","4.5","3","3","1100","0","Handicap","raced keenly tracking leader, saddle slipped round turning in and rider lost both irons, one reminder and ran on inside final furlong, led close home, good effort by rider","8","Inside","Left Handed",,"24","11","Equiano (FR)","Polytrack","5051",
"2023-02-16","17:30:00","Chelmsford City","Fairwood Brasserie Apprentice Handicap","4yo+","Class 5",,"5f ","5051","Standard","8","2nd","NK","Bert Kibbler","4","Barron, T D","5","Sanna, G","0","140","4",,"72","1 mins 0.01s","60.01","0.15","65","5","2","All Weather","5.775962029338367","2.3709947661677866","3","3","1100","0","Handicap","led, shaken up over 1f out, ridden and ran on inside final furlong, headed close home","1","Inside","Left Handed",,"27","13","Fountain Of Youth (IRE)","Polytrack","2370",
"2023-02-16","17:30:00","Chelmsford City","Fairwood Brasserie Apprentice Handicap","4yo+","Class 5",,"5f ","5051","Standard","8","3rd","2.5","Expert Opinion","6","Appleby, M","5","Voikhansky, Alexander","0","130","3.5","(Fav)","62","1 mins 0.01s","60.01","2.65","65","5","3","All Weather","4.9","1.9400000095367431","3","3","1100","0","Handicap","held up in mid-division, headway 2f out, not clear run and switched left turning in, ridden and unable to quicken 1f out, kept on inside final furlong, never going pace to get involved","7","Inside","Left Handed","Hood","44","34","Worthadd (IRE)","Polytrack","1184",
"2023-02-16","17:30:00","Chelmsford City","Fairwood Brasserie Apprentice Handicap","4yo+","Class 5",,"5f ","5051","Standard","8","4th","1.25","Porfin (IRE)","5","McEntee, P S","5","Presland, Molly","3","135","6",,"70","1 mins 0.01s","60.01","3.9","65","5","4","All Weather","7.786702251","2.223829826534347","3","3","1100","0","Handicap","held up off the pace in last trio, closer on inside 2f out, kept on inside final furlong, never going pace to get involved","2","Inside","Left Handed",,"6","50","Belardo (IRE)","Polytrack","593",
"2023-02-16","17:30:00","Chelmsford City","Fairwood Brasserie Apprentice Handicap","4yo+","Class 5",,"5f ","5051","Standard","8","5th","NK","Astro Jakk (IRE)","3","Holland, Darryll","7","Wright, Liam","3","131","4",,"66","1 mins 0.01s","60.01","4.05","65","5","5","All Weather","5.6622338611653555","1.9782541544761625","3","3","1100","0","Handicap","slowly into stride and pushed along early, outpaced in rear, ridden over 1f out, kept on inside final furlong, never going pace to get involved","4","Inside","Left Handed","Blnk","21","39","Zoffany (IRE)","Polytrack","295",
"2023-02-16","17:30:00","Chelmsford City","Fairwood Brasserie Apprentice Handicap","4yo+","Class 5",,"5f ","5051","Standard","8","6th","NSE","Beneficiary","7","Bailey, Liam","4","Feilden, Sam","3","129","5.5",,"64","1 mins 0.01s","60.01","4.08","65","5","6","All Weather","7.8705831657466625","2.373882029","3","3","1100","0","Handicap","off the pace in last pair, pushed along and came wide home turn, ridden and unable to quicken over 1f out, some late headway, never going pace to get involved","5","Inside","Left Handed","Blnk","25","7","Profitable (IRE)","Polytrack","0",
"2023-02-16","17:30:00","Chelmsford City","Fairwood Brasserie Apprentice Handicap","4yo+","Class 5",,"5f ","5051","Standard","8","7th","HD","Frisky","2","Pearce, Simon","4","Dawes, Rose","0","136","6.5",,"68","1 mins 0.01s","60.01","4.18","65","5","7","All Weather","8.735813556661743","2.5","3","3","1100","0","Handicap","raced keenly chasing leaders, ridden and unable to quicken over 1f out, no impression inside final furlong","3","Inside","Left Handed",,"20","13","Bated Breath","Polytrack","0",
"2023-02-16","17:30:00","Chelmsford City","Fairwood Brasserie Apprentice Handicap","4yo+","Class 5",,"5f ","5051","Standard","8","8th","2.5","Im Mable","8","Attwater, M J","5","Fraser, Kaiya","0","131","33",,"63","1 mins 0.01s","60.01","6.68","65","5","8","All Weather","55","12.5","3","3","1100","0","Handicap","chased leaders, pushed along out wide halfway, ridden and no impression when rider dropped whip 1f out, soon weakened","6","Inside","Left Handed",,"30","18","Cable Bay (IRE)","Polytrack","0",
"2023-02-16","18:00:00","Chelmsford City","Winning Connections Networking Handicap","4yo+","Class 5",,"6f ","5051","Standard","10","1st",,"Jupiter Express (IRE)","2","Appleby, M","4","Murphy, Oisin","0","124","1.88","(Fav)","64","1 mins 11.72s","71.72",,"68.5","6","1","All Weather","3.1686801903548276","1.62","3","3","1320","0","Handicap","tracked leaders, ridden to lead approaching final furlong, ran on","7","Centre","Left Handed"," TT","29","19","Kodiac","Polytrack","5051",
"2023-02-16","18:00:00","Chelmsford City","Winning Connections Networking Handicap","4yo+","Class 5",,"6f ","5051","Standard","10","2nd","0.5","Thismydream (IRE)","5","Attwater, M J","4","Fisher, Taylor","5","123","12",,"68","1 mins 11.72s","71.72","0.5","68.5","6","2","All Weather","17.228017884845833","4.323178759728711","3","3","1320","0","Handicap","tracked leaders, ridden to press winner entering final furlong, ran on","6","Centre","Left Handed","CkPc","24","23","Camacho","Polytrack","2370",
"2023-02-16","18:00:00","Chelmsford City","Winning Connections Networking Handicap","4yo+","Class 5",,"6f ","5051","Standard","10","3rd","0.75","Muscika","4","OMeara, D","9","Watson, Jason","0","134","6",,"74","1 mins 11.72s","71.72","1.25","68.5","6","3","All Weather","7.494741016706476","2.705293616","3","3","1320","0","Handicap","in touch, pushed along and headway over 1f out, stayed on one pace","3","Centre","Left Handed","Vsor","9","91","Kyllachy","Polytrack","1184",
"2023-02-16","18:00:00","Chelmsford City","Winning Connections Networking Handicap","4yo+","Class 5",,"6f ","5051","Standard","10","4th","2","El Hombre","1","Loughnane, Daniel Mark","9","Mason, Joanna","0","130","5.5",,"70","1 mins 11.72s","71.72","3.25","68.5","6","4","All Weather","8.437299308570509","2.32","3","3","1320","0","Handicap","in touch, ridden and headway over 1f out, stayed on same pace","4","Centre","Left Handed",,"26","69","Camacho","Polytrack","593",
"2023-02-16","18:00:00","Chelmsford City","Winning Connections Networking Handicap","4yo+","Class 5",,"6f ","5051","Standard","10","5th","0.5","Mustaffiz","3","Wallis, Charlie","4","Phillips, Mollie","3","119","33",,"62","1 mins 11.72s","71.72","3.75","68.5","6","5","All Weather","40","9.972879252575222","3","3","1320","0","Handicap","towards rear, pushed along over 1f out, never nearer","9","Centre","Left Handed",,"14","7","Oasis Dream","Polytrack","295",
"2023-02-16","18:00:00","Chelmsford City","Winning Connections Networking Handicap","4yo+","Class 5",,"6f ","5051","Standard","10","6th","NK","Bezzas Lad (IRE)","7","Carroll, A W","6","Rawlinson, Ali","0","129","6.5",,"69","1 mins 11.72s","71.72","3.9","68.5","6","6","All Weather","8.650852425184276","2.78","3","3","1320","0","Handicap","keen led, pushed along and edged right entering final 2f, ridden and headed approaching final furlong, no extra","5","Centre","Left Handed",,"12","39","Society Rock (IRE)","Polytrack","0",
"2023-02-16","18:00:00","Chelmsford City","Winning Connections Networking Handicap","4yo+","Class 5",,"6f ","5051","Standard","10","7th","1.5","Desert Boots","10","Pearce, Simon","5","Dawes, Rose","7","116","9",,"63","1 mins 11.72s","71.72","5.4","68.5","6","7","All Weather","12.5","3.5","3","3","1320","0","Handicap","dwelt in rear, never on terms","8","Centre","Left Handed","Blnk","6","21","Belardo (IRE)","Polytrack","0",
"2023-02-16","18:00:00","Chelmsford City","Winning Connections Networking Handicap","4yo+","Class 5",,"6f ","5051","Standard","10","8th","1.5","Bang On The Bell","9","Jenkins, J R","4","Lee, Clifford","0","134","28",,"74","1 mins 11.72s","71.72","6.9","68.5","6","8","All Weather","70.514055662","13.721017514317062","3","3","1320","0","Handicap","raced wide tracked leader, pushed along 2f out, weakened over 1f out","2","Centre","Left Handed",,"62","20","Heeraat (IRE)","Polytrack","0",
