racedate,racetime,track,race_name,race_restrictions_age,race_class,major,race_distance,prize_money,going_description,number_of_runners,place,distbt,horse_name,stall,trainer,horse_age,jockey_name,jockeys_claim,pounds,odds,fav,official_rating,comptime,comptime_numeric,TotalDstBt,MedianOR,Dist_Furlongs,placing_numerical,RCode,BFSP,BFSP_Place,PlcsPaid,BFPlcsPaid,Yards,RailMove,RaceType,Comment,CardNo,StallPositioning,TrackDirection,Headgear,dayssincelr,careerruns,stallion,surfacetype,horse_prizewin,
"2022-11-22","12:15:00","Limerick","Book For Christmas At LimerickRaces.ie Maiden Hurdle","4yo+","Irish",,"2m3f ","5310","Soft","14","1st",,"Luimneach (IRE)","0","McDonogh, Desmond","5","Kelly, Aidan","7","159","3",,"97","4 mins 57.90s","297.9",,"0","19","1","National Hunt","4.659193323478613","1.6899111994405127","3","3","4180","0","Maiden Hurdle","tracked leaders, 5th halfway, 3rd and pushed along early straight, slight mistake 2 out and ridden, 2nd at last, led run-in and kept on well","7","None","Right Handed",,"22","4","Fame And Glory","Undulating","5310",
"2022-11-22","12:15:00","Limerick","Book For Christmas At LimerickRaces.ie Maiden Hurdle","4yo+","Irish",,"2m3f ","5310","Soft","14","2nd","1","Cheerful Chap (IRE)","0","Dooly, N","5","Brassil, C","5","161","6",,"0","4 mins 57.90s","297.9","1","0","19","2","National Hunt","9","2.86","3","3","4180","0","Maiden Hurdle","soon led, headed before 3rd, led again after 5th, pushed along before 2 out, ridden and headed run-in, kept on one pace","4","None","Right Handed",,"5","6","Pour Moi (IRE)","Undulating","1770",
"2022-11-22","12:15:00","Limerick","Book For Christmas At LimerickRaces.ie Maiden Hurdle","4yo+","Irish",,"2m3f ","5310","Soft","14","3rd","2.25","Bugscuffle (IRE)","0","Neilan, John","7","Moloney, D","7","159","50",,"83","4 mins 57.90s","297.9","3.25","0","19","3","National Hunt","77.20771775177212","16.5","3","3","4180","0","Maiden Hurdle","rear of mid-division, headway on outer after 3 out and 5th before next, 4th before last, ridden and kept on run-in to go 3rd closing stages","3","None","Right Handed","CkPc","24","10","September Storm (GER)","Undulating","885",
"2022-11-22","12:15:00","Limerick","Book For Christmas At LimerickRaces.ie Maiden Hurdle","4yo+","Irish",,"2m3f ","5310","Soft","14","4th","2","Lough Na Fooey (IRE)","0","Young, L","6","Brett, Tommy N","7","152","4",,"90","4 mins 57.90s","297.9","5.25","0","19","4","National Hunt","7.36491857679008","2.404521963392108","3","3","4180","0","Maiden Hurdle","mid-division, 7th halfway, headway 3 out and 2nd approaching straight, pushed along before 2 out, dropped to 3rd at last, ridden and no impression run-in","13","None","Right Handed"," TT","14","6","Virtual","Undulating","442",
"2022-11-22","12:15:00","Limerick","Book For Christmas At LimerickRaces.ie Maiden Hurdle","4yo+","Irish",,"2m3f ","5310","Soft","14","5th","5.5","Another Bonnie (IRE)","0","Ryan, John Patrick","5","Donovan, Philip","5","154","25",,"85","4 mins 57.90s","297.9","10.75","0","19","5","National Hunt","37.3970456571228","9.2","3","3","4180","0","Maiden Hurdle","tracked leaders, slight mistake 2nd, 6th halfway, some headway approaching straight, 4th and pushed along before 2 out, ridden and no extra run-in","9","None","Right Handed",,"102","5","Dylan Thomas (IRE)","Undulating","265",
"2022-11-22","12:15:00","Limerick","Book For Christmas At LimerickRaces.ie Maiden Hurdle","4yo+","Irish",,"2m3f ","5310","Soft","14","6th","4","Out Galavanting (IRE)","0","ODwyer, Conor","5","Brouder, Gavin","5","161","18",,"0","4 mins 57.90s","297.9","14.75","0","19","6","National Hunt","23.67523684189529","5.685874040376839","3","3","4180","0","Maiden Hurdle","rear of mid-division, 11th and pushed along after 3 out, kept on one pace in straight and went 6th closing stages, never a factor","8","None","Right Handed",,"22","4","Valirann (FR)","Undulating","177",
"2022-11-22","12:15:00","Limerick","Book For Christmas At LimerickRaces.ie Maiden Hurdle","4yo+","Irish",,"2m3f ","5310","Soft","14","7th","NSE","Beaus Candle (IRE)","0","Fitzgerald, John Gerard","7","Kelly, T Joseph","7","159","50",,"86","4 mins 57.90s","297.9","14.78","0","19","7","National Hunt","80","17","3","3","4180","0","Maiden Hurdle","towards rear, 10th and pushed along after 3 out, kept on one pace in straight, never a factor","2","None","Right Handed",,"30","4","Winged Love (IRE)","Undulating","0",
"2022-11-22","12:15:00","Limerick","Book For Christmas At LimerickRaces.ie Maiden Hurdle","4yo+","Irish",,"2m3f ","5310","Soft","14","8th","NK","Fortunate Lady (IRE)","0","Hogan, Denis Gerard","5","King, D","7","152","40",,"0","4 mins 57.90s","297.9","14.93","0","19","8","National Hunt","108.48699690412731","16.5","3","3","4180","0","Maiden Hurdle","towards rear, not fluent 4 out, some headway after 3 out and 9th entering straight, kept on one pace from 2 out","12","None","Right Handed",,"7","3","Soldier Of Fortune (IRE)","Undulating","0",
"2022-11-22","12:15:00","Limerick","Book For Christmas At LimerickRaces.ie Maiden Hurdle","4yo+","Irish",,"2m3f ","5310","Soft","14","9th","8","Cristiano Marealdo (IRE)","0","Rothwell, P J","4","Walsh, E","5","154","250",,"0","4 mins 57.90s","297.9","22.93","0","19","9","National Hunt","1000","140","3","3","4180","0","Maiden Hurdle","mid-division, pushed along after 3 out , 6th and no impression before next, soon no extra","11","None","Right Handed","CkPc","16","3","Doyen (IRE)","Undulating",,
"2022-11-22","12:15:00","Limerick","Book For Christmas At LimerickRaces.ie Maiden Hurdle","4yo+","Irish",,"2m3f ","5310","Soft","14","10th","18","Janverlil (IRE)","0","McNamara, E","4","Hayes, Jamie","7","154","125",,"0","4 mins 57.90s","297.9","40.93","0","19","10","National Hunt","471.359097421","57.7968311606538","3","3","4180","0","Maiden Hurdle","towards rear, never a factor, kept on one pace from 2 out","15","None","Right Handed",,"30","3","Leading Light (IRE)","Undulating",,
"2022-11-22","12:15:00","Limerick","Book For Christmas At LimerickRaces.ie Maiden Hurdle","4yo+","Irish",,"2m3f ","5310","Soft","14","11th","3.25","Famous Agent (FR)","0","Doyle, Miss Elizabeth","4","Callaghan, Mr K","7","159","3.5",,"0","4 mins 57.90s","297.9","44.18","0","19","11","National Hunt","5.4","1.9999639414446735","3","3","4180","0","Maiden Hurdle","tracked leaders, slight mistake 6th, 4th halfway, pushed along and lost place after 5 out, soon towards rear and detached approaching straight, no extra","5","None","Right Handed",,"32","4","No Risk At All (FR)","Undulating",,
"2022-11-22","12:15:00","Limerick","Book For Christmas At LimerickRaces.ie Maiden Hurdle","4yo+","Irish",,"2m3f ","5310","Soft","14","12th","13","Run Getaway Run (IRE)","0","Braddish, S","4","Brouder, Gearoid","5","154","300",,"0","4 mins 57.90s","297.9","57.18","0","19","12","National Hunt","1000","150","3","3","4180","0","Maiden Hurdle","led briefly when slow 1st, tracked leaders and 3rd halfway, slight mistake 5 out, pushed along and no extra approaching 2 out, soon weakened","14","None","Right Handed",,"19","4","Getaway (GER)","Undulating",,
"2022-11-22","12:15:00","Limerick","Book For Christmas At LimerickRaces.ie Maiden Hurdle","4yo+","Irish",,"2m3f ","5310","Soft","14","13th","1.25","Be Fierce (IRE)","0","Walsh, T M","5","OCallaghan, Shane","7","159","2.13","(Fav)","0","4 mins 57.90s","297.9","58.43","0","19","13","National Hunt","4.2","1.6678420193563217","3","3","4180","0","Maiden Hurdle","tracked leaders, headway to lead before 3rd, mistake 5th and headed, remained prominent until pushed along and lost place approaching straight, no extra before 2 out, weakened","1","None","Right Handed",,"203","3","Fame And Glory","Undulating",,
"2022-11-22","12:15:00","Limerick","Book For Christmas At LimerickRaces.ie Maiden Hurdle","4yo+","Irish",,"2m3f ","5310","Soft","14","14th","6.5","Cathy West (IRE)","0","Hassett, P J F","4","McKenna, Liam","7","152","250",,"0","4 mins 57.90s","297.9","64.93","0","19","14","National Hunt","1000","107.91123138487367","3","3","4180","0","Maiden Hurdle","mid-division, dropped towards rear and reminder after 5 out, no extra and detached approaching straight, weakened","10","None","Right Handed",,"16","4","Westerner","Undulating",,
"2022-11-22","12:45:00","Limerick","Adare Manor Opportunity Maiden Hurdle (Div 1)","4yo+","Irish",,"2m ","6638","Soft","13","1st",,"Brookie (IRE)","0","Martin, A J","5","McKenna, Liam","4","162","0.91","(Fav)","110","4 mins 14.60s","254.6",,"0","16","1","National Hunt","2.091907295499738","1.14","3","3","3520","0","Maiden Hurdle","tracked leaders, 6th halfway, headway after 3 out and 4th approaching straight, progress between horses and led narrowly before last, ridden and kept on well run-in","17","None","Right Handed"," TT","51","6","Policy Maker (IRE)","Undulating","6638",
"2022-11-22","12:45:00","Limerick","Adare Manor Opportunity Maiden Hurdle (Div 1)","4yo+","Irish",,"2m ","6638","Soft","13","2nd","0.5","Walk With Paul (FR)","0","Brassil, Martin","6","Brassil, C","2","157","8",,"0","4 mins 14.60s","254.6","0.5","0","16","2","National Hunt","14.85985356780235","2.9484300554156664","3","3","3520","0","Maiden Hurdle","tracked leaders, 3rd halfway, headway into 2nd after 3 out, challenged travelling well entering straight and led briefly 2 out, ridden and kept on run-in, not match winner","14","None","Right Handed","Hood TT","None","0","Walk In The Park (IRE)","Undulating","2212",
"2022-11-22","12:45:00","Limerick","Adare Manor Opportunity Maiden Hurdle (Div 1)","4yo+","Irish",,"2m ","6638","Soft","13","3rd","6.5","Sixhandsinmypocket","0","ODwyer, Conor","5","ODwyer, Charlie","4","162","25",,"0","4 mins 14.60s","254.6","7","0","16","3","National Hunt","46","5.7","3","3","3520","0","Maiden Hurdle","mid-division, not fluent 2nd, 7th halfway, headway after 3 out and 3rd approaching straight, pushed along and no impression from before last, no extra run-in","8","None","Right Handed",,"165","7","Geordieland (FR)","Undulating","1106",
