racedate,racetime,track,race_name,race_restrictions_age,race_class,major,race_distance,prize_money,going_description,number_of_runners,place,distbt,horse_name,stall,trainer,horse_age,jockey_name,jockeys_claim,pounds,odds,fav,official_rating,comptime,comptime_numeric,TotalDstBt,MedianOR,Dist_Furlongs,placing_numerical,RCode,BFSP,BFSP_Place,PlcsPaid,BFPlcsPaid,Yards,RailMove,RaceType,Comment,CardNo,StallPositioning,TrackDirection,Headgear,dayssincelr,careerruns,stallion,surfacetype,horse_prizewin,HorseSex,dam,damstallion,MaxORinRace,
"2024-04-29","14:15:00","Ayr","Virgin Bet Restricted Maiden Stakes (GBB Race)","2yo","Class 5",,"5f ","4320","Good","6","1st",,"Zabeel Road (IRE)","6","Johnston, Charlie","2","Fanning, Joe","0","133","4",,"0","1 mins 0.55s","60.55",,"0","5","1","Flat","0","0","2","0","1100","0","Maiden","tracked leaders, pushed along and headway entering final furlong, ridden and stayed on to lead towards finish","1","Centre","Straight",,"None","0","Invincible Spirit (IRE)","Flat","4320","Colt","Winiata (IRE)","Society Rock (IRE)","0",
"2024-04-29","14:15:00","Ayr","Virgin Bet Restricted Maiden Stakes (GBB Race)","2yo","Class 5",,"5f ","4320","Good","6","2nd","0.5","Harswell Dandy (IRE)","2","Fell, R / Murray, S","2","Peate, Jonny","3","123","2.75",,"0","1 mins 0.55s","60.55","0.5","0","5","2","Flat","0","0","2","0","1100","0","Maiden","led and soon pressed, ridden over 1f out, headed towards finish","6","Centre","Straight",,"7","1","Dandy Man (IRE)","Flat","2028","Filly","Cozi Bay","Kingman","0",
"2024-04-29","14:15:00","Ayr","Virgin Bet Restricted Maiden Stakes (GBB Race)","2yo","Class 5",,"5f ","4320","Good","6","3rd","1.75","Far Above Mary (IRE)","5","Palmer, Hugo","2","Wilkie, Brandon","5","123","9",,"0","1 mins 0.55s","60.55","2.25","0","5","3","Flat","0","0","2","0","1100","0","Maiden","close up, pushed along 2f out, ridden and kept on one pace final furlong","5","Centre","Straight",,"21","2","Far Above (IRE)","Flat","1014","Filly","Light Bay","Cable Bay (IRE)","0",
"2024-04-29","14:15:00","Ayr","Virgin Bet Restricted Maiden Stakes (GBB Race)","2yo","Class 5",,"5f ","4320","Good","6","4th","0.5","Marry The Night","1","Easterby, T D","2","Allan, David","0","131","5.5",,"0","1 mins 0.55s","60.55","2.75","0","5","4","Flat","0","0","2","0","1100","0","Maiden","dwelt in rear, pushed along halfway, ridden and kept on inside final furlong, nearest finish","2","Centre","Straight",,"20","1","Advertise","Flat","507","Colt","Fen Breeze","Bated Breath","0",
"2024-04-29","14:15:00","Ayr","Virgin Bet Restricted Maiden Stakes (GBB Race)","2yo","Class 5",,"5f ","4320","Good","6","5th","1.5","Elementary Charge (IRE)","3","Lidster, Craig","2","Eaves, Tom","0","128","12",,"0","1 mins 0.55s","60.55","4.25","0","5","5","Flat","0","0","2","0","1100","0","Maiden","slow into stride, in rear, pushed along halfway, never a factor","4","Centre","Straight",,"None","0","Mehmas (IRE)","Flat","0","Filly","Windy Lane","Dubai Destination (USA)","0",
"2024-04-29","14:15:00","Ayr","Virgin Bet Restricted Maiden Stakes (GBB Race)","2yo","Class 5",,"5f ","4320","Good","6","6th","0.75","Pastoral Way","4","OMeara, D","2","Nolan, D","0","131","2","(Fav)","0","1 mins 0.55s","60.55","5","0","5","6","Flat","0","0","2","0","1100","0","Maiden","pressed leader, ridden and every chance over 1f out, weakened inside final furlong","3","Centre","Straight",,"7","1","Pastoral Pursuits","Flat","0","Colt","Almond Branches","Dutch Art","0",
"2024-04-29","14:45:00","Ayr","Virgin Bet Daily Extra Places Apprentice Handicap","4yo+","Class 6",,"6f ","3664","Good","8","1st",,"Catherine Chroi (IRE)","7","Jardine, I","6","Tabti, M","3","129","2","(Fav)","57","1 mins 13.77s","73.77",,"53","6","1","Flat","0","0","3","0","1320","0","Handicap","tracked leader, ridden to lead inside final furlong, ran on","3","Centre","Straight","Blnk","29","54","Camacho","Flat","3664","Mare","Heart Of Oak","Oasis Dream","62",
"2024-04-29","14:45:00","Ayr","Virgin Bet Daily Extra Places Apprentice Handicap","4yo+","Class 6",,"6f ","3664","Good","8","2nd","1.25","Global Humor (USA)","6","Goldie, J S","9","Winn, Mark","0","127","6.5",,"52","1 mins 13.77s","73.77","1.25","53","6","2","Flat","0","0","3","0","1320","0","Handicap","dwelt in touch, ridden and headway entering final furlong, stayed on to go 2nd","6","Centre","Straight","Blnk","21","87","Distorted Humor (USA)","Flat","1719","Gelding","In Bloom (USA)","Discreet Cat (USA)","62",
"2024-04-29","14:45:00","Ayr","Virgin Bet Daily Extra Places Apprentice Handicap","4yo+","Class 6",,"6f ","3664","Good","8","3rd","1.75","Smalleytime (IRE)","1","Haslam, B M R","4","Breslin, Andrew","0","133","7.5",,"58","1 mins 13.77s","73.77","3","53","6","3","Flat","0","0","3","0","1320","0","Handicap","tracked leaders, ridden to lead over 1f out, headed and no extra inside final furlong","2","Centre","Straight","CkPc","21","11","Tamayuz","Flat","859","Gelding","Into The Lane (IRE)","Excelebration (IRE)","62",
"2024-04-29","14:45:00","Ayr","Virgin Bet Daily Extra Places Apprentice Handicap","4yo+","Class 6",,"6f ","3664","Good","8","4th","2","Doon The Glen","4","Goldie, J S","4","Waugh, Amie","3","118","3.5",,"46","1 mins 13.77s","73.77","5","53","6","4","Flat","0","0","3","0","1320","0","Handicap","took keen hold, tracked leaders, ridden over 1f out, kept on same pace","8","Centre","Straight","Vsor","3","12","Orientor","Flat","430","Gelding","Glenlini","Bertolini (USA)","62",
