racedate,racetime,track,race_name,race_restrictions_age,race_class,major,race_distance,prize_money,going_description,number_of_runners,place,distbt,horse_name,stall,trainer,horse_age,jockey_name,jockeys_claim,pounds,odds,fav,official_rating,comptime,comptime_numeric,TotalDstBt,MedianOR,Dist_Furlongs,placing_numerical,RCode,BFSP,BFSP_Place,PlcsPaid,BFPlcsPaid,Yards,RailMove,RaceType,Comment,CardNo,StallPositioning,TrackDirection,Headgear,dayssincelr,careerruns,stallion,surfacetype,horse_prizewin,
"2023-02-19","13:50:00","Musselburgh","Racing TV Cosmic Case Mares Novices Hurdle (GBB Race)","4yo+","Class 4",,"1m7.5f ","3812","Soft","8","1st",,"Midnight Shuffle","0","Coltherd, W S","8","Coltherd, Sam W","0","157","4.5",,"0","3 mins 56.50s","236.5",,"0","15.5","1","National Hunt","6.6","1.711329056427894","3","3","3424","35","Novices Hurdle","made all, edged left after 2 out and flat, stayed on well","8","None","Right Handed",,"21","4","Midnight Legend","Flat","3812",
"2023-02-19","13:50:00","Musselburgh","Racing TV Cosmic Case Mares Novices Hurdle (GBB Race)","4yo+","Class 4",,"1m7.5f ","3812","Soft","8","2nd","2","Bents Hollow (IRE)","0","McCain Jnr, D","6","Hughes, Brian","0","164","1.75",,"109","3 mins 56.50s","236.5","2","0","15.5","2","National Hunt","3.118768392859074","1.1954173821247607","3","3","3424","35","Novices Hurdle","tracked leaders on inside, pushed along after 6th, outpaced 3 out, rallied from 2 out, went 2nd last, kept on, no impression on winner towards finish","1","None","Right Handed",,"13","3","Soldier Of Fortune (IRE)","Flat","1756",
"2023-02-19","13:50:00","Musselburgh","Racing TV Cosmic Case Mares Novices Hurdle (GBB Race)","4yo+","Class 4",,"1m7.5f ","3812","Soft","8","3rd","3.75","Lacila Blue (FR)","0","Alexander, N W","5","OFarrell, C","0","157","66",,"0","3 mins 56.50s","236.5","5.75","0","15.5","3","National Hunt","260","18.86617538820021","3","3","3424","35","Novices Hurdle","in rear, edged right and headway after 2 out, went 3rd flat, stayed on","5","None","Right Handed",,"77","4","Muhaymin (USA)","Flat","878",
"2023-02-19","13:50:00","Musselburgh","Racing TV Cosmic Case Mares Novices Hurdle (GBB Race)","4yo+","Class 4",,"1m7.5f ","3812","Soft","8","4th","0.5","Clairmc (IRE)","0","Cromwell, Gavin Patrick","6","Burke, Jonathan","0","157","1.2","(Fav)","113","3 mins 56.50s","236.5","6.25","0","15.5","4","National Hunt","2.38","1.17","3","3","3424","35","Novices Hurdle","mid-division, jumped right 1st, headway when mistake 6th, disputing 2nd when not fluent 3 out, mistake 2 out, lost 3rd flat, no extra","2","None","Right Handed",,"75","10","Walk In The Park (IRE)","Flat","440",
"2023-02-19","13:50:00","Musselburgh","Racing TV Cosmic Case Mares Novices Hurdle (GBB Race)","4yo+","Class 4",,"1m7.5f ","3812","Soft","8","5th","2.75","Just Dottie","0","Smith, R Michael","5","Shanahan, William T","7","150","33",,"0","3 mins 56.50s","236.5","9","0","15.5","5","National Hunt","43.70986703558535","5.6","3","3","3424","35","Novices Hurdle","not that fluent, mid-division, closed going strongly 6th, not fluent 2 out, no extra last","4","None","Right Handed","Hood","15","5","Al Kazeem","Flat","0",
"2023-02-19","13:50:00","Musselburgh","Racing TV Cosmic Case Mares Novices Hurdle (GBB Race)","4yo+","Class 4",,"1m7.5f ","3812","Soft","8","6th","8.5","Melchoir (FR)","0","Alexander, N W","6","Lynn, Bruce","3","154","33",,"0","3 mins 56.50s","236.5","17.5","0","15.5","6","National Hunt","65","7.4","3","3","3424","35","Novices Hurdle","prominent, ridden and weakened before 2 out","7","None","Right Handed"," TT","90","4","Montmartre (FR)","Flat","0",
"2023-02-19","13:50:00","Musselburgh","Racing TV Cosmic Case Mares Novices Hurdle (GBB Race)","4yo+","Class 4",,"1m7.5f ","3812","Soft","8","7th","7.5","Jims Apple (IRE)","0","Ewart, J P L","7","Austin, Edward","5","152","125",,"0","3 mins 56.50s","236.5","25","0","15.5","7","National Hunt","328.05839091","29","3","3","3424","35","Novices Hurdle","jumped left and not that fluent, chased leaders, ridden after 4 out, lost place before 3 out","3","None","Right Handed","Hood TT","21","3","Sageburg (IRE)","Flat","0",
"2023-02-19","13:50:00","Musselburgh","Racing TV Cosmic Case Mares Novices Hurdle (GBB Race)","4yo+","Class 4",,"1m7.5f ","3812","Soft","8","8th","0.75","Theirshegoes (IRE)","0","Thomson, A M","6","Mania, Ryan","0","157","14",,"0","3 mins 56.50s","236.5","25.75","0","15.5","8","National Hunt","16.293972097490986","2.980835889","3","3","3424","35","Novices Hurdle","towards rear, not that fluent, behind before 4th","9","None","Right Handed",,"43","1","Court Cave (IRE)","Flat","0",
"2023-02-19","14:20:00","Musselburgh","George Crawford Legacy Trust Novices Handicap Chase","5yo+","Class 5",,"3m ","4225","Soft","3","1st",,"Duke Of Deception (IRE)","0","Greenall, Oliver","6","Brooke, Henry","0","168","2",,"100","6 mins 26.50s","386.5",,"93","24","1","National Hunt","3.342277014895062","0","1","0","5230","0","Handicap Novices Chase","chased leader until 10th, not fluent 12th, went 2nd again 14th, challenging when not fluent 4 out, led before 3 out, well clear 2 out, easily","1","None","Right Handed","CkPc","14","10","September Storm (GER)","Flat","4225",
"2023-02-19","14:20:00","Musselburgh","George Crawford Legacy Trust Novices Handicap Chase","5yo+","Class 5",,"3m ","4225","Soft","3","2nd","14","Dr Shirocco (IRE)","0","Forster, Miss S E","8","Wadge, P","7","137","1.75",,"76","6 mins 26.50s","386.5","14","93","24","2","National Hunt","2.9750431031016262","0","1","0","5230","0","Handicap Novices Chase","chased leaders, mistake 6th, went 2nd 10th until 14th, went 2nd again from 3 out, no chance with winner","4","None","Right Handed",,"14","20","Shirocco (GER)","Flat","1944",
