trainer,7Day_Runs,7Day_Wins,7Day_Places,7Day_Win_Strike,7Day_Place_Strike,7Day_SP_ProfitLoss,14Day_Runs,14Day_Wins,14Day_Places,14Day_Win_Strike,14Day_Place_Strike,14Day_SP_ProfitLoss,2YR_Runs,2YR_Wins,2YR_Places,2YR_Win_Strike,2YR_Place_Strike,2YR_SP_ProfitLoss,DaysSinceWin,RunsSinceWin,1YR_Runs,1YR_Wins,1YR_Places,1YR_Win_Strike,1YR_Place_Strike,1YR_SP_ProfitLoss,2yr_fav_Runs,2yr_fav_Wins,2yr_fav_Places,2yr_fav_Win_Strike,2yr_fav_Place_Strike,2yr_fav_SP_ProfitLoss,2yr_hcap_Runs,2yr_hcap_Wins,2yr_hcap_Places,2yr_hcap_Win_Strike,2yr_hcap_Place_Strike,2yr_hcap_SP_ProfitLoss,
"Ahern, G","0","0","0","0","0","0","0","0","0","0","0","0","95","3","13","3.16","13.68","-57","142","27","45","3","9","6.67","20","-7","1","0","1","0","0","-1","57","3","10","5.26","5.26","-19",
"Appleby, M","11","0","3","0","27.27","-11","28","3","9","10.71","32.14","-12.37","1757","196","558","11.16","31.76","-401.79","13","21","842","87","263","10.33","31.24","-197.64","266","73","145","27.44","27.44","-57.53","1505","160","473","10.63","10.63","-359.3",
"Attwater, M J","11","1","2","9.09","18.18","-1","17","1","2","5.88","11.76","-7","572","34","113","5.94","19.76","-302.87","6","7","268","16","53","5.97","19.78","-162.29","26","6","12","23.08","23.08","-11.41","471","29","94","6.16","6.16","-226.92",
"Attwater, P","0","0","0","0","0","0","4","0","0","0","0","-4","5","0","0","0","0","-5","9999","9999","5","0","0","0","0","-5","0","0","0","0","0","0","4","0","0","0","0","-4",
"Baker, George","9","0","0","0","0","-9","18","1","1","5.56","5.56","23","380","37","106","9.74","27.89","-42","12","15","201","21","51","10.45","25.37","55.71","34","10","16","29.41","29.41","-7","323","36","96","11.15","11.15","12.62",
"Balding, A M","34","5","9","14.71","26.47","-14.46","70","7","20","10","28.57","-35.46","1984","297","745","14.97","37.55","-385.99","1","5","1088","161","436","14.8","40.07","-224.23","372","125","236","33.6","33.6","-50.56","860","126","289","14.65","14.65","-121.34",
"Banham, Chelsea","2","1","1","50","50","3.5","5","1","2","20","40","0.5","240","22","58","9.17","24.17","-86.7","6","1","146","16","36","10.96","24.66","-28.16","15","6","7","40","40","5.97","171","19","49","11.11","11.11","-36.03",
"Beckett, R M","19","7","11","36.84","57.89","1.8","40","11","24","27.5","60","13.6","1302","242","535","18.59","41.09","-174.93","1","4","662","121","272","18.28","41.09","-130.83","314","117","207","37.26","37.26","-10.55","537","105","208","19.55","19.55","-18.09",
"Bell, M L W","14","3","5","21.43","35.71","-0.5","29","7","10","24.14","34.48","-0.15","768","98","252","12.76","32.81","-194.5","1","3","416","58","133","13.94","31.97","-63.56","112","39","60","34.82","34.82","-1.54","462","59","152","12.77","12.77","-77.8",
"Berry, J A","1","1","1","100","100","5","1","1","1","100","100","5","42","1","5","2.38","11.9","-36","6","1","18","1","3","5.56","16.67","-12","0","0","0","0","0","0","13","1","3","7.69","7.69","-7",
