trainer,1Day_Runs,1Day_Wins,1Day_Places,1Day_Win_Strike,1Day_Place_Strike,1Day_SP_ProfitLoss,3Day_Runs,3Day_Wins,3Day_Places,3Day_Win_Strike,3Day_Place_Strike,3Day_SP_ProfitLoss,7Day_Runs,7Day_Wins,7Day_Places,7Day_Win_Strike,7Day_Place_Strike,7Day_SP_ProfitLoss,14Day_Runs,14Day_Wins,14Day_Places,14Day_Win_Strike,14Day_Place_Strike,14Day_SP_ProfitLoss,2YR_Runs,2YR_Wins,2YR_Places,2YR_Win_Strike,2YR_Place_Strike,2YR_SP_ProfitLoss,DaysSinceWin,RunsSinceWin,1YR_Runs,1YR_Wins,1YR_Places,1YR_Win_Strike,1YR_Place_Strike,1YR_SP_ProfitLoss,2yr_fav_Runs,2yr_fav_Wins,2yr_fav_Places,2yr_fav_Win_Strike,2yr_fav_Place_Strike,2yr_fav_SP_ProfitLoss,2yr_hcap_Runs,2yr_hcap_Wins,2yr_hcap_Places,2yr_hcap_Win_Strike,2yr_hcap_Place_Strike,2yr_hcap_SP_ProfitLoss,
"Allen, S G","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","-1","2","0","0","0","0","-2","13","0","1","0","7.69","-13","9999","9999","11","0","1","0","9.09","-11","0","0","0","0","0","0","7","0","0","0","0","-7",
"Appleby, M","0","0","0","0","0","0","3","0","0","0","0","-3","16","4","6","25","37.5","7.75","32","8","13","25","40.63","14.5","1746","195","551","11.17","31.56","-394.56","4","8","822","90","262","10.95","31.87","-174.64","264","71","141","26.89","26.89","-59.97","1499","160","469","10.67","10.67","-355.63",
"Aprahamian, Billy","0","0","0","0","0","0","1","0","0","0","0","-1","1","0","0","0","0","-1","2","1","1","50","50","-0.27","97","6","23","6.19","23.71","-14.07","12","2","62","4","17","6.45","27.42","-32.27","7","3","5","42.86","42.86","0.93","72","5","17","6.94","6.94","9.2",
"Attwater, M J","0","0","0","0","0","0","1","0","1","0","100","-1","3","0","2","0","66.67","-3","15","0","4","0","26.67","-15","584","34","117","5.82","20.03","-312.25","23","26","274","18","59","6.57","21.53","-150.79","25","6","11","24","24","-10.41","478","29","98","6.07","6.07","-231.3",
"Attwater, P","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","-1","9","0","1","0","11.11","-9","9999","9999","9","0","1","0","11.11","-9","0","0","0","0","0","0","5","0","0","0","0","-5",
"Bailey, K C","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","-2","480","67","154","13.96","32.08","-108.72","45","8","219","29","64","13.24","29.22","-73.87","75","23","45","30.67","30.67","-14.27","313","47","102","15.02","15.02","-29.9",
"Balding, A M","0","0","0","0","0","0","6","2","3","33.33","50","-1.6","30","7","12","23.33","40","-2.59","61","12","22","19.67","36.07","-11.84","2006","307","762","15.3","37.99","-382.16","3","5","1099","167","440","15.2","40.04","-215.95","392","133","249","33.93","33.93","-50.06","879","133","302","15.13","15.13","-106.18",
"Barclay, Stella","0","0","0","0","0","0","0","0","0","0","0","0","4","0","1","0","25","-4","9","2","3","22.22","33.33","-1.79","553","40","129","7.23","23.33","-68.9","8","5","232","16","59","6.9","25.43","-79.81","28","7","15","25","25","-5.56","450","36","107","8","8","6.02",
"Beckett, R M","0","0","0","0","0","0","0","0","0","0","0","0","22","7","12","31.82","54.55","7.75","34","7","18","20.59","52.94","-4.25","1300","240","537","18.46","41.31","-174.69","4","1","641","112","262","17.47","40.87","-122.84","315","118","208","37.46","37.46","-11.81","532","106","212","19.92","19.92","-10.22",
"Bell, M L W","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","-5","14","0","3","0","21.43","-14","777","101","252","13","32.43","-199.52","15","15","403","58","124","14.39","30.77","-63.01","112","42","62","37.5","37.5","7.94","463","61","150","13.17","13.17","-81.82",
"Best, Jim/Suzi","0","0","0","0","0","0","1","0","1","0","100","-1","1","0","1","0","100","-1","5","0","2","0","40","-5","167","13","36","7.78","21.56","-54.12","26","7","106","8","24","7.55","22.64","-48.37","9","3","4","33.33","33.33","-1.62","110","10","26","9.09","9.09","-10.75",
"Bethell, Ed","0","0","0","0","0","0","1","0","0","0","0","-1","7","2","4","28.57","57.14","0.1","11","2","4","18.18","36.36","-3.9","509","88","207","17.29","40.67","-128.75","4","2","289","44","119","15.22","41.18","-120.27","123","46","73","37.4","37.4","-5.87","302","58","124","19.21","19.21","-31.22",
