trainer,7Day_Runs,7Day_Wins,7Day_Places,7Day_Win_Strike,7Day_Place_Strike,7Day_SP_ProfitLoss,14Day_Runs,14Day_Wins,14Day_Places,14Day_Win_Strike,14Day_Place_Strike,14Day_SP_ProfitLoss,2YR_Runs,2YR_Wins,2YR_Places,2YR_Win_Strike,2YR_Place_Strike,2YR_SP_ProfitLoss,DaysSinceWin,RunsSinceWin,1YR_Runs,1YR_Wins,1YR_Places,1YR_Win_Strike,1YR_Place_Strike,1YR_SP_ProfitLoss,2yr_fav_Runs,2yr_fav_Wins,2yr_fav_Places,2yr_fav_Win_Strike,2yr_fav_Place_Strike,2yr_fav_SP_ProfitLoss,2yr_hcap_Runs,2yr_hcap_Wins,2yr_hcap_Places,2yr_hcap_Win_Strike,2yr_hcap_Place_Strike,2yr_hcap_SP_ProfitLoss,
"Alexander, N W","11","2","4","18.18","36.36","0.33","15","3","6","20","40","3.33","434","52","132","11.98","30.41","-80.14","5","7","188","25","60","13.3","31.91","-28.34","40","13","25","32.5","32.5","-1.63","293","40","99","13.65","13.65","-16.91",
"Appleby, M","26","2","10","7.69","38.46","-14.12","45","7","18","15.56","40","26.14","1865","236","578","12.65","30.99","-157.94","2","14","927","123","313","13.27","33.76","-107.93","273","88","165","32.23","32.23","-13.77","1610","205","512","12.73","12.73","-73.04",
"Attwater, M J","4","0","1","0","25","-4","10","0","1","0","10","-10","642","35","127","5.45","19.78","-247.76","36","31","297","19","67","6.4","22.56","-109.42","23","7","12","30.43","30.43","-1.14","515","29","103","5.63","5.63","-187.92",
"Bailey, K C","3","0","0","0","0","-3","6","0","0","0","0","-6","554","78","187","14.08","33.75","-140.46","53","32","252","35","87","13.89","34.52","-66.18","91","27","58","29.67","29.67","-21.23","323","41","103","12.69","12.69","-75.81",
"Bandey, R J","5","0","1","0","20","-5","7","0","1","0","14.29","-7","178","30","72","16.85","40.45","-2.28","88","23","85","19","38","22.35","44.71","31.01","38","15","26","39.47","39.47","-4.03","113","20","48","17.7","17.7","12.38",
"Barclay, Stella","5","1","1","20","20","0","12","1","4","8.33","33.33","-7","466","26","95","5.58","20.39","-4.71","1","1","264","13","54","4.92","20.45","1.41","24","6","13","25","25","-4.46","390","25","84","6.41","6.41","67.29",
"Bell, M L W","2","1","1","50","50","0.63","5","2","2","40","40","1.13","678","93","222","13.72","32.74","-231.77","7","1","340","43","122","12.65","35.88","-155.12","114","40","63","35.09","35.09","-1.51","403","54","132","13.4","13.4","-157.69",
"Best, John & Jewell, Karen","4","0","1","0","25","-4","6","0","1","0","16.67","-6","186","16","44","8.6","23.66","-60.74","56","21","128","8","22","6.25","17.19","-70.25","13","2","6","15.38","15.38","-7.49","135","15","39","11.11","11.11","-35.74",
"Bethell, Harriet","0","0","0","0","0","0","3","0","1","0","33.33","-3","83","12","30","14.46","36.14","-8","105","25","65","10","25","15.38","38.46","0.5","8","2","4","25","25","-2","79","11","28","13.92","13.92","-5.5",
"Bewley, G T","0","0","0","0","0","0","2","0","0","0","0","-2","165","22","57","13.33","34.55","-33.38","100","16","78","13","31","16.67","39.74","-5.38","15","5","8","33.33","33.33","-0.71","122","21","50","17.21","17.21","5.12",
"Bolger, E","0","0","0","0","0","0","4","1","1","25","25","5","233","22","57","9.44","24.46","-18","13","2","86","8","20","9.3","23.26","-41.77","41","11","20","26.83","26.83","-8","117","9","24","7.69","7.69","21.53",
"Botti, M","2","0","1","0","50","-2","6","1","4","16.67","66.67","-1","782","99","249","12.66","31.84","96.28","8","3","392","46","129","11.73","32.91","47.62","94","22","45","23.4","23.4","-29.93","505","70","160","13.86","13.86","10.86",
"Boughey, George","4","1","1","25","25","-2.43","12","1","2","8.33","16.67","-10.43","1293","221","498","17.09","38.52","-330.35","3","3","793","136","311","17.15","39.22","-192.25","301","128","209","42.52","42.52","15.2","698","127","283","18.19","18.19","-100.79",
"Brisland, Robyn","5","0","0","0","0","-5","9","0","1","0","11.11","-9","718","56","160","7.8","22.28","-236.11","63","46","332","22","69","6.63","20.78","-125.71","42","13","19","30.95","30.95","-5.93","526","45","125","8.56","8.56","-175.86",
"Bromhead, Henry De","3","0","1","0","33.33","-3","12","1","4","8.33","33.33","-9.75","1536","206","532","13.41","34.64","-480.36","13","10","683","83","229","12.15","33.53","-207.07","288","95","180","32.99","32.99","-67.79","589","42","150","7.13","7.13","-220.71",
"Brookhouse, B","4","2","3","50","75","3.25","5","2","3","40","60","2.25","19","4","10","21.05","52.63","1.75","4","1","19","4","10","21.05","52.63","1.75","5","1","4","20","20","-0.5","9","0","6","0","0","-9",
"Brown, A D","2","1","2","50","100","3.5","7","1","2","14.29","28.57","-1.5","226","24","60","10.62","26.55","4.41","2","1","139","16","39","11.51","28.06","-24.34","19","7","12","36.84","36.84","2.75","161","15","40","9.32","9.32","-52.89",
"Burke, K R","3","0","1","0","33.33","-3","11","0","4","0","36.36","-11","1563","214","558","13.69","35.7","-261.23","17","12","789","116","286","14.7","36.25","-35.8","220","87","141","39.55","39.55","36.4","829","100","278","12.06","12.06","-151.18",
"Butler, John","4","0","1","0","25","-4","15","1","2","6.67","13.33","-10.67","886","95","239","10.72","26.98","-185.72","8","11","459","58","132","12.64","28.76","-81.83","92","29","64","31.52","31.52","-1.74","706","79","197","11.19","11.19","-144.73",
"Cahill, Mark","1","0","0","0","0","-1","1","0","0","0","0","-1","86","2","16","2.33","18.6","-51.5","59","9","46","2","10","4.35","21.74","-11.5","4","0","3","0","0","-4","56","2","14","3.57","3.57","-21.5",
"Carroll, A W","28","4","8","14.29","28.57","-11.74","44","4","14","9.09","31.82","-27.74","1971","175","525","8.88","26.64","-454.17","1","3","1007","97","281","9.63","27.9","-155.38","135","36","79","26.67","26.67","-23.24","1644","154","464","9.37","9.37","-335.43",
"Casey, Francis","0","0","0","0","0","0","0","0","0","0","0","0","66","6","18","9.09","27.27","-42.68","293","24","32","2","6","6.25","18.75","-28.43","11","3","6","27.27","27.27","-2.43","43","2","11","4.65","4.65","-33.5",
"Cole, Miss D","0","0","0","0","0","0","1","0","1","0","100","-1","54","3","9","5.56","16.67","9","110","13","37","2","6","5.41","16.22","-25","0","0","0","0","0","0","27","2","4","7.41","7.41","-15",
"Collins, C M","1","0","0","0","0","-1","4","1","1","25","25","-2.82","77","5","17","6.49","22.08","-41.49","10","3","77","5","17","6.49","22.08","-41.49","1","1","1","100","100","0.18","30","4","10","13.33","13.33","4.33",
"Coltherd, W S","1","0","0","0","0","-1","5","3","3","60","60","7.46","290","42","98","14.48","33.79","-16.78","9","2","138","21","44","15.22","31.88","22.62","49","18","33","36.73","36.73","7.31","233","39","90","16.74","16.74","-35.53",
"Cowell, R M H","3","0","1","0","33.33","-3","4","0","1","0","25","-4","588","50","147","8.5","25","-121.02","51","9","276","18","55","6.52","19.93","-25.67","43","15","26","34.88","34.88","6.11","436","40","112","9.17","9.17","-51.64",
"Crawford, S R B","10","0","3","0","30","-10","16","0","5","0","31.25","-16","529","47","160","8.88","30.25","-170.46","18","18","272","22","77","8.09","28.31","-94.85","48","20","29","41.67","41.67","2.83","165","15","52","9.09","9.09","-9.79",
"Crawley, Shane","2","0","0","0","0","-2","3","0","0","0","0","-3","145","8","25","5.52","17.24","-87.67","45","7","56","3","8","5.36","14.29","-37.67","16","3","7","18.75","18.75","-3.67","81","7","20","8.64","8.64","-32.67",
"Cromwell, Gavin Patrick","13","3","7","23.08","53.85","-1.92","23","4","11","17.39","47.83","-7.42","1603","163","474","10.17","29.57","-554.57","1","2","838","88","259","10.5","30.91","-349.41","202","60","124","29.7","29.7","-22.63","829","79","239","9.53","9.53","-197.13",
"Crook, A","1","0","0","0","0","-1","1","0","0","0","0","-1","140","4","23","2.86","16.43","-112.37","107","22","63","2","10","3.17","15.87","-55.62","3","2","3","66.67","66.67","3.13","115","4","20","3.48","3.48","-87.37",
"Curling, S","1","0","1","0","100","-1","3","0","1","0","33.33","-3","214","14","59","6.54","27.57","-136.7","33","8","84","9","21","10.71","25","-33.7","22","5","15","22.73","22.73","-7.45","58","7","18","12.07","12.07","-13.25",
"Daniels, Richard","0","0","0","0","0","0","0","0","0","0","0","0","13","0","0","0","0","-13","9999","9999","4","0","0","0","0","-4","0","0","0","0","0","0","6","0","0","0","0","-6",
"Davis, D J S Ffrench","4","1","1","25","25","1","6","1","1","16.67","16.67","-1","194","13","49","6.7","25.26","-99.67","1","2","102","10","24","9.8","23.53","-27.17","8","1","6","12.5","12.5","-4.5","137","12","45","8.76","8.76","-57.67",
"Dempsey, J P","2","0","0","0","0","-2","5","0","0","0","0","-5","175","12","40","6.86","22.86","-96.29","109","26","66","6","14","9.09","21.21","-38.29","15","3","9","20","20","-6.37","104","7","25","6.73","6.73","-42",
"Dennis, David","3","2","2","66.67","66.67","14.5","4","2","2","50","50","13.5","155","18","50","11.61","32.26","-55.79","1","1","106","12","33","11.32","31.13","-38.62","6","2","3","33.33","33.33","0.75","128","18","46","14.06","14.06","-28.79",
"Derham, Harry","1","0","1","0","100","-1","4","1","2","25","50","1","28","6","12","21.43","42.86","30.7","10","2","28","6","12","21.43","42.86","30.7","4","1","2","25","25","-2.8","11","3","5","27.27","27.27","15.5",
"Dixon, Scott","8","1","3","12.5","37.5","-5.37","21","2","6","9.52","28.57","-11.87","803","61","177","7.6","22.04","-133.12","4","4","480","37","101","7.71","21.04","-70.12","31","3","12","9.68","9.68","-20","741","55","161","7.42","7.42","-139.75",
"Dobbin, Mrs R","3","0","0","0","0","-3","3","0","0","0","0","-3","273","38","84","13.92","30.77","-33.22","53","18","132","13","35","9.85","26.52","-38.61","31","13","17","41.94","41.94","6.53","214","31","63","14.49","14.49","-6.72",
"Dobbs, Mrs Prunella","0","0","0","0","0","0","1","0","0","0","0","-1","109","4","15","3.67","13.76","-59.5","46","7","58","3","8","5.17","13.79","-12.5","5","0","3","0","0","-5","47","3","10","6.38","6.38","-1.5",
"Dow, S","6","1","1","16.67","16.67","3.5","10","2","3","20","30","3.5","353","24","92","6.8","26.06","-164.56","1","1","102","6","26","5.88","25.49","-66.75","27","5","18","18.52","18.52","-11.55","310","20","82","6.45","6.45","-138.39",
"Downey, P","0","0","0","0","0","0","1","0","0","0","0","-1","36","6","10","16.67","27.78","4.38","95","4","21","6","10","28.57","47.62","19.38","2","0","1","0","0","-2","22","6","10","27.27","27.27","18.38",
"Drinkwater, S W","2","0","1","0","50","-2","2","0","1","0","50","-2","207","23","64","11.11","30.92","-66.38","31","14","95","10","28","10.53","29.47","-37.87","27","7","14","25.93","25.93","-6.46","137","15","45","10.95","10.95","-57.74",
"Easterby, M W","6","0","2","0","33.33","-6","9","0","2","0","22.22","-9","906","80","242","8.83","26.71","-332.22","43","25","452","47","129","10.4","28.54","-99.32","112","24","57","21.43","21.43","-32.84","686","72","210","10.5","10.5","-144.09",
"Elliott, Gordon","16","3","7","18.75","43.75","-5.51","47","9","21","19.15","44.68","-14.63","2251","360","857","15.99","38.07","-489.09","6","3","1483","227","541","15.31","36.48","-392.2","442","189","303","42.76","42.76","-15.44","734","73","187","9.95","9.95","-159.64",
"Ellison, B","6","2","3","33.33","50","2","10","2","4","20","40","-2","943","98","281","10.39","29.8","-340.72","4","3","442","46","132","10.41","29.86","-169.03","113","39","69","34.51","34.51","2.99","709","76","218","10.72","10.72","-215.77",
"Evans, H J","0","0","0","0","0","0","3","0","2","0","66.67","-3","255","31","77","12.16","30.2","-38.79","15","5","143","20","42","13.99","29.37","-25.12","21","6","12","28.57","28.57","-4.17","221","28","71","12.67","12.67","-50.79",
"Evans, P D","8","1","3","12.5","37.5","43","15","2","5","13.33","33.33","41.5","1100","130","337","11.82","30.64","-199.28","2","4","536","61","181","11.38","33.77","-120.94","122","37","72","30.33","30.33","-11.89","807","102","262","12.64","12.64","-207.87",
