trainer,7Day_Runs,7Day_Wins,7Day_Places,7Day_Win_Strike,7Day_Place_Strike,7Day_SP_ProfitLoss,14Day_Runs,14Day_Wins,14Day_Places,14Day_Win_Strike,14Day_Place_Strike,14Day_SP_ProfitLoss,2YR_Runs,2YR_Wins,2YR_Places,2YR_Win_Strike,2YR_Place_Strike,2YR_SP_ProfitLoss,DaysSinceWin,RunsSinceWin,1YR_Runs,1YR_Wins,1YR_Places,1YR_Win_Strike,1YR_Place_Strike,1YR_SP_ProfitLoss,2yr_fav_Runs,2yr_fav_Wins,2yr_fav_Places,2yr_fav_Win_Strike,2yr_fav_Place_Strike,2yr_fav_SP_ProfitLoss,2yr_hcap_Runs,2yr_hcap_Wins,2yr_hcap_Places,2yr_hcap_Win_Strike,2yr_hcap_Place_Strike,2yr_hcap_SP_ProfitLoss,
"Allwood, S","0","0","0","0","0","0","0","0","0","0","0","0","157","9","34","5.73","21.66","-116.77","69","4","73","5","15","6.85","20.55","-54.4","13","5","8","38.46","38.46","2.23","110","9","34","8.18","8.18","-69.77",
"Armson, R J","0","0","0","0","0","0","0","0","0","0","0","0","53","4","11","7.55","20.75","38","38","2","19","1","5","5.26","26.32","-13.5","1","0","1","0","0","-1","44","4","10","9.09","9.09","47",
"Bandey, R J","0","0","0","0","0","0","3","1","1","33.33","33.33","-1.75","158","23","61","14.56","38.61","52.79","11","1","88","20","42","22.73","47.73","10.29","31","12","23","38.71","38.71","-5.21","97","18","45","18.56","18.56","86.88",
"Barr, Brian","0","0","0","0","0","0","2","0","0","0","0","-2","216","12","43","5.56","19.91","-133.25","50","7","99","6","19","6.06","19.19","-57.25","7","2","4","28.57","28.57","-0.75","150","8","30","5.33","5.33","-86.25",
"Bolger, J S","2","0","1","0","50","-2","18","0","5","0","27.78","-18","930","84","212","9.03","22.8","-185.11","15","23","356","22","72","6.18","20.22","-171.82","73","25","41","34.25","34.25","8.43","404","34","96","8.42","8.42","-85.09",
"Boyle, J R","11","1","2","9.09","18.18","-3.5","20","1","3","5","15","-12.5","396","40","99","10.1","25","-153.56","3","7","201","15","47","7.46","23.38","-106.21","41","13","22","31.71","31.71","0.9","324","35","85","10.8","10.8","-102.22",
"Braddish, S","2","0","1","0","50","-2","2","0","1","0","50","-2","51","3","10","5.88","19.61","-9","46","7","38","1","5","2.63","13.16","-12","1","0","1","0","0","-1","32","3","10","9.38","9.38","10",
"Breen, Leanne","1","0","0","0","0","-1","2","0","0","0","0","-2","166","7","20","4.22","12.05","-105.67","149","19","74","3","9","4.05","12.16","-51.67","8","1","2","12.5","12.5","-3.67","151","7","20","4.64","4.64","-90.67",
"Bridgwater, D G","1","0","0","0","0","-1","4","0","0","0","0","-4","254","16","53","6.3","20.87","-110.88","54","11","144","9","28","6.25","19.44","-69.38","21","4","9","19.05","19.05","-8.38","178","10","37","5.62","5.62","-92.5",
"Broad, D","0","0","0","0","0","0","1","0","0","0","0","-1","97","4","12","4.12","12.37","-25","212","20","38","3","7","7.89","18.42","25","2","0","0","0","0","-2","52","4","11","7.69","7.69","20",
