trainer,1Day_Runs,1Day_Wins,1Day_Places,1Day_Win_Strike,1Day_Place_Strike,1Day_SP_ProfitLoss,3Day_Runs,3Day_Wins,3Day_Places,3Day_Win_Strike,3Day_Place_Strike,3Day_SP_ProfitLoss,7Day_Runs,7Day_Wins,7Day_Places,7Day_Win_Strike,7Day_Place_Strike,7Day_SP_ProfitLoss,14Day_Runs,14Day_Wins,14Day_Places,14Day_Win_Strike,14Day_Place_Strike,14Day_SP_ProfitLoss,2YR_Runs,2YR_Wins,2YR_Places,2YR_Win_Strike,2YR_Place_Strike,2YR_SP_ProfitLoss,DaysSinceWin,RunsSinceWin,1YR_Runs,1YR_Wins,1YR_Places,1YR_Win_Strike,1YR_Place_Strike,1YR_SP_ProfitLoss,2yr_fav_Runs,2yr_fav_Wins,2yr_fav_Places,2yr_fav_Win_Strike,2yr_fav_Place_Strike,2yr_fav_SP_ProfitLoss,2yr_hcap_Runs,2yr_hcap_Wins,2yr_hcap_Places,2yr_hcap_Win_Strike,2yr_hcap_Place_Strike,2yr_hcap_SP_ProfitLoss,
"Allen, C N","0","0","0","0","0","0","3","1","1","33.33","33.33","16","3","1","1","33.33","33.33","16","5","2","2","40","40","23.5","221","25","70","11.31","31.67","1.67","3","1","105","16","37","15.24","35.24","37.54","21","7","11","33.33","33.33","2.84","169","20","57","11.83","11.83","-26.16",
"Appleby, Charlie","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","100","-1","9","3","8","33.33","88.89","10.83","727","212","384","29.16","52.82","-27.51","9","2","313","95","167","30.35","53.35","-1.15","348","145","225","41.67","41.67","-36.41","133","37","66","27.82","27.82","60.22",
"Appleby, M","1","1","1","100","100","7.5","5","1","3","20","60","3.5","12","3","6","25","50","3.75","26","3","8","11.54","30.77","-10.25","1737","191","547","11","31.49","-411.98","1","1","824","88","261","10.68","31.67","-183.89","262","70","140","26.72","26.72","-61.22","1490","156","465","10.47","10.47","-373.05",
"Attwater, M J","2","0","1","0","50","-2","6","0","2","0","33.33","-6","11","0","3","0","27.27","-11","20","0","4","0","20","-20","581","35","116","6.02","19.97","-297.25","15","21","274","18","58","6.57","21.17","-150.79","25","6","11","24","24","-10.41","475","30","97","6.32","6.32","-216.3",
"Attwater, P","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","-1","8","0","1","0","12.5","-8","9999","9999","8","0","1","0","12.5","-8","0","0","0","0","0","0","5","0","0","0","0","-5",
"Bailey, K C","0","0","0","0","0","0","1","0","0","0","0","-1","1","0","0","0","0","-1","3","0","0","0","0","-3","479","67","154","13.99","32.15","-107.72","37","7","218","29","64","13.3","29.36","-72.87","75","23","45","30.67","30.67","-14.27","313","47","102","15.02","15.02","-29.9",
"Baker, George","0","0","0","0","0","0","5","0","0","0","0","-5","7","0","0","0","0","-7","14","1","1","7.14","7.14","-4","385","37","106","9.61","27.53","-40.25","14","14","204","19","45","9.31","22.06","51.38","31","9","15","29.03","29.03","-7.25","329","36","96","10.94","10.94","13.37",
"Balding, A M","2","1","1","50","50","0.25","11","2","3","18.18","27.27","-3.25","28","5","8","17.86","28.57","-6.25","77","14","30","18.18","38.96","-14.56","1995","305","760","15.29","38.1","-362.57","1","2","1100","168","442","15.27","40.18","-199.94","388","130","247","33.51","33.51","-53.14","877","131","302","14.94","14.94","-111.76",
"Barclay, Stella","0","0","0","0","0","0","0","0","0","0","0","0","3","1","1","33.33","33.33","1.33","7","1","2","14.29","28.57","-2.67","551","39","129","7.08","23.41","-69.78","4","2","235","15","59","6.38","25.11","-85.69","26","6","13","23.08","23.08","-6.44","449","35","107","7.8","7.8","4.14",
"Barcoe, James M","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","100","-1","6","0","1","0","16.67","-6","226","9","40","3.98","17.7","-96.67","25","10","126","6","25","4.76","19.84","-62.17","7","2","3","28.57","28.57","4","169","9","35","5.33","5.33","-39.67",
