trainer,1Day_Runs,1Day_Wins,1Day_Places,1Day_Win_Strike,1Day_Place_Strike,1Day_SP_ProfitLoss,3Day_Runs,3Day_Wins,3Day_Places,3Day_Win_Strike,3Day_Place_Strike,3Day_SP_ProfitLoss,7Day_Runs,7Day_Wins,7Day_Places,7Day_Win_Strike,7Day_Place_Strike,7Day_SP_ProfitLoss,14Day_Runs,14Day_Wins,14Day_Places,14Day_Win_Strike,14Day_Place_Strike,14Day_SP_ProfitLoss,2YR_Runs,2YR_Wins,2YR_Places,2YR_Win_Strike,2YR_Place_Strike,2YR_SP_ProfitLoss,DaysSinceWin,RunsSinceWin,1YR_Runs,1YR_Wins,1YR_Places,1YR_Win_Strike,1YR_Place_Strike,1YR_SP_ProfitLoss,2yr_fav_Runs,2yr_fav_Wins,2yr_fav_Places,2yr_fav_Win_Strike,2yr_fav_Place_Strike,2yr_fav_SP_ProfitLoss,2yr_hcap_Runs,2yr_hcap_Wins,2yr_hcap_Places,2yr_hcap_Win_Strike,2yr_hcap_Place_Strike,2yr_hcap_SP_ProfitLoss,
"Allen, C N","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","-3","8","2","2","25","25","13.5","225","26","71","11.56","31.56","0.17","9","5","108","17","37","15.74","34.26","37.04","21","7","11","33.33","33.33","2.84","173","20","57","11.56","11.56","-30.16",
"Appleby, Charlie","0","0","0","0","0","0","0","0","0","0","0","0","2","1","1","50","50","0.38","5","1","2","20","40","-2.62","720","210","380","29.17","52.78","-36.92","7","2","309","94","166","30.42","53.72","-3.02","345","144","222","41.74","41.74","-34.82","131","36","64","27.48","27.48","47.22",
"Appleby, M","2","0","1","0","50","-2","5","0","1","0","20","-5","16","2","5","12.5","31.25","-5.75","34","8","14","23.53","41.18","12.5","1746","195","552","11.17","31.62","-394.56","5","10","823","90","263","10.94","31.96","-175.64","265","71","142","26.79","26.79","-60.97","1498","160","470","10.68","10.68","-354.63",
"Attwater, M J","1","0","0","0","0","-1","5","0","2","0","40","-5","6","0","3","0","50","-6","19","0","5","0","26.32","-19","588","34","118","5.78","20.07","-316.25","24","30","278","18","60","6.47","21.58","-154.79","26","6","12","23.08","23.08","-11.41","482","29","99","6.02","6.02","-235.3",
"Bailey, Liam","0","0","0","0","0","0","1","0","0","0","0","-1","1","0","0","0","0","-1","1","0","0","0","0","-1","292","23","67","7.88","22.95","-140.63","34","8","144","14","38","9.72","26.39","-55.63","15","4","10","26.67","26.67","-3.13","224","17","49","7.59","7.59","-107.63",
"Balding, A M","2","1","2","50","100","3.5","6","2","4","33.33","66.67","0.67","30","7","14","23.33","46.67","-5.55","62","13","25","20.97","40.32","-7.67","2009","309","765","15.38","38.08","-378.49","1","2","1100","169","443","15.36","40.27","-210.28","393","134","250","34.1","34.1","-49.89","879","133","301","15.13","15.13","-106.18",
"Beckett, R M","1","0","1","0","100","-1","4","1","2","25","50","-2.56","23","6","12","26.09","52.17","4.69","36","8","19","22.22","52.78","-4.81","1303","241","539","18.5","41.37","-176.25","2","3","643","113","264","17.57","41.06","-123.4","316","119","210","37.66","37.66","-11.37","532","106","212","19.92","19.92","-10.22",
"Bell, M L W","1","0","1","0","100","-1","5","0","2","0","40","-5","8","0","2","0","25","-8","19","0","5","0","26.32","-19","781","101","253","12.93","32.39","-203.52","16","20","407","58","126","14.25","30.96","-67.01","112","42","62","37.5","37.5","7.94","466","61","152","13.09","13.09","-84.82",
"Berry, John","0","0","0","0","0","0","1","0","0","0","0","-1","1","0","0","0","0","-1","2","0","0","0","0","-2","168","16","52","9.52","30.95","-28.69","15","3","89","9","23","10.11","25.84","-7.17","18","4","8","22.22","22.22","-5.52","137","15","47","10.95","10.95","-2.02",
"Bethell, Ed","1","1","1","100","100","2.75","4","1","2","25","50","-0.25","10","3","5","30","50","0.85","15","3","6","20","40","-4.15","510","89","208","17.45","40.78","-126","1","1","293","45","121","15.36","41.3","-120.52","125","47","74","37.6","37.6","-4.12","302","58","124","19.21","19.21","-31.22",
"Botti, M","0","0","0","0","0","0","3","0","0","0","0","-3","8","0","1","0","12.5","-8","13","1","2","7.69","15.38","-5","826","92","255","11.14","30.87","-123.96","8","9","464","57","146","12.28","31.47","-86.12","84","20","47","23.81","23.81","-27.44","526","59","160","11.22","11.22","-93.78",
"Boughey, George","3","1","1","33.33","33.33","2.5","11","1","3","9.09","27.27","-5.5","16","1","5","6.25","31.25","-10.5","33","4","11","12.12","33.33","-2.25","1483","236","554","15.91","37.36","-308.9","1","2","713","111","266","15.57","37.31","-139.62","303","106","196","34.98","34.98","-38.76","834","139","320","16.67","16.67","-66.28",
"Boyle, J R","2","0","1","0","50","-2","6","2","3","33.33","50","3.33","9","2","3","22.22","33.33","0.33","16","2","5","12.5","31.25","-6.67","392","34","105","8.67","26.79","-176.38","3","3","205","21","60","10.24","29.27","-80.46","36","8","18","22.22","22.22","-11.62","341","34","98","9.97","9.97","-125.38",
"Bridger, J / Cook, R","0","0","0","0","0","0","0","0","0","0","0","0","3","0","1","0","33.33","-3","7","0","2","0","28.57","-7","257","17","53","6.61","20.62","-131.19","20","8","135","11","33","8.15","24.44","-55.57","18","3","8","16.67","16.67","-11.27","202","15","47","7.43","7.43","-85.94",
"Brittain, Antony","3","0","1","0","33.33","-3","5","0","1","0","20","-5","11","1","3","9.09","27.27","-6.67","19","1","3","5.26","15.79","-14.67","567","33","137","5.82","24.16","-300.71","7","8","250","9","47","3.6","18.8","-179.29","19","7","11","36.84","36.84","3.71","488","31","118","6.35","6.35","-229.84",
"Brown, A D","0","0","0","0","0","0","2","0","0","0","0","-2","4","0","0","0","0","-4","5","0","0","0","0","-5","321","37","103","11.53","32.09","-55.12","16","6","154","14","50","9.09","32.47","-45.21","46","10","22","21.74","21.74","-15.03","262","33","87","12.6","12.6","-17.17",
"Burke, K R","0","0","0","0","0","0","2","0","1","0","50","-2","16","1","5","6.25","31.25","-11.5","36","3","12","8.33","33.33","-20.75","1543","237","591","15.36","38.3","-260.55","5","14","792","131","312","16.54","39.39","-63.35","255","94","158","36.86","36.86","-20.39","703","84","230","11.95","11.95","-149.59",
"Burrows, Owen","0","0","0","0","0","0","1","0","0","0","0","-1","6","1","2","16.67","33.33","-2.25","8","1","2","12.5","25","-4.25","234","46","94","19.66","40.17","-32.74","7","6","129","21","47","16.28","36.43","-23.48","60","25","37","41.67","41.67","-1.32","86","13","31","15.12","15.12","-25.21",
"Butler, John","2","0","1","0","50","-2","5","1","2","20","40","-0.67","16","3","5","18.75","31.25","-2.67","27","5","9","18.52","33.33","-6.92","995","71","229","7.14","23.02","-439.56","2","5","499","30","110","6.01","22.04","-249.08","83","25","54","30.12","30.12","-2.11","762","60","190","7.87","7.87","-317.82",
"Camacho, Miss J A","3","0","0","0","0","-3","3","0","0","0","0","-3","11","2","3","18.18","27.27","4.5","27","4","7","14.81","25.93","-1","635","64","170","10.08","26.77","-78.89","5","5","357","31","94","8.68","26.33","-48.65","60","14","30","23.33","23.33","-6.05","513","50","141","9.75","9.75","-66.32",
"Carr, Mrs R A","1","0","0","0","0","-1","8","1","1","12.5","12.5","1","13","2","3","15.38","23.08","1","35","3","10","8.57","28.57","-11","874","97","259","11.1","29.63","-146.4","2","3","479","49","128","10.23","26.72","-100.92","85","25","38","29.41","29.41","3.27","822","93","248","11.31","11.31","-121.4",
"Carroll, A W","0","0","0","0","0","0","1","0","0","0","0","-1","13","1","1","7.69","7.69","-9","39","4","9","10.26","23.08","-23.02","1942","178","494","9.17","25.44","-488.25","7","10","931","94","251","10.1","26.96","-228.52","173","57","111","32.95","32.95","-2.49","1605","154","419","9.6","9.6","-329.41",
"Chamings, P R","0","0","0","0","0","0","2","0","0","0","0","-2","2","0","0","0","0","-2","9","0","1","0","11.11","-9","237","25","57","10.55","24.05","-27.17","16","11","109","10","26","9.17","23.85","-27.75","14","5","8","35.71","35.71","4.08","215","25","55","11.63","11.63","-5.17",
"Channon, Jack","0","0","0","0","0","0","0","0","0","0","0","0","2","0","1","0","50","-2","14","1","5","7.14","35.71","-12.27","632","97","257","15.35","40.66","7.72","13","10","366","62","155","16.94","42.35","30.73","104","35","69","33.65","33.65","-12.31","433","66","186","15.24","15.24","11.4",
"Chapple-Hyam, Jane","0","0","0","0","0","0","0","0","0","0","0","0","4","2","3","50","75","10.25","15","3","6","20","40","2.5","475","48","145","10.11","30.53","-104.37","6","1","246","30","79","12.2","32.11","-34.52","47","14","27","29.79","29.79","-7.7","228","25","79","10.96","10.96","-36.09",
"Chapple-Hyam, P W","0","0","0","0","0","0","1","0","1","0","100","-1","3","0","2","0","66.67","-3","6","1","3","16.67","50","2.5","143","22","48","15.38","33.57","13.9","14","6","86","12","27","13.95","31.4","20.21","21","8","15","38.1","38.1","0.9","81","17","31","20.99","20.99","26.44",
"Clover, Tom","0","0","0","0","0","0","0","0","0","0","0","0","6","1","3","16.67","50","-2.5","11","3","6","27.27","54.55","-2.14","420","53","161","12.62","38.33","-112.83","5","1","233","33","93","14.16","39.91","-38.75","57","25","40","43.86","43.86","10.92","220","26","78","11.82","11.82","-17.24",
"Cole, P F I","0","0","0","0","0","0","0","0","0","0","0","0","3","1","2","33.33","66.67","-1.38","10","2","3","20","30","-6.58","350","45","132","12.86","37.71","-94.22","6","1","173","28","62","16.18","35.84","-26.47","50","18","33","36","36","-2.81","215","18","71","8.37","8.37","-113.37",
"Coward, Miss J M","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","90","8","29","8.89","32.22","3.5","81","9","46","6","15","13.04","32.61","32.5","15","1","9","6.67","6.67","-13","75","7","28","9.33","9.33","-32.5",
"Crisford, Simon","0","0","0","0","0","0","2","0","1","0","50","-2","9","0","2","0","22.22","-9","26","4","9","15.38","34.62","-11","720","140","319","19.44","44.31","-131.41","8","13","368","70","160","19.02","43.48","-65.58","170","65","112","38.24","38.24","-18.57","321","69","139","21.5","21.5","9.95",
"Dace, L A","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","100","100","25","4","1","1","25","25","22","122","8","30","6.56","24.59","-58","7","1","75","5","19","6.67","25.33","-27","9","2","5","22.22","22.22","-4.5","101","8","27","7.92","7.92","-37",
"Dixon, Scott","0","0","0","0","0","0","3","0","1","0","33.33","-3","10","0","4","0","40","-10","26","0","6","0","23.08","-26","914","63","204","6.89","22.32","-205.49","23","38","500","38","120","7.6","24","-85.12","48","8","23","16.67","16.67","-20.62","840","56","183","6.67","6.67","-197.62",
"Dods, M","3","0","0","0","0","-3","7","0","1","0","14.29","-7","18","0","2","0","11.11","-18","42","4","8","9.52","19.05","-16.59","1114","112","332","10.05","29.8","-295.51","9","22","562","54","159","9.61","28.29","-130.78","117","35","62","29.91","29.91","-0.38","915","83","272","9.07","9.07","-286.29",
"Dow, S","0","0","0","0","0","0","2","0","0","0","0","-2","3","0","0","0","0","-3","10","2","3","20","30","1.5","319","33","79","10.34","24.76","1.29","12","8","188","20","49","10.64","26.06","44.71","19","3","9","15.79","15.79","-10.62","279","31","74","11.11","11.11","27.29",
"Easterby, M W","2","0","1","0","50","-2","6","0","1","0","16.67","-6","11","0","1","0","9.09","-11","22","2","4","9.09","18.18","-12","968","97","296","10.02","30.58","-172.31","11","15","469","45","149","9.59","31.77","-78.15","108","19","52","17.59","17.59","-49.62","770","80","248","10.39","10.39","-167.83",
"Easterby, T D","8","1","3","12.5","37.5","-1.5","16","1","5","6.25","31.25","-9.5","40","2","10","5","25","-24.5","66","5","15","7.58","22.73","-32.5","2703","213","699","7.88","25.86","-1028.35","1","7","1247","100","342","8.02","27.43","-491.21","212","46","120","21.7","21.7","-58.22","2223","191","613","8.59","8.59","-730.29",
"Ellison, B","0","0","0","0","0","0","5","1","1","20","20","-2","13","2","3","15.38","23.08","-0.5","20","5","7","25","35","7.25","839","97","253","11.56","30.15","-15.55","2","5","436","51","132","11.7","30.28","112.8","72","25","45","34.72","34.72","3.83","632","77","199","12.18","12.18","-87.31",
"England, Sam","0","0","0","0","0","0","3","1","1","33.33","33.33","0.25","7","1","1","14.29","14.29","-3.75","9","1","2","11.11","22.22","-5.75","504","61","152","12.1","30.16","-165.97","3","2","282","33","78","11.7","27.66","-91.08","87","23","50","26.44","26.44","-16.76","418","54","138","12.92","12.92","-135.92",
"Evans, P D","0","0","0","0","0","0","2","0","1","0","50","-2","7","0","1","0","14.29","-7","18","1","4","5.56","22.22","-10","951","100","286","10.52","30.07","-77.34","13","15","436","45","121","10.32","27.75","36.29","101","25","61","24.75","24.75","-13.82","742","91","252","12.26","12.26","-146.92",
"Fahey, R A","2","0","0","0","0","-2","12","1","4","8.33","33.33","7","33","1","10","3.03","30.3","-14","50","3","15","6","30","0.5","1824","207","557","11.35","30.54","-410.4","2","3","948","92","258","9.7","27.22","-257.44","182","59","99","32.42","32.42","4.34","1310","141","382","10.76","10.76","-242.17",
"Fanshawe, J R","1","1","1","100","100","1.75","7","3","3","42.86","42.86","1.7","17","5","8","29.41","47.06","-1.47","32","10","17","31.25","53.13","16.98","664","102","260","15.36","39.16","-150.81","1","1","371","60","152","16.17","40.97","-51.53","138","48","88","34.78","34.78","-6.97","439","76","189","17.31","17.31","-85.46",
"Fell, R / Murray, S","2","0","0","0","0","-2","6","0","0","0","0","-6","11","1","2","9.09","18.18","6","21","1","5","4.76","23.81","-4","937","79","240","8.43","25.61","-290.12","7","10","440","30","105","6.82","23.86","-127.04","69","24","44","34.78","34.78","13.97","767","69","202","9","9","-196.7",
"Fellowes, Charlie","0","0","0","0","0","0","0","0","0","0","0","0","5","1","1","20","20","-1","20","3","9","15","45","-9.12","615","68","188","11.06","30.57","-149.75","5","1","298","34","101","11.41","33.89","-65.01","74","23","43","31.08","31.08","-6.21","394","46","125","11.68","11.68","-53.53",
