trainer,7Day_Runs,7Day_Wins,7Day_Places,7Day_Win_Strike,7Day_Place_Strike,7Day_SP_ProfitLoss,14Day_Runs,14Day_Wins,14Day_Places,14Day_Win_Strike,14Day_Place_Strike,14Day_SP_ProfitLoss,2YR_Runs,2YR_Wins,2YR_Places,2YR_Win_Strike,2YR_Place_Strike,2YR_SP_ProfitLoss,DaysSinceWin,RunsSinceWin,1YR_Runs,1YR_Wins,1YR_Places,1YR_Win_Strike,1YR_Place_Strike,1YR_SP_ProfitLoss,2yr_fav_Runs,2yr_fav_Wins,2yr_fav_Places,2yr_fav_Win_Strike,2yr_fav_Place_Strike,2yr_fav_SP_ProfitLoss,2yr_hcap_Runs,2yr_hcap_Wins,2yr_hcap_Places,2yr_hcap_Win_Strike,2yr_hcap_Place_Strike,2yr_hcap_SP_ProfitLoss,
"Allan, Miss Louise","0","0","0","0","0","0","2","0","0","0","0","-2","91","4","13","4.4","14.29","-54.17","95","11","49","2","6","4.08","12.24","-38.17","0","0","0","0","0","0","53","4","12","7.55","7.55","-16.17",
"Allen, C N","3","1","1","33.33","33.33","12","6","1","1","16.67","16.67","9","198","21","62","10.61","31.31","-67.79","3","2","90","12","30","13.33","33.33","3.75","26","6","13","23.08","23.08","-5.87","158","19","53","12.03","12.03","-35.54",
"Alston, E J","3","0","0","0","0","-3","3","0","0","0","0","-3","177","16","42","9.04","23.73","-46.46","21","7","87","5","20","5.75","22.99","-0.5","19","6","13","31.58","31.58","2.96","157","15","37","9.55","9.55","-67.46",
"Appleby, Charlie","11","2","3","18.18","27.27","-6.02","29","7","11","24.14","37.93","-14.04","846","257","479","30.38","56.62","-29.89","1","1","482","152","264","31.54","54.77","-7.47","387","175","279","45.22","45.22","4.4","207","54","96","26.09","26.09","-36.12",
"Appleby, M","14","2","8","14.29","57.14","-10.06","32","4","15","12.5","46.88","-7.06","1978","236","587","11.93","29.68","-119.02","2","4","913","122","285","13.36","31.22","-80.05","261","77","151","29.5","29.5","-26.22","1710","204","525","11.93","11.93","-114.16",
"Attwater, M J","9","1","3","11.11","33.33","-6.12","13","1","3","7.69","23.08","-10.12","641","33","127","5.15","19.81","-278.01","6","6","327","19","73","5.81","22.32","-138.92","21","7","14","33.33","33.33","0.86","514","29","108","5.64","5.64","-210.92",
"Balding, A M","31","2","6","6.45","19.35","-27.7","58","4","14","6.9","24.14","-39.2","1890","289","690","15.29","36.51","-74.32","5","17","953","131","336","13.75","35.26","-138.36","310","95","187","30.65","30.65","-65.4","888","133","312","14.98","14.98","-96.18",
"Barclay, Stella","4","0","0","0","0","-4","10","0","2","0","20","-10","421","26","83","6.18","19.71","-97.88","26","17","207","14","40","6.76","19.32","27.29","16","6","9","37.5","37.5","2.37","339","23","71","6.78","6.78","-28.38",
"Barnes, M A","0","0","0","0","0","0","1","0","0","0","0","-1","291","16","45","5.5","15.46","-86.62","77","14","118","6","14","5.08","11.86","-81.75","6","1","1","16.67","16.67","-0.5","199","12","36","6.03","6.03","-118",
"Barr, R E","0","0","0","0","0","0","1","0","0","0","0","-1","20","0","0","0","0","-20","1124","55","11","0","0","0","0","-11","0","0","0","0","0","0","18","0","0","0","0","-18",
