trainer,7Day_Runs,7Day_Wins,7Day_Places,7Day_Win_Strike,7Day_Place_Strike,7Day_SP_ProfitLoss,14Day_Runs,14Day_Wins,14Day_Places,14Day_Win_Strike,14Day_Place_Strike,14Day_SP_ProfitLoss,2YR_Runs,2YR_Wins,2YR_Places,2YR_Win_Strike,2YR_Place_Strike,2YR_SP_ProfitLoss,DaysSinceWin,RunsSinceWin,1YR_Runs,1YR_Wins,1YR_Places,1YR_Win_Strike,1YR_Place_Strike,1YR_SP_ProfitLoss,2yr_fav_Runs,2yr_fav_Wins,2yr_fav_Places,2yr_fav_Win_Strike,2yr_fav_Place_Strike,2yr_fav_SP_ProfitLoss,2yr_hcap_Runs,2yr_hcap_Wins,2yr_hcap_Places,2yr_hcap_Win_Strike,2yr_hcap_Place_Strike,2yr_hcap_SP_ProfitLoss,
"Aherne, Sean","0","0","0","0","0","0","3","1","2","33.33","66.67","4","130","12","30","9.23","23.08","24.5","10","1","52","4","14","7.69","26.92","11.5","8","2","6","25","25","2","94","10","26","10.64","10.64","18.5",
"Allwood, S","2","0","0","0","0","-2","5","0","1","0","20","-5","157","9","30","5.73","19.11","-116.9","158","51","71","3","12","4.23","16.9","-60","10","4","6","40","40","2.35","111","9","30","8.11","8.11","-70.9",
"Bailey, K C","6","0","1","0","16.67","-6","6","0","1","0","16.67","-6","549","76","184","13.84","33.52","-142.21","61","38","248","35","86","14.11","34.68","-62.18","88","26","57","29.55","29.55","-21.23","320","40","100","12.5","12.5","-76.56",
"Bandey, R J","2","2","2","100","100","10.25","11","2","3","18.18","27.27","1.25","181","32","73","17.68","40.33","6.97","4","1","89","21","39","23.6","43.82","39.26","39","15","26","38.46","38.46","-5.03","118","22","50","18.64","18.64","19.63",
"Berry, J A","0","0","0","0","0","0","0","0","0","0","0","0","48","1","5","2.08","10.42","-41.5","210","16","32","1","4","3.13","12.5","-25.5","0","0","0","0","0","0","8","0","0","0","0","-8",
"Bowe, Michael J","2","0","0","0","0","-2","3","0","0","0","0","-3","45","2","10","4.44","22.22","-23","46","10","35","2","9","5.71","25.71","-13","1","0","1","0","0","-1","29","1","8","3.45","3.45","-18",
"Bowen, P","4","0","1","0","25","-4","4","0","1","0","25","-4","472","67","147","14.19","31.14","-122.59","35","13","222","28","71","12.61","31.98","-85.07","89","36","58","40.45","40.45","19.7","382","61","128","15.97","15.97","-55.26",
"Brace, D","0","0","0","0","0","0","0","0","0","0","0","0","87","10","29","11.49","33.33","-19.17","283","20","35","4","6","11.43","17.14","-19.3","7","3","5","42.86","42.86","-0.8","64","8","27","12.5","12.5","-0.85",
"Brassil, Martin","2","0","0","0","0","-2","3","0","0","0","0","-3","173","19","47","10.98","27.17","-54.09","40","13","95","5","22","5.26","23.16","-64.4","19","9","12","47.37","47.37","4.91","69","12","22","17.39","17.39","15.01",
"Bromhead, Henry De","10","2","3","20","30","-3.88","14","2","5","14.29","35.71","-7.88","1538","206","534","13.39","34.72","-481.49","1","1","684","85","229","12.43","33.48","-201.95","288","95","182","32.99","32.99","-68.42","590","42","151","7.12","7.12","-221.71",
"Burke, W J","4","1","2","25","50","4.5","7","1","3","14.29","42.86","1.5","221","10","41","4.52","18.55","-121.5","7","4","82","3","16","3.66","19.51","-46.5","6","0","2","0","0","-6","54","3","11","5.56","5.56","-27.5",
"Butler, Padraig","0","0","0","0","0","0","0","0","0","0","0","0","20","3","6","15","30","-2.12","365","10","10","1","3","10","30","-7.62","1","1","1","100","100","1.38","4","0","1","0","0","-4",
"Byrnes, C","2","0","0","0","0","-2","2","0","0","0","0","-2","358","48","118","13.41","32.96","-94.21","22","3","201","28","71","13.93","35.32","-28.72","65","25","42","38.46","38.46","19.21","172","27","57","15.7","15.7","-25.52",
"Candlish, Jennie","5","1","1","20","20","-2.9","7","1","1","14.29","14.29","-4.9","516","45","154","8.72","29.84","-199.1","6","3","233","16","60","6.87","25.75","-86.56","66","13","36","19.7","19.7","-27.89","439","38","135","8.66","8.66","-143.8",
"Casey, Francis","0","0","0","0","0","0","1","0","0","0","0","-1","65","4","16","6.15","24.62","-51.93","301","25","31","2","6","6.45","19.35","-27.43","11","3","6","27.27","27.27","-2.43","43","2","11","4.65","4.65","-33.5",
"Casey, Liam","0","0","0","0","0","0","0","0","0","0","0","0","43","1","12","2.33","27.91","-38","212","14","23","1","9","4.35","39.13","-18","4","0","1","0","0","-4","27","1","10","3.7","3.7","-22",
"Cawley, Edward","3","0","0","0","0","-3","5","0","0","0","0","-5","157","6","18","3.82","11.46","-109.5","81","29","74","4","7","5.41","9.46","-46","6","1","3","16.67","16.67","-1.5","115","6","17","5.22","5.22","-67.5",
"Cody, Patrick","0","0","0","0","0","0","1","0","0","0","0","-1","170","16","57","9.41","33.53","-76.45","76","9","97","11","32","11.34","32.99","-29","22","7","12","31.82","31.82","1.55","79","9","29","11.39","11.39","-14.25",
"Connell, B","2","0","0","0","0","-2","3","0","0","0","0","-3","139","27","50","19.42","35.97","-11.01","15","4","63","17","25","26.98","39.68","13.61","25","11","16","44","44","6.11","55","7","18","12.73","12.73","-12.12",
"Cosgrave, J G","0","0","0","0","0","0","0","0","0","0","0","0","28","3","6","10.71","21.43","1.5","55","1","12","2","3","16.67","25","0.5","1","0","0","0","0","-1","5","0","1","0","0","-5",
"Crawford, S R B","3","0","0","0","0","-3","12","0","2","0","16.67","-12","531","47","159","8.85","29.94","-172.46","26","23","264","22","73","8.33","27.65","-86.85","49","20","29","40.82","40.82","1.83","168","15","52","8.93","8.93","-12.79",
"Crawley, Shane","0","0","0","0","0","0","1","0","0","0","0","-1","141","8","24","5.67","17.02","-83.67","53","8","55","3","8","5.45","14.55","-36.67","15","3","7","20","20","-2.67","79","7","19","8.86","8.86","-30.67",
"Cromwell, Gavin Patrick","14","1","5","7.14","35.71","-11.25","29","5","11","17.24","37.93","-10.84","1608","164","476","10.2","29.6","-557.49","7","12","831","86","257","10.35","30.93","-354.5","204","61","125","29.9","29.9","-21.88","831","80","241","9.63","9.63","-194.8",
"Crook, A","0","0","0","0","0","0","2","0","0","0","0","-2","139","4","22","2.88","15.83","-111.37","115","23","61","2","9","3.28","14.75","-53.62","3","2","3","66.67","66.67","3.13","116","4","20","3.45","3.45","-88.37",
"Curling, S","2","1","1","50","50","1.13","4","1","2","25","50","-0.87","212","15","57","7.08","26.89","-131.57","6","2","85","10","22","11.76","25.88","-31.57","21","5","14","23.81","23.81","-6.45","58","7","17","12.07","12.07","-13.25",
"Curran, Ms Alice","0","0","0","0","0","0","0","0","0","0","0","0","24","1","6","4.17","25","-12","728","24","13","0","4","0","30.77","-13","1","0","0","0","0","-1","11","1","2","9.09","9.09","1",
"Daly, H D","3","1","2","33.33","66.67","6","6","3","4","50","66.67","12","305","62","122","20.33","40","36.63","7","2","148","31","58","20.95","39.19","25.82","61","24","40","39.34","39.34","7.97","189","40","84","21.16","21.16","58.19",
"Dartnall, V R A","3","2","2","66.67","66.67","26.5","3","2","2","66.67","66.67","26.5","124","12","33","9.68","26.61","17.83","7","2","54","5","13","9.26","24.07","44.5","10","1","4","10","10","-6.25","84","10","27","11.9","11.9","49.83",
"Dempsey, J P","1","0","0","0","0","-1","3","0","1","0","33.33","-3","172","12","41","6.98","23.84","-93.29","117","28","66","5","13","7.58","19.7","-40.92","15","3","9","20","20","-6.37","99","7","25","7.07","7.07","-37",
"Derham, Harry","2","0","0","0","0","-2","4","1","2","25","50","-1","31","7","13","22.58","41.94","30.7","8","3","31","7","13","22.58","41.94","30.7","6","2","3","33.33","33.33","-1.8","14","4","6","28.57","28.57","15.5",
"Donoghue, C P","0","0","0","0","0","0","0","0","0","0","0","0","31","0","5","0","16.13","-31","1957","63","17","0","4","0","23.53","-17","0","0","0","0","0","0","16","0","5","0","0","-16",
"Donoghue, Ian","0","0","0","0","0","0","2","0","0","0","0","-2","18","0","4","0","22.22","-18","9999","9999","16","0","3","0","18.75","-16","1","0","1","0","0","-1","7","0","0","0","0","-7",
