trainer,1Day_Runs,1Day_Wins,1Day_Places,1Day_Win_Strike,1Day_Place_Strike,1Day_SP_ProfitLoss,3Day_Runs,3Day_Wins,3Day_Places,3Day_Win_Strike,3Day_Place_Strike,3Day_SP_ProfitLoss,7Day_Runs,7Day_Wins,7Day_Places,7Day_Win_Strike,7Day_Place_Strike,7Day_SP_ProfitLoss,14Day_Runs,14Day_Wins,14Day_Places,14Day_Win_Strike,14Day_Place_Strike,14Day_SP_ProfitLoss,2YR_Runs,2YR_Wins,2YR_Places,2YR_Win_Strike,2YR_Place_Strike,2YR_SP_ProfitLoss,DaysSinceWin,RunsSinceWin,1YR_Runs,1YR_Wins,1YR_Places,1YR_Win_Strike,1YR_Place_Strike,1YR_SP_ProfitLoss,2yr_fav_Runs,2yr_fav_Wins,2yr_fav_Places,2yr_fav_Win_Strike,2yr_fav_Place_Strike,2yr_fav_SP_ProfitLoss,2yr_hcap_Runs,2yr_hcap_Wins,2yr_hcap_Places,2yr_hcap_Win_Strike,2yr_hcap_Place_Strike,2yr_hcap_SP_ProfitLoss,
"Appleby, Charlie","1","0","1","0","100","-1","4","1","4","25","100","2","9","3","7","33.33","77.78","7.5","11","4","8","36.36","72.73","7.88","719","211","381","29.35","52.99","-24.4","3","4","315","97","172","30.79","54.6","7.48","342","144","222","42.11","42.11","-31.92","128","36","61","28.13","28.13","50.22",
"Appleby, M","0","0","0","0","0","0","3","0","0","0","0","-3","15","2","5","13.33","33.33","-2.6","31","4","10","12.9","32.26","-8.35","1735","196","553","11.3","31.87","-375.16","4","6","818","88","258","10.76","31.54","-184.99","268","72","144","26.87","26.87","-62.57","1485","160","468","10.77","10.77","-334.63",
"Attwater, M J","0","0","0","0","0","0","3","1","1","33.33","33.33","3.5","6","1","1","16.67","16.67","0.5","12","1","4","8.33","33.33","-5.5","589","35","118","5.94","20.03","-310.75","3","3","279","18","60","6.45","21.51","-152.29","26","6","12","23.08","23.08","-11.41","483","30","99","6.21","6.21","-229.8",
"Attwater, P","0","0","0","0","0","0","2","0","1","0","50","-2","2","0","1","0","50","-2","5","0","1","0","20","-5","14","0","2","0","14.29","-14","9999","9999","14","0","2","0","14.29","-14","0","0","0","0","0","0","5","0","0","0","0","-5",
"Balding, A M","5","1","1","20","20","-0.67","12","1","3","8.33","25","-7.67","52","5","14","9.62","26.92","-30.27","82","12","28","14.63","34.15","-35.82","2029","310","772","15.28","38.05","-399.31","1","2","1113","172","443","15.45","39.8","-220.05","399","134","252","33.58","33.58","-55.54","890","136","309","15.28","15.28","-107.85",
"Banham, Chelsea","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","-2","6","1","2","16.67","33.33","4","247","22","59","8.91","23.89","-86.83","9","3","149","16","39","10.74","26.17","-25.49","13","5","6","38.46","38.46","4.84","176","19","49","10.8","10.8","-34.16",
"Barrett, James M","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","-1","91","3","17","3.3","18.68","-31.43","148","29","39","1","9","2.56","23.08","-22","5","1","2","20","20","-3.43","53","1","9","1.89","1.89","-12",
"Barron, T D","1","0","0","0","0","-1","3","0","0","0","0","-3","8","2","2","25","25","1.75","19","4","6","21.05","31.58","-0.25","493","53","151","10.75","30.63","-136.01","4","5","247","28","74","11.34","29.96","-63.8","55","14","29","25.45","25.45","-11.55","407","48","132","11.79","11.79","-66.77",
"Bell, M L W","2","1","1","50","50","2.5","4","1","2","25","50","0.5","10","1","3","10","30","-5.5","18","1","5","5.56","27.78","-13.5","775","100","252","12.9","32.52","-203.02","1","2","407","57","125","14","30.71","-67.95","111","41","62","36.94","36.94","5.44","461","59","148","12.8","12.8","-89.82",
"Benton, Craig","0","0","0","0","0","0","1","0","0","0","0","-1","1","0","0","0","0","-1","1","0","0","0","0","-1","31","0","1","0","3.23","-31","9999","9999","31","0","1","0","3.23","-31","1","0","0","0","0","-1","30","0","1","0","0","-30",
"Berry, John","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","-2","3","0","0","0","0","-3","167","16","52","9.58","31.14","-27.69","22","5","87","7","21","8.05","24.14","-13","18","4","8","22.22","22.22","-5.52","137","15","47","10.95","10.95","-2.02",
"Best, Jim/Suzi","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","100","-1","5","0","4","0","80","-5","171","13","39","7.6","22.81","-58.12","34","11","110","8","27","7.27","24.55","-52.37","9","3","4","33.33","33.33","-1.62","113","10","29","8.85","8.85","-13.75",
