trainer,1Day_Runs,1Day_Wins,1Day_Places,1Day_Win_Strike,1Day_Place_Strike,1Day_SP_ProfitLoss,3Day_Runs,3Day_Wins,3Day_Places,3Day_Win_Strike,3Day_Place_Strike,3Day_SP_ProfitLoss,7Day_Runs,7Day_Wins,7Day_Places,7Day_Win_Strike,7Day_Place_Strike,7Day_SP_ProfitLoss,14Day_Runs,14Day_Wins,14Day_Places,14Day_Win_Strike,14Day_Place_Strike,14Day_SP_ProfitLoss,2YR_Runs,2YR_Wins,2YR_Places,2YR_Win_Strike,2YR_Place_Strike,2YR_SP_ProfitLoss,DaysSinceWin,RunsSinceWin,1YR_Runs,1YR_Wins,1YR_Places,1YR_Win_Strike,1YR_Place_Strike,1YR_SP_ProfitLoss,2yr_fav_Runs,2yr_fav_Wins,2yr_fav_Places,2yr_fav_Win_Strike,2yr_fav_Place_Strike,2yr_fav_SP_ProfitLoss,2yr_hcap_Runs,2yr_hcap_Wins,2yr_hcap_Places,2yr_hcap_Win_Strike,2yr_hcap_Place_Strike,2yr_hcap_SP_ProfitLoss,
"Allen, C N","1","0","0","0","0","-1","3","0","0","0","0","-3","7","2","2","28.57","28.57","14.5","8","3","3","37.5","37.5","23","225","26","71","11.56","31.56","0.17","4","4","107","17","37","15.89","34.58","38.04","21","7","11","33.33","33.33","2.84","172","20","57","11.63","11.63","-29.16",
"Allen, S G","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","-1","1","0","0","0","0","-1","12","0","1","0","8.33","-12","9999","9999","10","0","1","0","10","-10","0","0","0","0","0","0","6","0","0","0","0","-6",
"Appleby, Charlie","0","0","0","0","0","0","2","1","1","50","50","0.38","4","1","2","25","50","-1.62","6","2","4","33.33","66.67","6.38","727","212","384","29.16","52.82","-27.63","2","1","313","94","166","30.03","53.04","-7.02","348","145","224","41.67","41.67","-36.53","132","37","65","28.03","28.03","61.22",
"Appleby, M","3","1","2","33.33","66.67","4","7","3","4","42.86","57.14","13.5","16","5","8","31.25","50","20","33","7","13","21.21","39.39","10.25","1744","195","551","11.18","31.59","-391.48","1","3","825","90","262","10.91","31.76","-175.89","261","70","140","26.82","26.82","-60.22","1498","160","469","10.68","10.68","-353.55",
"Attwater, M J","0","0","0","0","0","0","1","0","0","0","0","-1","9","0","2","0","22.22","-9","18","0","3","0","16.67","-18","582","34","115","5.84","19.76","-310.25","19","24","274","18","58","6.57","21.17","-150.79","25","6","11","24","24","-10.41","476","29","96","6.09","6.09","-229.3",
"Baker, George","0","0","0","0","0","0","3","1","1","33.33","33.33","3","9","1","1","11.11","11.11","-3","14","1","1","7.14","7.14","-8","387","38","106","9.82","27.39","-36.25","2","1","205","19","44","9.27","21.46","44.38","30","9","14","30","30","-6.25","330","37","96","11.21","11.21","18.37",
"Balding, A M","6","1","2","16.67","33.33","-3.12","14","4","6","28.57","42.86","7.01","28","6","11","21.43","39.29","0.76","65","14","25","21.54","38.46","-3.16","2001","307","763","15.34","38.13","-364.56","1","1","1103","167","442","15.14","40.07","-211.6","389","131","247","33.68","33.68","-51.26","876","133","303","15.18","15.18","-99.38",
"Barclay, Stella","2","0","1","0","50","-2","2","0","1","0","50","-2","4","1","2","25","50","-1.12","11","2","4","18.18","36.36","-3.79","551","40","129","7.26","23.41","-66.9","4","3","238","16","61","6.72","25.63","-85.81","28","7","15","25","25","-5.56","449","36","107","8.02","8.02","7.02",
"Barcoe, James M","1","0","0","0","0","-1","4","0","0","0","0","-4","5","0","0","0","0","-5","9","0","1","0","11.11","-9","231","9","40","3.9","17.32","-101.67","29","15","130","6","25","4.62","19.23","-66.17","7","2","3","28.57","28.57","4","173","9","35","5.2","5.2","-43.67",
"Barfoot-Saunt, Mrs Tracey","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","24","0","0","0","0","-24","1505","62","5","0","0","0","0","-5","0","0","0","0","0","0","4","0","0","0","0","-4",
"Barron, T D","2","1","1","50","50","3","5","1","2","20","40","0","5","1","2","20","40","0","12","2","5","16.67","41.67","-3","488","50","148","10.25","30.33","-144.76","1","2","246","26","74","10.57","30.08","-72.05","53","12","28","22.64","22.64","-16.8","403","45","129","11.17","11.17","-76.52",
"Beckett, R M","7","3","3","42.86","42.86","5.5","14","5","7","35.71","50","2","18","5","10","27.78","55.56","-2","35","8","16","22.86","45.71","-8","1302","241","537","18.51","41.24","-181.11","1","2","653","113","265","17.3","40.58","-139.26","314","118","208","37.58","37.58","-11.73","529","104","208","19.66","19.66","-20.97",
"Bell, M L W","0","0","0","0","0","0","3","0","0","0","0","-3","9","0","1","0","11.11","-9","22","1","4","4.55","18.18","-19.12","776","101","253","13.02","32.6","-198.52","11","13","410","58","127","14.15","30.98","-70.01","112","42","62","37.5","37.5","7.94","462","61","151","13.2","13.2","-80.82",
"Bethell, Ed","2","0","1","0","50","-2","5","1","3","20","60","-2.9","7","1","3","14.29","42.86","-4.9","15","3","5","20","33.33","-1.4","508","87","206","17.13","40.55","-132.75","2","3","291","44","119","15.12","40.89","-116.27","122","46","73","37.7","37.7","-4.87","301","57","123","18.94","18.94","-35.22",
"Botti, M","1","0","0","0","0","-1","6","1","2","16.67","33.33","2","7","1","2","14.29","28.57","1","16","2","5","12.5","31.25","-4","827","94","259","11.37","31.32","-109.71","3","5","465","58","148","12.47","31.83","-72.12","84","20","47","23.81","23.81","-27.44","524","59","161","11.26","11.26","-91.78",
"Boughey, George","0","0","0","0","0","0","5","0","1","0","20","-5","10","1","3","10","30","-6.25","31","3","8","9.68","25.81","-5.75","1482","238","555","16.06","37.45","-299.9","7","8","712","113","266","15.87","37.36","-122.82","303","107","196","35.31","35.31","-36.76","836","141","321","16.87","16.87","-56.78",
"Bowen, Peter / Michael","0","0","0","0","0","0","1","0","0","0","0","-1","5","1","3","20","60","0","16","2","7","12.5","43.75","-8.8","490","70","151","14.29","30.82","-119.32","6","4","250","31","78","12.4","31.2","-66.6","90","36","57","40","40","8.22","372","53","112","14.25","14.25","-52.28",
"Bowring, S R","0","0","0","0","0","0","0","0","0","0","0","0","2","1","1","50","50","11","3","1","1","33.33","33.33","10","139","20","47","14.39","33.81","22.15","4","2","64","11","24","17.19","37.5","8.6","23","8","15","34.78","34.78","-2.35","127","19","45","14.96","14.96","28.15",
"Boyle, J R","1","0","0","0","0","-1","2","0","0","0","0","-2","6","0","2","0","33.33","-6","13","0","2","0","15.38","-13","401","37","111","9.23","27.68","-158.71","18","15","201","19","57","9.45","28.36","-85.79","38","10","20","26.32","26.32","-6.12","349","37","104","10.6","10.6","-106.71",
"Bridger, J / Cook, R","0","0","0","0","0","0","2","0","0","0","0","-2","4","0","0","0","0","-4","6","0","1","0","16.67","-6","258","17","52","6.59","20.16","-132.19","15","7","135","11","33","8.15","24.44","-55.57","18","3","8","16.67","16.67","-11.27","203","15","46","7.39","7.39","-86.94",
"Brittain, Antony","0","0","0","0","0","0","6","1","2","16.67","33.33","-1.67","12","1","2","8.33","16.67","-7.67","21","1","3","4.76","14.29","-16.67","560","33","136","5.89","24.29","-293.71","2","1","252","9","47","3.57","18.65","-181.29","19","7","11","36.84","36.84","3.71","482","31","117","6.43","6.43","-223.84",
"Browne, W P","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","0","0","0","-4","120","15","42","12.5","35","-4.48","131","26","57","8","20","14.04","35.09","17.16","11","6","10","54.55","54.55","3.44","39","5","12","12.82","12.82","24.13",
"Burke, K R","1","0","0","0","0","-1","8","2","4","25","50","2.75","15","2","5","13.33","33.33","-4.25","38","6","14","15.79","36.84","-15.38","1539","238","591","15.46","38.4","-249.8","3","3","795","135","315","16.98","39.62","-37.75","257","95","160","36.96","36.96","-18.64","702","84","230","11.97","11.97","-148.59",
"Burke, Kieran","0","0","0","0","0","0","1","0","0","0","0","-1","3","0","0","0","0","-3","4","0","1","0","25","-4","241","30","69","12.45","28.63","1.55","43","10","130","14","38","10.77","29.23","11.41","34","11","19","32.35","32.35","2.89","179","28","60","15.64","15.64","19.55",
"Burns, R P","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","60","0","2","0","3.33","-60","2917","129","28","0","1","0","3.57","-28","0","0","0","0","0","0","46","0","2","0","0","-46",
"Burrows, Owen","0","0","0","0","0","0","2","1","1","50","50","1.75","2","1","1","50","50","1.75","7","1","1","14.29","14.29","-3.25","230","46","93","20","40.43","-28.74","2","2","130","22","47","16.92","36.15","-22.28","59","25","36","42.37","42.37","-0.32","83","13","31","15.66","15.66","-22.21",
"Butler, John","2","0","1","0","50","-2","6","2","3","33.33","50","0.75","12","2","5","16.67","41.67","-5.25","19","3","7","15.79","36.84","-8.25","990","69","226","6.97","22.83","-443.89","2","4","495","29","109","5.86","22.02","-249.91","84","25","54","29.76","29.76","-3.11","759","58","187","7.64","7.64","-324.15",
"Butler, Michael","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","1","0","50","-2","42","1","4","2.38","9.52","-37","425","23","19","0","3","0","15.79","-19","1","0","0","0","0","-1","23","1","2","4.35","4.35","-18",
"Byrne, M J","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6","0","1","0","16.67","-6","4649","98","0","0","0","0","0","0","0","0","0","0","0","0","5","0","1","0","0","-5",
"Camacho, Miss J A","1","0","0","0","0","-1","2","0","1","0","50","-2","10","1","3","10","30","-6","26","2","6","7.69","23.08","-15.5","631","62","169","9.83","26.78","-90.39","7","9","353","29","92","8.22","26.06","-60.15","60","14","30","23.33","23.33","-6.05","511","48","140","9.39","9.39","-79.82",
"Candlish, Jennie","3","0","1","0","33.33","-3","3","0","1","0","33.33","-3","7","0","2","0","28.57","-7","12","3","7","25","58.33","19","466","55","140","11.8","30.04","-110.82","12","10","220","28","66","12.73","30","-55.34","54","20","37","37.04","37.04","-4.48","347","44","110","12.68","12.68","-38.48",
"Carr, Mrs R A","0","0","0","0","0","0","4","0","2","0","50","-4","13","1","6","7.69","46.15","-3","31","3","11","9.68","35.48","-2.5","863","95","256","11.01","29.66","-149.4","4","6","475","49","128","10.32","26.95","-93.92","83","24","37","28.92","28.92","0.27","812","91","245","11.21","11.21","-125.4",
"Carroll, A W","3","0","0","0","0","-3","17","1","2","5.88","11.76","-13","30","3","7","10","23.33","-15.75","44","4","9","9.09","20.45","-28.02","1963","179","498","9.12","25.37","-505.25","2","7","938","95","253","10.13","26.97","-230.52","173","57","111","32.95","32.95","-2.49","1622","155","423","9.56","9.56","-342.41",
"Carroll, D","1","0","1","0","100","-1","1","0","1","0","100","-1","6","0","2","0","33.33","-6","12","0","3","0","25","-12","468","35","110","7.48","23.5","-245.91","24","23","229","9","48","3.93","20.96","-168.12","46","8","16","17.39","17.39","-15.29","363","30","94","8.26","8.26","-159.17",
"Case, B I","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","246","19","53","7.72","21.54","-124.34","71","4","120","9","27","7.5","22.5","-46.67","13","5","9","38.46","38.46","3.91","189","18","46","9.52","9.52","-86.34",
