trainer,7Day_Runs,7Day_Wins,7Day_Places,7Day_Win_Strike,7Day_Place_Strike,7Day_SP_ProfitLoss,14Day_Runs,14Day_Wins,14Day_Places,14Day_Win_Strike,14Day_Place_Strike,14Day_SP_ProfitLoss,2YR_Runs,2YR_Wins,2YR_Places,2YR_Win_Strike,2YR_Place_Strike,2YR_SP_ProfitLoss,DaysSinceWin,RunsSinceWin,1YR_Runs,1YR_Wins,1YR_Places,1YR_Win_Strike,1YR_Place_Strike,1YR_SP_ProfitLoss,2yr_fav_Runs,2yr_fav_Wins,2yr_fav_Places,2yr_fav_Win_Strike,2yr_fav_Place_Strike,2yr_fav_SP_ProfitLoss,2yr_hcap_Runs,2yr_hcap_Wins,2yr_hcap_Places,2yr_hcap_Win_Strike,2yr_hcap_Place_Strike,2yr_hcap_SP_ProfitLoss,
"Alexander, N W","4","0","2","0","50","-4","12","0","4","0","33.33","-12","437","56","149","12.81","34.1","-76.83","23","24","235","33","83","14.04","35.32","-28.57","45","15","30","33.33","33.33","8.6","322","48","126","14.91","14.91","-28.41",
"Allwood, S","5","0","0","0","0","-5","8","0","3","0","37.5","-8","156","2","23","1.28","14.74","-146.25","141","48","84","1","14","1.19","16.67","-77","4","0","2","0","0","-4","104","2","21","1.92","1.92","-94.25",
"Appleby, Charlie","23","4","6","17.39","26.09","7.25","25","5","7","20","28","7.08","832","240","431","28.85","51.8","-52.59","3","3","367","102","177","27.79","48.23","-42.62","394","168","260","42.64","42.64","-34.67","192","46","85","23.96","23.96","13.8",
"Appleby, M","7","2","3","28.57","42.86","5.33","21","3","7","14.29","33.33","4.33","1777","203","570","11.42","32.08","-395.11","2","1","869","97","276","11.16","31.76","-200.37","272","74","144","27.21","27.21","-57.35","1526","164","482","10.75","10.75","-352.8",
"Aprahamian, Billy","2","0","0","0","0","-2","4","0","0","0","0","-4","82","4","14","4.88","17.07","-4.8","100","20","57","3","10","5.26","17.54","-30.8","4","1","3","25","25","-1.8","64","4","13","6.25","6.25","13.2",
"Bailey, K C","4","1","2","25","50","2","14","2","6","14.29","42.86","-0.5","477","67","156","14.05","32.7","-105.83","1","2","214","33","67","15.42","31.31","-19.23","77","24","46","31.17","31.17","-11.51","310","47","101","15.16","15.16","-27.27",
"Baker, George","2","0","0","0","0","-2","4","0","1","0","25","-4","377","33","107","8.75","28.38","-126.38","32","11","171","18","59","10.53","34.5","-29.76","46","9","17","19.57","19.57","-20.13","311","33","97","10.61","10.61","-60.38",
"Balding, A M","30","6","16","20","53.33","12.25","44","10","24","22.73","54.55","20","1919","288","705","15.01","36.74","-328.16","3","4","1001","145","385","14.49","38.46","-186.2","343","113","213","32.94","32.94","-42.8","840","127","280","15.12","15.12","-72.75",
"Bandey, R J","1","0","0","0","0","-1","3","0","1","0","33.33","-3","182","24","61","13.19","33.52","-58.29","17","6","97","11","31","11.34","31.96","-57.47","36","10","17","27.78","27.78","-13.2","135","13","42","9.63","9.63","-70.22",
"Barnes, M A","5","0","3","0","60","-5","5","0","3","0","60","-5","191","11","32","5.76","16.75","-129.74","319","59","89","4","18","4.49","20.22","-71.24","4","1","1","25","25","-1.62","106","9","20","8.49","8.49","-55.49",
"Barron, T D","9","2","2","22.22","22.22","-3.12","10","3","3","30","30","0.88","472","55","141","11.65","29.87","-122.1","3","2","240","27","68","11.25","28.33","-35.3","61","17","35","27.87","27.87","-7.59","380","46","119","12.11","12.11","-64.56",
"Beckett, R M","16","2","5","12.5","31.25","-7.67","24","2","7","8.33","29.17","-15.67","1244","224","501","18.01","40.27","-215.17","4","6","643","128","277","19.91","43.08","-102.21","289","108","190","37.37","37.37","-8.53","523","100","196","19.12","19.12","-65.81",
"Bedi, Miss J","0","0","0","0","0","0","2","0","0","0","0","-2","100","4","14","4","14","-38.5","150","24","58","2","9","3.45","15.52","-7","0","0","0","0","0","0","85","4","14","4.71","4.71","-23.5",
"Bell, M L W","13","1","4","7.69","30.77","0","24","1","5","4.17","20.83","-11","753","90","253","11.95","33.6","-254.76","5","9","397","44","125","11.08","31.49","-116.77","116","35","59","30.17","30.17","-22.51","447","52","147","11.63","11.63","-130.2",
"Best, Jim/Suzi","3","0","0","0","0","-3","5","0","1","0","20","-5","133","10","27","7.52","20.3","-35.75","58","15","74","5","14","6.76","18.92","-32","6","2","3","33.33","33.33","-1.25","89","9","23","10.11","10.11","2.75",
"Bethell, Ed","6","1","1","16.67","16.67","-2.75","15","2","6","13.33","40","-10.5","448","72","169","16.07","37.72","-75.44","6","5","232","38","95","16.38","40.95","-71.94","103","32","57","31.07","31.07","-19.65","258","46","99","17.83","17.83","-8.63",
"Bewley, G T","6","0","1","0","16.67","-6","6","0","1","0","16.67","-6","204","23","55","11.27","26.96","-71.8","23","11","116","9","25","7.76","21.55","-62.92","16","6","8","37.5","37.5","3.04","158","22","47","13.92","13.92","-30.3",
"Bolger, J S","4","0","1","0","25","-4","15","0","4","0","26.67","-15","674","51","164","7.57","24.33","-263.65","15","16","325","24","87","7.38","26.77","-139.09","47","15","27","31.91","31.91","-7.78","265","20","70","7.55","7.55","-23.8",
"Botti, M","6","0","3","0","50","-6","14","1","5","7.14","35.71","-4","833","97","264","11.64","31.69","-4.67","11","9","447","51","139","11.41","31.1","-35.66","82","15","40","18.29","18.29","-39.41","527","63","161","11.95","11.95","-16.95",
"Boughey, George","4","1","1","25","25","-0.75","17","2","6","11.76","35.29","-11.12","1475","234","538","15.86","36.47","-355.93","5","3","670","94","227","14.03","33.88","-141.67","303","116","200","38.28","38.28","-14.88","825","142","314","17.21","17.21","-75.45",
"Bowen, Peter / Michael","6","0","0","0","0","-6","11","0","1","0","9.09","-11","441","64","138","14.51","31.29","-131.91","22","20","225","37","76","16.44","33.78","-35.59","82","33","55","40.24","40.24","3.88","348","54","118","15.52","15.52","-65.05",
"Brace, D","2","0","1","0","50","-2","5","0","3","0","60","-5","82","10","22","12.2","26.83","-3.97","74","12","55","9","20","16.36","36.36","20.83","7","3","5","42.86","42.86","4.2","49","9","16","18.37","18.37","24.7",
"Bridger, J / Cook, R","5","0","2","0","40","-5","7","0","2","0","28.57","-7","237","10","36","4.22","15.19","-134.62","219","48","116","8","28","6.9","24.14","-43.62","13","1","6","7.69","7.69","-10.62","179","10","34","5.59","5.59","-76.62",
"Bromhead, Henry De","32","3","7","9.38","21.88","-19.75","54","5","13","9.26","24.07","-34.75","1406","193","496","13.73","35.28","-282.53","2","3","692","101","249","14.6","35.98","-121.52","219","74","144","33.79","33.79","-30.29","557","53","156","9.52","9.52","-91.18",
"Brooke, Daniel","1","0","1","0","100","-1","5","2","3","40","60","7.83","192","17","51","8.85","26.56","-75.25","8","2","101","7","26","6.93","25.74","-40.92","18","5","14","27.78","27.78","-0.71","158","15","42","9.49","9.49","-73.25",
"Brown, G","2","0","0","0","0","-2","5","0","0","0","0","-5","132","19","42","14.39","31.82","14.07","62","15","93","14","31","15.05","33.33","5.82","15","5","11","33.33","33.33","-2.64","96","14","31","14.58","14.58","32.51",
"Browne, Michael J","0","0","0","0","0","0","1","0","0","0","0","-1","59","3","18","5.08","30.51","-29","25","2","21","1","6","4.76","28.57","-13","2","0","1","0","0","-2","36","3","13","8.33","8.33","-6",
