trainer,1Day_Runs,1Day_Wins,1Day_Places,1Day_Win_Strike,1Day_Place_Strike,1Day_SP_ProfitLoss,3Day_Runs,3Day_Wins,3Day_Places,3Day_Win_Strike,3Day_Place_Strike,3Day_SP_ProfitLoss,7Day_Runs,7Day_Wins,7Day_Places,7Day_Win_Strike,7Day_Place_Strike,7Day_SP_ProfitLoss,14Day_Runs,14Day_Wins,14Day_Places,14Day_Win_Strike,14Day_Place_Strike,14Day_SP_ProfitLoss,2YR_Runs,2YR_Wins,2YR_Places,2YR_Win_Strike,2YR_Place_Strike,2YR_SP_ProfitLoss,DaysSinceWin,RunsSinceWin,1YR_Runs,1YR_Wins,1YR_Places,1YR_Win_Strike,1YR_Place_Strike,1YR_SP_ProfitLoss,2yr_fav_Runs,2yr_fav_Wins,2yr_fav_Places,2yr_fav_Win_Strike,2yr_fav_Place_Strike,2yr_fav_SP_ProfitLoss,2yr_hcap_Runs,2yr_hcap_Wins,2yr_hcap_Places,2yr_hcap_Win_Strike,2yr_hcap_Place_Strike,2yr_hcap_SP_ProfitLoss,
"Allan, Miss Louise","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","56","3","11","5.36","19.64","-20.62","112","8","20","1","4","5","20","9","4","2","4","50","50","2.38","37","2","8","5.41","5.41","-5.62",
"Allen, C N","1","1","1","100","100","1.5","1","1","1","100","100","1.5","4","2","2","50","50","17.5","6","3","3","50","50","25","222","26","71","11.71","31.98","3.17","1","1","105","17","37","16.19","35.24","40.04","21","7","11","33.33","33.33","2.84","169","20","57","11.83","11.83","-26.16",
"Appleby, Charlie","2","0","1","0","50","-2","2","0","1","0","50","-2","3","0","2","0","66.67","-3","11","3","9","27.27","81.82","8.83","729","212","385","29.08","52.81","-29.51","10","4","315","95","168","30.16","53.33","-3.15","348","145","225","41.67","41.67","-36.41","133","37","66","27.82","27.82","60.22",
"Appleby, M","4","1","1","25","25","3","5","2","2","40","40","10.5","16","4","7","25","43.75","6.75","30","4","9","13.33","30","-7.25","1740","192","547","11.03","31.44","-407.98","1","4","828","89","262","10.75","31.64","-180.89","262","70","140","26.72","26.72","-61.22","1493","157","465","10.52","10.52","-369.05",
"Attwater, M J","2","0","0","0","0","-2","8","0","2","0","25","-8","12","0","2","0","16.67","-12","20","0","4","0","20","-20","583","35","116","6","19.9","-299.25","16","23","276","18","58","6.52","21.01","-152.79","25","6","11","24","24","-10.41","477","30","97","6.29","6.29","-218.3",
"Attwater, P","1","0","0","0","0","-1","1","0","0","0","0","-1","1","0","0","0","0","-1","2","0","0","0","0","-2","9","0","1","0","11.11","-9","9999","9999","9","0","1","0","11.11","-9","0","0","0","0","0","0","5","0","0","0","0","-5",
"Baker, George","1","0","0","0","0","-1","6","0","0","0","0","-6","8","0","0","0","0","-8","12","0","0","0","0","-12","386","37","106","9.59","27.46","-41.25","15","15","205","19","45","9.27","21.95","50.38","31","9","15","29.03","29.03","-7.25","329","36","96","10.94","10.94","13.37",
"Balding, A M","3","0","2","0","66.67","-3","5","1","3","20","60","-2.75","31","5","10","16.13","32.26","-9.25","76","13","30","17.11","39.47","-14.67","1998","305","762","15.27","38.14","-365.57","2","5","1100","167","443","15.18","40.27","-205.44","388","130","247","33.51","33.51","-53.14","877","131","302","14.94","14.94","-111.76",
"Barcoe, James M","1","0","0","0","0","-1","1","0","0","0","0","-1","2","0","1","0","50","-2","7","0","1","0","14.29","-7","227","9","40","3.96","17.62","-97.67","26","11","127","6","25","4.72","19.69","-63.17","7","2","3","28.57","28.57","4","169","9","35","5.33","5.33","-39.67",
"Beckett, R M","1","0","0","0","0","-1","1","0","0","0","0","-1","12","0","6","0","50","-12","38","4","16","10.53","42.11","-24","1297","237","533","18.27","41.09","-190.31","9","13","649","111","263","17.1","40.52","-143.05","313","117","206","37.38","37.38","-12.43","529","103","207","19.47","19.47","-22.97",
