trainer,7Day_Runs,7Day_Wins,7Day_Places,7Day_Win_Strike,7Day_Place_Strike,7Day_SP_ProfitLoss,14Day_Runs,14Day_Wins,14Day_Places,14Day_Win_Strike,14Day_Place_Strike,14Day_SP_ProfitLoss,2YR_Runs,2YR_Wins,2YR_Places,2YR_Win_Strike,2YR_Place_Strike,2YR_SP_ProfitLoss,DaysSinceWin,RunsSinceWin,1YR_Runs,1YR_Wins,1YR_Places,1YR_Win_Strike,1YR_Place_Strike,1YR_SP_ProfitLoss,2yr_fav_Runs,2yr_fav_Wins,2yr_fav_Places,2yr_fav_Win_Strike,2yr_fav_Place_Strike,2yr_fav_SP_ProfitLoss,2yr_hcap_Runs,2yr_hcap_Wins,2yr_hcap_Places,2yr_hcap_Win_Strike,2yr_hcap_Place_Strike,2yr_hcap_SP_ProfitLoss,
"Ahern, G","1","0","0","0","0","-1","3","0","0","0","0","-3","66","3","8","4.55","12.12","-28","72","15","32","1","3","3.13","9.38","-20","0","0","0","0","0","0","39","2","7","5.13","5.13","-12",
"Allen, C N","2","0","1","0","50","-2","5","0","1","0","20","-5","193","20","60","10.36","31.09","-77.79","41","11","91","13","32","14.29","35.16","-2.92","26","6","13","23.08","23.08","-5.87","153","18","51","11.76","11.76","-45.54",
"Alston, E J","2","0","1","0","50","-2","2","0","1","0","50","-2","180","19","45","10.56","25","-46.63","36","9","88","4","18","4.55","20.45","-42.5","22","8","16","36.36","36.36","7.79","162","19","40","11.73","11.73","-28.63",
"Appleby, Charlie","13","4","7","30.77","53.85","-4.13","30","13","21","43.33","70","5.51","834","253","471","30.34","56.47","-19.91","1","1","473","150","260","31.71","54.97","3.2","381","170","273","44.62","44.62","1.8","204","53","94","25.98","25.98","-30.45",
"Appleby, M","26","6","12","23.08","46.15","27.26","41","8","16","19.51","39.02","19.22","1995","231","586","11.58","29.37","-171.83","1","2","918","121","278","13.18","30.28","-111.07","252","75","148","29.76","29.76","-22.53","1725","203","526","11.77","11.77","-149.03",
"Attwater, M J","11","2","3","18.18","27.27","2.25","17","2","3","11.76","17.65","-3.75","632","35","129","5.54","20.41","-213.39","2","2","336","19","73","5.65","21.73","-148.55","21","7","13","33.33","33.33","0.86","507","31","109","6.11","6.11","-148.3",
"Bailey, Liam","2","0","0","0","0","-2","6","0","0","0","0","-6","294","10","48","3.4","16.33","-183.75","64","36","135","6","21","4.44","15.56","-46.5","16","1","6","6.25","6.25","-13.5","263","8","43","3.04","3.04","-160.5",
"Balding, A M","25","4","9","16","36","7.25","66","12","21","18.18","31.82","5.58","1890","295","693","15.61","36.67","-46.84","1","2","964","140","349","14.52","36.2","-120.11","308","99","189","32.14","32.14","-56.17","896","137","319","15.29","15.29","-85.34",
"Barclay, Stella","9","2","6","22.22","66.67","19","15","2","6","13.33","40","13","418","27","84","6.46","20.1","-90.88","4","2","209","15","40","7.18","19.14","28.54","14","6","8","42.86","42.86","4.37","335","24","71","7.16","7.16","-20.38",
"Beckett, R M","18","3","7","16.67","38.89","-5.27","42","6","14","14.29","33.33","-21.12","1091","196","428","17.97","39.23","-97.11","1","1","530","82","194","15.47","36.6","-107.04","267","100","165","37.45","37.45","14.61","537","97","206","18.06","18.06","-95.12",
