trainer,7Day_Runs,7Day_Wins,7Day_Places,7Day_Win_Strike,7Day_Place_Strike,7Day_SP_ProfitLoss,14Day_Runs,14Day_Wins,14Day_Places,14Day_Win_Strike,14Day_Place_Strike,14Day_SP_ProfitLoss,2YR_Runs,2YR_Wins,2YR_Places,2YR_Win_Strike,2YR_Place_Strike,2YR_SP_ProfitLoss,DaysSinceWin,RunsSinceWin,1YR_Runs,1YR_Wins,1YR_Places,1YR_Win_Strike,1YR_Place_Strike,1YR_SP_ProfitLoss,2yr_fav_Runs,2yr_fav_Wins,2yr_fav_Places,2yr_fav_Win_Strike,2yr_fav_Place_Strike,2yr_fav_SP_ProfitLoss,2yr_hcap_Runs,2yr_hcap_Wins,2yr_hcap_Places,2yr_hcap_Win_Strike,2yr_hcap_Place_Strike,2yr_hcap_SP_ProfitLoss,
"Alexander, N W","0","0","0","0","0","0","0","0","0","0","0","0","408","56","137","13.73","33.58","-73.14","133","13","217","24","69","11.06","31.8","-57.76","39","15","25","38.46","38.46","8.62","284","43","105","15.14","15.14","-31.41",
"Allen, C N","3","0","1","0","33.33","-3","6","0","1","0","16.67","-6","206","21","63","10.19","30.58","-32.12","57","16","122","9","35","7.38","28.69","-41.87","20","5","9","25","25","-3.62","163","19","52","11.66","11.66","-22.62",
"Appleby, Charlie","12","6","8","50","66.67","12.48","15","6","9","40","60","9.48","878","264","468","30.07","53.3","-32.02","4","2","395","113","208","28.61","52.66","-21.15","415","181","284","43.61","43.61","-24.64","219","54","101","24.66","24.66","2.96",
"Appleby, M","19","2","5","10.53","26.32","-4.5","39","6","15","15.38","38.46","2.25","1847","229","581","12.4","31.46","-346.35","4","9","924","108","297","11.69","32.14","-190.92","284","86","164","30.28","30.28","-33.68","1578","194","498","12.29","12.29","-276.37",
"Attwater, M J","5","0","0","0","0","-5","10","1","1","10","10","-7","621","36","125","5.8","20.13","-303.38","9","6","308","17","57","5.52","18.51","-156.46","28","9","15","32.14","32.14","-2.84","513","31","100","6.04","6.04","-233.43",
"Balding, A M","33","5","12","15.15","36.36","-7.5","72","7","26","9.72","36.11","-28","1863","273","673","14.65","36.12","-267.95","1","1","907","132","320","14.55","35.28","-199.25","310","101","183","32.58","32.58","-43.67","809","118","266","14.59","14.59","-83.94",
"Barron, T D","4","0","1","0","25","-4","11","1","2","9.09","18.18","-6.5","479","61","163","12.73","34.03","-76.63","10","9","246","25","78","10.16","31.71","-72.21","71","17","44","23.94","23.94","-11.95","388","52","139","13.4","13.4","-39.71",
"Beckett, R M","24","6","11","25","45.83","-0.67","43","8","17","18.6","39.53","-11.42","1219","219","488","17.97","40.03","-178.15","1","2","660","128","277","19.39","41.97","-65.9","275","102","174","37.09","37.09","-6.68","545","104","208","19.08","19.08","-61.91",
"Bell, M L W","7","0","1","0","14.29","-7","17","2","5","11.76","29.41","-11.56","692","78","230","11.27","33.24","-295.53","11","13","364","42","125","11.54","34.34","-139.57","105","33","52","31.43","31.43","-16.11","408","45","134","11.03","11.03","-166.05",
"Bennett, J A","0","0","0","0","0","0","1","0","0","0","0","-1","33","0","2","0","6.06","-33","2405","114","16","0","1","0","6.25","-16","0","0","0","0","0","0","20","0","0","0","0","-20",
