trainer,7Day_Runs,7Day_Wins,7Day_Places,7Day_Win_Strike,7Day_Place_Strike,7Day_SP_ProfitLoss,14Day_Runs,14Day_Wins,14Day_Places,14Day_Win_Strike,14Day_Place_Strike,14Day_SP_ProfitLoss,2YR_Runs,2YR_Wins,2YR_Places,2YR_Win_Strike,2YR_Place_Strike,2YR_SP_ProfitLoss,DaysSinceWin,RunsSinceWin,1YR_Runs,1YR_Wins,1YR_Places,1YR_Win_Strike,1YR_Place_Strike,1YR_SP_ProfitLoss,2yr_fav_Runs,2yr_fav_Wins,2yr_fav_Places,2yr_fav_Win_Strike,2yr_fav_Place_Strike,2yr_fav_SP_ProfitLoss,2yr_hcap_Runs,2yr_hcap_Wins,2yr_hcap_Places,2yr_hcap_Win_Strike,2yr_hcap_Place_Strike,2yr_hcap_SP_ProfitLoss,
"Allwood, S","1","0","0","0","0","-1","2","0","0","0","0","-2","141","5","20","3.55","14.18","-123.4","435","99","73","0","9","0","12.33","-73","6","2","3","33.33","33.33","-0.65","99","5","20","5.05","5.05","-81.4",
"Appleby, Charlie","6","1","2","16.67","33.33","-4.2","10","2","4","20","40","-5.57","862","258","459","29.93","53.25","-32.66","1","1","371","105","189","28.3","50.94","-31.88","407","178","277","43.73","43.73","-19.78","212","56","99","26.42","26.42","26.01",
"Appleby, M","15","4","6","26.67","40","4.25","18","5","8","27.78","44.44","16.25","1765","212","557","12.01","31.56","-412.47","1","1","873","108","280","12.37","32.07","-167.72","276","76","152","27.54","27.54","-55.75","1496","174","471","11.63","11.63","-353.74",
"Bailey, K C","9","2","3","22.22","33.33","-2.62","12","2","3","16.67","25","-5.62","508","80","187","15.75","36.81","-65.12","1","1","244","39","88","15.98","36.07","-33.85","93","28","54","30.11","30.11","-17.01","315","53","118","16.83","16.83","-5.39",
"Balding, A M","9","2","5","22.22","55.56","10","25","4","11","16","44","-2.17","1905","278","698","14.59","36.64","-414.89","1","1","975","145","364","14.87","37.33","-197.44","340","109","203","32.06","32.06","-56.86","821","116","266","14.13","14.13","-127.75",
"Beckett, R M","7","0","2","0","28.57","-7","13","1","6","7.69","46.15","0","1229","225","494","18.31","40.2","-196.78","8","8","659","133","285","20.18","43.25","-98.57","288","107","184","37.15","37.15","-6.94","531","101","198","19.02","19.02","-70.66",
"Bedi, Miss J","1","1","1","100","100","40","1","1","1","100","100","40","95","4","14","4.21","14.74","-33.5","4","1","53","2","7","3.77","13.21","-2","1","0","0","0","0","-1","83","4","14","4.82","4.82","-21.5",
"Bell, M L W","2","0","0","0","0","-2","4","1","1","25","25","3.5","722","88","242","12.19","33.52","-259.29","8","3","392","49","127","12.5","32.4","-99.79","106","34","54","32.08","32.08","-12.87","424","51","138","12.03","12.03","-137.55",
"Bevis, R J","0","0","0","0","0","0","0","0","0","0","0","0","38","4","10","10.53","26.32","16.63","302","17","23","2","6","8.7","26.09","-14.37","3","1","2","33.33","33.33","-0.37","28","3","7","10.71","10.71","24",
"Boanas, Miss G","3","0","1","0","33.33","-3","3","0","1","0","33.33","-3","254","21","68","8.27","26.77","-81.5","86","28","104","8","24","7.69","23.08","-42.29","17","6","13","35.29","35.29","4.09","200","20","60","10","10","-31.25",
"Botti, M","13","2","5","15.38","38.46","22","19","2","5","10.53","26.32","16","787","94","244","11.94","31","128.71","1","3","392","42","115","10.71","29.34","-51.42","85","13","36","15.29","15.29","-45.16","491","62","148","12.63","12.63","37.17",
"Boughey, George","14","2","4","14.29","28.57","0.5","22","3","6","13.64","27.27","-1.5","1477","238","546","16.11","36.97","-365.3","2","4","704","103","244","14.63","34.66","-183.87","303","124","208","40.92","40.92","1.13","823","142","323","17.25","17.25","-92.67",
"Bourne, Daniel","0","0","0","0","0","0","0","0","0","0","0","0","31","0","4","0","12.9","-31","924","46","11","0","2","0","18.18","-11","0","0","0","0","0","0","18","0","2","0","0","-18",
"Boyle, J R","1","1","1","100","100","3.33","2","1","1","50","50","2.33","428","40","112","9.35","26.17","-162.92","6","1","180","16","50","8.89","27.78","-73.67","35","9","17","25.71","25.71","-3.79","364","39","104","10.71","10.71","-107.42",
"Brassil, Martin","1","0","1","0","100","-1","3","0","1","0","33.33","-3","190","18","56","9.47","29.47","-52.29","18","5","101","12","29","11.88","28.71","-15.79","14","6","8","42.86","42.86","2.38","77","6","22","7.79","7.79","-20",
"Broderick, J P","0","0","0","0","0","0","0","0","0","0","0","0","72","4","13","5.56","18.06","-47","180","25","39","1","2","2.56","5.13","-31","6","1","2","16.67","16.67","-1","47","3","11","6.38","6.38","-30",
"Bromhead, Henry De","23","2","8","8.7","34.78","-15.67","36","3","13","8.33","36.11","-23.67","1408","184","481","13.07","34.16","-344.72","5","16","687","98","246","14.26","35.81","-78.95","222","77","144","34.68","34.68","-33.3","551","48","146","8.71","8.71","-138.93",
"Brooke, Daniel","0","0","0","0","0","0","0","0","0","0","0","0","190","13","44","6.84","23.16","-107.33","64","11","78","4","18","5.13","23.08","-48.5","15","4","11","26.67","26.67","0.04","155","12","37","7.74","7.74","-85.33",
