trainer,1Day_Runs,1Day_Wins,1Day_Places,1Day_Win_Strike,1Day_Place_Strike,1Day_SP_ProfitLoss,3Day_Runs,3Day_Wins,3Day_Places,3Day_Win_Strike,3Day_Place_Strike,3Day_SP_ProfitLoss,7Day_Runs,7Day_Wins,7Day_Places,7Day_Win_Strike,7Day_Place_Strike,7Day_SP_ProfitLoss,14Day_Runs,14Day_Wins,14Day_Places,14Day_Win_Strike,14Day_Place_Strike,14Day_SP_ProfitLoss,2YR_Runs,2YR_Wins,2YR_Places,2YR_Win_Strike,2YR_Place_Strike,2YR_SP_ProfitLoss,DaysSinceWin,RunsSinceWin,1YR_Runs,1YR_Wins,1YR_Places,1YR_Win_Strike,1YR_Place_Strike,1YR_SP_ProfitLoss,2yr_fav_Runs,2yr_fav_Wins,2yr_fav_Places,2yr_fav_Win_Strike,2yr_fav_Place_Strike,2yr_fav_SP_ProfitLoss,2yr_hcap_Runs,2yr_hcap_Wins,2yr_hcap_Places,2yr_hcap_Win_Strike,2yr_hcap_Place_Strike,2yr_hcap_SP_ProfitLoss,
"Allan, Miss Louise","0","0","0","0","0","0","1","0","0","0","0","-1","1","0","0","0","0","-1","3","0","0","0","0","-3","59","3","11","5.08","18.64","-23.62","125","11","23","1","4","4.35","17.39","6","4","2","4","50","50","2.38","40","2","8","5","5","-8.62",
"Allen, C N","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","100","100","3","6","2","2","33.33","33.33","0.5","225","27","72","12","32","4.17","5","1","107","18","38","16.82","35.51","42.04","21","7","11","33.33","33.33","2.84","172","20","57","11.63","11.63","-29.16",
"Appleby, Charlie","2","1","2","50","100","4","4","1","2","25","50","2","7","3","5","42.86","71.43","9.5","12","4","7","33.33","58.33","6.88","717","211","379","29.43","52.86","-22.4","1","2","313","97","170","30.99","54.31","9.48","342","144","222","42.11","42.11","-31.92","128","36","61","28.13","28.13","50.22",
"Appleby, M","1","0","0","0","0","-1","10","2","3","20","30","2.4","15","2","6","13.33","40","-2.6","35","7","13","20","37.14","8.15","1733","196","553","11.31","31.91","-373.16","2","4","820","88","258","10.73","31.46","-186.99","268","72","144","26.87","26.87","-62.57","1484","160","468","10.78","10.78","-333.63",
"Attwater, M J","2","1","1","50","50","4.5","3","1","1","33.33","33.33","3.5","9","1","2","11.11","22.22","-2.5","14","1","4","7.14","28.57","-7.5","588","35","118","5.95","20.07","-309.75","1","2","279","19","61","6.81","21.86","-149.29","26","6","12","23.08","23.08","-11.41","482","30","99","6.22","6.22","-228.8",
"Baker, George","2","0","0","0","0","-2","3","0","0","0","0","-3","4","0","1","0","25","-4","12","2","4","16.67","33.33","3.5","391","39","108","9.97","27.62","-30.75","8","5","205","18","43","8.78","20.98","41.38","30","9","14","30","30","-6.25","333","38","98","11.41","11.41","24.87",
"Balding, A M","5","0","2","0","40","-5","22","1","6","4.55","27.27","-15.5","50","6","17","12","34","-25.93","83","13","31","15.66","37.35","-31.52","2022","309","771","15.28","38.13","-396.64","3","16","1112","171","446","15.38","40.11","-223.38","399","134","252","33.58","33.58","-55.54","886","135","308","15.24","15.24","-108.18",
"Barclay, Stella","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","-3","9","1","2","11.11","22.22","-6.12","550","40","128","7.27","23.27","-65.9","14","8","234","16","59","6.84","25.21","-81.81","27","7","15","25.93","25.93","-4.56","447","36","106","8.05","8.05","9.02",
"Barron, T D","1","0","0","0","0","-1","6","2","2","33.33","33.33","3.75","9","3","3","33.33","33.33","4.75","17","4","6","23.53","35.29","1.75","493","53","151","10.75","30.63","-136.01","2","3","249","28","74","11.24","29.72","-65.8","55","14","29","25.45","25.45","-11.55","407","48","132","11.79","11.79","-66.77",
"Bell, M L W","1","0","1","0","100","-1","3","0","2","0","66.67","-3","12","0","4","0","33.33","-12","19","0","4","0","21.05","-19","772","99","251","12.82","32.51","-204.52","21","27","407","56","124","13.76","30.47","-72.45","111","41","62","36.94","36.94","5.44","459","59","148","12.85","12.85","-87.82",
"Best, Jim/Suzi","0","0","0","0","0","0","1","0","1","0","100","-1","4","0","3","0","75","-4","5","0","4","0","80","-5","171","13","39","7.6","22.81","-58.12","32","11","110","8","27","7.27","24.55","-52.37","9","3","4","33.33","33.33","-1.62","113","10","29","8.85","8.85","-13.75",
"Bethell, Ed","0","0","0","0","0","0","3","0","3","0","100","-3","15","2","8","13.33","53.33","-5.25","24","4","12","16.67","50","-7.15","510","89","210","17.45","41.18","-126.5","5","9","301","46","127","15.28","42.19","-122.52","124","47","74","37.9","37.9","-3.12","301","58","124","19.27","19.27","-30.72",
"Bolger, J S","0","0","0","0","0","0","1","0","0","0","0","-1","4","0","0","0","0","-4","7","0","0","0","0","-7","620","39","151","6.29","24.35","-283.21","92","68","279","15","67","5.38","24.01","-164.24","47","12","27","25.53","25.53","-15.59","265","16","69","6.04","6.04","-65.92",
"Botti, M","1","1","1","100","100","7","6","3","3","50","50","15.33","10","3","5","30","50","11.33","19","4","7","21.05","36.84","10.33","830","94","258","11.33","31.08","-132.63","1","1","465","57","147","12.26","31.61","-83.04","85","21","48","24.71","24.71","-24.11","526","59","161","11.22","11.22","-115.45",
"Boughey, George","1","0","0","0","0","-1","10","0","2","0","20","-10","21","1","5","4.76","23.81","-15.5","33","1","9","3.03","27.27","-27.5","1464","231","547","15.78","37.36","-315.18","6","17","715","108","265","15.1","37.06","-162.2","298","102","191","34.23","34.23","-46.04","824","134","313","16.26","16.26","-81.56",
