trainer,7Day_Runs,7Day_Wins,7Day_Places,7Day_Win_Strike,7Day_Place_Strike,7Day_SP_ProfitLoss,14Day_Runs,14Day_Wins,14Day_Places,14Day_Win_Strike,14Day_Place_Strike,14Day_SP_ProfitLoss,2YR_Runs,2YR_Wins,2YR_Places,2YR_Win_Strike,2YR_Place_Strike,2YR_SP_ProfitLoss,DaysSinceWin,RunsSinceWin,1YR_Runs,1YR_Wins,1YR_Places,1YR_Win_Strike,1YR_Place_Strike,1YR_SP_ProfitLoss,2yr_fav_Runs,2yr_fav_Wins,2yr_fav_Places,2yr_fav_Win_Strike,2yr_fav_Place_Strike,2yr_fav_SP_ProfitLoss,2yr_hcap_Runs,2yr_hcap_Wins,2yr_hcap_Places,2yr_hcap_Win_Strike,2yr_hcap_Place_Strike,2yr_hcap_SP_ProfitLoss,
"Attwater, M J","0","0","0","0","0","0","1","0","0","0","0","-1","605","42","136","6.94","22.48","-294.12","45","18","293","22","64","7.51","21.84","-156.13","34","9","18","26.47","26.47","-8.66","508","36","111","7.09","7.09","-228.17",
"Baker, George","0","0","0","0","0","0","5","0","1","0","20","-5","384","34","108","8.85","28.13","-129.05","23","7","177","21","63","11.86","35.59","-19.01","48","10","19","20.83","20.83","-17.8","317","34","99","10.73","10.73","-62.05",
"Barclay, Stella","10","0","5","0","50","-10","11","0","5","0","45.45","-11","567","41","136","7.23","23.99","-73.2","19","17","272","23","70","8.46","25.74","-62.61","28","7","15","25","25","-6.53","471","37","117","7.86","7.86","-5.28",
"Beckett, R M","8","0","2","0","25","-8","19","0","5","0","26.32","-19","1245","222","497","17.83","39.92","-224.5","19","21","649","129","279","19.88","42.99","-108.71","291","107","188","36.77","36.77","-12.36","528","100","195","18.94","18.94","-70.81",
"Bell, M L W","13","1","4","7.69","30.77","-10.9","21","1","6","4.76","28.57","-18.9","744","89","253","11.96","34.01","-258.76","6","9","399","44","126","11.03","31.58","-122.27","115","35","60","30.43","30.43","-21.51","437","51","145","11.67","11.67","-133.2",
"Bethell, Ed","9","0","4","0","44.44","-9","11","0","5","0","45.45","-11","444","70","167","15.77","37.61","-75.94","20","13","234","38","96","16.24","41.03","-66.06","101","30","55","29.7","29.7","-22.15","256","46","99","17.97","17.97","-6.63",
"Bolger, J S","10","1","3","10","30","-3.5","17","1","3","5.88","17.65","-10.5","678","52","165","7.67","24.34","-258.65","6","7","334","26","88","7.78","26.35","-141.34","48","15","27","31.25","31.25","-8.78","267","21","69","7.87","7.87","-16.8",
"Botti, M","14","3","5","21.43","35.71","13.5","23","4","7","17.39","30.43","10.5","830","97","262","11.69","31.57","-1.67","2","2","451","52","138","11.53","30.6","-35.16","81","15","39","18.52","18.52","-38.41","524","63","159","12.02","12.02","-13.95",
"Boughey, George","21","1","7","4.76","33.33","-15.5","34","2","12","5.88","35.29","-25","1489","236","546","15.85","36.67","-348.05","6","10","689","98","237","14.22","34.4","-148.93","302","116","200","38.41","38.41","-14.5","835","143","319","17.13","17.13","-83.44",
"Bourke, D F","7","0","2","0","28.57","-7","8","0","3","0","37.5","-8","181","15","46","8.29","25.41","-59.5","87","31","92","9","23","9.78","25","-32.25","13","2","4","15.38","15.38","-7.25","149","13","37","8.72","8.72","-43.75",
"Boyle, J R","5","0","0","0","0","-5","11","1","3","9.09","27.27","-8","429","41","116","9.56","27.04","-166.5","9","7","186","16","53","8.6","28.49","-86.92","39","9","20","23.08","23.08","-9.12","364","40","107","10.99","10.99","-110",
"Bridger, J / Cook, R","2","0","0","0","0","-2","5","0","1","0","20","-5","235","10","34","4.26","14.47","-132.62","210","41","115","8","26","6.96","22.61","-42.62","13","1","6","7.69","7.69","-10.62","177","10","32","5.65","5.65","-74.62",
"Brookhouse, B","1","0","0","0","0","-1","5","0","0","0","0","-5","230","31","74","13.48","32.17","-42.04","23","9","194","25","59","12.89","30.41","-54.41","37","12","22","32.43","32.43","-1.17","130","13","40","10","10","-22.09",
"Browne, W P","2","0","0","0","0","-2","3","0","0","0","0","-3","111","16","41","14.41","36.94","20.52","38","5","61","8","23","13.11","37.7","5.39","8","6","8","75","75","6.44","33","4","8","12.12","12.12","20.63",
"Bunyan, Darren / OLeary, G","7","1","2","14.29","28.57","16","13","1","3","7.69","23.08","10","223","12","33","5.38","14.8","-100.17","5","6","162","9","25","5.56","15.43","-75.17","8","1","2","12.5","12.5","-3.67","138","10","24","7.25","7.25","-29.67",
"Burke, K R","23","8","11","34.78","47.83","23.21","47","13","23","27.66","48.94","26.42","1526","240","577","15.73","37.81","-67.54","2","8","762","133","300","17.45","39.37","-20.87","259","93","157","35.91","35.91","1.67","723","100","242","13.83","13.83","-82.66",
"Butler, John","9","0","0","0","0","-9","15","1","1","6.67","6.67","-10","1016","75","239","7.38","23.52","-457.41","13","12","550","31","116","5.64","21.09","-263.37","91","26","57","28.57","28.57","-8.73","787","65","203","8.26","8.26","-282.4",
"Camacho, Miss J A","2","0","0","0","0","-2","14","1","3","7.14","21.43","15","596","68","164","11.41","27.52","-48.57","9","5","291","24","73","8.25","25.09","-94.39","68","18","30","26.47","26.47","-1.56","459","51","134","11.11","11.11","-40",
"Candy, H","1","0","0","0","0","-1","9","0","1","0","11.11","-9","239","26","60","10.88","25.1","-64.63","163","19","109","13","27","11.93","24.77","-23.25","21","9","16","42.86","42.86","5.87","125","14","36","11.2","11.2","-47.5",
"Carr, Mrs R A","17","1","2","5.88","11.76","-13.25","27","1","3","3.7","11.11","-23.25","799","85","228","10.64","28.54","-140.57","3","7","433","46","132","10.62","30.48","-139.91","72","23","34","31.94","31.94","8.6","748","79","216","10.56","10.56","-130.57",
"Carroll, A W","12","1","2","8.33","16.67","-4.5","26","2","3","7.69","11.54","-12.5","1963","172","505","8.76","25.73","-449.94","6","9","960","79","232","8.23","24.17","-252.02","161","48","98","29.81","29.81","-17.43","1653","156","446","9.44","9.44","-315.73",
"Chamings, P R","1","0","0","0","0","-1","7","1","2","14.29","28.57","0.5","255","22","54","8.63","21.18","-75.92","10","2","121","15","32","12.4","26.45","5.25","18","6","10","33.33","33.33","3.58","228","22","52","9.65","9.65","-48.92",
"Chapple-Hyam, Jane","1","0","0","0","0","-1","18","1","6","5.56","33.33","-12.5","458","50","146","10.92","31.88","-95.59","11","5","241","29","76","12.03","31.54","-10.36","50","16","28","32","32","-7.25","234","26","87","11.11","11.11","-40.56",
"Charalambous, P / Clutterbuck, J","1","0","0","0","0","-1","2","0","0","0","0","-2","191","11","33","5.76","17.28","-105.92","71","26","100","2","14","2","14","-85.5","14","3","7","21.43","21.43","-4.17","146","10","30","6.85","6.85","-66.42",
"Clover, Tom","4","2","3","50","75","6","8","2","3","25","37.5","2","405","47","148","11.6","36.54","-148.55","1","1","219","28","89","12.79","40.64","-64.86","58","20","37","34.48","34.48","-5.55","228","22","71","9.65","9.65","-80.57",
"Cluskey, P","3","0","0","0","0","-3","3","0","0","0","0","-3","104","1","9","0.96","8.65","-98","559","69","52","0","5","0","9.62","-52","4","1","1","25","25","2","72","1","8","1.39","1.39","-66",
"Coakley, D J","1","0","0","0","0","-1","5","0","1","0","20","-5","164","12","36","7.32","21.95","-61.99","187","18","79","4","18","5.06","22.78","-45","14","2","6","14.29","14.29","-8.24","129","11","33","8.53","8.53","-30.24",
"Coleman, Kevin","6","0","0","0","0","-6","7","0","0","0","0","-7","302","29","83","9.6","27.48","-48.38","45","16","144","15","44","10.42","30.56","-15.8","34","7","17","20.59","20.59","-12.13","185","20","53","10.81","10.81","7.5",
"Collins, C M","3","0","1","0","33.33","-3","10","0","3","0","30","-10","287","21","61","7.32","21.25","-94.21","29","17","187","15","41","8.02","21.93","-39.22","17","3","9","17.65","17.65","-10.54","130","12","30","9.23","9.23","-4.42",
"Comer, Luke","7","0","0","0","0","-7","13","0","0","0","0","-13","782","25","99","3.2","12.66","-182","24","35","451","15","53","3.33","11.75","9","16","2","8","12.5","12.5","-6","463","19","74","4.1","4.1","-169",
"Condon, K J","0","0","0","0","0","0","0","0","0","0","0","0","273","24","85","8.79","31.14","-118.42","200","13","126","7","31","5.56","24.6","-43.5","34","10","20","29.41","29.41","-7.17","127","11","38","8.66","8.66","-31.42",
