trainer,1Day_Runs,1Day_Wins,1Day_Places,1Day_Win_Strike,1Day_Place_Strike,1Day_SP_ProfitLoss,3Day_Runs,3Day_Wins,3Day_Places,3Day_Win_Strike,3Day_Place_Strike,3Day_SP_ProfitLoss,7Day_Runs,7Day_Wins,7Day_Places,7Day_Win_Strike,7Day_Place_Strike,7Day_SP_ProfitLoss,14Day_Runs,14Day_Wins,14Day_Places,14Day_Win_Strike,14Day_Place_Strike,14Day_SP_ProfitLoss,2YR_Runs,2YR_Wins,2YR_Places,2YR_Win_Strike,2YR_Place_Strike,2YR_SP_ProfitLoss,DaysSinceWin,RunsSinceWin,1YR_Runs,1YR_Wins,1YR_Places,1YR_Win_Strike,1YR_Place_Strike,1YR_SP_ProfitLoss,2yr_fav_Runs,2yr_fav_Wins,2yr_fav_Places,2yr_fav_Win_Strike,2yr_fav_Place_Strike,2yr_fav_SP_ProfitLoss,2yr_hcap_Runs,2yr_hcap_Wins,2yr_hcap_Places,2yr_hcap_Win_Strike,2yr_hcap_Place_Strike,2yr_hcap_SP_ProfitLoss,
"Appleby, Charlie","1","0","0","0","0","-1","4","2","3","50","75","6.5","4","2","3","50","75","6.5","9","3","5","33.33","55.56","3.88","721","210","381","29.13","52.84","-32.4","3","3","312","96","168","30.77","53.85","4.48","344","144","222","41.86","41.86","-33.92","131","36","64","27.48","27.48","47.22",
"Appleby, M","4","1","1","25","25","-2.6","7","1","3","14.29","42.86","-5.6","12","1","4","8.33","33.33","-10.6","30","7","12","23.33","40","10.65","1739","195","553","11.21","31.8","-390.16","1","4","819","88","259","10.74","31.62","-188.99","266","72","143","27.07","27.07","-60.57","1489","159","469","10.68","10.68","-349.63",
"Bailey, Liam","3","0","1","0","33.33","-3","6","0","1","0","16.67","-6","7","0","1","0","14.29","-7","7","0","1","0","14.29","-7","297","23","68","7.74","22.9","-145.63","37","14","150","14","39","9.33","26","-61.63","15","4","10","26.67","26.67","-3.13","228","17","50","7.46","7.46","-111.63",
"Balding, A M","15","1","3","6.67","20","-8.5","38","4","10","10.53","26.32","-20.6","49","8","17","16.33","34.69","-20.53","78","14","29","17.95","37.18","-24.27","2034","310","770","15.24","37.86","-401.64","1","9","1116","173","446","15.5","39.96","-208.88","398","134","252","33.67","33.67","-54.54","892","135","306","15.13","15.13","-114.18",
"Barron, T D","0","0","0","0","0","0","0","0","0","0","0","0","3","1","1","33.33","33.33","1","11","2","4","18.18","36.36","-2","491","51","149","10.39","30.35","-143.76","5","2","245","27","73","11.02","29.8","-67.05","53","13","28","24.53","24.53","-12.8","407","46","130","11.3","11.3","-76.52",
"Beckett, R M","3","1","1","33.33","33.33","0.75","16","6","7","37.5","43.75","12.3","20","7","9","35","45","9.74","43","14","21","32.56","48.84","16.49","1309","245","541","18.72","41.33","-159.08","1","3","646","117","268","18.11","41.49","-106.35","315","119","209","37.78","37.78","-11.7","530","106","210","20","20","2.28",
"Bell, M L W","1","0","1","0","100","-1","5","0","1","0","20","-5","10","0","3","0","30","-10","17","0","3","0","17.65","-17","777","99","250","12.74","32.18","-209.52","19","25","408","57","124","13.97","30.39","-72.01","109","41","61","37.61","37.61","7.44","462","59","148","12.77","12.77","-90.82",
"Bethell, Ed","1","0","1","0","100","-1","9","1","4","11.11","44.44","-3","14","2","6","14.29","42.86","-4.25","22","4","10","18.18","45.45","-5.15","511","89","209","17.42","40.9","-127.5","3","7","300","46","125","15.33","41.67","-121.52","123","47","73","38.21","38.21","-2.12","302","58","124","19.21","19.21","-31.72",
"Blake, Michael","1","0","1","0","100","-1","1","0","1","0","100","-1","1","0","1","0","100","-1","5","0","1","0","20","-5","134","14","32","10.45","23.88","6.5","102","28","71","4","14","5.63","19.72","-25.5","8","1","3","12.5","12.5","-4","114","14","27","12.28","12.28","26.5",
"Bolger, J S","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","-3","11","0","1","0","9.09","-11","624","40","152","6.41","24.36","-278.71","90","67","278","15","67","5.4","24.1","-163.24","47","12","27","25.53","25.53","-15.59","264","16","69","6.06","6.06","-64.92",
"Botti, M","2","1","1","50","50","2.33","5","1","3","20","60","-0.67","8","1","3","12.5","37.5","-3.67","16","2","5","12.5","31.25","-3.67","828","93","257","11.23","31.04","-121.63","1","1","463","56","146","12.1","31.53","-94.29","85","21","48","24.71","24.71","-24.11","527","60","162","11.39","11.39","-90.45",
"Boughey, George","5","0","1","0","20","-5","10","0","3","0","30","-10","22","1","7","4.55","31.82","-16.5","30","1","9","3.33","30","-24.5","1472","231","548","15.69","37.23","-323.18","4","12","712","108","265","15.17","37.22","-159.2","298","102","191","34.23","34.23","-46.04","825","134","313","16.24","16.24","-82.56",
"Bridger, J / Cook, R","2","0","0","0","0","-2","6","2","2","33.33","33.33","5.33","6","2","2","33.33","33.33","5.33","11","2","3","18.18","27.27","0.33","263","19","55","7.22","20.91","-125.86","2","3","140","12","34","8.57","24.29","-54.24","19","4","9","21.05","21.05","-7.94","208","17","49","8.17","8.17","-80.61",
"Brookhouse, B","0","0","0","0","0","0","1","0","0","0","0","-1","2","0","0","0","0","-2","4","0","0","0","0","-4","317","44","103","13.88","32.49","-0.6","16","5","216","31","68","14.35","31.48","-1.85","51","16","29","31.37","31.37","-2.23","199","23","62","11.56","11.56","20.41",
"Brown, G","0","0","0","0","0","0","0","0","0","0","0","0","4","0","0","0","0","-4","5","0","0","0","0","-5","156","20","47","12.82","30.13","1.82","16","6","97","12","24","12.37","24.74","-3.44","16","4","10","25","25","-6.39","112","16","38","14.29","14.29","32.51",
"Burke, K R","13","2","5","15.38","38.46","-8.82","23","2","7","8.7","30.43","-18.82","29","2","10","6.9","34.48","-24.82","49","5","16","10.2","32.65","-29.57","1557","238","595","15.29","38.21","-274.87","1","4","803","132","316","16.44","39.35","-72.27","258","95","160","36.82","36.82","-23.71","713","83","232","11.64","11.64","-164.09",
