trainer,7Day_Runs,7Day_Wins,7Day_Places,7Day_Win_Strike,7Day_Place_Strike,7Day_SP_ProfitLoss,14Day_Runs,14Day_Wins,14Day_Places,14Day_Win_Strike,14Day_Place_Strike,14Day_SP_ProfitLoss,2YR_Runs,2YR_Wins,2YR_Places,2YR_Win_Strike,2YR_Place_Strike,2YR_SP_ProfitLoss,DaysSinceWin,RunsSinceWin,1YR_Runs,1YR_Wins,1YR_Places,1YR_Win_Strike,1YR_Place_Strike,1YR_SP_ProfitLoss,2yr_fav_Runs,2yr_fav_Wins,2yr_fav_Places,2yr_fav_Win_Strike,2yr_fav_Place_Strike,2yr_fav_SP_ProfitLoss,2yr_hcap_Runs,2yr_hcap_Wins,2yr_hcap_Places,2yr_hcap_Win_Strike,2yr_hcap_Place_Strike,2yr_hcap_SP_ProfitLoss,
"Allen, C N","3","0","0","0","0","-3","6","0","1","0","16.67","-6","208","23","71","11.06","34.13","-62.29","40","16","105","10","30","9.52","28.57","-44.87","29","6","13","20.69","20.69","-9.37","164","22","58","13.41","13.41","-22.79",
"Appleby, M","26","1","6","3.85","23.08","-23.62","45","5","15","11.11","33.33","20.01","1855","233","574","12.56","30.94","-163.6","6","20","925","121","308","13.08","33.3","-124.68","271","87","163","32.1","32.1","-16.1","1601","202","508","12.62","12.62","-79.7",
"Atkinson, P G","0","0","0","0","0","0","0","0","0","0","0","0","36","3","8","8.33","22.22","-21.67","29","3","12","3","5","25","41.67","2.33","0","0","0","0","0","0","21","2","6","9.52","9.52","-10.17",
"Attwater, M J","11","0","4","0","36.36","-11","16","0","4","0","25","-16","644","35","129","5.43","20.03","-249.76","40","38","300","18","68","6","22.67","-118.42","23","7","12","30.43","30.43","-1.14","515","29","103","5.63","5.63","-187.92",
"Baker, George","4","0","1","0","25","-4","8","0","1","0","12.5","-8","402","39","99","9.7","24.63","-76.74","50","11","217","18","50","8.29","23.04","-93.13","42","9","20","21.43","21.43","-14.37","308","33","83","10.71","10.71","-42.12",
"Balding, A M","3","1","2","33.33","66.67","4","11","2","7","18.18","63.64","-1.9","1854","285","680","15.37","36.68","-122.9","5","1","940","136","340","14.47","36.17","-182.43","309","98","189","31.72","31.72","-48.84","851","130","307","15.28","15.28","-57.58",
"Bandey, R J","8","0","0","0","0","-8","10","0","1","0","10","-10","179","30","71","16.76","39.66","-3.28","92","27","87","19","37","21.84","42.53","29.01","39","15","26","38.46","38.46","-5.03","116","20","48","17.24","17.24","9.38",
"Barclay, Stella","7","1","1","14.29","14.29","-2","13","1","3","7.69","23.08","-8","468","26","95","5.56","20.3","-6.71","5","4","264","13","54","4.92","20.45","1.41","24","6","13","25","25","-4.46","389","25","84","6.43","6.43","68.29",
"Barlow, J R","0","0","0","0","0","0","0","0","0","0","0","0","6","0","1","0","16.67","-6","1825","13","2","0","0","0","0","-2","0","0","0","0","0","0","0","0","0","0","0","0",
"Best, Jim/Suzi","2","0","1","0","50","-2","5","0","1","0","20","-5","99","9","23","9.09","23.23","-30.04","16","6","45","4","9","8.89","20","5.25","7","3","4","42.86","42.86","1.63","68","8","18","11.76","11.76","-3.37",
