trainer,1Day_Runs,1Day_Wins,1Day_Places,1Day_Win_Strike,1Day_Place_Strike,1Day_SP_ProfitLoss,3Day_Runs,3Day_Wins,3Day_Places,3Day_Win_Strike,3Day_Place_Strike,3Day_SP_ProfitLoss,7Day_Runs,7Day_Wins,7Day_Places,7Day_Win_Strike,7Day_Place_Strike,7Day_SP_ProfitLoss,14Day_Runs,14Day_Wins,14Day_Places,14Day_Win_Strike,14Day_Place_Strike,14Day_SP_ProfitLoss,2YR_Runs,2YR_Wins,2YR_Places,2YR_Win_Strike,2YR_Place_Strike,2YR_SP_ProfitLoss,DaysSinceWin,RunsSinceWin,1YR_Runs,1YR_Wins,1YR_Places,1YR_Win_Strike,1YR_Place_Strike,1YR_SP_ProfitLoss,2yr_fav_Runs,2yr_fav_Wins,2yr_fav_Places,2yr_fav_Win_Strike,2yr_fav_Place_Strike,2yr_fav_SP_ProfitLoss,2yr_hcap_Runs,2yr_hcap_Wins,2yr_hcap_Places,2yr_hcap_Win_Strike,2yr_hcap_Place_Strike,2yr_hcap_SP_ProfitLoss,
"Appleby, Charlie","0","0","0","0","0","0","3","0","0","0","0","-3","8","2","5","25","62.5","2.5","13","4","8","30.77","61.54","8","711","206","374","28.97","52.6","-30.32","4","4","307","92","165","29.97","53.75","-4.5","337","141","218","41.84","41.84","-31.59","125","34","58","27.2","27.2","47.28",
"Appleby, M","2","1","1","50","50","24","6","2","3","33.33","50","23.5","11","2","4","18.18","36.36","18.5","28","4","10","14.29","35.71","13.9","1734","197","555","11.36","32.01","-347.91","1","1","814","88","258","10.81","31.7","-165.99","267","72","144","26.97","26.97","-61.32","1483","161","469","10.86","10.86","-306.38",
"Attwater, M J","0","0","0","0","0","0","2","0","0","0","0","-2","7","1","2","14.29","28.57","-0.5","15","1","4","6.67","26.67","-8.5","587","35","118","5.96","20.1","-308.75","7","7","280","18","61","6.43","21.79","-153.29","26","6","12","23.08","23.08","-11.41","482","30","99","6.22","6.22","-228.8",
"Baker, George","0","0","0","0","0","0","1","0","0","0","0","-1","4","0","1","0","25","-4","7","1","3","14.29","42.86","2.5","391","39","109","9.97","27.88","-30.75","14","7","201","18","42","8.96","20.9","45.38","30","9","14","30","30","-6.25","334","38","99","11.38","11.38","23.87",
"Balding, A M","0","0","0","0","0","0","13","2","5","15.38","38.46","-5.37","26","3","9","11.54","34.62","-14.04","72","9","24","12.5","33.33","-35.97","2025","307","770","15.16","38.02","-414.26","2","10","1098","170","438","15.48","39.89","-218.42","397","133","250","33.5","33.5","-54.62","893","136","312","15.23","15.23","-110.1",
"Banham, Chelsea","0","0","0","0","0","0","0","0","0","0","0","0","3","0","1","0","33.33","-3","7","1","2","14.29","28.57","3","250","22","60","8.8","24","-89.83","13","6","150","16","40","10.67","26.67","-26.49","13","5","6","38.46","38.46","4.84","179","19","50","10.61","10.61","-37.16",
"Barclay, Stella","0","0","0","0","0","0","1","0","0","0","0","-1","4","1","2","25","50","2.5","7","1","2","14.29","28.57","-0.5","546","40","127","7.33","23.26","-61.9","6","3","231","17","60","7.36","25.97","-72.31","26","7","14","26.92","26.92","-3.56","443","36","105","8.13","8.13","13.02",
"Barcoe, James M","0","0","0","0","0","0","2","0","0","0","0","-2","2","0","0","0","0","-2","3","0","0","0","0","-3","229","9","40","3.93","17.47","-99.67","45","19","125","6","25","4.8","20","-61.17","6","2","2","33.33","33.33","5","174","9","35","5.17","5.17","-44.67",
"Barnes, M A","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","-1","3","0","0","0","0","-3","192","7","36","3.65","18.75","-146.74","457","99","78","0","14","0","17.95","-78","3","1","1","33.33","33.33","-0.62","106","6","21","5.66","5.66","-68.74",
"Barrett, James M","1","0","0","0","0","-1","2","0","0","0","0","-2","3","0","1","0","33.33","-3","4","0","1","0","25","-4","94","3","18","3.19","19.15","-34.43","152","32","42","1","10","2.38","23.81","-25","5","1","2","20","20","-3.43","54","1","9","1.85","1.85","-13",
"Barron, T D","0","0","0","0","0","0","5","0","1","0","20","-5","9","1","2","11.11","22.22","1","17","4","5","23.53","29.41","6.75","497","54","153","10.87","30.78","-130.01","4","6","250","29","75","11.6","30","-56.8","55","14","29","25.45","25.45","-11.55","412","49","134","11.89","11.89","-61.77",
"Bethell, Ed","0","0","0","0","0","0","4","0","1","0","25","-4","11","3","5","27.27","45.45","-2.67","26","5","13","19.23","50","-7.92","515","92","213","17.86","41.36","-123.17","5","9","302","47","127","15.56","42.05","-120.32","126","50","76","39.68","39.68","3.21","308","60","127","19.48","19.48","-32.89",
"Bethell, Harriet","0","0","0","0","0","0","0","0","0","0","0","0","3","1","1","33.33","33.33","-0.62","5","1","1","20","20","-2.62","164","27","65","16.46","39.63","6.44","7","3","72","11","27","15.28","37.5","4.38","26","7","14","26.92","26.92","-6.81","160","27","64","16.88","16.88","10.44",
"Blake, Michael","0","0","0","0","0","0","1","0","0","0","0","-1","3","0","0","0","0","-3","5","0","1","0","20","-5","137","13","31","9.49","22.63","-8.5","110","32","74","4","13","5.41","17.57","-28.5","8","1","3","12.5","12.5","-4","116","13","26","11.21","11.21","12.5",
"Bolger, J S","0","0","0","0","0","0","1","0","0","0","0","-1","6","1","1","16.67","16.67","-1.5","10","1","1","10","10","-5.5","620","40","152","6.45","24.52","-278.71","6","3","277","15","66","5.42","23.83","-161.24","48","13","28","27.08","27.08","-12.09","265","16","69","6.04","6.04","-65.92",
"Boughey, George","0","0","0","0","0","0","10","2","3","20","30","10","19","3","6","15.79","31.58","16","44","4","13","9.09","29.55","-3.5","1462","234","548","16.01","37.48","-278.18","2","2","710","109","267","15.35","37.61","-129.08","295","102","188","34.58","34.58","-43.04","826","135","312","16.34","16.34","-76.56",
"Bourke, D F","1","0","1","0","100","-1","1","0","1","0","100","-1","2","0","1","0","50","-2","6","1","2","16.67","33.33","17","219","21","59","9.59","26.94","-47.5","14","5","120","10","31","8.33","25.83","-51.25","21","5","11","23.81","23.81","-3.25","183","19","51","10.38","10.38","-27.75",
"Bowen, Peter / Michael","0","0","0","0","0","0","2","0","0","0","0","-2","3","0","0","0","0","-3","9","2","3","22.22","33.33","2.88","489","69","150","14.11","30.67","-112.84","12","4","249","33","77","13.25","30.92","-53.72","88","34","55","38.64","38.64","6.45","371","51","110","13.75","13.75","-56.11",
"Breen, Leanne","0","0","0","0","0","0","1","0","0","0","0","-1","1","0","0","0","0","-1","1","0","0","0","0","-1","118","7","23","5.93","19.49","-60.75","113","17","49","3","13","6.12","26.53","-30.25","5","2","5","40","40","2","106","7","22","6.6","6.6","-48.75",
"Brennan, F J","0","0","0","0","0","0","1","0","1","0","100","-1","3","0","1","0","33.33","-3","3","0","1","0","33.33","-3","109","9","24","8.26","22.02","19.41","32","7","70","8","21","11.43","30","53.91","5","1","2","20","20","-3.09","63","6","15","9.52","9.52","40.91",
"Brittain, Antony","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8","1","3","12.5","37.5","3","557","34","137","6.1","24.6","-279.71","11","2","248","9","48","3.63","19.35","-170.04","18","7","11","38.89","38.89","4.71","479","32","118","6.68","6.68","-209.84",
"Bromhead, Henry De","2","0","1","0","50","-2","10","0","4","0","40","-10","13","0","5","0","38.46","-13","19","2","10","10.53","52.63","-11.87","1397","201","509","14.39","36.44","-220.88","10","15","753","111","278","14.74","36.92","-140.97","230","75","152","32.61","32.61","-36.14","546","57","165","10.44","10.44","-57.29",
"Brooke, Daniel","1","0","0","0","0","-1","1","0","0","0","0","-1","3","0","0","0","0","-3","5","0","1","0","20","-5","212","21","58","9.91","27.36","-75.75","37","16","131","11","33","8.4","25.19","-54.42","28","8","20","28.57","28.57","-0.21","180","18","49","10","10","-78.75",
