trainer,1Day_Runs,1Day_Wins,1Day_Places,1Day_Win_Strike,1Day_Place_Strike,1Day_SP_ProfitLoss,3Day_Runs,3Day_Wins,3Day_Places,3Day_Win_Strike,3Day_Place_Strike,3Day_SP_ProfitLoss,7Day_Runs,7Day_Wins,7Day_Places,7Day_Win_Strike,7Day_Place_Strike,7Day_SP_ProfitLoss,14Day_Runs,14Day_Wins,14Day_Places,14Day_Win_Strike,14Day_Place_Strike,14Day_SP_ProfitLoss,2YR_Runs,2YR_Wins,2YR_Places,2YR_Win_Strike,2YR_Place_Strike,2YR_SP_ProfitLoss,DaysSinceWin,RunsSinceWin,1YR_Runs,1YR_Wins,1YR_Places,1YR_Win_Strike,1YR_Place_Strike,1YR_SP_ProfitLoss,2yr_fav_Runs,2yr_fav_Wins,2yr_fav_Places,2yr_fav_Win_Strike,2yr_fav_Place_Strike,2yr_fav_SP_ProfitLoss,2yr_hcap_Runs,2yr_hcap_Wins,2yr_hcap_Places,2yr_hcap_Win_Strike,2yr_hcap_Place_Strike,2yr_hcap_SP_ProfitLoss,
"Aprahamian, Billy","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","100","100","0.73","96","6","23","6.25","23.96","-13.07","9","1","61","4","17","6.56","27.87","-31.27","7","3","5","42.86","42.86","0.93","71","5","17","7.04","7.04","10.2",
"Balding, A M","10","1","3","10","30","-8","19","3","7","15.79","36.84","-5.62","29","6","12","20.69","41.38","-3.74","61","10","22","16.39","36.07","-16.24","2004","307","762","15.32","38.02","-371.56","1","5","1102","166","439","15.06","39.84","-217.35","390","132","248","33.85","33.85","-50.26","877","132","301","15.05","15.05","-106.38",
"Banham, Chelsea","0","0","0","0","0","0","1","0","1","0","100","-1","1","0","1","0","100","-1","7","0","2","0","28.57","-7","246","22","60","8.94","24.39","-92.7","30","12","147","15","38","10.2","25.85","-33.49","14","6","7","42.86","42.86","6.97","174","19","50","10.92","10.92","-39.03",
"Best, Jim/Suzi","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","-1","4","0","1","0","25","-4","166","13","35","7.83","21.08","-53.12","23","6","105","8","23","7.62","21.9","-47.37","9","3","4","33.33","33.33","-1.62","109","10","25","9.17","9.17","-9.75",
"Bethell, Ed","1","1","1","100","100","4","5","2","3","40","60","2.1","8","2","4","25","50","-0.9","13","3","5","23.08","38.46","-0.4","509","88","207","17.29","40.67","-128.75","1","1","291","45","120","15.46","41.24","-111.27","122","46","73","37.7","37.7","-4.87","302","58","124","19.21","19.21","-31.22",
"Boughey, George","1","0","0","0","0","-1","4","0","1","0","25","-4","8","0","2","0","25","-8","29","3","7","10.34","24.14","-3.75","1479","236","552","15.96","37.32","-305.9","8","9","710","112","265","15.77","37.32","-122.62","302","106","195","35.1","35.1","-37.76","835","140","320","16.77","16.77","-62.78",
"Bradstock, Mrs Sara V","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10","0","0","0","0","-10","946","12","8","0","0","0","0","-8","1","0","0","0","0","-1","1","0","0","0","0","-1",
"Brittain, Antony","1","0","0","0","0","-1","5","1","2","20","40","-0.67","13","1","2","7.69","15.38","-8.67","22","1","3","4.55","13.64","-17.67","561","33","136","5.88","24.24","-294.71","3","2","251","9","47","3.59","18.73","-180.29","19","7","11","36.84","36.84","3.71","483","31","117","6.42","6.42","-224.84",
"Brown, A D","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","-1","4","1","1","25","25","3","318","37","103","11.64","32.39","-52.12","12","2","154","15","52","9.74","33.77","-36.71","46","10","22","21.74","21.74","-15.03","259","33","87","12.74","12.74","-14.17",
"Brown, G","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","-1","6","1","2","16.67","33.33","0","152","20","47","13.16","30.92","5.82","9","2","96","12","24","12.5","25","-2.44","16","4","10","25","25","-6.39","110","16","38","14.55","14.55","34.51",
