trainer,7Day_Runs,7Day_Wins,7Day_Places,7Day_Win_Strike,7Day_Place_Strike,7Day_SP_ProfitLoss,14Day_Runs,14Day_Wins,14Day_Places,14Day_Win_Strike,14Day_Place_Strike,14Day_SP_ProfitLoss,2YR_Runs,2YR_Wins,2YR_Places,2YR_Win_Strike,2YR_Place_Strike,2YR_SP_ProfitLoss,DaysSinceWin,RunsSinceWin,1YR_Runs,1YR_Wins,1YR_Places,1YR_Win_Strike,1YR_Place_Strike,1YR_SP_ProfitLoss,2yr_fav_Runs,2yr_fav_Wins,2yr_fav_Places,2yr_fav_Win_Strike,2yr_fav_Place_Strike,2yr_fav_SP_ProfitLoss,2yr_hcap_Runs,2yr_hcap_Wins,2yr_hcap_Places,2yr_hcap_Win_Strike,2yr_hcap_Place_Strike,2yr_hcap_SP_ProfitLoss,
"Allen, C N","2","0","0","0","0","-2","3","0","0","0","0","-3","192","20","60","10.42","31.25","-76.79","18","4","95","13","31","13.68","32.63","-6.92","26","6","13","23.08","23.08","-5.87","152","18","52","11.84","11.84","-44.54",
"Alston, E J","3","0","0","0","0","-3","5","1","1","20","20","10","191","19","49","9.95","25.65","-57.63","13","5","91","5","20","5.49","21.98","-41.75","24","8","17","33.33","33.33","5.79","169","19","44","11.24","11.24","-35.63",
"Appleby, Charlie","21","5","10","23.81","47.62","-4.62","28","7","14","25","50","-7.95","819","245","459","29.91","56.04","-19.97","4","3","460","142","249","30.87","54.13","-3.51","371","163","267","43.94","43.94","0.79","197","48","88","24.37","24.37","-40.53",
"Armson, R J","1","0","1","0","100","-1","1","0","1","0","100","-1","54","4","12","7.41","22.22","37","41","3","19","1","6","5.26","31.58","-13.5","2","0","2","0","0","-2","45","4","11","8.89","8.89","46",
"Attwater, M J","4","0","2","0","50","-4","13","0","5","0","38.46","-13","627","33","125","5.26","19.94","-216.64","23","23","340","19","74","5.59","21.76","-142.89","19","6","12","31.58","31.58","-0.39","503","29","106","5.77","5.77","-152.55",
"Bailey, Liam","1","0","1","0","100","-1","3","0","2","0","66.67","-3","300","11","53","3.67","17.67","-184.25","41","25","136","6","22","4.41","16.18","-47.5","17","1","6","5.88","5.88","-14.5","270","9","48","3.33","3.33","-162",
"Barron, T D","9","0","1","0","11.11","-9","17","1","4","5.88","23.53","-13","577","74","185","12.82","32.06","-63.95","14","15","260","40","95","15.38","36.54","44.3","93","32","52","34.41","34.41","22.31","455","63","156","13.85","13.85","-8.86",
"Beckett, R M","22","4","14","18.18","63.64","16","44","7","19","15.91","43.18","9.83","1100","196","433","17.82","39.36","-62.93","2","5","534","84","196","15.73","36.7","-84.39","265","98","167","36.98","36.98","15.29","541","100","210","18.48","18.48","-50.62",
"Bell, M L W","9","2","2","22.22","22.22","2.75","20","5","6","25","30","2.92","694","95","224","13.69","32.28","-188.59","4","2","338","45","106","13.31","31.36","-112.73","116","35","64","30.17","30.17","-22.5","400","57","127","14.25","14.25","-84.6",
"Berry, John","4","1","2","25","50","-0.5","4","1","2","25","50","-0.5","159","9","38","5.66","23.9","-46","1","1","92","5","24","5.43","26.09","-47","9","1","5","11.11","11.11","-5","120","9","34","7.5","7.5","-7",
"Black, Anthony John","1","0","0","0","0","-1","1","0","0","0","0","-1","8","0","1","0","12.5","-8","1178","12","4","0","1","0","25","-4","1","0","0","0","0","-1","1","0","0","0","0","-1",
"Boanas, Miss G","0","0","0","0","0","0","2","0","0","0","0","-2","293","37","103","12.63","35.15","-33.49","19","5","161","20","61","12.42","37.89","11.54","31","12","22","38.71","38.71","11.35","234","34","95","14.53","14.53","9.01",
"Bolger, J S","7","1","2","14.29","28.57","-3.5","16","1","5","6.25","31.25","-12.5","926","84","210","9.07","22.68","-179.86","3","4","359","23","73","6.41","20.33","-171.32","73","24","40","32.88","32.88","6.18","405","35","97","8.64","8.64","-82.59",
"Botti, M","7","1","3","14.29","42.86","0.5","17","4","7","23.53","41.18","8.75","804","100","258","12.44","32.09","18.54","1","1","385","55","129","14.29","33.51","133.1","101","28","53","27.72","27.72","-21.59","507","69","158","13.61","13.61","-19.46",
"Boughey, George","23","2","7","8.7","30.43","-16.84","34","4","11","11.76","32.35","-16.84","913","163","360","17.85","39.43","-163.42","7","20","595","99","224","16.64","37.65","-158.07","215","89","146","41.4","41.4","12.75","492","89","199","18.09","18.09","-55.96",
"Bowe, Colin","0","0","0","0","0","0","1","0","0","0","0","-1","157","15","56","9.55","35.67","-42.9","178","19","64","6","18","9.38","28.13","-2.9","21","5","16","23.81","23.81","-6.9","61","5","23","8.2","8.2","-17",
"Bowen, P","2","1","1","50","50","1.75","9","2","4","22.22","44.44","-2.25","508","65","161","12.8","31.69","-94.89","2","2","229","27","67","11.79","29.26","-50.12","90","30","56","33.33","33.33","3.2","410","60","141","14.63","14.63","-26.65",
"Boyle, J R","14","1","2","7.14","14.29","-6.5","23","1","3","4.35","13.04","-15.5","397","40","99","10.08","24.94","-154.56","6","11","205","15","47","7.32","22.93","-110.21","40","13","22","32.5","32.5","1.9","324","35","85","10.8","10.8","-102.22",
"Brassil, Martin","0","0","0","0","0","0","1","0","0","0","0","-1","146","21","45","14.38","30.82","22.74","45","8","87","14","32","16.09","36.78","5.61","18","9","11","50","50","5.91","57","12","19","21.05","21.05","27.01",
"Bridger, J J","1","0","0","0","0","-1","4","0","0","0","0","-4","334","20","56","5.99","16.77","12.59","53","27","148","2","21","1.35","14.19","-128.5","15","3","7","20","20","-4.54","264","18","53","6.82","6.82","-74.41",
"Brisland, Robyn","5","0","0","0","0","-5","9","0","1","0","11.11","-9","759","56","161","7.38","21.21","-313.6","43","29","341","27","75","7.92","21.99","-118.9","49","14","21","28.57","28.57","-12.42","571","45","127","7.88","7.88","-233.17",
"Bromhead, Henry De","16","1","5","6.25","31.25","-11.67","30","2","12","6.67","40","-22.79","1683","236","573","14.02","34.05","-555.82","1","1","774","102","259","13.18","33.46","-268.77","305","108","188","35.41","35.41","-58.21","616","44","149","7.14","7.14","-253.84",
"Brooke, Daniel","1","0","1","0","100","-1","3","0","1","0","33.33","-3","196","9","33","4.59","16.84","-90.5","32","10","113","6","21","5.31","18.58","-49","4","0","1","0","0","-4","162","9","27","5.56","5.56","-56.5",
"Brouder, Gearoid","1","0","0","0","0","-1","4","0","0","0","0","-4","83","1","4","1.2","4.82","-73.5","268","57","70","1","3","1.43","4.29","-60.5","0","0","0","0","0","0","27","1","3","3.7","3.7","-17.5",
"Brown, Andi","2","0","0","0","0","-2","2","0","0","0","0","-2","37","3","7","8.11","18.92","-18.5","23","3","27","2","5","7.41","18.52","-16.5","2","1","1","50","50","1.5","22","3","6","13.64","13.64","-3.5",
"Bryson, W J","0","0","0","0","0","0","0","0","0","0","0","0","26","0","1","0","3.85","-26","9999","9999","10","0","0","0","0","-10","0","0","0","0","0","0","6","0","0","0","0","-6",
"Burke, K R","16","6","10","37.5","62.5","21.42","43","9","18","20.93","41.86","13.92","1505","200","516","13.29","34.29","-178.39","4","4","794","121","291","15.24","36.65","-70.05","203","76","129","37.44","37.44","19.81","806","93","259","11.54","11.54","-33.32",
"Butler, John","3","0","0","0","0","-3","15","3","5","20","33.33","11.25","828","83","213","10.02","25.72","-217.91","8","5","431","51","128","11.83","29.7","-26.54","75","26","53","34.67","34.67","3.5","641","67","176","10.45","10.45","-169.37",
"Butler, Michael","0","0","0","0","0","0","3","0","1","0","33.33","-3","100","5","16","5","16","-17.5","375","62","58","0","8","0","13.79","-58","4","1","1","25","25","-0.5","55","5","15","9.09","9.09","27.5",
"Byrnes, C","5","1","2","20","40","5","10","2","3","20","30","6.5","351","41","105","11.68","29.91","-99.74","4","1","192","21","53","10.94","27.6","-45.74","63","18","38","28.57","28.57","-6.32","161","22","48","13.66","13.66","-2.37",
"Candlish, Jennie","2","0","1","0","50","-2","11","2","4","18.18","36.36","25","547","57","172","10.42","31.44","-148.5","8","4","261","24","82","9.2","31.42","-93.87","73","19","40","26.03","26.03","-12.29","471","47","150","9.98","9.98","-147.69",
"Candy, H","2","0","0","0","0","-2","5","0","1","0","20","-5","335","30","89","8.96","26.57","-142.78","39","16","138","14","37","10.14","26.81","-75.41","40","13","23","32.5","32.5","-2.78","196","17","53","8.67","8.67","-102.04",
"Carr, Mrs R A","8","0","1","0","12.5","-8","19","2","4","10.53","21.05","8.5","757","40","141","5.28","18.63","-269.09","11","11","365","20","66","5.48","18.08","-98.34","27","2","11","7.41","7.41","-18.92","704","37","132","5.26","5.26","-238.42",
"Carroll, A W","19","3","6","15.79","31.58","1.75","38","5","13","13.16","34.21","-1.75","1976","178","520","9.01","26.32","-521.37","1","1","999","87","278","8.71","27.83","-208.06","145","44","85","30.34","30.34","-0.32","1686","161","471","9.55","9.55","-398.39",
"Carson, Anthony","0","0","0","0","0","0","3","0","1","0","33.33","-3","235","7","31","2.98","13.19","-122.5","43","11","105","2","12","1.9","11.43","-91.5","7","0","3","0","0","-7","161","4","21","2.48","2.48","-100.5",
"Carter, Lee","1","0","0","0","0","-1","2","0","0","0","0","-2","197","6","24","3.05","12.18","-107.62","399","103","90","0","10","0","11.11","-90","7","1","4","14.29","14.29","-4.12","172","5","18","2.91","2.91","-94.62",
"Chamings, P R","4","0","0","0","0","-4","6","0","0","0","0","-6","321","24","87","7.48","27.1","-15","53","32","155","12","40","7.74","25.81","-11.5","22","2","9","9.09","9.09","-13.5","281","22","79","7.83","7.83","10",
"Channon, M R","14","0","3","0","21.43","-14","29","0","7","0","24.14","-29","1053","87","296","8.26","28.11","-456.22","16","31","470","34","127","7.23","27.02","-251.64","108","25","56","23.15","23.15","-22.56","674","58","199","8.61","8.61","-261.84",
