trainer,1Day_Runs,1Day_Wins,1Day_Places,1Day_Win_Strike,1Day_Place_Strike,1Day_SP_ProfitLoss,3Day_Runs,3Day_Wins,3Day_Places,3Day_Win_Strike,3Day_Place_Strike,3Day_SP_ProfitLoss,7Day_Runs,7Day_Wins,7Day_Places,7Day_Win_Strike,7Day_Place_Strike,7Day_SP_ProfitLoss,14Day_Runs,14Day_Wins,14Day_Places,14Day_Win_Strike,14Day_Place_Strike,14Day_SP_ProfitLoss,2YR_Runs,2YR_Wins,2YR_Places,2YR_Win_Strike,2YR_Place_Strike,2YR_SP_ProfitLoss,DaysSinceWin,RunsSinceWin,1YR_Runs,1YR_Wins,1YR_Places,1YR_Win_Strike,1YR_Place_Strike,1YR_SP_ProfitLoss,2yr_fav_Runs,2yr_fav_Wins,2yr_fav_Places,2yr_fav_Win_Strike,2yr_fav_Place_Strike,2yr_fav_SP_ProfitLoss,2yr_hcap_Runs,2yr_hcap_Wins,2yr_hcap_Places,2yr_hcap_Win_Strike,2yr_hcap_Place_Strike,2yr_hcap_SP_ProfitLoss,
"Aherne, Sean","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","-1","162","10","26","6.17","16.05","-21.5","127","22","77","4","12","5.19","15.58","-25","6","0","1","0","0","-6","106","8","23","7.55","7.55","20.5",
"Allen, C N","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","1","1","33.33","33.33","1","225","27","72","12","32","4.17","8","1","105","18","38","17.14","36.19","44.04","21","7","11","33.33","33.33","2.84","172","20","57","11.63","11.63","-29.16",
"Appleby, Charlie","1","1","1","100","100","3.5","3","1","3","33.33","100","1.5","8","2","6","25","75","2.5","11","4","8","36.36","72.73","10","719","211","381","29.35","52.99","-23.4","1","1","310","94","169","30.32","54.52","-2.02","342","144","222","42.11","42.11","-30.92","128","36","61","28.13","28.13","51.22",
"Attwater, M J","2","0","1","0","50","-2","3","0","1","0","33.33","-3","7","1","2","14.29","28.57","-0.5","14","1","5","7.14","35.71","-7.5","589","35","119","5.94","20.2","-310.75","4","5","279","18","61","6.45","21.86","-152.29","26","6","12","23.08","23.08","-11.41","483","30","100","6.21","6.21","-229.8",
"Attwater, P","2","0","0","0","0","-2","2","0","0","0","0","-2","4","0","1","0","25","-4","7","0","1","0","14.29","-7","16","0","2","0","12.5","-16","9999","9999","16","0","2","0","12.5","-16","0","0","0","0","0","0","7","0","0","0","0","-7",
"Bailey, K C","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","100","100","8","481","68","155","14.14","32.22","-100.72","9","1","219","30","64","13.7","29.22","-64.87","75","23","45","30.67","30.67","-14.27","314","48","103","15.29","15.29","-21.9",
"Bailey, Liam","0","0","0","0","0","0","0","0","0","0","0","0","5","0","1","0","20","-5","8","0","1","0","12.5","-8","293","23","67","7.85","22.87","-141.63","42","15","148","14","39","9.46","26.35","-59.63","15","4","10","26.67","26.67","-3.13","225","17","49","7.56","7.56","-108.63",
"Balding, A M","1","0","1","0","100","-1","8","1","2","12.5","25","-3.67","46","4","11","8.7","23.91","-30.27","80","11","27","13.75","33.75","-42.32","2027","309","771","15.24","38.04","-399.14","2","3","1105","170","440","15.38","39.82","-225.3","398","133","251","33.42","33.42","-56.37","890","136","310","15.28","15.28","-107.85",
"Barcoe, James M","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","-1","3","0","1","0","33.33","-3","229","9","40","3.93","17.47","-99.67","42","17","125","6","26","4.8","20.8","-61.17","6","2","2","33.33","33.33","5","173","9","35","5.2","5.2","-43.67",
"Barron, T D","1","1","1","100","100","9","3","1","1","33.33","33.33","7","9","3","3","33.33","33.33","10.75","17","5","6","29.41","35.29","11.75","493","54","152","10.95","30.83","-126.01","1","1","248","29","75","11.69","30.24","-54.8","55","14","29","25.45","25.45","-11.55","407","49","133","12.04","12.04","-56.77",
