trainer,7Day_Runs,7Day_Wins,7Day_Places,7Day_Win_Strike,7Day_Place_Strike,7Day_SP_ProfitLoss,14Day_Runs,14Day_Wins,14Day_Places,14Day_Win_Strike,14Day_Place_Strike,14Day_SP_ProfitLoss,2YR_Runs,2YR_Wins,2YR_Places,2YR_Win_Strike,2YR_Place_Strike,2YR_SP_ProfitLoss,DaysSinceWin,RunsSinceWin,1YR_Runs,1YR_Wins,1YR_Places,1YR_Win_Strike,1YR_Place_Strike,1YR_SP_ProfitLoss,2yr_fav_Runs,2yr_fav_Wins,2yr_fav_Places,2yr_fav_Win_Strike,2yr_fav_Place_Strike,2yr_fav_SP_ProfitLoss,2yr_hcap_Runs,2yr_hcap_Wins,2yr_hcap_Places,2yr_hcap_Win_Strike,2yr_hcap_Place_Strike,2yr_hcap_SP_ProfitLoss,
"Allen, C N","3","0","1","0","33.33","-3","4","0","1","0","25","-4","207","21","73","10.14","35.27","-67.54","31","10","109","10","36","9.17","33.03","-47.37","27","5","13","18.52","18.52","-10.62","164","20","60","12.2","12.2","-29.04",
"Appleby, M","24","0","4","0","16.67","-24","34","0","5","0","14.71","-34","1837","230","563","12.52","30.65","-164.15","20","44","916","107","297","11.68","32.42","-198.74","277","88","164","31.77","31.77","-19.44","1583","198","495","12.51","12.51","-93.5",
"Archdeacon, L J","0","0","0","0","0","0","0","0","0","0","0","0","53","0","2","0","3.77","-53","1454","90","18","0","1","0","5.56","-18","0","0","0","0","0","0","25","0","2","0","0","-25",
"Attwater, M J","7","1","2","14.29","28.57","-1.5","13","1","2","7.69","15.38","-7.5","658","39","133","5.93","20.21","-246.13","5","6","313","20","70","6.39","22.36","-138.99","27","8","13","29.63","29.63","-3.34","528","32","106","6.06","6.06","-185.09",
"Bailey, Liam","1","0","1","0","100","-1","1","0","1","0","100","-1","314","12","56","3.82","17.83","-182.75","32","11","168","6","31","3.57","18.45","-121.5","11","1","4","9.09","9.09","-8.5","258","8","43","3.1","3.1","-148",
"Baker, George","4","2","3","50","75","8.25","10","4","8","40","80","12","408","42","108","10.29","26.47","-101.74","1","2","203","14","46","6.9","22.66","-98.12","44","10","22","22.73","22.73","-13.12","319","36","92","11.29","11.29","-72.12",
"Balding, A M","16","2","3","12.5","18.75","-10.25","35","4","9","11.43","25.71","-22.75","1863","286","674","15.35","36.18","-144.68","1","5","914","138","322","15.1","35.23","-160.29","311","100","188","32.15","32.15","-51.15","835","122","292","14.61","14.61","-83.58",
"Barron, T D","9","2","3","22.22","33.33","-1.75","14","2","6","14.29","42.86","-6.75","499","70","167","14.03","33.47","-37.92","4","4","232","30","73","12.93","31.47","-78.97","84","25","48","29.76","29.76","9.18","399","58","139","14.54","14.54","-8.83",
"Barry, David Richard","0","0","0","0","0","0","0","0","0","0","0","0","16","2","3","12.5","18.75","11.5","339","8","8","1","2","12.5","25","-3.5","0","0","0","0","0","0","13","2","3","15.38","15.38","14.5",
"Barry, Michael","0","0","0","0","0","0","0","0","0","0","0","0","11","0","1","0","9.09","-11","983","21","11","0","1","0","9.09","-11","0","0","0","0","0","0","2","0","0","0","0","-2",
"Beckett, R M","8","1","4","12.5","50","-3.5","19","4","8","21.05","42.11","-1","1092","174","400","15.93","36.63","-169.82","7","8","590","93","217","15.76","36.78","-109.79","235","74","130","31.49","31.49","-28.27","517","80","174","15.47","15.47","-139.92",
"Bell, M L W","12","1","4","8.33","33.33","-2.5","17","1","6","5.88","35.29","-7.5","678","93","223","13.72","32.89","-210.81","2","3","355","46","129","12.96","36.34","-136.99","109","36","58","33.03","33.03","-6.88","398","52","131","13.07","13.07","-143.19",
"Bethell, Ed","7","1","2","14.29","28.57","-4.12","12","4","5","33.33","41.67","0.63","358","50","130","13.97","36.31","-49.31","4","3","213","33","72","15.49","33.8","-10","67","16","36","23.88","23.88","-25.64","198","31","74","15.66","15.66","10.04",
"Blake, Michael","2","1","1","50","50","2","2","1","1","50","50","2","145","10","28","6.9","19.31","-37","3","2","66","6","10","9.09","15.15","-18.5","7","1","4","14.29","14.29","-3","139","9","26","6.47","6.47","-42",
"Botti, M","11","1","2","9.09","18.18","-5","15","2","3","13.33","20","-5.75","765","95","244","12.42","31.9","62.43","5","8","382","45","125","11.78","32.72","30.49","89","20","42","22.47","22.47","-30.28","497","67","158","13.48","13.48","-0.24",
