trainer,1Day_Runs,1Day_Wins,1Day_Places,1Day_Win_Strike,1Day_Place_Strike,1Day_SP_ProfitLoss,3Day_Runs,3Day_Wins,3Day_Places,3Day_Win_Strike,3Day_Place_Strike,3Day_SP_ProfitLoss,7Day_Runs,7Day_Wins,7Day_Places,7Day_Win_Strike,7Day_Place_Strike,7Day_SP_ProfitLoss,14Day_Runs,14Day_Wins,14Day_Places,14Day_Win_Strike,14Day_Place_Strike,14Day_SP_ProfitLoss,2YR_Runs,2YR_Wins,2YR_Places,2YR_Win_Strike,2YR_Place_Strike,2YR_SP_ProfitLoss,DaysSinceWin,RunsSinceWin,1YR_Runs,1YR_Wins,1YR_Places,1YR_Win_Strike,1YR_Place_Strike,1YR_SP_ProfitLoss,2yr_fav_Runs,2yr_fav_Wins,2yr_fav_Places,2yr_fav_Win_Strike,2yr_fav_Place_Strike,2yr_fav_SP_ProfitLoss,2yr_hcap_Runs,2yr_hcap_Wins,2yr_hcap_Places,2yr_hcap_Win_Strike,2yr_hcap_Place_Strike,2yr_hcap_SP_ProfitLoss,
"Aherne, Sean","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","-2","161","10","26","6.21","16.15","-20.5","116","21","81","4","12","4.94","14.81","-29","6","0","1","0","0","-6","105","8","23","7.62","7.62","21.5",
"Appleby, M","0","0","0","0","0","0","9","2","4","22.22","44.44","1.25","18","6","8","33.33","44.44","21.25","32","8","14","25","43.75","14.5","1746","195","551","11.17","31.56","-394.56","2","5","823","90","263","10.94","31.96","-175.64","262","71","141","27.1","27.1","-57.97","1499","160","469","10.67","10.67","-355.63",
"Attwater, M J","0","0","0","0","0","0","1","0","1","0","100","-1","6","0","2","0","33.33","-6","19","0","4","0","21.05","-19","583","34","116","5.83","19.9","-311.25","21","25","274","18","59","6.57","21.53","-150.79","25","6","11","24","24","-10.41","477","29","97","6.08","6.08","-230.3",
"Baker, George","0","0","0","0","0","0","3","0","1","0","33.33","-3","7","1","2","14.29","28.57","-1","15","1","2","6.67","13.33","-9","389","38","106","9.77","27.25","-38.25","4","4","205","18","44","8.78","21.46","37.38","30","9","14","30","30","-6.25","331","37","96","11.18","11.18","17.37",
"Balding, A M","5","2","3","40","60","-0.6","21","4","8","19.05","38.1","-11.72","34","8","15","23.53","44.12","-4.34","63","12","23","19.05","36.51","-13.84","2009","309","765","15.38","38.08","-372.16","1","4","1101","167","440","15.17","39.96","-217.95","392","133","249","33.93","33.93","-50.06","880","133","302","15.11","15.11","-107.18",
"Barnes, M A","0","0","0","0","0","0","3","0","1","0","33.33","-3","3","0","1","0","33.33","-3","3","0","1","0","33.33","-3","193","7","36","3.63","18.65","-147.74","443","96","80","0","15","0","18.75","-80","3","1","1","33.33","33.33","-0.62","108","6","21","5.56","5.56","-70.74",
"Bedi, Miss J","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","-1","114","4","15","3.51","13.16","-40","105","19","56","2","7","3.57","12.5","2","1","0","0","0","0","-1","97","4","15","4.12","4.12","-23",
"Berry, John","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","1","1","50","50","13","168","16","52","9.52","30.95","-28.69","12","2","88","9","23","10.23","26.14","-6.17","18","4","8","22.22","22.22","-5.52","137","15","47","10.95","10.95","-2.02",
"Bewley, G T","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","214","21","54","9.81","25.23","-87.1","51","7","108","7","26","6.48","24.07","-68.84","15","5","7","33.33","33.33","1.41","172","20","47","11.63","11.63","-49.6",
"Boanas, Miss G","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","193","11","38","5.7","19.69","-107.04","212","35","88","3","11","3.41","12.5","-58","5","1","3","20","20","-2.12","140","9","29","6.43","6.43","-66.29",
"Bolger, E","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","100","100","4","165","18","47","10.91","28.48","-82.04","10","1","87","9","26","10.34","29.89","-44.5","18","7","13","38.89","38.89","3.63","83","10","24","12.05","12.05","-34.54",
