trainer,7Day_Runs,7Day_Wins,7Day_Places,7Day_Win_Strike,7Day_Place_Strike,7Day_SP_ProfitLoss,14Day_Runs,14Day_Wins,14Day_Places,14Day_Win_Strike,14Day_Place_Strike,14Day_SP_ProfitLoss,2YR_Runs,2YR_Wins,2YR_Places,2YR_Win_Strike,2YR_Place_Strike,2YR_SP_ProfitLoss,DaysSinceWin,RunsSinceWin,1YR_Runs,1YR_Wins,1YR_Places,1YR_Win_Strike,1YR_Place_Strike,1YR_SP_ProfitLoss,2yr_fav_Runs,2yr_fav_Wins,2yr_fav_Places,2yr_fav_Win_Strike,2yr_fav_Place_Strike,2yr_fav_SP_ProfitLoss,2yr_hcap_Runs,2yr_hcap_Wins,2yr_hcap_Places,2yr_hcap_Win_Strike,2yr_hcap_Place_Strike,2yr_hcap_SP_ProfitLoss,
"Allen, C N","1","0","0","0","0","-1","2","0","0","0","0","-2","207","21","62","10.14","29.95","-44.99","30","5","112","8","30","7.14","26.79","-42.87","20","6","10","30","30","-0.99","161","20","51","12.42","12.42","-27.99",
"Appleby, M","21","3","6","14.29","28.57","-0.5","35","5","12","14.29","34.29","-4.25","1766","216","561","12.23","31.77","-381.52","1","2","875","109","276","12.46","31.54","-150.62","283","78","156","27.56","27.56","-57.42","1499","179","475","11.94","11.94","-321.91",
"Baker, George","0","0","0","0","0","0","0","0","0","0","0","0","405","40","122","9.88","30.12","-150.88","72","23","188","21","72","11.17","38.3","-59.26","52","12","23","23.08","23.08","-17.26","338","38","111","11.24","11.24","-93.76",
"Balding, A M","9","0","2","0","22.22","-9","17","0","4","0","23.53","-17","1914","279","698","14.58","36.47","-420.89","18","20","983","146","368","14.85","37.44","-202.44","341","110","204","32.26","32.26","-54.86","829","116","269","13.99","13.99","-135.75",
"Beckett, R M","2","0","0","0","0","-2","5","0","0","0","0","-5","1226","223","490","18.19","39.97","-202.41","28","14","654","133","284","20.34","43.43","-93.57","287","107","184","37.28","37.28","-5.94","525","100","195","19.05","19.05","-67.29",
"Botti, M","7","0","3","0","42.86","-7","19","1","7","5.26","36.84","-8","795","92","248","11.57","31.19","14.83","12","9","398","41","120","10.3","30.15","-55.17","84","12","35","14.29","14.29","-47.04","494","61","151","12.35","12.35","29.29",
"Boughey, George","8","0","2","0","25","-8","13","1","4","7.69","30.77","-9.87","1483","239","549","16.12","37.02","-357.48","11","10","689","104","238","15.09","34.54","-162.28","299","121","205","40.47","40.47","-2.76","828","145","326","17.51","17.51","-79.42",
"Bridger, J / Cook, R","0","0","0","0","0","0","4","0","0","0","0","-4","247","10","37","4.05","14.98","-144.62","93","23","113","8","25","7.08","22.12","-40.62","12","1","6","8.33","8.33","-9.62","184","10","36","5.43","5.43","-81.62",
"Butler, John","2","0","1","0","50","-2","14","0","3","0","21.43","-14","997","95","262","9.53","26.28","-287.38","24","28","531","37","125","6.97","23.54","-212.61","100","34","70","34","34","0.8","773","80","218","10.35","10.35","-183.69",
"Carroll, A W","16","0","3","0","18.75","-16","31","1","6","3.23","19.35","-20","1967","167","510","8.49","25.93","-384.84","12","26","998","79","242","7.92","24.25","-301.55","138","39","78","28.26","28.26","-18.58","1652","149","446","9.02","9.02","-261.63",
"Cole, P F I","2","1","1","50","50","0.2","4","2","2","50","50","6.7","315","37","127","11.75","40.32","-92.48","3","1","171","17","64","9.94","37.43","-46.42","43","15","32","34.88","34.88","0.27","189","16","68","8.47","8.47","-97.54",
"Cowell, R M H","1","0","1","0","100","-1","5","1","2","20","40","-1.25","531","39","127","7.34","23.92","-137.91","13","5","250","24","75","9.6","30","-58.99","27","9","12","33.33","33.33","5.34","404","32","105","7.92","7.92","-90.66",
"Cox, C G","0","0","0","0","0","0","2","0","1","0","50","-2","919","118","318","12.84","34.6","-255.98","43","8","443","58","157","13.09","35.44","-86.7","123","45","78","36.59","36.59","2.15","539","60","170","11.13","11.13","-174.46",
"Crisford, Simon","3","0","2","0","66.67","-3","5","0","2","0","40","-5","733","155","340","21.15","46.38","-123.96","23","9","385","72","172","18.7","44.68","-113.52","181","76","123","41.99","41.99","-7.94","319","73","140","22.88","22.88","6.1",
"Dascombe, Tom","0","0","0","0","0","0","1","0","0","0","0","-1","280","22","76","7.86","27.14","-144.33","73","9","170","13","42","7.65","24.71","-85.29","26","8","16","30.77","30.77","-5.16","125","9","35","7.2","7.2","-56.25",
"Donovan, D","2","0","0","0","0","-2","4","0","0","0","0","-4","5","0","0","0","0","-5","799","13","4","0","0","0","0","-4","0","0","0","0","0","0","5","0","0","0","0","-5",
"Dunlop, E A L","2","1","1","50","50","1.5","10","2","4","20","40","-1","1022","130","330","12.72","32.29","-269.72","4","2","508","71","178","13.98","35.04","-128.13","120","39","77","32.5","32.5","-5.09","721","102","258","14.15","14.15","-121.88",
"Eddery, Robert","0","0","0","0","0","0","0","0","0","0","0","0","205","14","40","6.83","19.51","-86.95","90","23","94","7","19","7.45","20.21","-16.5","14","4","8","28.57","28.57","-2.95","156","14","36","8.97","8.97","-37.95",
"Eustace, Harry","3","0","1","0","33.33","-3","4","0","2","0","50","-4","346","52","129","15.03","37.28","18.14","22","8","222","27","77","12.16","34.68","-36.83","59","21","35","35.59","35.59","-0.57","195","36","77","18.46","18.46","85.83",
"Evans, P D","4","1","2","25","50","2.5","13","3","4","23.08","30.77","1.83","1019","122","323","11.97","31.7","-204.68","2","1","481","57","148","11.85","30.77","-65.14","108","34","66","31.48","31.48","-6.45","750","104","264","13.87","13.87","-140.77",
"Flint, J L","1","0","0","0","0","-1","1","0","0","0","0","-1","247","30","65","12.15","26.32","-10.49","109","17","117","12","25","10.26","21.37","-58.4","22","12","13","54.55","54.55","16.51","228","27","61","11.84","11.84","-11.49",
"Foy, Kevin","6","0","0","0","0","-6","9","0","0","0","0","-9","819","121","312","14.77","38.1","-94.64","49","41","437","61","156","13.96","35.7","-44.33","149","46","92","30.87","30.87","-22.18","538","88","207","16.36","16.36","-31.12",
"Gallagher, J","0","0","0","0","0","0","0","0","0","0","0","0","266","22","66","8.27","24.81","-107.24","72","10","140","13","35","9.29","25","-43.87","25","6","14","24","24","-8.74","224","20","57","8.93","8.93","-79.74",
"Haggas, W J","7","1","4","14.29","57.14","-1.5","13","2","6","15.38","46.15","-4.25","1361","310","631","22.78","46.36","-163.53","2","4","682","142","298","20.82","43.7","-56.19","477","190","318","39.83","39.83","-40.22","563","119","248","21.14","21.14","-51.71",
"Hannon (Jnr), Richard","2","0","0","0","0","-2","9","1","3","11.11","33.33","-0.5","2048","221","633","10.79","30.91","-479.69","14","9","982","111","325","11.3","33.1","-155.84","212","62","129","29.25","29.25","-38.06","1106","118","356","10.67","10.67","-198.78",
"Haynes, Alice","8","1","1","12.5","12.5","-4","15","1","3","6.67","20","-11","873","108","266","12.37","30.47","-162.34","7","6","478","56","138","11.72","28.87","-165.71","102","39","69","38.24","38.24","4.08","577","60","161","10.4","10.4","-112.18",
"Houghton, Eve Johnson","1","0","1","0","100","-1","3","0","1","0","33.33","-3","760","94","248","12.37","32.63","-121.66","21","4","370","47","126","12.7","34.05","-45.09","102","30","58","29.41","29.41","-20.29","491","57","156","11.61","11.61","-82.03",
"Hughes, Richard","0","0","0","0","0","0","1","0","0","0","0","-1","773","109","280","14.1","36.22","-85.86","21","3","376","52","140","13.83","37.23","-38.42","136","36","86","26.47","26.47","-41.57","490","67","176","13.67","13.67","-91.72",
"Ingram, R","0","0","0","0","0","0","2","1","1","50","50","1.5","93","11","23","11.83","24.73","-0.3","13","2","49","5","12","10.2","24.49","-20.8","6","4","4","66.67","66.67","6.2","71","6","17","8.45","8.45","-21",
"Jenkins, J R","2","1","1","50","50","3","4","3","3","75","75","10","360","22","63","6.11","17.5","-67.92","3","1","149","13","32","8.72","21.48","67.33","11","1","4","9.09","9.09","-8.25","264","19","52","7.2","7.2","3.58",
"Johnson, B R","0","0","0","0","0","0","5","0","0","0","0","-5","282","19","68","6.74","24.11","-153.74","159","52","138","6","27","4.35","19.57","-100.5","27","5","17","18.52","18.52","-14.74","243","15","61","6.17","6.17","-151.04",
"Johnston, Charlie","9","1","3","11.11","33.33","-4.5","24","2","8","8.33","33.33","21.5","1268","175","387","13.8","30.52","-177.96","2","1","1267","175","387","13.81","30.54","-176.96","174","54","98","31.03","31.03","-23.4","906","127","278","14.02","14.02","-152.44",
"Kelleway, Miss Gay","0","0","0","0","0","0","4","0","0","0","0","-4","390","44","86","11.28","22.05","-46.92","75","24","191","19","44","9.95","23.04","-64.32","18","7","10","38.89","38.89","0.83","279","37","67","13.26","13.26","8.08",
"Kubler, Daniel","2","0","1","0","50","-2","3","0","1","0","33.33","-3","353","50","120","14.16","33.99","-20.02","27","6","176","24","65","13.64","36.93","-4.87","45","14","21","31.11","31.11","-1.36","244","39","93","15.98","15.98","11.55",
"Loughnane, Daniel Mark","9","0","4","0","44.44","-9","21","0","7","0","33.33","-21","815","74","223","9.08","27.36","-247.38","18","30","410","46","125","11.22","30.49","-83.37","61","17","31","27.87","27.87","-9.42","693","64","192","9.24","9.24","-177.38",
"Lycett, Shaun","0","0","0","0","0","0","1","0","0","0","0","-1","139","15","45","10.79","32.37","-61.49","29","4","78","7","24","8.97","30.77","-45.99","19","4","10","21.05","21.05","-6.49","124","14","40","11.29","11.29","-52.99",
"McEntee, P S","1","0","0","0","0","-1","11","1","1","9.09","9.09","-7","609","49","131","8.05","21.51","-236.83","13","7","328","20","61","6.1","18.6","-165.12","33","12","19","36.36","36.36","7.84","514","41","108","7.98","7.98","-181.08",
"Millman, B R","5","3","4","60","80","16","7","4","6","57.14","85.71","40","655","84","229","12.82","34.96","-97.6","1","1","328","45","115","13.72","35.06","-38.89","85","28","49","32.94","32.94","-1.34","482","71","177","14.73","14.73","5.2",
"Mongan, Mrs L J","0","0","0","0","0","0","2","0","0","0","0","-2","188","8","22","4.26","11.7","3.75","57","12","98","2","5","2.04","5.1","-88.25","1","0","0","0","0","-1","151","7","21","4.64","4.64","29.75",
"Morrison, H","2","0","2","0","100","-2","5","1","3","20","60","-1.75","586","69","180","11.77","30.72","-154.48","11","3","297","33","88","11.11","29.63","-121.59","82","29","48","35.37","35.37","-4.55","358","35","107","9.78","9.78","-156.84",
"Muir, W R & Grassick, C","0","0","0","0","0","0","3","1","2","33.33","66.67","2.5","442","49","129","11.09","29.19","-93.37","14","2","200","21","57","10.5","28.5","-71.04","43","11","21","25.58","25.58","-10.44","322","40","102","12.42","12.42","-49.2",
"Murphy, Amy","6","0","3","0","50","-6","10","1","4","10","40","-4","713","57","177","7.99","24.82","-308.42","13","9","416","26","93","6.25","22.36","-203.49","41","13","25","31.71","31.71","-6.5","449","40","116","8.91","8.91","-150.35",
"Newland, Dr R D P","5","1","3","20","60","-0.67","15","4","7","26.67","46.67","1.96","669","92","216","13.75","32.29","-126.75","5","4","305","45","108","14.75","35.41","-41.93","96","32","63","33.33","33.33","-10.32","510","71","160","13.92","13.92","-59.33",
"Nicholls, Adrian","0","0","0","0","0","0","0","0","0","0","0","0","329","32","89","9.73","27.05","-113.04","95","18","178","20","50","11.24","28.09","-25.17","42","13","21","30.95","30.95","-3.87","222","27","68","12.16","12.16","-46.04",
"Oshea, J G M","2","1","2","50","100","3.5","2","1","2","50","100","3.5","363","31","88","8.54","24.24","-111.13","1","2","164","9","34","5.49","20.73","-75","41","10","22","24.39","24.39","-11.71","278","25","75","8.99","8.99","-69.51",
"Palmer, Hugo","2","0","0","0","0","-2","9","0","1","0","11.11","-9","912","102","295","11.18","32.35","-255.91","16","11","488","58","165","11.89","33.81","-74.43","114","27","67","23.68","23.68","-35.43","527","57","161","10.82","10.82","-104.41",
"Pattinson, Mark","1","0","0","0","0","-1","3","0","0","0","0","-3","122","5","23","4.1","18.85","-16","209","33","65","2","11","3.08","16.92","12","2","0","2","0","0","-2","93","4","20","4.3","4.3","7",
"Pipe, D E","9","0","2","0","22.22","-9","20","1","4","5","20","-12","1058","131","313","12.38","29.58","-300.73","14","19","468","51","127","10.9","27.14","-144.52","136","47","78","34.56","34.56","-16.24","854","100","251","11.71","11.71","-257.92",
"Prescott, Sir Mark","2","0","0","0","0","-2","4","0","1","0","25","-4","462","76","181","16.45","39.18","-101.64","25","9","249","44","96","17.67","38.55","-85.86","125","43","84","34.4","34.4","-29.85","273","57","130","20.88","20.88","-75.38",
"Teal, R A","3","1","2","33.33","66.67","5","6","2","4","33.33","66.67","19","560","60","155","10.71","27.68","2.05","4","1","276","28","71","10.14","25.72","59.68","60","17","32","28.33","28.33","-16.6","406","42","107","10.34","10.34","15.16",
"Varian, Roger","6","2","4","33.33","66.67","6.25","15","6","10","40","66.67","6.37","1310","263","565","20.08","43.13","-183.84","3","4","667","121","291","18.14","43.63","-143.26","359","147","252","40.95","40.95","-18.75","510","90","189","17.65","17.65","-61.01",
"Walker, Ed","3","0","1","0","33.33","-3","4","0","1","0","25","-4","832","108","278","12.98","33.41","-147.26","24","10","466","66","157","14.16","33.69","-18.19","111","38","60","34.23","34.23","-6.38","467","64","156","13.7","13.7","-105.1",
