trainer,1Day_Runs,1Day_Wins,1Day_Places,1Day_Win_Strike,1Day_Place_Strike,1Day_SP_ProfitLoss,3Day_Runs,3Day_Wins,3Day_Places,3Day_Win_Strike,3Day_Place_Strike,3Day_SP_ProfitLoss,7Day_Runs,7Day_Wins,7Day_Places,7Day_Win_Strike,7Day_Place_Strike,7Day_SP_ProfitLoss,14Day_Runs,14Day_Wins,14Day_Places,14Day_Win_Strike,14Day_Place_Strike,14Day_SP_ProfitLoss,2YR_Runs,2YR_Wins,2YR_Places,2YR_Win_Strike,2YR_Place_Strike,2YR_SP_ProfitLoss,DaysSinceWin,RunsSinceWin,1YR_Runs,1YR_Wins,1YR_Places,1YR_Win_Strike,1YR_Place_Strike,1YR_SP_ProfitLoss,2yr_fav_Runs,2yr_fav_Wins,2yr_fav_Places,2yr_fav_Win_Strike,2yr_fav_Place_Strike,2yr_fav_SP_ProfitLoss,2yr_hcap_Runs,2yr_hcap_Wins,2yr_hcap_Places,2yr_hcap_Win_Strike,2yr_hcap_Place_Strike,2yr_hcap_SP_ProfitLoss,
"Ahern, G","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","93","3","13","3.23","13.98","-55","176","29","44","2","7","4.55","15.91","-12","1","0","1","0","0","-1","56","3","10","5.36","5.36","-18",
"Alexander, N W","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","453","61","155","13.47","34.22","-67.2","109","6","236","37","86","15.68","36.44","-9.44","52","18","35","34.62","34.62","14.23","336","53","133","15.77","15.77","-16.78",
"Allen, C N","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","100","100","3","5","1","1","20","20","-1","225","27","72","12","32","4.17","6","1","106","18","38","16.98","35.85","43.04","21","7","11","33.33","33.33","2.84","172","20","57","11.63","11.63","-29.16",
"Appleby, Charlie","1","0","1","0","100","-1","4","1","3","25","75","2","8","3","6","37.5","75","8.5","11","4","7","36.36","63.64","7.88","718","211","380","29.39","52.92","-23.4","2","3","314","97","171","30.89","54.46","8.48","342","144","222","42.11","42.11","-31.92","128","36","61","28.13","28.13","50.22",
"Appleby, M","2","0","0","0","0","-2","8","1","2","12.5","25","3","17","2","6","11.76","35.29","-4.6","33","6","12","18.18","36.36","3.15","1735","196","553","11.3","31.87","-375.16","3","6","821","88","258","10.72","31.43","-187.99","268","72","144","26.87","26.87","-62.57","1485","160","468","10.77","10.77","-334.63",
"Balding, A M","2","0","0","0","0","-2","9","0","3","0","33.33","-9","49","5","15","10.2","30.61","-26.1","82","13","29","15.85","35.37","-30.52","2024","309","771","15.27","38.09","-398.64","4","18","1109","171","443","15.42","39.95","-220.38","399","134","252","33.58","33.58","-55.54","888","135","308","15.2","15.2","-110.18",
"Barclay, Stella","2","1","2","50","100","4.5","2","1","2","50","100","4.5","5","1","2","20","40","1.5","9","1","3","11.11","33.33","-2.5","551","41","130","7.44","23.59","-60.4","1","1","234","17","60","7.26","25.64","-75.31","27","7","15","25.93","25.93","-4.56","448","37","108","8.26","8.26","14.52",
"Barnes, M A","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0","1","0","20","-5","193","7","36","3.63","18.65","-147.74","452","98","78","0","14","0","17.95","-78","3","1","1","33.33","33.33","-0.62","106","6","21","5.66","5.66","-68.74",
"Barron, T D","1","0","0","0","0","-1","7","2","2","28.57","28.57","2.75","7","2","2","28.57","28.57","2.75","18","4","6","22.22","33.33","0.75","492","53","151","10.77","30.69","-135.01","3","4","249","28","74","11.24","29.72","-65.8","55","14","29","25.45","25.45","-11.55","407","48","132","11.79","11.79","-66.77",
"Barry, David Richard","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","-1","25","1","3","4","12","1","84","5","19","1","3","5.26","15.79","7","2","0","1","0","0","-2","12","1","3","8.33","8.33","14",
"Beckett, R M","0","0","0","0","0","0","2","0","2","0","100","-2","19","6","10","31.58","52.63","9.3","44","14","23","31.82","52.27","15.49","1300","242","540","18.62","41.54","-174.08","4","5","642","117","267","18.22","41.59","-102.35","314","119","209","37.9","37.9","-10.7","522","104","208","19.92","19.92","-3.72",
"Bell, M L W","1","0","0","0","0","-1","3","0","1","0","33.33","-3","9","0","3","0","33.33","-9","18","0","4","0","22.22","-18","773","99","251","12.81","32.47","-205.52","22","28","406","56","124","13.79","30.54","-71.45","111","41","62","36.94","36.94","5.44","460","59","148","12.83","12.83","-88.82",
"Bethell, Ed","2","2","2","100","100","2.83","4","2","4","50","100","0.83","14","4","9","28.57","64.29","0.58","24","6","14","25","58.33","-2.32","512","91","212","17.77","41.41","-123.67","1","1","303","48","129","15.84","42.57","-119.69","126","49","76","38.89","38.89","-0.29","303","60","126","19.8","19.8","-27.89",
"Bethell, Harriet","0","0","0","0","0","0","1","1","1","100","100","1.38","2","1","1","50","50","0.38","3","1","1","33.33","33.33","-0.62","164","27","65","16.46","39.63","6.44","2","1","73","11","28","15.07","38.36","3.38","27","7","14","25.93","25.93","-7.81","160","27","64","16.88","16.88","10.44",
"Bewley, G T","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","100","-1","215","21","55","9.77","25.58","-88.1","60","8","109","7","27","6.42","24.77","-69.84","15","5","7","33.33","33.33","1.41","173","20","48","11.56","11.56","-50.6",
"Botti, M","1","0","0","0","0","-1","5","2","2","40","40","12","10","3","5","30","50","11.33","20","4","7","20","35","9.33","831","94","258","11.31","31.05","-133.63","2","2","466","57","147","12.23","31.55","-84.04","85","21","48","24.71","24.71","-24.11","527","59","161","11.2","11.2","-116.45",
"Boughey, George","3","0","1","0","33.33","-3","8","0","2","0","25","-8","21","1","6","4.76","28.57","-15.5","36","1","10","2.78","27.78","-30.5","1467","231","548","15.75","37.36","-318.18","7","20","718","108","266","15.04","37.05","-165.2","298","102","191","34.23","34.23","-46.04","826","134","314","16.22","16.22","-83.56",
"Bourke, D F","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","-2","6","1","1","16.67","16.67","17","220","21","58","9.55","26.36","-48.5","9","3","121","10","30","8.26","24.79","-52.25","21","5","11","23.81","23.81","-3.25","184","19","50","10.33","10.33","-28.75",
"Boyle, J R","2","0","1","0","50","-2","3","0","1","0","33.33","-3","8","1","4","12.5","50","1.5","15","3","6","20","40","3.83","388","34","106","8.76","27.32","-169.88","6","5","200","20","58","10","29","-74.21","36","8","18","22.22","22.22","-11.62","340","34","99","10","10","-121.88",
"Bromhead, Henry De","1","0","0","0","0","-1","1","0","0","0","0","-1","7","2","5","28.57","71.43","0.13","10","3","7","30","70","2.13","1396","202","508","14.47","36.39","-217.5","5","3","754","114","278","15.12","36.87","-130.8","229","76","151","33.19","33.19","-32.76","546","57","166","10.44","10.44","-57.29",
"Brown, A D","0","0","0","0","0","0","2","0","0","0","0","-2","3","0","0","0","0","-3","8","0","0","0","0","-8","323","37","103","11.46","31.89","-57.12","22","9","157","14","50","8.92","31.85","-48.21","46","10","22","21.74","21.74","-15.03","264","33","87","12.5","12.5","-19.17",
"Buckley, Edward","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","-1","1","0","0","0","0","-1","14","1","3","7.14","21.43","3","120","10","14","1","3","7.14","21.43","3","0","0","0","0","0","0","4","1","2","25","25","13",
"Budds, David Kenneth","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","-1","3","0","1","0","33.33","-3","173","8","42","4.62","24.28","-100.5","25","7","80","5","20","6.25","25","-26","5","1","3","20","20","-3","116","8","32","6.9","6.9","-43.5",
"Burke, John M","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","-1","96","3","15","3.13","15.63","-73","67","7","45","2","5","4.44","11.11","-29.5","3","1","3","33.33","33.33","0.5","45","3","11","6.67","6.67","-22",
"Burke, K R","0","0","0","0","0","0","4","0","0","0","0","-4","27","2","7","7.41","25.93","-22.82","49","5","15","10.2","30.61","-29.57","1541","238","595","15.44","38.61","-258.87","4","8","798","128","312","16.04","39.1","-101.77","256","95","160","37.11","37.11","-21.71","702","83","232","11.82","11.82","-153.09",
"Burke, W J","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","-2","206","7","32","3.4","15.53","-146.5","67","19","95","3","14","3.16","14.74","-76.5","7","0","3","0","0","-7","65","4","18","6.15","6.15","-36.5",
"Burrows, Owen","0","0","0","0","0","0","1","0","0","0","0","-1","7","2","2","28.57","28.57","9.5","13","3","4","23.08","30.77","7.25","237","45","93","18.99","39.24","-30.57","5","6","133","23","48","17.29","36.09","-10.98","58","24","36","41.38","41.38","-1.15","83","11","29","13.25","13.25","-31.71",
"Byrne, Philip Michael","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","93","8","22","8.6","23.66","-21.25","16","1","51","5","13","9.8","25.49","-1.5","4","2","3","50","50","2.25","70","8","22","11.43","11.43","1.75",
"Byrnes, C","0","0","0","0","0","0","1","0","0","0","0","-1","1","0","0","0","0","-1","3","0","0","0","0","-3","521","58","132","11.13","25.34","-185.33","39","17","272","28","62","10.29","22.79","-80.52","71","28","43","39.44","39.44","14.09","249","30","59","12.05","12.05","-68.09",
"Camacho, Miss J A","5","1","1","20","20","-1.5","8","1","2","12.5","25","-4.5","17","1","3","5.88","17.65","-13.5","25","3","6","12","24","-6","640","63","170","9.84","26.56","-92.64","1","5","362","32","94","8.84","25.97","-50.15","59","14","30","23.73","23.73","-5.05","521","51","144","9.79","9.79","-70.82",
"Candy, H","0","0","0","0","0","0","2","0","0","0","0","-2","6","0","2","0","33.33","-6","12","0","2","0","16.67","-12","228","21","61","9.21","26.75","-29.25","35","22","106","4","23","3.77","21.7","-38","18","4","12","22.22","22.22","-5.25","135","12","39","8.89","8.89","-73.25",
"Carroll, A W","5","0","1","0","20","-5","16","0","7","0","43.75","-16","26","0","10","0","38.46","-26","46","1","12","2.17","26.09","-42","1961","178","501","9.08","25.55","-507.25","13","36","940","93","255","9.89","27.13","-242.52","175","57","111","32.57","32.57","-4.49","1623","154","426","9.49","9.49","-347.41",
"Carroll, D","0","0","0","0","0","0","9","0","1","0","11.11","-9","14","1","2","7.14","14.29","-9.67","19","1","5","5.26","26.32","-14.67","474","36","111","7.59","23.42","-247.58","4","11","242","9","51","3.72","21.07","-185.29","45","8","15","17.78","17.78","-14.29","374","31","95","8.29","8.29","-165.84",
"Cawley, Edward","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","198","13","33","6.57","16.67","-34","76","7","101","10","22","9.9","21.78","25.5","7","1","2","14.29","14.29","-3.5","143","13","30","9.09","9.09","21",
