Jockey,14Day_Runs,14Day_Wins,14Day_Places,14Day_Win_Strike,14Day_Place_Strike,14Day_SP_ProfitLoss,2YR_Runs,2YR_Wins,2YR_Places,2YR_Win_Strike,2YR_Place_Strike,2YR_SP_ProfitLoss,DaysSinceWin,RunsSinceWin,1YR_Runs,1YR_Wins,1YR_Places,1YR_Win_Strike,1YR_Place_Strike,1YR_SP_ProfitLoss,2yr_fav_Runs,2yr_fav_Wins,2yr_fav_Places,2yr_fav_Win_Strike,2yr_fav_Place_Strike,2yr_fav_SP_ProfitLoss,2yr_hcap_Runs,2yr_hcap_Wins,2yr_hcap_Places,2yr_hcap_Win_Strike,2yr_hcap_Place_Strike,2yr_hcap_SP_ProfitLoss,
"Norton, Francis","22","0","2","0","9.09","-22","931","117","297","12.57","31.9","-230.9","20","40","321","42","112","13.08","34.89","-55.61","136","48","83","35.29","35.29","-3.35","679","83","207","12.22","12.22","-118.52",
"OConnor, Donagh","8","0","1","0","12.5","-8","485","39","111","8.04","22.89","-115.1","29","18","273","30","67","10.99","24.54","2.15","30","8","17","26.67","26.67","-0.67","339","27","83","7.96","7.96","-49.63",
"OConnor, Miss A B","3","1","1","33.33","33.33","1.5","110","18","45","16.36","40.91","17.3","7","2","52","8","16","15.38","30.77","-5.6","15","7","11","46.67","46.67","7.05","55","7","20","12.73","12.73","-24.3",
"OKeeffe, Darragh","27","1","5","3.7","18.52","-23","1301","111","353","8.53","27.13","-430.29","6","9","675","53","175","7.85","25.93","-312.15","134","34","72","25.37","25.37","-40.13","665","61","188","9.17","9.17","-71.04",
"OKeeffe, Sean F","19","2","4","10.53","21.05","7","1026","80","225","7.8","21.93","-357.86","9","10","511","43","111","8.41","21.72","-185.1","65","20","41","30.77","30.77","-13.33","531","42","104","7.91","7.91","-91.37",
"ONeill, Dane","20","3","6","15","30","-11","548","77","178","14.05","32.48","-106.1","3","4","238","35","80","14.71","33.61","-41.64","79","27","48","34.18","34.18","-9.97","305","41","95","13.44","13.44","-36.98",
"ORegan, Denis","17","1","3","5.88","17.65","-11.5","741","58","183","7.83","24.7","-323.77","14","17","320","22","79","6.88","24.69","-184.7","64","18","40","28.13","28.13","-13.4","319","21","76","6.58","6.58","-97.25",
"Orr, Conor","10","1","3","10","30","-6.75","544","30","113","5.51","20.77","-319.97","11","9","224","13","40","5.8","17.86","-101.26","30","11","18","36.67","36.67","8.45","303","14","64","4.62","4.62","-190.12",
"Orr, Oisin","35","4","14","11.43","40","-24.5","762","75","212","9.84","27.82","-165","1","1","277","33","85","11.91","30.69","-56.84","66","19","38","28.79","28.79","-10.75","356","36","93","10.11","10.11","-27.91",
"Osborne, Saffie","34","2","8","5.88","23.53","-21.5","622","69","171","11.09","27.49","-194.73","10","27","347","36","98","10.37","28.24","-130","76","25","42","32.89","32.89","-4.57","492","57","136","11.59","11.59","-134.84",
"OSullivan, James","9","1","1","11.11","11.11","4","605","26","131","4.3","21.65","-308.94","5","4","278","9","55","3.24","19.78","-180.25","36","8","20","22.22","22.22","-7.69","337","19","97","5.64","5.64","-65.17",
"OSullivan, Miss Maxine","3","0","0","0","0","-3","152","13","35","8.55","23.03","-51.22","90","14","72","6","21","8.33","29.17","-9","20","3","10","15","15","-14.23","62","5","16","8.06","8.06","-23.61",
"Peate, Jonny","17","1","4","5.88","23.53","-14","291","31","79","10.65","27.15","11.27","8","10","235","23","61","9.79","25.96","10.76","25","9","13","36","36","0.02","262","31","71","11.83","11.83","40.27",
"Phillips, Mollie","22","4","6","18.18","27.27","0.25","396","44","125","11.11","31.57","-47.82","4","7","260","23","75","8.85","28.85","-58.46","35","13","21","37.14","37.14","7.18","371","42","119","11.32","11.32","-35.07",
