trainer,7Day_Runs,7Day_Wins,7Day_Places,7Day_Win_Strike,7Day_Place_Strike,7Day_SP_ProfitLoss,14Day_Runs,14Day_Wins,14Day_Places,14Day_Win_Strike,14Day_Place_Strike,14Day_SP_ProfitLoss,2YR_Runs,2YR_Wins,2YR_Places,2YR_Win_Strike,2YR_Place_Strike,2YR_SP_ProfitLoss,DaysSinceWin,RunsSinceWin,1YR_Runs,1YR_Wins,1YR_Places,1YR_Win_Strike,1YR_Place_Strike,1YR_SP_ProfitLoss,2yr_fav_Runs,2yr_fav_Wins,2yr_fav_Places,2yr_fav_Win_Strike,2yr_fav_Place_Strike,2yr_fav_SP_ProfitLoss,2yr_hcap_Runs,2yr_hcap_Wins,2yr_hcap_Places,2yr_hcap_Win_Strike,2yr_hcap_Place_Strike,2yr_hcap_SP_ProfitLoss,
"Alston, E J","3","1","3","33.33","100","38","4","1","3","25","75","37","182","20","47","10.99","25.82","-7.63","1","1","89","5","20","5.62","22.47","-2.5","22","8","16","36.36","36.36","7.79","163","19","41","11.66","11.66","-29.63",
"Appleby, M","23","5","8","21.74","34.78","6.38","43","10","17","23.26","39.53","32.22","1996","233","586","11.67","29.36","-157.83","1","1","917","121","277","13.2","30.21","-101.27","252","75","147","29.76","29.76","-22.53","1724","205","526","11.89","11.89","-133.03",
"Balding, A M","24","3","10","12.5","41.67","2.25","60","7","17","11.67","28.33","-3.87","1894","295","695","15.58","36.69","-50.84","3","9","967","139","350","14.37","36.19","-125.99","311","99","189","31.83","31.83","-59.17","896","137","319","15.29","15.29","-85.34",
"Barclay, Stella","7","2","5","28.57","71.43","21","15","2","7","13.33","46.67","13","419","27","85","6.44","20.29","-91.88","6","4","209","15","41","7.18","19.62","28.54","14","6","8","42.86","42.86","4.37","335","24","72","7.16","7.16","-20.38",
"Barron, T D","6","1","3","16.67","50","-3.25","18","5","9","27.78","50","1.95","575","80","191","13.91","33.22","-37.67","3","3","249","41","94","16.47","37.75","19.08","96","33","55","34.38","34.38","21.51","450","66","157","14.67","14.67","9.47",
"Beckett, R M","16","4","10","25","62.5","-2.39","38","7","15","18.42","39.47","-11.44","1100","198","433","18","39.36","-98.23","1","6","536","82","197","15.3","36.75","-111.91","268","101","166","37.69","37.69","15.99","541","98","208","18.11","18.11","-93.62",
"Bell, M L W","13","3","6","23.08","46.15","0.33","23","4","9","17.39","39.13","2.33","678","93","214","13.72","31.56","-175.76","1","1","336","44","111","13.1","33.04","-126.9","105","32","56","30.48","30.48","-20.25","396","56","124","14.14","14.14","-82.94",
"Bethell, Ed","7","1","2","14.29","28.57","-0.5","15","2","6","13.33","40","0","261","36","95","13.79","36.4","-31.26","3","2","177","20","58","11.3","32.77","-38.47","45","8","24","17.78","17.78","-25.34","161","25","59","15.53","15.53","5.05",
"Black, Anthony John","0","0","0","0","0","0","0","0","0","0","0","0","9","0","1","0","11.11","-9","1203","13","5","0","1","0","20","-5","1","0","0","0","0","-1","2","0","0","0","0","-2",
"Blake, Michael","0","0","0","0","0","0","1","0","0","0","0","-1","173","16","47","9.25","27.17","-19.67","36","7","77","7","17","9.09","22.08","8","11","1","4","9.09","9.09","-9.17","158","13","42","8.23","8.23","-26.5",
