trainer,1Day_Runs,1Day_Wins,1Day_Places,1Day_Win_Strike,1Day_Place_Strike,1Day_SP_ProfitLoss,3Day_Runs,3Day_Wins,3Day_Places,3Day_Win_Strike,3Day_Place_Strike,3Day_SP_ProfitLoss,7Day_Runs,7Day_Wins,7Day_Places,7Day_Win_Strike,7Day_Place_Strike,7Day_SP_ProfitLoss,14Day_Runs,14Day_Wins,14Day_Places,14Day_Win_Strike,14Day_Place_Strike,14Day_SP_ProfitLoss,2YR_Runs,2YR_Wins,2YR_Places,2YR_Win_Strike,2YR_Place_Strike,2YR_SP_ProfitLoss,DaysSinceWin,RunsSinceWin,1YR_Runs,1YR_Wins,1YR_Places,1YR_Win_Strike,1YR_Place_Strike,1YR_SP_ProfitLoss,2yr_fav_Runs,2yr_fav_Wins,2yr_fav_Places,2yr_fav_Win_Strike,2yr_fav_Place_Strike,2yr_fav_SP_ProfitLoss,2yr_hcap_Runs,2yr_hcap_Wins,2yr_hcap_Places,2yr_hcap_Win_Strike,2yr_hcap_Place_Strike,2yr_hcap_SP_ProfitLoss,
"Appleby, Charlie","2","2","2","100","100","8.5","2","2","2","100","100","8.5","3","2","2","66.67","66.67","7.5","7","3","4","42.86","57.14","5.88","722","212","382","29.36","52.91","-28.42","1","1","311","96","168","30.87","54.02","5.48","346","145","223","41.91","41.91","-33.82","131","36","64","27.48","27.48","47.22",
"Appleby, M","1","0","1","0","100","-1","3","0","2","0","66.67","-3","15","2","6","13.33","40","-4.75","32","8","15","25","46.88","14.5","1743","194","552","11.13","31.67","-395.56","6","11","820","90","262","10.98","31.95","-172.64","265","71","142","26.79","26.79","-60.97","1495","159","470","10.64","10.64","-355.63",
"Attwater, M J","1","0","0","0","0","-1","5","0","1","0","20","-5","7","0","3","0","42.86","-7","17","0","5","0","29.41","-17","589","34","118","5.77","20.03","-317.25","25","31","278","18","60","6.47","21.58","-154.79","26","6","12","23.08","23.08","-11.41","483","29","99","6","6","-236.3",
"Bailey, Liam","2","0","0","0","0","-2","3","0","0","0","0","-3","3","0","0","0","0","-3","3","0","0","0","0","-3","294","23","67","7.82","22.79","-142.63","35","10","146","14","38","9.59","26.03","-57.63","15","4","10","26.67","26.67","-3.13","225","17","49","7.56","7.56","-108.63",
"Baker, George","0","0","0","0","0","0","0","0","0","0","0","0","4","1","2","25","50","5.5","14","2","3","14.29","21.43","1.5","388","39","107","10.05","27.58","-27.75","4","1","203","19","43","9.36","21.18","48.88","30","9","14","30","30","-6.25","330","38","97","11.52","11.52","27.87",
"Balding, A M","7","1","4","14.29","57.14","-1","12","3","8","25","66.67","0.67","34","7","16","20.59","47.06","-12.05","62","14","28","22.58","45.16","-1.67","2014","310","768","15.39","38.13","-377.49","1","7","1103","170","445","15.41","40.34","-207.28","394","134","250","34.01","34.01","-50.89","883","134","304","15.18","15.18","-104.18",
"Barclay, Stella","0","0","0","0","0","0","2","0","0","0","0","-2","6","0","1","0","16.67","-6","10","2","3","20","30","-2.79","552","40","129","7.25","23.37","-67.9","10","7","233","16","59","6.87","25.32","-80.81","28","7","15","25","25","-5.56","449","36","107","8.02","8.02","7.02",
"Barcoe, James M","0","0","0","0","0","0","0","0","0","0","0","0","2","0","1","0","50","-2","6","0","1","0","16.67","-6","230","9","40","3.91","17.39","-100.67","35","16","128","6","26","4.69","20.31","-64.17","6","2","2","33.33","33.33","5","173","9","35","5.2","5.2","-43.67",
"Barry, Michael","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","-1","40","1","12","2.5","30","-35.5","18","3","24","1","4","4.17","16.67","-19.5","4","0","4","0","0","-4","23","0","6","0","0","-23",
"Beckett, R M","3","1","1","33.33","33.33","-1","7","2","3","28.57","42.86","-3.56","22","7","11","31.82","50","7.69","37","9","19","24.32","51.35","-3.81","1306","242","540","18.53","41.35","-177.25","1","3","644","114","265","17.7","41.15","-122.4","317","120","211","37.85","37.85","-10.37","532","106","212","19.92","19.92","-10.22",
