trainer,1Day_Runs,1Day_Wins,1Day_Places,1Day_Win_Strike,1Day_Place_Strike,1Day_SP_ProfitLoss,3Day_Runs,3Day_Wins,3Day_Places,3Day_Win_Strike,3Day_Place_Strike,3Day_SP_ProfitLoss,7Day_Runs,7Day_Wins,7Day_Places,7Day_Win_Strike,7Day_Place_Strike,7Day_SP_ProfitLoss,14Day_Runs,14Day_Wins,14Day_Places,14Day_Win_Strike,14Day_Place_Strike,14Day_SP_ProfitLoss,2YR_Runs,2YR_Wins,2YR_Places,2YR_Win_Strike,2YR_Place_Strike,2YR_SP_ProfitLoss,DaysSinceWin,RunsSinceWin,1YR_Runs,1YR_Wins,1YR_Places,1YR_Win_Strike,1YR_Place_Strike,1YR_SP_ProfitLoss,2yr_fav_Runs,2yr_fav_Wins,2yr_fav_Places,2yr_fav_Win_Strike,2yr_fav_Place_Strike,2yr_fav_SP_ProfitLoss,2yr_hcap_Runs,2yr_hcap_Wins,2yr_hcap_Places,2yr_hcap_Win_Strike,2yr_hcap_Place_Strike,2yr_hcap_SP_ProfitLoss,
"Attwater, M J","1","0","1","0","100","-1","2","0","2","0","100","-2","5","0","2","0","40","-5","16","0","5","0","31.25","-16","584","34","117","5.82","20.03","-312.25","22","26","275","18","60","6.55","21.82","-151.79","25","6","11","24","24","-10.41","478","29","98","6.07","6.07","-231.3",
"Attwater, P","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","-1","1","0","0","0","0","-1","9","0","1","0","11.11","-9","9999","9999","9","0","1","0","11.11","-9","0","0","0","0","0","0","5","0","0","0","0","-5",
"Bailey, Liam","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","1","0","25","-4","293","23","67","7.85","22.87","-141.63","32","7","143","14","38","9.79","26.57","-54.63","15","4","10","26.67","26.67","-3.13","225","17","49","7.56","7.56","-108.63",
"Balding, A M","1","0","0","0","0","-1","16","3","6","18.75","37.5","-9.6","33","7","14","21.21","42.42","-5.59","61","12","22","19.67","36.07","-11.84","2010","309","765","15.37","38.06","-373.16","2","5","1101","167","440","15.17","39.96","-217.95","392","133","249","33.93","33.93","-50.06","880","133","302","15.11","15.11","-107.18",
"Banham, Chelsea","0","0","0","0","0","0","1","0","0","0","0","-1","2","0","1","0","50","-2","5","0","2","0","40","-5","247","22","60","8.91","24.29","-93.7","32","13","146","15","38","10.27","26.03","-32.49","14","6","7","42.86","42.86","6.97","175","19","50","10.86","10.86","-40.03",
"Barrett, James M","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","-1","4","0","2","0","50","-4","93","3","17","3.23","18.28","-33.43","139","28","39","2","10","5.13","25.64","-20.43","5","1","2","20","20","-3.43","55","1","9","1.82","1.82","-14",
"Barron, T D","0","0","0","0","0","0","3","0","1","0","33.33","-3","8","1","3","12.5","37.5","-3","13","2","6","15.38","46.15","-4","491","50","149","10.18","30.35","-147.76","4","5","243","26","72","10.7","29.63","-69.05","53","12","28","22.64","22.64","-16.8","406","45","130","11.08","11.08","-79.52",
"Beckett, R M","0","0","0","0","0","0","8","2","5","25","62.5","5.75","23","7","12","30.43","52.17","6.75","34","7","18","20.59","52.94","-4.25","1304","241","540","18.48","41.41","-176.86","3","1","641","112","262","17.47","40.87","-122.84","316","119","209","37.66","37.66","-10.98","533","106","213","19.89","19.89","-11.22",
"Bell, M L W","0","0","0","0","0","0","2","0","0","0","0","-2","7","0","0","0","0","-7","17","1","4","5.88","23.53","-14.12","777","101","252","13","32.43","-199.52","14","15","405","58","125","14.32","30.86","-65.01","112","42","62","37.5","37.5","7.94","463","61","150","13.17","13.17","-81.82",
"Best, Jim/Suzi","0","0","0","0","0","0","1","0","1","0","100","-1","1","0","1","0","100","-1","5","0","2","0","40","-5","167","13","36","7.78","21.56","-54.12","25","7","106","8","24","7.55","22.64","-48.37","9","3","4","33.33","33.33","-1.62","110","10","26","9.09","9.09","-10.75",
"Bethell, Ed","0","0","0","0","0","0","2","1","1","50","50","3","9","2","4","22.22","44.44","-1.9","11","2","4","18.18","36.36","-3.9","510","88","207","17.25","40.59","-129.75","3","2","290","44","119","15.17","41.03","-121.27","123","46","73","37.4","37.4","-5.87","303","58","124","19.14","19.14","-32.22",
"Bethell, Harriet","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","1","1","20","20","0.5","161","26","64","16.15","39.75","7.06","12","4","71","10","28","14.08","39.44","3","26","6","13","23.08","23.08","-9.19","157","26","63","16.56","16.56","11.06",
