trainer,7Day_Runs,7Day_Wins,7Day_Places,7Day_Win_Strike,7Day_Place_Strike,7Day_SP_ProfitLoss,14Day_Runs,14Day_Wins,14Day_Places,14Day_Win_Strike,14Day_Place_Strike,14Day_SP_ProfitLoss,2YR_Runs,2YR_Wins,2YR_Places,2YR_Win_Strike,2YR_Place_Strike,2YR_SP_ProfitLoss,DaysSinceWin,RunsSinceWin,1YR_Runs,1YR_Wins,1YR_Places,1YR_Win_Strike,1YR_Place_Strike,1YR_SP_ProfitLoss,2yr_fav_Runs,2yr_fav_Wins,2yr_fav_Places,2yr_fav_Win_Strike,2yr_fav_Place_Strike,2yr_fav_SP_ProfitLoss,2yr_hcap_Runs,2yr_hcap_Wins,2yr_hcap_Places,2yr_hcap_Win_Strike,2yr_hcap_Place_Strike,2yr_hcap_SP_ProfitLoss,
"Allen, C N","1","0","0","0","0","-1","4","1","1","25","25","8","210","23","66","10.95","31.43","-26.79","8","2","119","10","33","8.4","27.73","-23.87","22","5","9","22.73","22.73","-5.62","165","21","55","12.73","12.73","-15.29",
"Appleby, Charlie","7","1","3","14.29","42.86","-4.9","15","4","8","26.67","53.33","-8.03","899","272","483","30.26","53.73","-30.75","5","4","428","122","225","28.5","52.57","-37.19","430","189","293","43.95","43.95","-27.23","226","56","102","24.78","24.78","-1.06",
"Appleby, M","12","2","4","16.67","33.33","4.25","32","4","12","12.5","37.5","-3.25","1825","230","571","12.6","31.29","-315.05","3","3","906","107","291","11.81","32.12","-221.28","281","89","166","31.67","31.67","-23.46","1563","192","489","12.28","12.28","-260.57",
"Attwater, M J","7","3","3","42.86","42.86","9.91","17","3","5","17.65","29.41","-0.09","639","38","132","5.95","20.66","-280.13","2","1","304","19","60","6.25","19.74","-132.58","27","8","14","29.63","29.63","-4.84","529","33","108","6.24","6.24","-208.18",
"Bailey, Liam","7","0","2","0","28.57","-7","9","0","2","0","22.22","-9","290","12","51","4.14","17.59","-160","16","11","153","7","29","4.58","18.95","-101.5","12","2","4","16.67","16.67","-5","229","9","37","3.93","3.93","-117",
"Balding, A M","26","3","8","11.54","30.77","25","51","7","14","13.73","27.45","36","1851","273","650","14.75","35.12","-274","3","2","886","135","302","15.24","34.09","-160.26","317","105","189","33.12","33.12","-41.55","831","123","278","14.8","14.8","-94.81",
"Banham, Chelsea","2","0","1","0","50","-2","4","0","1","0","25","-4","235","17","51","7.23","21.7","-90.04","28","10","94","7","22","7.45","23.4","-54.79","15","3","7","20","20","-5.37","166","11","37","6.63","6.63","-57.87",
"Beckett, R M","31","9","17","29.03","54.84","10.49","58","18","36","31.03","62.07","24.01","1168","196","454","16.78","38.87","-175.93","2","2","630","114","256","18.1","40.63","-63.27","241","90","152","37.34","37.34","-3.55","531","99","199","18.64","18.64","-51.16",
"Bell, M L W","12","2","7","16.67","58.33","-8.66","22","5","12","22.73","54.55","-4.37","683","82","228","12.01","33.38","-273.96","4","3","345","39","119","11.3","34.49","-141.06","108","36","56","33.33","33.33","-8.62","410","50","135","12.2","12.2","-163.84",
"Berry, John","1","0","1","0","100","-1","5","0","1","0","20","-5","174","11","48","6.32","27.59","-79.14","41","12","80","6","26","7.5","32.5","-28.52","15","4","8","26.67","26.67","-3.64","140","11","41","7.86","7.86","-45.14",
"Bolger, J S","3","1","1","33.33","33.33","9","16","3","4","18.75","25","7.5","702","48","156","6.84","22.22","-300.06","2","1","349","25","82","7.16","23.5","-117.62","44","13","24","29.55","29.55","-8.44","284","20","70","7.04","7.04","-33.3",
"Boughey, George","13","0","4","0","30.77","-13","34","2","9","5.88","26.47","-6","1417","230","530","16.23","37.4","-364.46","11","21","777","129","297","16.6","38.22","-161.13","305","128","213","41.97","41.97","5.72","791","136","309","17.19","17.19","-92.18",
"Boyle, J R","1","0","0","0","0","-1","6","0","0","0","0","-6","421","34","96","8.08","22.8","-195.75","43","24","212","18","53","8.49","25","-90.79","31","8","15","25.81","25.81","-2.29","344","33","89","9.59","9.59","-127.25",
"Brennan, F J","1","0","0","0","0","-1","1","0","0","0","0","-1","59","3","6","5.08","10.17","-43.5","120","13","39","1","3","2.56","7.69","-34.5","2","0","0","0","0","-2","40","1","4","2.5","2.5","-35.5",
"Brisland, Robyn","3","0","0","0","0","-3","14","1","3","7.14","21.43","-8.5","620","51","142","8.23","22.9","-160.36","14","14","301","29","77","9.63","25.58","4.87","45","14","23","31.11","31.11","-6.18","458","41","111","8.95","8.95","-146.61",
"Brookhouse, B","1","0","0","0","0","-1","6","1","1","16.67","16.67","0.5","83","11","27","13.25","32.53","3.25","9","2","83","11","27","13.25","32.53","3.25","17","4","9","23.53","23.53","-5.25","48","5","17","10.42","10.42","9.38",
"Browne, W P","1","0","0","0","0","-1","1","0","0","0","0","-1","101","9","30","8.91","29.7","-34.14","32","6","59","7","20","11.86","33.9","-17.64","4","3","4","75","75","3.61","23","0","2","0","0","-23",
"Burke, K R","24","4","10","16.67","41.67","-4.29","46","9","20","19.57","43.48","1.44","1548","230","575","14.86","37.14","-169.26","1","4","754","105","281","13.93","37.27","-129.38","243","91","151","37.45","37.45","10.9","797","101","276","12.67","12.67","-127.65",
"Butler, John","13","0","3","0","23.08","-13","27","0","4","0","14.81","-27","932","95","252","10.19","27.04","-225.64","20","32","497","44","125","8.85","25.15","-143.61","102","32","70","31.37","31.37","-4.33","733","78","207","10.64","10.64","-174.95",
"Byrnes, C","11","1","2","9.09","18.18","-6.5","18","1","2","5.56","11.11","-13.5","419","50","123","11.93","29.36","-125.3","4","8","230","29","69","12.61","30","-82.09","60","23","37","38.33","38.33","21.29","204","28","59","13.73","13.73","-45.19",
