trainer,7Day_Runs,7Day_Wins,7Day_Places,7Day_Win_Strike,7Day_Place_Strike,7Day_SP_ProfitLoss,14Day_Runs,14Day_Wins,14Day_Places,14Day_Win_Strike,14Day_Place_Strike,14Day_SP_ProfitLoss,2YR_Runs,2YR_Wins,2YR_Places,2YR_Win_Strike,2YR_Place_Strike,2YR_SP_ProfitLoss,DaysSinceWin,RunsSinceWin,1YR_Runs,1YR_Wins,1YR_Places,1YR_Win_Strike,1YR_Place_Strike,1YR_SP_ProfitLoss,2yr_fav_Runs,2yr_fav_Wins,2yr_fav_Places,2yr_fav_Win_Strike,2yr_fav_Place_Strike,2yr_fav_SP_ProfitLoss,2yr_hcap_Runs,2yr_hcap_Wins,2yr_hcap_Places,2yr_hcap_Win_Strike,2yr_hcap_Place_Strike,2yr_hcap_SP_ProfitLoss,
"Aherne, Sean","2","0","0","0","0","-2","2","0","0","0","0","-2","130","13","31","10","23.85","37.5","36","11","59","6","14","10.17","23.73","30.5","9","2","6","22.22","22.22","1","94","11","27","11.7","11.7","39.5",
"Alexander, N W","0","0","0","0","0","0","12","1","2","8.33","16.67","-7","421","57","138","13.54","32.78","-85.14","9","6","204","23","67","11.27","32.84","-57.26","41","16","27","39.02","39.02","10.62","290","44","105","15.17","15.17","-36.41",
"Appleby, Charlie","12","2","4","16.67","33.33","-1","15","3","6","20","40","-2","892","273","499","30.61","55.94","-4.86","1","2","459","137","252","29.85","54.9","-10.83","414","186","292","44.93","44.93","-7.01","226","62","108","27.43","27.43","0.25",
"Appleby, M","18","0","2","0","11.11","-18","31","0","5","0","16.13","-31","1838","230","563","12.51","30.63","-165.15","22","45","911","107","296","11.75","32.49","-193.74","278","88","164","31.65","31.65","-20.44","1584","198","495","12.5","12.5","-94.5",
"Atkinson, P G","0","0","0","0","0","0","0","0","0","0","0","0","33","5","10","15.15","30.3","-5.67","21","1","9","3","5","33.33","55.56","10.5","0","0","0","0","0","0","23","4","8","17.39","17.39","0.83",
"Attwater, M J","8","1","1","12.5","12.5","-2.5","15","1","2","6.67","13.33","-9.5","658","39","132","5.93","20.06","-246.13","7","8","314","20","70","6.37","22.29","-139.99","27","8","13","29.63","29.63","-3.34","528","32","105","6.06","6.06","-185.09",
"Austin, W J","0","0","0","0","0","0","0","0","0","0","0","0","45","1","9","2.22","20","-33","550","36","14","0","2","0","14.29","-14","2","0","2","0","0","-2","32","1","9","3.13","3.13","-20",
"Bailey, K C","3","0","3","0","100","-3","6","0","3","0","50","-6","537","72","185","13.41","34.45","-125.71","20","8","266","35","89","13.16","33.46","-80.1","80","21","48","26.25","26.25","-23.85","318","41","104","12.89","12.89","-52.78",
"Baker, George","7","3","5","42.86","71.43","9.75","12","5","10","41.67","83.33","14.5","410","43","110","10.49","26.83","-99.24","2","3","205","15","48","7.32","23.41","-95.62","44","10","22","22.73","22.73","-13.12","322","37","94","11.49","11.49","-70.62",
"Balding, A M","30","5","8","16.67","26.67","-14.75","40","7","11","17.5","27.5","-18.25","1873","287","677","15.32","36.15","-187.68","2","9","917","141","322","15.38","35.11","-153.79","313","102","190","32.59","32.59","-46.65","840","125","295","14.88","14.88","-79.08",
