trainer,1Day_Runs,1Day_Wins,1Day_Places,1Day_Win_Strike,1Day_Place_Strike,1Day_SP_ProfitLoss,3Day_Runs,3Day_Wins,3Day_Places,3Day_Win_Strike,3Day_Place_Strike,3Day_SP_ProfitLoss,7Day_Runs,7Day_Wins,7Day_Places,7Day_Win_Strike,7Day_Place_Strike,7Day_SP_ProfitLoss,14Day_Runs,14Day_Wins,14Day_Places,14Day_Win_Strike,14Day_Place_Strike,14Day_SP_ProfitLoss,2YR_Runs,2YR_Wins,2YR_Places,2YR_Win_Strike,2YR_Place_Strike,2YR_SP_ProfitLoss,DaysSinceWin,RunsSinceWin,1YR_Runs,1YR_Wins,1YR_Places,1YR_Win_Strike,1YR_Place_Strike,1YR_SP_ProfitLoss,2yr_fav_Runs,2yr_fav_Wins,2yr_fav_Places,2yr_fav_Win_Strike,2yr_fav_Place_Strike,2yr_fav_SP_ProfitLoss,2yr_hcap_Runs,2yr_hcap_Wins,2yr_hcap_Places,2yr_hcap_Win_Strike,2yr_hcap_Place_Strike,2yr_hcap_SP_ProfitLoss,
"Phillips, R T","1","0","0","0","0","-1","1","0","0","0","0","-1","2","1","1","50","50","1","3","1","1","33.33","33.33","0","182","11","32","6.04","17.58","-53.75","7","2","91","6","16","6.59","17.58","-18","5","1","3","20","20","-2","140","11","30","7.86","7.86","-11.75",
"Pickard, Ella","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","65","8","15","12.31","23.08","-17.43","155","11","34","3","5","8.82","14.71","-24.26","6","3","4","50","50","1.24","34","4","11","11.76","11.76","-22.43",
"Prescott, Sir Mark","1","0","0","0","0","-1","2","0","0","0","0","-2","6","2","2","33.33","33.33","0.5","16","4","8","25","50","-4.87","495","88","199","17.78","40.2","-82.01","5","5","250","44","99","17.6","39.6","-79.53","144","51","91","35.42","35.42","-21.92","295","67","143","22.71","22.71","-50.64",
"Quinn, J J","0","0","0","0","0","0","2","0","0","0","0","-2","5","0","1","0","20","-5","20","2","6","10","30","1","740","75","225","10.14","30.41","-208.97","9","8","383","28","98","7.31","25.59","-138.37","120","29","66","24.17","24.17","-30.96","505","51","154","10.1","10.1","-111.68",
"Ralph, Alastair","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","-1","428","41","106","9.58","24.77","-85.46","18","4","214","17","56","7.94","26.17","-41","40","10","20","25","25","-6.79","313","33","79","10.54","10.54","-35.32",
"Rees, D A","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","100","100","5.5","1","1","1","100","100","5.5","61","2","7","3.28","11.48","-41.5","4","1","38","2","4","5.26","10.53","-18.5","0","0","0","0","0","0","46","2","7","4.35","4.35","-26.5",
"Rimell, M G","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","-1","2","0","0","0","0","-2","152","19","47","12.5","30.92","37.08","61","14","88","12","30","13.64","34.09","2.75","15","5","7","33.33","33.33","5.33","142","17","45","11.97","11.97","-6.92",
"Ryan, K A","2","1","1","50","50","0.1","13","2","4","15.38","30.77","-2.9","30","3","8","10","26.67","-17.65","43","5","12","11.63","27.91","-2.65","1012","118","284","11.66","28.06","55.04","1","2","533","69","147","12.95","27.58","63.41","73","22","43","30.14","30.14","-10.96","609","64","161","10.51","10.51","-53.16",
"Sangster, Ollie","1","0","0","0","0","-1","5","0","0","0","0","-5","10","0","1","0","10","-10","18","2","7","11.11","38.89","-11.75","226","35","81","15.49","35.84","-43.13","11","14","173","25","61","14.45","35.26","-31.07","35","18","27","51.43","51.43","12.04","70","11","23","15.71","15.71","8.08",
"Scott, Gillian","2","1","1","50","50","49","2","1","1","50","50","49","2","1","1","50","50","49","2","1","1","50","50","49","115","5","18","4.35","15.65","-40.17","1","2","41","2","4","4.88","9.76","15","5","1","1","20","20","0","80","4","13","5","5","-9.5",
"Scott, Miss Katie","0","0","0","0","0","0","3","1","1","33.33","33.33","2.5","5","1","1","20","20","0.5","16","2","2","12.5","12.5","4.5","504","31","129","6.15","25.6","-192.89","2","1","234","13","61","5.56","26.07","-57.12","49","9","25","18.37","18.37","-19.39","408","25","104","6.13","6.13","-177.62",
"Sheppard, M","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","1","0","50","-2","162","21","59","12.96","36.42","-56.18","90","11","91","13","38","14.29","41.76","-22.29","20","6","12","30","30","-1.51","137","21","56","15.33","15.33","-31.18",
"Signy, Oliver","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","-1","1","0","0","0","0","-1","146","20","41","13.7","28.08","-42.77","25","2","74","6","13","8.11","17.57","-47","16","7","9","43.75","43.75","4.23","83","15","27","18.07","18.07","-10.27",
"Skelton, Daniel","0","0","0","0","0","0","0","0","0","0","0","0","4","1","3","25","75","-0.75","14","2","5","14.29","35.71","-8","1665","281","640","16.88","38.44","-295.74","4","4","917","156","355","17.01","38.71","-202.4","388","147","255","37.89","37.89","6.32","981","164","364","16.72","16.72","-85.17",
"Slattery, Andrew","7","1","2","14.29","28.57","8","11","2","3","18.18","27.27","11","17","3","5","17.65","29.41","8.75","27","4","6","14.81","22.22","4.25","871","76","213","8.73","24.45","-205.99","1","1","426","37","108","8.69","25.35","-89.48","52","17","30","32.69","32.69","4.52","447","38","105","8.5","8.5","-162.92",
"Smart, B","1","0","1","0","100","-1","1","0","1","0","100","-1","4","0","1","0","25","-4","9","1","2","11.11","22.22","-6.5","343","39","112","11.37","32.65","6.32","10","6","170","20","57","11.76","33.53","-10.64","44","12","27","27.27","27.27","-3.01","262","31","87","11.83","11.83","24.59",
"Smith, R Michael","0","0","0","0","0","0","4","0","2","0","50","-4","14","0","3","0","21.43","-14","19","0","5","0","26.32","-19","540","25","99","4.63","18.33","-361.34","43","44","276","13","45","4.71","16.3","-169.25","30","6","13","20","20","-6.42","432","24","91","5.56","5.56","-255.59",
"Snowden, Jamie","0","0","0","0","0","0","1","0","0","0","0","-1","1","0","0","0","0","-1","7","1","1","14.29","14.29","-5.5","502","94","196","18.73","39.04","-64.63","8","4","259","48","97","18.53","37.45","-17.32","105","41","67","39.05","39.05","-18.25","285","46","96","16.14","16.14","-26.18",
"Summers, B R","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","-1","67","1","10","1.49","14.93","-26","36","5","35","1","2","2.86","5.71","6","0","0","0","0","0","0","64","1","10","1.56","1.56","-23",
"Tate, T P","0","0","0","0","0","0","1","0","1","0","100","-1","2","0","1","0","50","-2","3","0","1","0","33.33","-3","106","7","25","6.6","23.58","-74.42","29","8","47","5","13","10.64","27.66","-26.42","7","3","3","42.86","42.86","1.58","92","7","25","7.61","7.61","-60.42",
"Taylor, Mrs P","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","26","1","3","3.85","11.54","-15","467","19","17","0","1","0","5.88","-17","0","0","0","0","0","0","15","1","2","6.67","6.67","-4",
"Teal, R A","1","0","0","0","0","-1","1","0","0","0","0","-1","3","0","1","0","33.33","-3","5","0","1","0","20","-5","511","48","144","9.39","28.18","-47.78","20","13","220","20","65","9.09","29.55","-80.82","56","12","30","21.43","21.43","-20.69","384","38","107","9.9","9.9","13",
"Tickle, J","2","1","1","50","50","1.75","2","1","1","50","50","1.75","5","2","2","40","40","6.25","13","2","3","15.38","23.08","-1.75","210","18","47","8.57","22.38","-111.88","1","2","120","12","28","10","23.33","-49.92","18","6","8","33.33","33.33","0.46","157","15","41","9.55","9.55","-76.26",
"Tinkler, N","0","0","0","0","0","0","1","0","0","0","0","-1","9","1","3","11.11","33.33","-3","26","1","6","3.85","23.08","-20","843","64","211","7.59","25.03","-276.75","5","3","417","33","109","7.91","26.14","-172.58","56","10","25","17.86","17.86","-20.09","667","57","190","8.55","8.55","-136.75",
"Tuer, Grant","1","0","0","0","0","-1","1","0","0","0","0","-1","4","0","0","0","0","-4","16","2","3","12.5","18.75","-11.75","775","87","248","11.23","32","-241.42","9","7","398","38","121","9.55","30.4","-128.85","89","29","54","32.58","32.58","-5.04","611","75","206","12.27","12.27","-152.75",
"Tutty, Gemma","0","0","0","0","0","0","1","0","0","0","0","-1","5","0","1","0","20","-5","9","1","3","11.11","33.33","-2.5","356","38","106","10.67","29.78","-56.58","14","8","199","23","62","11.56","31.16","-8.66","31","9","15","29.03","29.03","-9.16","301","34","97","11.3","11.3","-52.08",
"Twiston-Davies, N A","0","0","0","0","0","0","1","1","1","100","100","0.44","2","1","2","50","100","-0.56","6","2","5","33.33","83.33","1.44","889","136","330","15.3","37.12","-231.19","2","1","456","84","183","18.42","40.13","-66.85","185","54","113","29.19","29.19","-31.83","528","74","183","14.02","14.02","-154.14",
"Wainwright, J S","0","0","0","0","0","0","0","0","0","0","0","0","3","0","1","0","33.33","-3","4","0","1","0","25","-4","210","15","42","7.14","20","-123.17","57","17","91","3","13","3.3","14.29","-76.75","13","3","7","23.08","23.08","-0.25","178","14","37","7.87","7.87","-95.17",
"Walford, Mark","2","0","1","0","50","-2","4","0","2","0","50","-4","6","2","4","33.33","66.67","11","14","2","5","14.29","35.71","3","700","72","195","10.29","27.86","-214.43","6","5","354","34","84","9.6","23.73","-98.2","70","20","40","28.57","28.57","-19.67","531","54","149","10.17","10.17","-125.97",
"Walsh, T M","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","100","-1","2","0","1","0","50","-2","138","19","49","13.77","35.51","22.21","80","11","58","14","26","24.14","44.83","63.58","22","10","15","45.45","45.45","12.71","85","14","35","16.47","16.47","23.96",
"Watson, Archie","2","0","1","0","50","-2","4","0","1","0","25","-4","10","0","4","0","40","-10","25","5","12","20","48","9.6","1533","183","459","11.94","29.94","-322.47","9","12","742","82","228","11.05","30.73","-252.09","174","58","108","33.33","33.33","-32.41","918","86","236","9.37","9.37","-254.46",
"Weld, D K","1","0","0","0","0","-1","6","1","1","16.67","16.67","3","10","1","2","10","20","-1","18","1","3","5.56","16.67","-9","510","62","193","12.16","37.84","-165.13","3","5","245","28","79","11.43","32.24","-69.87","79","27","53","34.18","34.18","-14.92","161","11","50","6.83","6.83","-69.42",
"West, Adam","0","0","0","0","0","0","2","0","1","0","50","-2","4","0","1","0","25","-4","10","0","2","0","20","-10","452","36","107","7.96","23.67","-47.82","22","11","245","17","51","6.94","20.82","-47.45","36","8","21","22.22","22.22","-11.95","311","30","79","9.65","9.65","-8.82",
"West, Miss Sheena","0","0","0","0","0","0","1","0","0","0","0","-1","2","0","0","0","0","-2","8","1","3","12.5","37.5","-4.75","202","27","74","13.37","36.63","-60.68","10","6","105","10","35","9.52","33.33","-54.59","26","12","17","46.15","46.15","6.24","144","24","60","16.67","16.67","-11.43",
"Whitaker, Simon","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6","0","1","0","16.67","-6","195","6","37","3.08","18.97","-73.5","21","7","89","4","15","4.49","16.85","-53","12","1","6","8.33","8.33","-7.5","171","6","35","3.51","3.51","-49.5",
"Williams, Christian","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","459","37","95","8.06","20.7","-165.34","69","33","259","20","51","7.72","19.69","-142.92","40","12","20","30","30","-1.5","326","32","80","9.82","9.82","-115.67",
"Williams, Evan","0","0","0","0","0","0","0","0","0","0","0","0","2","0","1","0","50","-2","2","0","1","0","50","-2","797","79","207","9.91","25.97","-182.88","27","11","412","39","113","9.47","27.43","-84.26","71","20","41","28.17","28.17","-7.25","544","55","149","10.11","10.11","-117.09",
"Williams, Mrs Jane","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","-2","2","0","0","0","0","-2","305","37","88","12.13","28.85","-75.83","158","22","142","18","41","12.68","28.87","-43.84","32","14","21","43.75","43.75","2.55","218","19","50","8.72","8.72","-67.8",
"Williams, Noel","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","114","11","34","9.65","29.82","-60.46","102","6","71","7","21","9.86","29.58","-39.09","8","4","6","50","50","2.91","48","5","15","10.42","10.42","-27.75",
"Woods, Mrs Cynthia","0","0","0","0","0","0","1","0","0","0","0","-1","1","0","0","0","0","-1","1","0","0","0","0","-1","68","1","4","1.47","5.88","-56","706","67","34","0","0","0","0","-34","0","0","0","0","0","0","47","1","4","2.13","2.13","-35",
 
