trainer,1Day_Runs,1Day_Wins,1Day_Places,1Day_Win_Strike,1Day_Place_Strike,1Day_SP_ProfitLoss,3Day_Runs,3Day_Wins,3Day_Places,3Day_Win_Strike,3Day_Place_Strike,3Day_SP_ProfitLoss,7Day_Runs,7Day_Wins,7Day_Places,7Day_Win_Strike,7Day_Place_Strike,7Day_SP_ProfitLoss,14Day_Runs,14Day_Wins,14Day_Places,14Day_Win_Strike,14Day_Place_Strike,14Day_SP_ProfitLoss,2YR_Runs,2YR_Wins,2YR_Places,2YR_Win_Strike,2YR_Place_Strike,2YR_SP_ProfitLoss,DaysSinceWin,RunsSinceWin,1YR_Runs,1YR_Wins,1YR_Places,1YR_Win_Strike,1YR_Place_Strike,1YR_SP_ProfitLoss,2yr_fav_Runs,2yr_fav_Wins,2yr_fav_Places,2yr_fav_Win_Strike,2yr_fav_Place_Strike,2yr_fav_SP_ProfitLoss,2yr_hcap_Runs,2yr_hcap_Wins,2yr_hcap_Places,2yr_hcap_Win_Strike,2yr_hcap_Place_Strike,2yr_hcap_SP_ProfitLoss,
"Appleby, Charlie","1","0","0","0","0","-1","3","1","2","33.33","66.67","1.5","8","2","5","25","62.5","2.5","12","4","8","33.33","66.67","9","719","210","380","29.21","52.85","-25.13","2","2","311","94","169","30.23","54.34","-3.02","342","143","221","41.81","41.81","-32.65","129","36","61","27.91","27.91","50.22",
"Appleby, M","0","0","0","0","0","0","2","0","1","0","50","-2","14","2","4","14.29","28.57","-1.6","28","3","9","10.71","32.14","-12.35","1735","196","553","11.3","31.87","-375.16","6","8","814","87","257","10.69","31.57","-186.99","268","72","144","26.87","26.87","-62.57","1486","160","468","10.77","10.77","-335.63",
"Attwater, M J","1","0","0","0","0","-1","3","0","1","0","33.33","-3","7","1","2","14.29","28.57","-0.5","15","1","5","6.67","33.33","-8.5","586","35","118","5.97","20.14","-307.75","5","6","280","18","61","6.43","21.79","-153.29","26","6","12","23.08","23.08","-11.41","481","30","99","6.24","6.24","-227.8",
"Attwater, P","2","0","1","0","50","-2","4","0","1","0","25","-4","6","0","2","0","33.33","-6","9","0","2","0","22.22","-9","18","0","3","0","16.67","-18","9999","9999","18","0","3","0","16.67","-18","0","0","0","0","0","0","8","0","1","0","0","-8",
"Bailey, K C","1","0","0","0","0","-1","1","0","0","0","0","-1","1","0","0","0","0","-1","2","1","1","50","50","7","482","68","155","14.11","32.16","-101.72","10","2","220","30","64","13.64","29.09","-65.87","75","23","45","30.67","30.67","-14.27","315","48","103","15.24","15.24","-22.9",
"Baker, George","0","0","0","0","0","0","0","0","0","0","0","0","4","0","1","0","25","-4","9","1","4","11.11","44.44","0.5","390","39","109","10","27.95","-29.75","12","6","202","18","42","8.91","20.79","44.38","30","9","14","30","30","-6.25","333","38","99","11.41","11.41","24.87",
"Balding, A M","3","1","2","33.33","66.67","0.13","9","2","4","22.22","44.44","-1.54","33","3","10","9.09","30.3","-19.04","77","11","27","14.29","35.06","-39.07","2024","308","770","15.22","38.04","-399.76","1","3","1108","171","442","15.43","39.89","-225.17","395","132","249","33.42","33.42","-57.12","889","135","310","15.19","15.19","-110.6",
"Barclay, Stella","0","0","0","0","0","0","1","0","0","0","0","-1","3","1","2","33.33","66.67","3.5","8","1","2","12.5","25","-1.5","549","40","129","7.29","23.5","-64.9","4","2","232","17","60","7.33","25.86","-73.31","27","7","15","25.93","25.93","-4.56","446","36","107","8.07","8.07","10.02",
"Barcoe, James M","1","0","0","0","0","-1","1","0","0","0","0","-1","1","0","0","0","0","-1","3","0","1","0","33.33","-3","229","9","40","3.93","17.47","-99.67","43","18","125","6","26","4.8","20.8","-61.17","6","2","2","33.33","33.33","5","174","9","35","5.17","5.17","-44.67",
"Barrett, James M","0","0","0","0","0","0","1","0","1","0","100","-1","1","0","1","0","100","-1","2","0","1","0","50","-2","92","3","18","3.26","19.57","-32.43","150","30","40","1","10","2.5","25","-23","5","1","2","20","20","-3.43","53","1","9","1.89","1.89","-12",
