trainer,7Day_Runs,7Day_Wins,7Day_Places,7Day_Win_Strike,7Day_Place_Strike,7Day_SP_ProfitLoss,14Day_Runs,14Day_Wins,14Day_Places,14Day_Win_Strike,14Day_Place_Strike,14Day_SP_ProfitLoss,2YR_Runs,2YR_Wins,2YR_Places,2YR_Win_Strike,2YR_Place_Strike,2YR_SP_ProfitLoss,DaysSinceWin,RunsSinceWin,1YR_Runs,1YR_Wins,1YR_Places,1YR_Win_Strike,1YR_Place_Strike,1YR_SP_ProfitLoss,2yr_fav_Runs,2yr_fav_Wins,2yr_fav_Places,2yr_fav_Win_Strike,2yr_fav_Place_Strike,2yr_fav_SP_ProfitLoss,2yr_hcap_Runs,2yr_hcap_Wins,2yr_hcap_Places,2yr_hcap_Win_Strike,2yr_hcap_Place_Strike,2yr_hcap_SP_ProfitLoss,
"Ahern, G","1","0","0","0","0","-1","3","0","0","0","0","-3","66","3","8","4.55","12.12","-28","64","13","30","1","3","3.33","10","-18","0","0","0","0","0","0","40","2","7","5","5","-13",
"Appleby, Charlie","16","7","13","43.75","81.25","2.64","27","10","17","37.04","62.96","-1.35","829","252","468","30.4","56.45","-15.65","1","2","470","147","257","31.28","54.68","-2.47","379","169","271","44.59","44.59","3.73","201","51","91","25.37","25.37","-36.95",
"Appleby, M","15","1","3","6.67","20","-12.37","36","9","15","25","41.67","33.13","1992","224","579","11.24","29.07","-226.42","4","5","911","117","269","12.84","29.53","-126.16","246","72","143","29.27","29.27","-26.29","1720","197","518","11.45","11.45","-198.74",
"Attwater, M J","10","0","1","0","10","-10","11","0","2","0","18.18","-11","628","34","127","5.41","20.22","-213.64","15","13","333","18","74","5.41","22.22","-146.8","19","6","12","31.58","31.58","-0.39","504","30","107","5.95","5.95","-149.55",
"Bailey, K C","2","0","1","0","50","-2","2","0","1","0","50","-2","624","96","220","15.38","35.26","-137.27","56","12","261","36","97","13.79","37.16","-39.74","116","41","73","35.34","35.34","-9.85","349","41","106","11.75","11.75","-110.85",
"Baker, George","5","2","2","40","40","29.5","9","2","3","22.22","33.33","25.5","459","56","135","12.2","29.41","-8.99","6","3","220","22","60","10","27.27","-71.62","45","12","25","26.67","26.67","-8.25","344","46","104","13.37","13.37","27",
"Balding, A M","35","8","11","22.86","31.43","9.45","50","11","15","22","30","10.2","1885","291","692","15.44","36.71","-70.47","2","12","975","146","356","14.97","36.51","-82.11","307","98","189","31.92","31.92","-57.55","893","136","320","15.23","15.23","-88.72",
"Bandey, R J","1","1","1","100","100","4.5","1","1","1","100","100","4.5","159","24","62","15.09","38.99","57.29","7","1","90","21","43","23.33","47.78","13.79","31","12","23","38.71","38.71","-5.21","97","19","46","19.59","19.59","92.38",
"Barron, T D","9","2","4","22.22","44.44","0","13","3","5","23.08","38.46","0.33","576","77","189","13.37","32.81","-49.62","1","1","253","38","93","15.02","36.76","4.13","95","32","54","33.68","33.68","20.31","454","66","158","14.54","14.54","5.47",
"Beckett, R M","21","2","6","9.52","28.57","-14.47","28","4","10","14.29","35.71","-11.47","1092","196","429","17.95","39.29","-69.63","1","2","530","79","193","14.91","36.42","-112.39","266","98","165","36.84","36.84","12.59","540","99","207","18.33","18.33","-63.12",
