trainer,1Day_Runs,1Day_Wins,1Day_Places,1Day_Win_Strike,1Day_Place_Strike,1Day_SP_ProfitLoss,3Day_Runs,3Day_Wins,3Day_Places,3Day_Win_Strike,3Day_Place_Strike,3Day_SP_ProfitLoss,7Day_Runs,7Day_Wins,7Day_Places,7Day_Win_Strike,7Day_Place_Strike,7Day_SP_ProfitLoss,14Day_Runs,14Day_Wins,14Day_Places,14Day_Win_Strike,14Day_Place_Strike,14Day_SP_ProfitLoss,2YR_Runs,2YR_Wins,2YR_Places,2YR_Win_Strike,2YR_Place_Strike,2YR_SP_ProfitLoss,DaysSinceWin,RunsSinceWin,1YR_Runs,1YR_Wins,1YR_Places,1YR_Win_Strike,1YR_Place_Strike,1YR_SP_ProfitLoss,2yr_fav_Runs,2yr_fav_Wins,2yr_fav_Places,2yr_fav_Win_Strike,2yr_fav_Place_Strike,2yr_fav_SP_ProfitLoss,2yr_hcap_Runs,2yr_hcap_Wins,2yr_hcap_Places,2yr_hcap_Win_Strike,2yr_hcap_Place_Strike,2yr_hcap_SP_ProfitLoss,
"Al, Mohammed Khalifa","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0","1","0","20","-5","9999","9999","3","0","1","0","33.33","-3","0","0","0","0","0","0","4","0","1","0","0","-4",
"Allen, C N","1","0","0","0","0","-1","2","1","1","50","50","0.5","5","2","2","40","40","16.5","7","3","3","42.86","42.86","24","223","26","71","11.66","31.84","2.17","2","2","106","17","37","16.04","34.91","39.04","21","7","11","33.33","33.33","2.84","170","20","57","11.76","11.76","-27.16",
"Appleby, Charlie","1","0","0","0","0","-1","3","0","1","0","33.33","-3","3","0","1","0","33.33","-3","10","3","8","30","80","9.83","730","212","385","29.04","52.74","-30.51","11","5","315","95","168","30.16","53.33","-3.15","349","145","225","41.55","41.55","-37.41","133","37","66","27.82","27.82","60.22",
"Appleby, M","2","2","2","100","100","11.5","7","4","4","57.14","57.14","22","18","6","9","33.33","50","18.25","30","6","11","20","36.67","6.25","1742","194","549","11.14","31.52","-396.48","1","1","829","91","264","10.98","31.85","-168.39","262","70","140","26.72","26.72","-61.22","1495","159","467","10.64","10.64","-357.55",
"Attwater, P","0","0","0","0","0","0","1","0","0","0","0","-1","1","0","0","0","0","-1","2","0","0","0","0","-2","9","0","1","0","11.11","-9","9999","9999","9","0","1","0","11.11","-9","0","0","0","0","0","0","5","0","0","0","0","-5",
"Baker, George","0","0","0","0","0","0","1","0","0","0","0","-1","7","0","0","0","0","-7","12","0","0","0","0","-12","384","37","105","9.64","27.34","-39.25","16","15","205","19","45","9.27","21.95","50.38","30","9","14","30","30","-6.25","327","36","95","11.01","11.01","15.37",
"Balding, A M","5","2","2","40","40","4.63","10","3","5","30","50","1.88","32","6","11","18.75","34.38","-2.12","74","15","30","20.27","40.54","-3.04","2003","307","764","15.33","38.14","-360.94","1","3","1102","168","442","15.25","40.11","-199.48","389","130","247","33.42","33.42","-54.14","879","131","302","14.9","14.9","-113.76",
"Banham, Chelsea","0","0","0","0","0","0","0","0","0","0","0","0","3","0","1","0","33.33","-3","7","0","1","0","14.29","-7","245","22","59","8.98","24.08","-91.7","27","11","149","15","37","10.07","24.83","-35.49","14","6","7","42.86","42.86","6.97","173","19","49","10.98","10.98","-38.03",
"Barcoe, James M","2","0","0","0","0","-2","3","0","0","0","0","-3","3","0","0","0","0","-3","8","0","1","0","12.5","-8","229","9","40","3.93","17.47","-99.67","27","13","129","6","25","4.65","19.38","-65.17","7","2","3","28.57","28.57","4","171","9","35","5.26","5.26","-41.67",
"Barron, T D","0","0","0","0","0","0","0","0","0","0","0","0","5","1","3","20","60","-1","8","1","3","12.5","37.5","-4","483","49","146","10.14","30.23","-144.76","7","4","242","26","73","10.74","30.17","-65.05","53","12","28","22.64","22.64","-16.8","399","44","127","11.03","11.03","-77.52",
"Beckett, R M","3","2","2","66.67","66.67","0.5","4","2","2","50","50","-0.5","13","2","7","15.38","53.85","-9.5","38","6","17","15.79","44.74","-20.5","1300","239","535","18.38","41.15","-189.81","1","2","651","113","265","17.36","40.71","-141.55","315","119","208","37.78","37.78","-10.93","530","104","208","19.62","19.62","-21.97",
"Bell, M L W","2","0","0","0","0","-2","4","0","0","0","0","-4","11","0","3","0","27.27","-11","26","1","4","3.85","15.38","-23.12","779","102","255","13.09","32.73","-198.02","9","12","415","58","130","13.98","31.33","-75.01","112","42","62","37.5","37.5","7.94","465","62","153","13.33","13.33","-80.32",
"Bethell, Ed","1","0","1","0","100","-1","3","0","1","0","33.33","-3","5","0","1","0","20","-5","16","2","5","12.5","31.25","-4.5","505","86","204","17.03","40.4","-131.85","11","6","289","44","118","15.22","40.83","-112.37","121","45","72","37.19","37.19","-5.97","301","57","122","18.94","18.94","-35.22",
"Blake, Michael","0","0","0","0","0","0","2","0","0","0","0","-2","5","0","0","0","0","-5","6","0","1","0","16.67","-6","134","14","31","10.45","23.13","6.5","92","27","74","4","13","5.41","17.57","-28.5","8","1","3","12.5","12.5","-4","114","14","26","12.28","12.28","26.5",
