trainer,7Day_Runs,7Day_Wins,7Day_Places,7Day_Win_Strike,7Day_Place_Strike,7Day_SP_ProfitLoss,14Day_Runs,14Day_Wins,14Day_Places,14Day_Win_Strike,14Day_Place_Strike,14Day_SP_ProfitLoss,2YR_Runs,2YR_Wins,2YR_Places,2YR_Win_Strike,2YR_Place_Strike,2YR_SP_ProfitLoss,DaysSinceWin,RunsSinceWin,1YR_Runs,1YR_Wins,1YR_Places,1YR_Win_Strike,1YR_Place_Strike,1YR_SP_ProfitLoss,2yr_fav_Runs,2yr_fav_Wins,2yr_fav_Places,2yr_fav_Win_Strike,2yr_fav_Place_Strike,2yr_fav_SP_ProfitLoss,2yr_hcap_Runs,2yr_hcap_Wins,2yr_hcap_Places,2yr_hcap_Win_Strike,2yr_hcap_Place_Strike,2yr_hcap_SP_ProfitLoss,
"Aherne, Sean","3","0","0","0","0","-3","4","0","1","0","25","-4","142","10","28","7.04","19.72","-33.5","77","16","68","5","17","7.35","25","-7","9","2","6","22.22","22.22","1","97","8","23","8.25","8.25","-30.5",
"Allen, C N","1","0","1","0","100","-1","3","0","1","0","33.33","-3","192","18","59","9.38","30.73","-82.29","36","9","99","11","36","11.11","36.36","-21.17","25","5","12","20","20","-8.37","150","16","51","10.67","10.67","-48.04",
"Appleby, Charlie","10","2","6","20","60","-7.27","25","5","12","20","48","-15.35","814","242","459","29.73","56.39","-31.97","4","2","435","137","244","31.49","56.09","-9.93","363","152","254","41.87","41.87","-18.75","188","48","88","25.53","25.53","-25.07",
"Appleby, M","19","0","2","0","10.53","-19","32","2","6","6.25","18.75","14","2049","226","588","11.03","28.7","-218.6","9","22","919","121","263","13.17","28.62","41.09","262","77","152","29.39","29.39","-27.3","1768","202","530","11.43","11.43","-162.92",
"Bailey, Liam","6","0","1","0","16.67","-6","11","1","3","9.09","27.27","-6","306","13","56","4.25","18.3","-182.75","13","9","144","6","24","4.17","16.67","-57.5","18","2","7","11.11","11.11","-12.5","279","12","53","4.3","4.3","-159",
"Baker, George","7","0","2","0","28.57","-7","14","0","4","0","28.57","-14","448","58","139","12.95","31.03","14.01","25","25","208","28","62","13.46","29.81","-6.62","33","12","22","36.36","36.36","2.75","336","45","105","13.39","13.39","25",
"Balding, A M","28","6","15","21.43","53.57","3.08","60","10","24","16.67","40","3.58","1883","290","704","15.4","37.39","-56.25","5","5","956","146","362","15.27","37.87","-26.56","309","98","190","31.72","31.72","-55.5","866","127","312","14.67","14.67","-127.59",
"Barclay, Stella","5","0","1","0","20","-5","10","0","2","0","20","-10","412","24","76","5.83","18.45","-113.79","50","32","205","14","39","6.83","19.02","24.88","13","6","8","46.15","46.15","6.96","326","21","64","6.44","6.44","-40.29",
"Barrett, James M","3","0","0","0","0","-3","7","0","0","0","0","-7","166","13","32","7.83","19.28","7.75","15","8","77","6","13","7.79","16.88","-9.75","5","1","1","20","20","-2.25","68","9","17","13.24","13.24","32.25",
"Barron, T D","7","0","1","0","14.29","-7","16","2","3","12.5","18.75","4","575","68","185","11.83","32.17","-88.06","8","9","267","41","93","15.36","34.83","49.05","87","29","48","33.33","33.33","15.28","445","57","152","12.81","12.81","-23.32",
