trainer,7Day_Runs,7Day_Wins,7Day_Places,7Day_Win_Strike,7Day_Place_Strike,7Day_SP_ProfitLoss,14Day_Runs,14Day_Wins,14Day_Places,14Day_Win_Strike,14Day_Place_Strike,14Day_SP_ProfitLoss,2YR_Runs,2YR_Wins,2YR_Places,2YR_Win_Strike,2YR_Place_Strike,2YR_SP_ProfitLoss,DaysSinceWin,RunsSinceWin,1YR_Runs,1YR_Wins,1YR_Places,1YR_Win_Strike,1YR_Place_Strike,1YR_SP_ProfitLoss,2yr_fav_Runs,2yr_fav_Wins,2yr_fav_Places,2yr_fav_Win_Strike,2yr_fav_Place_Strike,2yr_fav_SP_ProfitLoss,2yr_hcap_Runs,2yr_hcap_Wins,2yr_hcap_Places,2yr_hcap_Win_Strike,2yr_hcap_Place_Strike,2yr_hcap_SP_ProfitLoss,
"Ahern, G","0","0","0","0","0","0","2","0","0","0","0","-2","96","4","11","4.17","11.46","-46","15","3","43","3","7","6.98","16.28","-5","1","0","1","0","0","-1","52","4","9","7.69","7.69","-2",
"Allen, C N","1","0","0","0","0","-1","3","0","0","0","0","-3","212","20","57","9.43","26.89","-43.49","59","15","104","9","23","8.65","22.12","-3.12","17","5","8","29.41","29.41","-2.49","168","19","47","11.31","11.31","-28.49",
"Allwood, S","2","0","1","0","50","-2","8","0","1","0","12.5","-8","149","3","20","2.01","13.42","-136","113","37","79","1","10","1.27","12.66","-72","5","1","3","20","20","-1.75","98","3","19","3.06","3.06","-85",
"Appleby, M","8","1","6","12.5","75","5","29","2","10","6.9","34.48","3","1804","206","573","11.42","31.76","-420.48","3","1","878","92","271","10.48","30.87","-247.2","279","76","147","27.24","27.24","-58.55","1536","167","483","10.87","10.87","-363",
"Armson, R J","0","0","0","0","0","0","0","0","0","0","0","0","17","1","6","5.88","35.29","-11.5","678","15","7","0","1","0","14.29","-7","2","0","2","0","0","-2","14","1","6","7.14","7.14","-8.5",
"Attwater, M J","3","0","1","0","33.33","-3","8","0","2","0","25","-8","616","42","136","6.82","22.08","-305.12","26","13","306","25","68","8.17","22.22","-153.3","34","9","18","26.47","26.47","-8.66","521","36","111","6.91","6.91","-241.17",
"Bailey, Liam","6","2","3","33.33","50","6","10","2","4","20","40","2","316","21","63","6.65","19.94","-181.75","1","1","138","14","29","10.14","21.01","-57.25","13","3","6","23.08","23.08","-2.75","239","15","44","6.28","6.28","-139.25",
"Balding, A M","20","4","9","20","45","-9.46","38","9","16","23.68","42.11","-5.7","1951","288","715","14.76","36.65","-390.75","2","3","1000","142","371","14.2","37.1","-233.71","343","113","212","32.94","32.94","-44.47","858","128","291","14.92","14.92","-111.17",
"Banham, Chelsea","3","1","2","33.33","66.67","4.5","3","1","2","33.33","66.67","4.5","234","19","50","8.12","21.37","-84.58","5","3","128","12","29","9.38","22.66","-40.96","14","5","5","35.71","35.71","3.09","167","14","39","8.38","8.38","-47.16",
"Barclay, Stella","5","0","0","0","0","-5","7","1","1","14.29","14.29","6","558","40","130","7.17","23.3","-69.7","13","7","276","26","69","9.42","25","-49.11","28","7","15","25","25","-6.53","463","36","111","7.78","7.78","-2.78",
"Beckett, R M","5","0","2","0","40","-5","7","0","2","0","28.57","-7","1244","225","497","18.09","39.95","-203.73","18","9","648","132","282","20.37","43.52","-91.44","287","106","185","36.93","36.93","-10.09","527","99","194","18.79","18.79","-71.54",
"Bell, M L W","7","1","1","14.29","14.29","-4.9","12","1","3","8.33","25","-9.9","738","88","250","11.92","33.88","-261.11","7","4","386","43","122","11.14","31.61","-109.37","114","36","59","31.58","31.58","-16.11","431","50","142","11.6","11.6","-136.45",
"Berry, John","0","0","0","0","0","0","2","1","1","50","50","13","165","14","48","8.48","29.09","-54.31","12","2","84","10","28","11.9","33.33","-3.69","14","5","8","35.71","35.71","0.86","135","13","41","9.63","9.63","-28.64",
"Blake, Michael","0","0","0","0","0","0","2","0","0","0","0","-2","131","16","31","12.21","23.66","34.5","188","21","60","11","21","18.33","35","43","4","1","2","25","25","0","118","15","27","12.71","12.71","36.5",
"Bolger, J S","5","0","2","0","40","-5","10","1","3","10","30","-6.25","674","52","165","7.72","24.48","-250.15","11","7","344","26","93","7.56","27.03","-155.59","47","15","27","31.91","31.91","-7.78","267","21","70","7.87","7.87","-16.8",
"Botti, M","6","0","1","0","16.67","-6","21","1","6","4.76","28.57","-12.5","826","93","259","11.26","31.36","-31.17","12","16","442","51","134","11.54","30.32","-47.16","83","15","39","18.07","18.07","-40.41","511","60","153","11.74","11.74","-28.45",
"Boughey, George","8","1","3","12.5","37.5","-3.5","18","2","6","11.11","33.33","-9.17","1489","241","548","16.19","36.8","-318.52","3","4","682","101","235","14.81","34.46","-140.88","304","120","203","39.47","39.47","-7.3","834","145","323","17.39","17.39","-61.69",
"Brassil, Martin","2","0","0","0","0","-2","4","0","0","0","0","-4","183","19","53","10.38","28.96","-52.54","23","5","87","12","29","13.79","33.33","1.11","13","6","8","46.15","46.15","3.38","71","4","20","5.63","5.63","-41",
"Bromhead, Henry De","8","3","5","37.5","62.5","-0.05","28","6","11","21.43","39.29","-2.05","1389","191","490","13.75","35.28","-251.73","5","2","677","102","249","15.07","36.78","-76.58","214","72","141","33.64","33.64","-33.74","547","53","154","9.69","9.69","-86.93",
"Brown, G","2","0","1","0","50","-2","2","0","1","0","50","-2","130","19","43","14.62","33.08","16.07","34","8","91","14","33","15.38","36.26","7.82","15","5","11","33.33","33.33","-2.64","92","14","31","15.22","15.22","36.51",
"Burke, K R","14","2","5","14.29","35.71","6.5","26","3","7","11.54","26.92","-1.5","1533","239","578","15.59","37.7","-95.96","2","5","739","125","291","16.91","39.38","-41.91","261","94","157","36.02","36.02","-2.54","730","97","239","13.29","13.29","-114.24",
"Butler, John","9","1","2","11.11","22.22","0.5","22","1","4","4.55","18.18","-12.5","1016","80","246","7.87","24.21","-443.15","2","5","551","29","116","5.26","21.05","-274.87","97","30","63","30.93","30.93","-5.47","789","70","209","8.87","8.87","-270.14",
"Carr, Mrs R A","11","2","6","18.18","54.55","4","22","5","10","22.73","45.45","9.25","796","86","231","10.8","29.02","-125.32","1","3","433","48","133","11.09","30.72","-124.91","68","22","32","32.35","32.35","8.85","745","80","219","10.74","10.74","-115.32",
"Carroll, A W","12","0","4","0","33.33","-12","27","1","9","3.7","33.33","-21.5","1982","176","515","8.88","25.98","-436.44","13","24","966","80","240","8.28","24.84","-258.02","162","48","98","29.63","29.63","-18.43","1670","160","454","9.58","9.58","-300.23",
"Carter, Lee","1","0","0","0","0","-1","2","0","1","0","50","-2","147","5","27","3.4","18.37","-98.25","137","29","70","3","10","4.29","14.29","-32","7","1","5","14.29","14.29","-3.25","131","5","26","3.82","3.82","-82.25",
"Channon, Jack","8","2","2","25","25","8","11","2","3","18.18","27.27","5","386","55","150","14.25","38.86","-13.8","4","4","346","49","128","14.16","36.99","0.24","62","20","39","32.26","32.26","-10.75","263","35","104","13.31","13.31","-30.36",
"Chapple-Hyam, Jane","2","0","1","0","50","-2","7","0","2","0","28.57","-7","457","49","145","10.72","31.73","-86.09","40","14","237","28","70","11.81","29.54","-19.36","52","16","31","30.77","30.77","-9.25","240","27","90","11.25","11.25","-17.56",
"Charalambous, P / Clutterbuck, J","2","0","0","0","0","-2","5","0","0","0","0","-5","188","11","33","5.85","17.55","-102.92","52","20","101","3","14","2.97","13.86","-65.5","14","3","7","21.43","21.43","-4.17","143","10","30","6.99","6.99","-63.42",
"Charlton, Roger/Harry","1","0","1","0","100","-1","4","1","3","25","75","-1.5","538","87","203","16.17","37.73","-78.69","14","4","244","39","95","15.98","38.93","-9.66","115","39","72","33.91","33.91","-19.57","292","52","111","17.81","17.81","-34.58",
"Clover, Tom","2","0","0","0","0","-2","6","1","2","16.67","33.33","-2.5","415","50","154","12.05","37.11","-142.17","9","3","218","27","88","12.39","40.37","-63.86","63","20","39","31.75","31.75","-11.67","236","23","74","9.75","9.75","-84.19",
"Cole, P F I","5","0","0","0","0","-5","6","0","0","0","0","-6","326","38","126","11.66","38.65","-98.48","27","11","181","18","66","9.94","36.46","-51.42","44","15","31","34.09","34.09","-0.73","200","16","69","8","8","-108.54",
