trainer,7Day_Runs,7Day_Wins,7Day_Places,7Day_Win_Strike,7Day_Place_Strike,7Day_SP_ProfitLoss,14Day_Runs,14Day_Wins,14Day_Places,14Day_Win_Strike,14Day_Place_Strike,14Day_SP_ProfitLoss,2YR_Runs,2YR_Wins,2YR_Places,2YR_Win_Strike,2YR_Place_Strike,2YR_SP_ProfitLoss,DaysSinceWin,RunsSinceWin,1YR_Runs,1YR_Wins,1YR_Places,1YR_Win_Strike,1YR_Place_Strike,1YR_SP_ProfitLoss,2yr_fav_Runs,2yr_fav_Wins,2yr_fav_Places,2yr_fav_Win_Strike,2yr_fav_Place_Strike,2yr_fav_SP_ProfitLoss,2yr_hcap_Runs,2yr_hcap_Wins,2yr_hcap_Places,2yr_hcap_Win_Strike,2yr_hcap_Place_Strike,2yr_hcap_SP_ProfitLoss,
"Aherne, Sean","0","0","0","0","0","0","2","1","1","50","50","39","138","11","28","7.97","20.29","11","13","1","50","5","14","10","28","49","9","2","6","22.22","22.22","1","95","9","23","9.47","9.47","12",
"Alexander, N W","9","0","3","0","33.33","-9","9","0","3","0","33.33","-9","429","55","140","12.82","32.63","23.03","175","15","192","31","70","16.15","36.46","-21.88","50","16","32","32","32","1.45","294","44","110","14.97","14.97","77.59",
"Allen, C N","1","0","1","0","100","-1","3","0","2","0","66.67","-3","199","21","62","10.55","31.16","-68.79","66","16","87","11","26","12.64","29.89","-8.25","26","6","13","23.08","23.08","-5.87","160","19","53","11.88","11.88","-37.54",
"Appleby, Charlie","5","1","4","20","80","-3.82","24","7","17","29.17","70.83","-5.01","889","268","496","30.15","55.79","-26.59","4","4","498","151","271","30.32","54.42","-7.07","411","188","292","45.74","45.74","8.9","230","60","111","26.09","26.09","-13.2",
"Appleby, M","17","1","6","5.88","35.29","-14.37","28","5","12","17.86","42.86","3.38","1927","235","574","12.2","29.79","-179.27","4","8","892","112","274","12.56","30.72","-205.51","257","79","150","30.74","30.74","-14.09","1668","205","514","12.29","12.29","-99.78",
"Archdeacon, L J","0","0","0","0","0","0","0","0","0","0","0","0","64","0","1","0","1.56","-64","1267","82","33","0","0","0","0","-33","0","0","0","0","0","0","28","0","1","0","0","-28",
"Attwater, M J","6","0","2","0","33.33","-6","11","0","4","0","36.36","-11","641","34","127","5.3","19.81","-266.01","54","38","309","18","72","5.83","23.3","-159.92","23","7","13","30.43","30.43","-1.14","517","30","107","5.8","5.8","-201.92",
"Auvray, Jean-Rene","0","0","0","0","0","0","1","0","0","0","0","-1","51","0","4","0","7.84","-51","1205","89","34","0","4","0","11.76","-34","0","0","0","0","0","0","27","0","2","0","0","-27",
"Bailey, Liam","5","1","1","20","20","-0.5","6","1","1","16.67","16.67","-1.5","290","11","46","3.79","15.86","-167.25","5","5","137","7","24","5.11","17.52","-41","10","1","4","10","10","-7.5","256","7","38","2.73","2.73","-154.5",
"Baker, George","4","1","1","25","25","6","13","2","2","15.38","15.38","-0.37","440","48","114","10.91","25.91","-62.74","3","3","214","21","52","9.81","24.3","-76.12","48","12","24","25","25","-11.12","332","39","92","11.75","11.75","-31.37",
"Balding, A M","13","1","3","7.69","23.08","-9.75","28","2","7","7.14","25","-20.75","1876","289","684","15.41","36.46","-172.31","7","11","948","139","349","14.66","36.81","-134.58","302","99","185","32.78","32.78","-41.69","867","133","306","15.34","15.34","-74.76",
"Bandey, R J","5","1","2","20","40","-2","7","1","3","14.29","42.86","-4","164","27","67","16.46","40.85","63.47","3","5","94","23","45","24.47","47.87","17.47","33","14","25","42.42","42.42","-3.03","97","19","47","19.59","19.59","92.38",
"Barclay, Stella","9","0","2","0","22.22","-9","17","1","4","5.88","23.53","-6","442","28","90","6.33","20.36","20.12","11","11","240","12","48","5","20","40.41","20","6","11","30","30","-1.63","361","25","78","6.93","6.93","88.62",
"Barcoe, James M","2","0","0","0","0","-2","6","0","0","0","0","-6","143","10","28","6.99","19.58","-30.25","76","24","85","5","18","5.88","21.18","-39","6","1","3","16.67","16.67","-2.25","101","8","23","7.92","7.92","-37.75",
"Beckett, R M","19","3","4","15.79","21.05","10.38","42","7","11","16.67","26.19","7.79","1094","193","417","17.64","38.12","-90.2","3","5","568","96","207","16.9","36.44","-67.84","251","87","145","34.66","34.66","-8.65","526","89","185","16.92","16.92","-123.72",
"Bell, M L W","5","1","3","20","60","-1","13","2","6","15.38","46.15","-6.5","680","92","226","13.53","33.24","-221.17","7","5","326","38","114","11.66","34.97","-158","111","37","61","33.33","33.33","-10.24","408","56","137","13.73","13.73","-138.36",
"Bolger, E","1","0","0","0","0","-1","2","0","0","0","0","-2","242","27","67","11.16","27.69","7.34","35","6","99","11","23","11.11","23.23","-35.52","45","14","23","31.11","31.11","-6.99","112","10","22","8.93","8.93","43.53",
"Botti, M","6","2","3","33.33","50","9","19","5","8","26.32","42.11","51","814","104","264","12.78","32.43","116.91","3","3","398","55","131","13.82","32.91","190.76","103","25","51","24.27","24.27","-31.05","523","74","168","14.15","14.15","36.49",
"Boughey, George","18","2","7","11.11","38.89","2","39","9","19","23.08","48.72","13.42","1159","198","447","17.08","38.57","-265.63","5","14","727","120","278","16.51","38.24","-186.17","252","108","176","42.86","42.86","19.38","625","109","244","17.44","17.44","-84.82",
"Boyle, J R","5","0","2","0","40","-5","14","0","3","0","21.43","-14","465","45","117","9.68","25.16","-185.51","29","32","267","24","65","8.99","24.34","-103.75","45","13","24","28.89","28.89","-3.13","377","42","107","11.14","11.14","-117.01",
"Brassil, Martin","0","0","0","0","0","0","0","0","0","0","0","0","151","22","50","14.57","33.11","31.64","43","9","90","8","29","8.89","32.22","-29.62","18","8","11","44.44","44.44","3.81","62","12","21","19.35","19.35","22.01",
"Brisland, Robyn","10","0","1","0","10","-10","21","2","4","9.52","19.05","-13.75","775","62","171","8","22.06","-300.88","11","13","339","26","72","7.67","21.24","-178.85","49","18","25","36.73","36.73","1.3","574","50","133","8.71","8.71","-213.63",
"Bromhead, Henry De","8","0","2","0","25","-8","18","2","8","11.11","44.44","-14.8","1618","218","556","13.47","34.36","-601.18","9","12","750","95","240","12.67","32","-282.73","298","107","185","35.91","35.91","-55.07","609","43","153","7.06","7.06","-249.96",
"Brown, D H","0","0","0","0","0","0","2","1","1","50","50","1","223","24","67","10.76","30.04","-1.92","12","2","86","10","26","11.63","30.23","-15.6","29","10","20","34.48","34.48","5.25","180","22","59","12.22","12.22","36.01",
"Burke, K R","14","1","6","7.14","42.86","-8.5","30","2","14","6.67","46.67","-20.5","1573","215","559","13.67","35.54","-132.67","7","11","815","118","296","14.48","36.32","-42.2","224","82","142","36.61","36.61","22.79","828","100","275","12.08","12.08","-71.99",
"Byrnes, C","3","1","2","33.33","66.67","0.25","6","2","3","33.33","50","-0.5","343","43","105","12.54","30.61","-96.07","7","3","178","23","57","12.92","32.02","-31.3","65","23","36","35.38","35.38","11.1","164","25","50","15.24","15.24","-5.02",
"Carroll, A W","9","0","0","0","0","-9","21","0","2","0","9.52","-21","1962","184","524","9.38","26.71","-435.34","16","22","950","87","257","9.16","27.05","-118.79","146","42","84","28.77","28.77","-12.45","1676","165","470","9.84","9.84","-329.06",
"Carroll, D","4","1","2","25","50","-1.12","10","2","4","20","40","-2.62","399","41","100","10.28","25.06","-50.54","4","1","207","27","55","13.04","26.57","47.04","36","11","18","30.56","30.56","0.25","310","33","84","10.65","10.65","-41.84",
"Case, B I","5","0","1","0","20","-5","5","0","1","0","20","-5","189","21","52","11.11","27.51","-71.04","143","20","82","8","24","9.76","29.27","-44.51","33","12","18","36.36","36.36","4.08","132","14","40","10.61","10.61","-67.79",
"Cawley, Edward","1","0","0","0","0","-1","7","0","0","0","0","-7","163","6","22","3.68","13.5","-123.17","212","18","73","5","10","6.85","13.7","-37.5","6","1","3","16.67","16.67","-1.5","101","6","20","5.94","5.94","-61.17",
"Channon, M R","6","1","2","16.67","33.33","7","27","4","9","14.81","33.33","4","1027","96","292","9.35","28.43","-364.9","7","6","454","45","121","9.91","26.65","-124.36","107","27","55","25.23","25.23","-23.69","679","67","202","9.87","9.87","-196.44",
"Chapple-Hyam, Jane","5","0","3","0","60","-5","10","0","4","0","40","-10","482","57","158","11.83","32.78","-67.15","24","21","245","24","77","9.8","31.43","-97.28","65","17","34","26.15","26.15","-9.06","321","41","114","12.77","12.77","-19.11",
"Cleary, Thomas","1","0","0","0","0","-1","3","0","0","0","0","-3","134","4","18","2.99","13.43","-88.5","89","15","50","1","5","2","10","-29","2","0","2","0","0","-2","95","4","18","4.21","4.21","-49.5",
"Cluskey, P","0","0","0","0","0","0","2","1","1","50","50","4","79","3","9","3.8","11.39","-37","11","2","51","2","4","3.92","7.84","-26","2","1","1","50","50","4","52","3","9","5.77","5.77","-10",
"Cole, P F I","6","1","1","16.67","16.67","-3.25","10","2","3","20","30","-4.37","326","47","124","14.42","38.04","-46.69","1","1","132","21","62","15.91","46.97","-26.39","52","14","35","26.92","26.92","-12.81","190","27","64","14.21","14.21","-14.42",
"Collier, Tjade","3","1","1","33.33","33.33","0.25","5","1","2","20","40","-1.75","130","7","27","5.38","20.77","-66.75","4","3","102","5","24","4.9","23.53","-72.75","14","2","8","14.29","14.29","-7.25","82","5","25","6.1","6.1","-52.75",
