trainer,1Day_Runs,1Day_Wins,1Day_Places,1Day_Win_Strike,1Day_Place_Strike,1Day_SP_ProfitLoss,3Day_Runs,3Day_Wins,3Day_Places,3Day_Win_Strike,3Day_Place_Strike,3Day_SP_ProfitLoss,7Day_Runs,7Day_Wins,7Day_Places,7Day_Win_Strike,7Day_Place_Strike,7Day_SP_ProfitLoss,14Day_Runs,14Day_Wins,14Day_Places,14Day_Win_Strike,14Day_Place_Strike,14Day_SP_ProfitLoss,2YR_Runs,2YR_Wins,2YR_Places,2YR_Win_Strike,2YR_Place_Strike,2YR_SP_ProfitLoss,DaysSinceWin,RunsSinceWin,1YR_Runs,1YR_Wins,1YR_Places,1YR_Win_Strike,1YR_Place_Strike,1YR_SP_ProfitLoss,2yr_fav_Runs,2yr_fav_Wins,2yr_fav_Places,2yr_fav_Win_Strike,2yr_fav_Place_Strike,2yr_fav_SP_ProfitLoss,2yr_hcap_Runs,2yr_hcap_Wins,2yr_hcap_Places,2yr_hcap_Win_Strike,2yr_hcap_Place_Strike,2yr_hcap_SP_ProfitLoss,
"Aherne, Sean","0","0","0","0","0","0","1","0","0","0","0","-1","1","0","0","0","0","-1","2","0","0","0","0","-2","163","10","26","6.13","15.95","-22.5","129","23","78","4","12","5.13","15.38","-26","6","0","1","0","0","-6","107","8","23","7.48","7.48","19.5",
"Appleby, M","4","1","2","25","50","-0.5","6","1","3","16.67","50","-2.5","14","2","5","14.29","35.71","0.5","26","3","9","11.54","34.62","-10.1","1733","196","554","11.31","31.97","-372.91","1","1","818","88","259","10.76","31.66","-187.49","267","72","144","26.97","26.97","-61.32","1483","160","468","10.79","10.79","-332.38",
"Archdeacon, L J","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","40","4","10","10","25","-10.5","156","6","28","4","9","14.29","32.14","1.5","0","0","0","0","0","0","19","4","8","21.05","21.05","10.5",
"Barrett, James M","1","0","0","0","0","-1","2","0","1","0","50","-2","2","0","1","0","50","-2","3","0","1","0","33.33","-3","93","3","18","3.23","19.35","-33.43","151","31","41","1","10","2.44","24.39","-24","5","1","2","20","20","-3.43","53","1","9","1.89","1.89","-12",
"Bourke, D F","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","-1","5","1","1","20","20","18","218","21","58","9.63","26.61","-46.5","13","4","120","10","30","8.33","25","-51.25","21","5","11","23.81","23.81","-3.25","182","19","50","10.44","10.44","-26.75",
"Breen, Patrick","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","-1","7","0","0","0","0","-7","4464","146","5","0","0","0","0","-5","0","0","0","0","0","0","1","0","0","0","0","-1",
"Bromhead, Henry De","1","0","0","0","0","-1","8","0","3","0","37.5","-8","11","0","4","0","36.36","-11","17","2","9","11.76","52.94","-9.87","1401","201","510","14.35","36.4","-224.88","9","13","755","112","278","14.83","36.82","-137.97","230","75","152","32.61","32.61","-36.14","549","57","166","10.38","10.38","-60.29",
"Brooke, Daniel","0","0","0","0","0","0","1","0","0","0","0","-1","2","0","0","0","0","-2","4","0","1","0","25","-4","211","21","58","9.95","27.49","-74.75","36","15","130","11","33","8.46","25.38","-53.42","28","8","20","28.57","28.57","-0.21","180","18","49","10","10","-78.75",
"Bryant, Miss M P","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","-3","4151","58","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","-3",
"Buckley, Edward","0","0","0","0","0","0","1","0","0","0","0","-1","2","0","0","0","0","-2","3","0","0","0","0","-3","16","1","3","6.25","18.75","1","124","12","16","1","3","6.25","18.75","1","0","0","0","0","0","0","4","1","2","25","25","13",
"Budds, David Kenneth","0","0","0","0","0","0","2","0","0","0","0","-2","3","0","0","0","0","-3","4","0","0","0","0","-4","174","8","42","4.6","24.14","-101.5","29","10","81","5","20","6.17","24.69","-27","5","1","3","20","20","-3","117","8","32","6.84","6.84","-44.5",
"Bunyan, Darren / OLeary, G","0","0","0","0","0","0","1","0","0","0","0","-1","3","0","1","0","33.33","-3","7","1","3","14.29","42.86","4","297","23","59","7.74","19.87","-118.01","13","7","187","14","36","7.49","19.25","-89.84","23","6","11","26.09","26.09","0.49","189","20","43","10.58","10.58","-26.34",
"Butler, P","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","85","3","7","3.53","8.24","24.25","202","23","44","2","5","4.55","11.36","-35.75","0","0","0","0","0","0","66","3","7","4.55","4.55","43.25",
"Byrne, Sean","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","30","2","8","6.67","26.67","0","185","13","20","1","5","5","25","-5","4","0","1","0","0","-4","15","1","4","6.67","6.67","0",
"Byrnes, C","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","-1","1","0","0","0","0","-1","517","58","132","11.22","25.53","-181.33","43","17","270","28","61","10.37","22.59","-78.52","69","28","43","40.58","40.58","16.09","247","30","59","12.15","12.15","-66.09",
