trainer,7Day_Runs,7Day_Wins,7Day_Places,7Day_Win_Strike,7Day_Place_Strike,7Day_SP_ProfitLoss,14Day_Runs,14Day_Wins,14Day_Places,14Day_Win_Strike,14Day_Place_Strike,14Day_SP_ProfitLoss,2YR_Runs,2YR_Wins,2YR_Places,2YR_Win_Strike,2YR_Place_Strike,2YR_SP_ProfitLoss,DaysSinceWin,RunsSinceWin,1YR_Runs,1YR_Wins,1YR_Places,1YR_Win_Strike,1YR_Place_Strike,1YR_SP_ProfitLoss,2yr_fav_Runs,2yr_fav_Wins,2yr_fav_Places,2yr_fav_Win_Strike,2yr_fav_Place_Strike,2yr_fav_SP_ProfitLoss,2yr_hcap_Runs,2yr_hcap_Wins,2yr_hcap_Places,2yr_hcap_Win_Strike,2yr_hcap_Place_Strike,2yr_hcap_SP_ProfitLoss,
"Appleby, Charlie","10","5","7","50","70","6.88","17","8","11","47.06","64.71","7.53","899","270","483","30.03","53.73","-29.64","1","1","414","118","218","28.5","52.66","-20.61","428","183","289","42.76","42.76","-34.26","225","57","105","25.33","25.33","4.59",
"Appleby, M","15","2","6","13.33","40","3.5","36","3","11","8.33","30.56","-7.5","1844","228","580","12.36","31.45","-300.77","2","4","919","105","289","11.43","31.45","-215.59","276","85","163","30.8","30.8","-28.93","1583","194","500","12.26","12.26","-233.87",
"Attwater, M J","4","0","0","0","0","-4","14","0","0","0","0","-14","630","35","128","5.56","20.32","-315.38","32","33","308","16","57","5.19","18.51","-159.46","27","8","14","29.63","29.63","-4.84","521","30","103","5.76","5.76","-244.43",
"Baker, George","6","2","4","33.33","66.67","7.83","12","3","6","25","50","4.83","391","40","115","10.23","29.41","-147.38","1","1","182","19","62","10.44","34.07","-80.63","51","13","26","25.49","25.49","-13.26","314","36","100","11.46","11.46","-92.76",
"Balding, A M","22","6","10","27.27","45.45","8.87","60","9","22","15","36.67","-17.48","1850","272","662","14.7","35.78","-276.08","1","3","898","140","321","15.59","35.75","-152.96","314","104","188","33.12","33.12","-41.55","822","121","274","14.72","14.72","-94.05",
"Banham, Chelsea","3","1","1","33.33","33.33","1.33","5","1","1","20","20","-0.67","238","18","52","7.56","21.85","-88.71","7","3","98","7","22","7.14","22.45","-58.21","17","4","8","23.53","23.53","-3.04","165","12","38","7.27","7.27","-52.54",
"Barclay, Stella","6","0","1","0","16.67","-6","11","0","1","0","9.09","-11","523","37","110","7.07","21.03","43.32","22","14","313","24","68","7.67","21.73","18.91","25","5","13","20","20","-9.26","437","34","97","7.78","7.78","105.99",
"Barcoe, James M","6","0","1","0","16.67","-6","8","0","1","0","12.5","-8","187","12","38","6.42","20.32","-15.25","45","27","101","3","15","2.97","14.85","-35.5","6","1","2","16.67","16.67","-2.25","135","10","33","7.41","7.41","-12.75",
"Barron, T D","6","2","3","33.33","50","9","13","3","4","23.08","30.77","19","478","61","161","12.76","33.68","-74.13","2","1","242","24","74","9.92","30.58","-72.71","71","17","43","23.94","23.94","-11.95","387","52","138","13.44","13.44","-37.21",
"Beckett, R M","21","4","8","19.05","38.1","-11.12","46","14","22","30.43","47.83","-0.26","1201","216","481","17.99","40.05","-142.07","1","3","649","128","272","19.72","41.91","-41.85","264","99","167","37.5","37.5","-5.35","538","104","204","19.33","19.33","-43.66",
