trainer,7Day_Runs,7Day_Wins,7Day_Places,7Day_Win_Strike,7Day_Place_Strike,7Day_SP_ProfitLoss,14Day_Runs,14Day_Wins,14Day_Places,14Day_Win_Strike,14Day_Place_Strike,14Day_SP_ProfitLoss,2YR_Runs,2YR_Wins,2YR_Places,2YR_Win_Strike,2YR_Place_Strike,2YR_SP_ProfitLoss,DaysSinceWin,RunsSinceWin,1YR_Runs,1YR_Wins,1YR_Places,1YR_Win_Strike,1YR_Place_Strike,1YR_SP_ProfitLoss,2yr_fav_Runs,2yr_fav_Wins,2yr_fav_Places,2yr_fav_Win_Strike,2yr_fav_Place_Strike,2yr_fav_SP_ProfitLoss,2yr_hcap_Runs,2yr_hcap_Wins,2yr_hcap_Places,2yr_hcap_Win_Strike,2yr_hcap_Place_Strike,2yr_hcap_SP_ProfitLoss,
"Allen, S G","1","0","0","0","0","-1","1","0","0","0","0","-1","10","0","1","0","10","-10","9999","9999","8","0","1","0","12.5","-8","0","0","0","0","0","0","5","0","0","0","0","-5",
"Appleby, Charlie","4","0","1","0","25","-4","13","1","6","7.69","46.15","-11.85","736","216","387","29.35","52.58","-42.64","14","12","320","99","169","30.94","52.81","-8.2","356","152","230","42.7","42.7","-30.71","139","36","66","25.9","25.9","41.62",
"Appleby, M","12","0","6","0","50","-12","22","0","7","0","31.82","-22","1748","193","554","11.04","31.69","-415.23","19","31","831","87","263","10.47","31.65","-186.64","263","72","143","27.38","27.38","-55.97","1499","158","471","10.54","10.54","-374.3",
"Bailey, K C","1","0","0","0","0","-1","1","0","0","0","0","-1","480","67","154","13.96","32.08","-108.72","24","4","217","30","65","13.82","29.95","-54.87","75","23","45","30.67","30.67","-14.27","314","47","102","14.97","14.97","-30.9",
"Balding, A M","25","4","12","16","48","-13.61","57","8","20","14.04","35.09","-28.95","1970","297","747","15.08","37.92","-380.28","1","4","1085","161","435","14.84","40.09","-224.12","379","126","241","33.25","33.25","-56.35","855","127","291","14.85","14.85","-110.34",
"Barcoe, James M","1","0","0","0","0","-1","8","2","3","25","37.5","3","223","9","40","4.04","17.94","-93.67","12","4","128","6","26","4.69","20.31","-64.17","7","2","3","28.57","28.57","4","166","9","34","5.42","5.42","-36.67",
"Barron, T D","1","0","0","0","0","-1","13","1","2","7.69","15.38","-10.37","479","48","144","10.02","30.06","-144.76","10","9","244","27","72","11.07","29.51","-47.05","52","12","27","23.08","23.08","-15.8","394","43","125","10.91","10.91","-76.52",
"Beckett, R M","18","4","8","22.22","44.44","7.32","34","10","18","29.41","52.94","10.55","1288","238","532","18.48","41.3","-171.93","4","5","658","122","270","18.54","41.03","-114.41","314","117","208","37.26","37.26","-8.55","526","103","205","19.58","19.58","-17.59",
"Bell, M L W","15","6","7","40","46.67","11.93","28","9","12","32.14","42.86","9.34","770","103","256","13.38","33.25","-174.57","1","1","419","61","135","14.56","32.22","-51.76","113","41","62","36.28","36.28","4.06","464","63","155","13.58","13.58","-64.87",
"Bethell, Ed","9","2","4","22.22","44.44","-5.12","17","4","9","23.53","52.94","5.88","499","87","201","17.43","40.28","-117.08","1","3","282","45","117","15.96","41.49","-102.77","121","46","73","38.02","38.02","-2.2","290","57","118","19.66","19.66","-26.72",
"Black, James H","0","0","0","0","0","0","1","0","0","0","0","-1","4","0","0","0","0","-4","1888","29","3","0","0","0","0","-3","0","0","0","0","0","0","4","0","0","0","0","-4",
