trainer,1Day_Runs,1Day_Wins,1Day_Places,1Day_Win_Strike,1Day_Place_Strike,1Day_SP_ProfitLoss,3Day_Runs,3Day_Wins,3Day_Places,3Day_Win_Strike,3Day_Place_Strike,3Day_SP_ProfitLoss,7Day_Runs,7Day_Wins,7Day_Places,7Day_Win_Strike,7Day_Place_Strike,7Day_SP_ProfitLoss,14Day_Runs,14Day_Wins,14Day_Places,14Day_Win_Strike,14Day_Place_Strike,14Day_SP_ProfitLoss,2YR_Runs,2YR_Wins,2YR_Places,2YR_Win_Strike,2YR_Place_Strike,2YR_SP_ProfitLoss,DaysSinceWin,RunsSinceWin,1YR_Runs,1YR_Wins,1YR_Places,1YR_Win_Strike,1YR_Place_Strike,1YR_SP_ProfitLoss,2yr_fav_Runs,2yr_fav_Wins,2yr_fav_Places,2yr_fav_Win_Strike,2yr_fav_Place_Strike,2yr_fav_SP_ProfitLoss,2yr_hcap_Runs,2yr_hcap_Wins,2yr_hcap_Places,2yr_hcap_Win_Strike,2yr_hcap_Place_Strike,2yr_hcap_SP_ProfitLoss,
"Allan, Miss Louise","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","-2","58","3","11","5.17","18.97","-22.62","122","10","22","1","4","4.55","18.18","7","4","2","4","50","50","2.38","39","2","8","5.13","5.13","-7.62",
"Appleby, Charlie","1","0","1","0","100","-1","3","2","3","66.67","100","7.5","4","2","3","50","75","6.5","8","3","5","37.5","62.5","4.88","721","210","381","29.13","52.84","-32.4","2","2","311","96","168","30.87","54.02","5.48","345","144","222","41.74","41.74","-34.92","131","36","64","27.48","27.48","47.22",
"Appleby, M","2","0","1","0","50","-2","5","0","3","0","60","-5","14","1","5","7.14","35.71","-10.75","30","6","13","20","43.33","9.25","1744","194","553","11.12","31.71","-396.56","7","13","816","88","259","10.78","31.74","-184.14","265","71","142","26.79","26.79","-60.97","1494","159","470","10.64","10.64","-354.63",
"Attwater, M J","1","0","0","0","0","-1","3","0","0","0","0","-3","8","0","3","0","37.5","-8","17","0","5","0","29.41","-17","588","34","118","5.78","20.07","-316.25","26","32","278","18","60","6.47","21.58","-154.79","26","6","12","23.08","23.08","-11.41","482","29","99","6.02","6.02","-235.3",
"Bailey, Liam","1","0","0","0","0","-1","3","0","0","0","0","-3","4","0","0","0","0","-4","4","0","0","0","0","-4","295","23","67","7.8","22.71","-143.63","36","11","147","14","38","9.52","25.85","-58.63","15","4","10","26.67","26.67","-3.13","226","17","49","7.52","7.52","-109.63",
"Baker, George","1","0","1","0","100","-1","1","0","1","0","100","-1","5","1","3","20","60","4.5","14","2","4","14.29","28.57","1.5","389","39","108","10.03","27.76","-28.75","5","2","203","18","43","8.87","21.18","43.38","30","9","14","30","30","-6.25","331","38","98","11.48","11.48","26.87",
"Balding, A M","16","2","3","12.5","18.75","-11.1","25","4","9","16","36","-8.6","44","8","17","18.18","38.64","-20.03","72","14","28","19.44","38.89","-19.27","2025","310","769","15.31","37.98","-397.47","1","6","1110","172","446","15.5","40.18","-209.38","396","135","252","34.09","34.09","-50.87","891","134","305","15.04","15.04","-119.68",
"Banham, Chelsea","0","0","0","0","0","0","0","0","0","0","0","0","3","1","1","33.33","33.33","7","5","1","2","20","40","5","248","23","61","9.27","24.6","-84.7","4","1","147","16","39","10.88","26.53","-23.49","14","6","7","42.86","42.86","6.97","177","20","51","11.3","11.3","-32.03",
"Beckett, R M","10","4","5","40","50","12.55","14","5","7","35.71","50","10.55","25","8","13","32","52","14.74","43","13","23","30.23","53.49","12.74","1310","246","542","18.78","41.37","-158.7","1","3","651","118","269","18.13","41.32","-106.85","317","121","211","38.17","38.17","-8.57","532","107","211","20.11","20.11","2.78",
"Bell, M L W","3","0","0","0","0","-3","5","0","1","0","20","-5","11","0","2","0","18.18","-11","20","0","3","0","15","-20","783","101","252","12.9","32.18","-205.52","18","24","408","58","124","14.22","30.39","-68.01","111","42","62","37.84","37.84","8.94","467","61","151","13.06","13.06","-85.82",
